,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
M6_1,M6_1,M6,LiverF7,M6,RNA670,Liver,P_1B_1,F,1B,77,1,EC,1,1,M6_CKDL240007483-1A_22553JLT4_L7.featureCounts
A20_2,A20_2,A20,SpleenM47,A20,RNA345,Spleen,J_1A_22,M,1A,47,2,EC,2,2,A20_CKDL240007484-1A_22553JLT4_L6.featureCounts
B12_2,B12_2,B12,SpinalCordM47,B12,RNA456 - LOST,SpinalCord,J_1A_22,M,1A,47,2,EC,2,2,B12_CKDL240007484-1A_22553JLT4_L6.featureCounts
B14_2,B14_2,B14,HeartM47,B14,R204,Heart,J_1A_22,M,1A,47,1,JC,2,2,B14_CKDL240007484-1A_22553JLT4_L6.featureCounts
B4_2,B4_2,B4,BoneF47,B4,RNA621,Bone,J_1A_24,F,1A,47,3,EC,2,2,B4_CKDL240007484-1A_22553JLT4_L6.featureCounts
C20_2,C20_2,C20,SpleenF47,C20,RNA347,Spleen,J_1A_24,F,1A,47,2,EC,2,2,C20_CKDL240007484-1A_22553JLT4_L6.featureCounts
D16_2,D16_2,D16,HeartF47,D16,R238,Heart,J_1A_24,F,1A,47,2,EC,2,2,D16_CKDL240007484-1A_22553JLT4_L6.featureCounts
E06_2,E06_2,E06,FatM47,E06,RNA537,Fat,J_1A_17,M,1A,47,2,EC,2,2,E6_CKDL240007484-1A_22553JLT4_L6.featureCounts
E08_2,E08_2,E08,FatF47,E08,RNA569,Fat,P_1A_1,F,1A,47,3,EC,2,2,E8_CKDL240007484-1A_22553JLT4_L6.featureCounts
E14_2,E14_2,E14,HeartF47,E14,R207,Heart,P_1A_1,F,1A,47,1,JC,2,2,E14_CKDL240007484-1A_22553JLT4_L6.featureCounts
F07_2,F07_2,F07,FatM47,F07,RNA554,Fat,J_1A_22,M,1A,47,3,EC,2,2,F7_CKDL240007484-1A_22553JLT4_L6.featureCounts
F12_2,F12_2,F12,SpinalCordF47,F12,RNA460,SpinalCord,J_1A_24,F,1A,47,2,EC,2,2,F12_CKDL240007484-1A_22553JLT4_L6.featureCounts
F16_2,F16_2,F16,HeartM47,F16,R240,Heart,J_1A_17,M,1A,47,2,EC,2,2,F16_CKDL240007484-1A_22553JLT4_L6.featureCounts
F22_2,F22_2,F22,BrainM47,F22,R44,Brain,J_1A_17,M,1A,47,1,EC,2,2,F22_CKDL240007484-1A_22553JLT4_L6.featureCounts
F23_2,F23_2,F23,BrainF47,F23,R60,Brain,J_1A_24,F,1A,47,2,EC,2,2,F23_CKDL240007484-1A_22553JLT4_L6.featureCounts
G02_2,G02_2,G02,BoneF47,G02,RNA594,Bone,P_1A_1,F,1A,47,2,EC,2,2,G2_CKDL240007484-1A_22553JLT4_L6.featureCounts
G07_2,G07_2,G07,FatF47,G07,RNA555,Fat,J_1A_24,F,1A,47,3,EC,2,2,G7_CKDL240007484-1A_22553JLT4_L6.featureCounts
G22_2,G22_2,G22,BrainF47,G22,R45,Brain,P_1A_1,F,1A,47,1,EC,2,2,G22_CKDL240007484-1A_22553JLT4_L6.featureCounts
I12_2,I12_2,I12,EyeM47,I12,643,Eye,J_1A_17-and-J_1A_22,M,1A,47,NA,MRW,2,2,I12_CKDL240007484-1A_22553JLT4_L6.featureCounts
J03_2,J03_2,J03,BoneM47,J03,RNA613,Bone,J_1A_22,M,1A,47,3,EC,2,2,J3_CKDL240007484-1A_22553JLT4_L6.featureCounts
J19_2,J19_2,J19,SpleenM47,J19,RNA338,Spleen,J_1A_17,M,1A,47,2,EC,2,2,J19_CKDL240007484-1A_22553JLT4_L6.featureCounts
L11_2,L11_2,L11,SpinalCordM47,L11,RNA450,SpinalCord,J_1A_17,M,1A,47,2,EC,2,2,L11_CKDL240007484-1A_22553JLT4_L6.featureCounts
M11_2,M11_2,M11,SpinalCordF47,M11,RNA451,SpinalCord,P_1A_1,F,1A,47,2,EC,2,2,M11_CKDL240007484-1A_22553JLT4_L6.featureCounts
M19_2,M19_2,M19,SpleenF47,M19,RNA341,Spleen,P_1A_1,F,1A,47,2,EC,2,2,M19_CKDL240007484-1A_22553JLT4_L6.featureCounts
N04_2,N04_2,N04,EyeF47,N04,632,Eye,P_1A_1-and-J_1A_24,F,1A,47,NA,MRW,2,2,N4_CKDL240007484-1A_22553JLT4_L6.featureCounts
N21_2,N21_2,N21,BrainM47,N21,R36,Brain,J_1A_22,M,1A,47,1,EC,2,2,N21_CKDL240007484-1A_22553JLT4_L6.featureCounts
P03_2,P03_2,P03,BoneM47,P03,RNA619,Bone,J_1A_17,M,1A,47,3,EC,2,2,P3_CKDL240007484-1A_22553JLT4_L6.featureCounts
A11_1,A11_1,A11,KidneyM47,A11,R274,Kidney,J_1A_22,M,1A,47,2,JC,1,1,A11_CKDL240007483-1A_22553JLT4_L7.featureCounts
B20_1,B20_1,B20,SkinM47,B20,R126,Skin,J_1A_17,M,1A,47,2,EC,1,1,B20_CKDL240007483-1A_22553JLT4_L7.featureCounts
B4_1,B4_1,B4,GutM47,B4,RNA401,Gut,J_1A_22,M,1A,47,2,EC,1,1,B4_CKDL240007483-1A_22553JLT4_L7.featureCounts
C16_1,C16_1,C16,MuscleM47,C16,RNA512,Muscle,J_1A_22,M,1A,47,3,EC,1,1,C16_CKDL240007483-1A_22553JLT4_L7.featureCounts
D12_1,D12_1,D12,KidneyM47,D12,R293,Kidney,J_1A_17,M,1A,47,2,EC,1,1,D12_CKDL240007483-1A_22553JLT4_L7.featureCounts
E20_1,E20_1,E20,SkinM47,E20,R129,Skin,J_1A_22,M,1A,47,2,EC,1,1,E20_CKDL240007483-1A_22553JLT4_L7.featureCounts
F20_1,F20_1,F20,SkinF47,F20,R130,Skin,P_1A_1,F,1A,47,2,EC,1,1,F20_CKDL240007483-1A_22553JLT4_L7.featureCounts
N21_1,N21_1,N21,GonadF47,N21,145,Ovary,P_1A_1,F,1A,47,1,IG,1,1,N21_CKDL240007483-1A_22553JLT4_L7.featureCounts
G4_1,G4_1,G4,GutF47,G4,RNA406,Gut,P_1A_1,F,1A,47,2,EC,1,1,G4_CKDL240007483-1A_22553JLT4_L7.featureCounts
G6_1,G6_1,G6,LiverF47,G6,RNA664,Liver,J_1A_24,F,1A,47,1,EC,1,1,G6_CKDL240007483-1A_22553JLT4_L7.featureCounts
G7_1,G7_1,G7,LiverF47,G7,RNA680,Liver,P_1A_1,F,1A,47,1,IG,1,1,G7_CKDL240007483-1A_22553JLT4_L7.featureCounts
H6_1,H6_1,H6,LiverM47,H6,RNA665,Liver,J_1A_17,M,1A,47,1,EC,1,1,H6_CKDL240007483-1A_22553JLT4_L7.featureCounts
H7_1,H7_1,H7,LiverM47,H7,RNA681,Liver,J_1A_22,M,1A,47,1,IG,1,1,H7_CKDL240007483-1A_22553JLT4_L7.featureCounts
K15_1,K15_1,K15,MuscleF47,K15,RNA504,Muscle,P_1A_1,F,1A,47,3,EC,1,1,K15_CKDL240007483-1A_22553JLT4_L7.featureCounts
L10_1,L10_1,L10,KidneyF47,L10,R269,Kidney,J_1A_24,F,1A,47,1,JC,1,1,L10_CKDL240007483-1A_22553JLT4_L7.featureCounts
M13_1,M13_1,M13,MuscleM47,M13,RNA474,Muscle,J_1A_17,M,1A,47,1,EC,1,1,M13_CKDL240007483-1A_22553JLT4_L7.featureCounts
N11_1,N11_1,N11,KidneyF47,N11,R287,Kidney,P_1A_1,F,1A,47,2,EC,1,1,N11_CKDL240007483-1A_22553JLT4_L7.featureCounts
P21_1,P21_1,P21,GonadF47,P21,147,Ovary,J_1A_24,F,1A,47,1,IG,1,1,P21_CKDL240007483-1A_22553JLT4_L7.featureCounts
N3_1,N3_1,N3,GutF47,N3,RNA397,Gut,J_1A_24,F,1A,47,2,EC,1,1,N3_CKDL240007483-1A_22553JLT4_L7.featureCounts
O1_1,O1_1,O1,GutM47,O1,RNA366,Gut,J_1A_17,M,1A,47,1,EC,1,1,O1_CKDL240007483-1A_22553JLT4_L7.featureCounts
O17_1,O17_1,O17,SkinF47,O17,R91,Skin,J_1A_24,F,1A,47,1,IG,1,1,O17_CKDL240007483-1A_22553JLT4_L7.featureCounts
F24_1,F24_1,F24,GonadF49,F24,185,Ovary,J_1B_5,F,1B,49,2,JC,1,1,F24_CKDL240007483-1A_22553JLT4_L7.featureCounts
P13_1,P13_1,P13,MuscleF47,P13,RNA477,Muscle,J_1A_24,F,1A,47,1,EC,1,1,P13_CKDL240007483-1A_22553JLT4_L7.featureCounts
I21_1,I21_1,I21,GonadF52,I21,140,Ovary,D_06,F,2,52,1,EC,1,1,I21_CKDL240007483-1A_22553JLT4_L7.featureCounts
B22_2,B22_2,B22,BrainM49,B22,R40,Brain,J_1B_2,M,1B,49,1,EC,2,2,B22_CKDL240007484-1A_22553JLT4_L6.featureCounts
C06_2,C06_2,C06,FatM49,C06,RNA535,Fat,J_1B_12,M,1B,49,2,EC,2,2,C6_CKDL240007484-1A_22553JLT4_L6.featureCounts
C23_2,C23_2,C23,BrainF49,C23,R57,Brain,J_1B_5,F,1B,49,2,EC,2,2,C23_CKDL240007484-1A_22553JLT4_L6.featureCounts
D20_2,D20_2,D20,SpleenF49,D20,RNA348,Spleen,P_1B_9,F,1B,49,2,EC,2,2,D20_CKDL240007484-1A_22553JLT4_L6.featureCounts
E02_2,E02_2,E02,BoneM49,E02,RNA592,Bone,J_1B_12,M,1B,49,2,EC,2,2,E2_CKDL240007484-1A_22553JLT4_L6.featureCounts
E04_2,E04_2,E04,BoneF49,E04,RNA624,Bone,P_1B_9,F,1B,49,3,EC,2,2,E4_CKDL240007484-1A_22553JLT4_L6.featureCounts
E16_2,E16_2,E16,HeartF49,E16,R239,Heart,J_1B_5,F,1B,49,2,EC,2,2,E16_CKDL240007484-1A_22553JLT4_L6.featureCounts
E18_2,E18_2,E18,SpleenM49,E18,RNA317,Spleen,J_1B_12,M,1B,49,1,JC,2,2,E18_CKDL240007484-1A_22553JLT4_L6.featureCounts
E20_2,E20_2,E20,SpleenF49,E20,RNA349,Spleen,J_1B_5,F,1B,49,2,EC,2,2,E20_CKDL240007484-1A_22553JLT4_L6.featureCounts
F03_2,F03_2,F03,BoneM49,F03,RNA609,Bone,J_1B_2,M,1B,49,3,EC,2,2,F3_CKDL240007484-1A_22553JLT4_L6.featureCounts
G16_2,G16_2,G16,HeartM49,G16,R241,Heart,J_1B_2,M,1B,49,2,EC,2,2,G16_CKDL240007484-1A_22553JLT4_L6.featureCounts
H06_2,H06_2,H06,FatF49,H06,RNA540,Fat,P_1B_9,F,1B,49,2,EC,2,2,H6_CKDL240007484-1A_22553JLT4_L6.featureCounts
H22_2,H22_2,H22,BrainF49,H22,R46,Brain,P_1B_9,F,1B,49,1,EC,2,2,H22_CKDL240007484-1A_22553JLT4_L6.featureCounts
I03_2,I03_2,I03,BoneF49,I03,RNA612,Bone,J_1B_5,F,1B,49,3,EC,2,2,I3_CKDL240007484-1A_22553JLT4_L6.featureCounts
J10_2,J10_2,J10,SpinalCordM49,J10,RNA432,SpinalCord,J_1B_2,M,1B,49,2,JC,2,2,J10_CKDL240007484-1A_22553JLT4_L6.featureCounts
J14_2,J14_2,J14,HeartM49,J14,R212,Heart,J_1B_12,M,1B,49,1,JC,2,2,J14_CKDL240007484-1A_22553JLT4_L6.featureCounts
K19_2,K19_2,K19,SpleenM49,K19,RNA339,Spleen,J_1B_2,M,1B,49,2,EC,2,2,K19_CKDL240007484-1A_22553JLT4_L6.featureCounts
L07_2,L07_2,L07,FatF49,L07,RNA560,Fat,J_1B_5,F,1B,49,3,EC,2,2,L7_CKDL240007484-1A_22553JLT4_L6.featureCounts
M08_2,M08_2,M08,EyeM49,M08,639,Eye,J_1B_12-and-J_1B_2,M,1B,49,NA,MRW,2,2,M8_CKDL240007484-1A_22553JLT4_L6.featureCounts
N09_2,N09_2,N09,SpinalCordM49,N09,RNA420,SpinalCord,J_1B_12,M,1B,49,1,EC,2,2,N9_CKDL240007484-1A_22553JLT4_L6.featureCounts
N12_2,N12_2,N12,EyeF49,N12,648,Eye,P_1B_9-and-J_1B_5,F,1B,49,NA,MRW,2,2,N12_CKDL240007484-1A_22553JLT4_L6.featureCounts
P07_2,P07_2,P07,FatM49,P07,RNA564,Fat,J_1B_2,M,1B,49,3,EC,2,2,P7_CKDL240007484-1A_22553JLT4_L6.featureCounts
P09_2,P09_2,P09,SpinalCordF49,P09,RNA422,SpinalCord,P_1B_9,F,1B,49,1,EC,2,2,P9_CKDL240007484-1A_22553JLT4_L6.featureCounts
P11_2,P11_2,P11,SpinalCordF49,P11,RNA454,SpinalCord,J_1B_5,F,1B,49,2,EC,2,2,P11_CKDL240007484-1A_22553JLT4_L6.featureCounts
B12_1,B12_1,B12,KidneyF49,B12,R291,Kidney,J_1B_5,F,1B,49,2,EC,1,1,B12_CKDL240007483-1A_22553JLT4_L7.featureCounts
C14_1,C14_1,C14,MuscleM49,C14,RNA480,Muscle,J_1B_2,M,1B,49,1,EC,1,1,C14_CKDL240007483-1A_22553JLT4_L7.featureCounts
