,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
A1_1,J9,F,2,155,8/16/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA352,1,A1,A1,A1_1,,,
A10_1,P_1B_10,M,1B,133,1/31/22,9/20/21,Kidney,NA,3/4/23,1,JC,R258,1,A10,A10,A10_1,,,
A11_1,J_1A_22,M,1A,47,10/25/21,9/8/21,Kidney,NA,3/4/23,2,JC,R274,1,A11,A11,A11_1,,,
A12_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Kidney,NA,3/4/23,2,EC,R290,1,A12,A12,A12_1,,,
A13_1,D12,M,2,134,7/26/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA462,1,A13,A13,A13_1,,,
A14_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Muscle,NA,3/15/23,1,EC,RNA478,1,A14,A14,A14_1,,,
A15_1,E_01,M,2,52,5/5/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA494,1,A15,A15,A15_1,,,
A16_1,P_1A_2,F,1A,103,12/20/21,9/8/21,Muscle,NA,3/27/23,3,EC,RNA510,1,A16,A16,A16_1,,,
A17_1,C04,F,2,134,7/26/22,3/14/22,Skin,NA,2/8/23,1,EC,R77,1,A17,A17,A17_1,,,
A18_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Skin,NA,2/8/23,1,IG,R93,1,A18,A18,A18_1,,,
A19_1,I_03,M,2,162,8/23/22,3/14/22,Skin,NA,2/8/23,2,IG,R109,1,A19,A19,A19_1,,,
A2_1,P_1B_2,M,1B,133,1/31/22,9/20/21,Gut,NA,3/8/23,1,EC,RNA368,1,A2,A2,A2_1,,,
A20_1,J_1B_11,M,1B,161,2/28/22,9/20/21,Skin,NA,2/8/23,2,EC,R125,1,A20,A20,A20_1,,,
A21_1,A01,M,2,78,5/31/22,3/14/22,Testis,NA,2/10/23,1,EC,132,1,A21,A21,A21_1,,,
A22_1,J-1B-18,F,1B,133,1/31/22,9/20/21,Ovary,NA,2/10/23,1,IG,152,1,A22,A22,A22_1,1,1,no aqueous phase
A23_1,E02,F,2,78,5/31/22,3/14/22,Ovary,NA,2/24/23,2,EC,164,1,A23,A23,A23_1,,,
A24_1,J_1A_13,M,1A,75,11/22/21,9/8/21,Testis,NA,2/24/23,2,JC,180,1,A24,A24,A24_1,,,
A3_1,I05,F,2,134,7/26/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA384,1,A3,A3,A3_1,,,
A4_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Gut,NA,3/9/23,2,EC,RNA400,1,A4,A4,A4_1,,,
A5_1,B01,M,2,134,7/26/22,3/14/22,Liver,NA,1/30/23,2,EC,R01,1,A5,A5,A5_1,,,
A6_1,D_06,F,2,52,5/5/22,3/14/22,Liver,NA,1/30/23,2,IG,R17,1,A6,A6,A6_1,,,
A7_1,J_1B_18,F,1B,133,1/31/22,9/20/21,Liver,NA,3/21/22,1,EC,RNA674,1,A7,A7,A7_1,,,
A8_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Liver,NA,3/21/22,1,IG,RNA690,1,A8,A8,A8_1,,,
A9_1,E02,F,2,78,5/31/22,3/14/22,Kidney,NA,3/4/23,1,EC,R242,1,A9,A9,A9_1,,,
B1_1,B01,M,2,134,7/26/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA353,1,B1,B1,B1_1,,,
B10_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Kidney,NA,3/4/23,1,JC,R259,1,B10,B10,B10_1,,,
B11_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Kidney,NA,3/4/23,2,JC,R275,1,B11,B11,B11_1,,,
B12_1,J_1B_5,F,1B,49,11/8/21,9/20/21,Kidney,NA,3/4/23,2,EC,R291,1,B12,B12,B12_1,,,
B13_1,J9,F,2,155,8/16/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA463,1,B13,B13,B13_1,,,
