Sample	Unique Reads	Duplicate Reads
A10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6084986.0	4442439.0
A10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5946051.0	4581374.0
A11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5549249.0	4499079.0
A11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5490771.0	4557557.0
A12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6548016.0	4224122.0
A12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6393553.0	4378585.0
A13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4333554.0	7027755.0
A13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4258432.0	7102877.0
A14_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4594784.0	7010407.0
A14_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4468945.0	7136246.0
A15_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3143796.0	6095935.0
A15_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3094454.0	6145277.0
A16_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4662524.0	5325108.0
A16_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4582850.0	5404782.0
A17_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6454555.0	5703053.0
A17_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6312120.0	5845488.0
A18_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6514427.0	5900675.0
A18_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6266881.0	6148221.0
A19_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4247272.0	3352196.0
A19_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4154847.0	3444621.0
A1_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6968599.0	7120839.0
A1_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6884948.0	7204490.0
A20_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6542932.0	5019478.0
A20_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6433731.0	5128679.0
A21_CKDL240007483-1A_225CVMLT4_L2_1_val_1	7158534.0	3828694.0
A21_CKDL240007483-1A_225CVMLT4_L2_2_val_2	7053691.0	3933537.0
A23_CKDL240007483-1A_225CVMLT4_L2_1_val_1	7450292.0	4841724.0
A23_CKDL240007483-1A_225CVMLT4_L2_2_val_2	7309304.0	4982712.0
A24_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6284576.0	2832600.0
A24_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6206896.0	2910280.0
A2_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5657591.0	5669397.0
A2_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5538691.0	5788297.0
A3_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6527078.0	6638357.0
A3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6383544.0	6781891.0
A4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5593668.0	5103947.0
A4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5491397.0	5206218.0
A5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4585585.0	6358721.0
A5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4492326.0	6451980.0
A6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4798413.0	9807195.0
A6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4731923.0	9873685.0
A7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3703624.0	6495578.0
A7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3641585.0	6557617.0
A8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4434553.0	5671228.0
A8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4361708.0	5744073.0
A9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6953224.0	5441484.0
A9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6826580.0	5568128.0
B10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6489973.0	4260617.0
B10_CKDL240007483-1A_225CVMLT4_L2_2_val_2	6360551.0	4390039.0
B11_CKDL240007483-1A_225CVMLT4_L2_1_val_1	5574551.0	3824160.0
B11_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5488072.0	3910639.0
B12_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4208478.0	2618221.0
B12_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4148284.0	2678415.0
B13_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4994196.0	7679347.0
B13_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4933732.0	7739811.0
