Sample	Duplicate Reads	Unique Reads
A10_CKDL240007483-1A_22553JLT4_L7_1_val_1	4627497.0	6134751.0
A10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4815166.0	5947082.0
A11_CKDL240007483-1A_22553JLT4_L7_1_val_1	4597455.0	5587408.0
A11_CKDL240007483-1A_22553JLT4_L7_2_val_2	4743219.0	5441644.0
A12_CKDL240007483-1A_22553JLT4_L7_1_val_1	4341703.0	6536063.0
A12_CKDL240007483-1A_22553JLT4_L7_2_val_2	4527096.0	6350670.0
A13_CKDL240007483-1A_22553JLT4_L7_1_val_1	7345596.0	4307113.0
A13_CKDL240007483-1A_22553JLT4_L7_2_val_2	7496731.0	4155978.0
A14_CKDL240007483-1A_22553JLT4_L7_1_val_1	7194338.0	4534155.0
A14_CKDL240007483-1A_22553JLT4_L7_2_val_2	7387352.0	4341141.0
A15_CKDL240007483-1A_22553JLT4_L7_1_val_1	6232730.0	3066808.0
A15_CKDL240007483-1A_22553JLT4_L7_2_val_2	6348054.0	2951484.0
A16_CKDL240007483-1A_22553JLT4_L7_1_val_1	5450918.0	4600979.0
A16_CKDL240007483-1A_22553JLT4_L7_2_val_2	5604543.0	4447354.0
A17_CKDL240007483-1A_22553JLT4_L7_1_val_1	5925253.0	6498594.0
A17_CKDL240007483-1A_22553JLT4_L7_2_val_2	6129143.0	6294704.0
A18_CKDL240007483-1A_22553JLT4_L7_1_val_1	6210114.0	6631852.0
A18_CKDL240007483-1A_22553JLT4_L7_2_val_2	6514595.0	6327371.0
A19_CKDL240007483-1A_22553JLT4_L7_1_val_1	3079847.0	3881207.0
A19_CKDL240007483-1A_22553JLT4_L7_2_val_2	3204144.0	3756910.0
A1_CKDL240007483-1A_22553JLT4_L7_1_val_1	7538453.0	7047085.0
A1_CKDL240007483-1A_22553JLT4_L7_2_val_2	7736525.0	6849013.0
A20_CKDL240007483-1A_22553JLT4_L7_1_val_1	5258004.0	6653166.0
A20_CKDL240007483-1A_22553JLT4_L7_2_val_2	5435935.0	6475235.0
A21_CKDL240007483-1A_22553JLT4_L7_1_val_1	3938761.0	7174535.0
A21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4101761.0	7011535.0
A23_CKDL240007483-1A_22553JLT4_L7_1_val_1	5063590.0	7511940.0
A23_CKDL240007483-1A_22553JLT4_L7_2_val_2	5273493.0	7302037.0
A24_CKDL240007483-1A_22553JLT4_L7_1_val_1	2917717.0	6262363.0
A24_CKDL240007483-1A_22553JLT4_L7_2_val_2	3027391.0	6152689.0
A2_CKDL240007483-1A_22553JLT4_L7_1_val_1	5936634.0	5692703.0
A2_CKDL240007483-1A_22553JLT4_L7_2_val_2	6111882.0	5517455.0
A3_CKDL240007483-1A_22553JLT4_L7_1_val_1	7047823.0	6620554.0
A3_CKDL240007483-1A_22553JLT4_L7_2_val_2	7269688.0	6398689.0
A4_CKDL240007483-1A_22553JLT4_L7_1_val_1	5238907.0	5598254.0
A4_CKDL240007483-1A_22553JLT4_L7_2_val_2	5400970.0	5436191.0
A5_CKDL240007483-1A_22553JLT4_L7_1_val_1	6604851.0	4529992.0
A5_CKDL240007483-1A_22553JLT4_L7_2_val_2	6752696.0	4382147.0
A6_CKDL240007483-1A_22553JLT4_L7_1_val_1	10232393.0	4772619.0
A6_CKDL240007483-1A_22553JLT4_L7_2_val_2	10420041.0	4584971.0
A7_CKDL240007483-1A_22553JLT4_L7_1_val_1	6689893.0	3658116.0
A7_CKDL240007483-1A_22553JLT4_L7_2_val_2	6825234.0	3522775.0
A8_CKDL240007483-1A_22553JLT4_L7_1_val_1	5915263.0	4455681.0
A8_CKDL240007483-1A_22553JLT4_L7_2_val_2	6070484.0	4300460.0
A9_CKDL240007483-1A_22553JLT4_L7_1_val_1	5636169.0	7045243.0
A9_CKDL240007483-1A_22553JLT4_L7_2_val_2	5837245.0	6844167.0
B10_CKDL240007483-1A_22553JLT4_L7_1_val_1	4479286.0	6597239.0
B10_CKDL240007483-1A_22553JLT4_L7_2_val_2	4649190.0	6427335.0
B11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3891243.0	5575316.0
B11_CKDL240007483-1A_22553JLT4_L7_2_val_2	4036462.0	5430097.0
B12_CKDL240007483-1A_22553JLT4_L7_1_val_1	2729207.0	4266901.0
