Sample	Unique Reads	Duplicate Reads
A10_ME_1_val_1	9806742.0	7764311.0
A10_ME_2_val_2	9511215.0	8059838.0
A11_ME_1_val_1	13352566.0	12483543.0
A11_ME_2_val_2	13029433.0	12806676.0
A12_ME_1_val_1	9730165.0	7363899.0
A12_ME_2_val_2	9485354.0	7608710.0
A13_ME_1_val_1	9008469.0	8947827.0
A13_ME_2_val_2	8872810.0	9083486.0
A14_ME_1_val_1	8364519.0	8430863.0
A14_ME_2_val_2	8111103.0	8684279.0
A15_ME_1_val_1	9244489.0	10033434.0
A15_ME_2_val_2	9079444.0	10198479.0
A17_ME_1_val_1	9370562.0	8204027.0
A17_ME_2_val_2	9111412.0	8463177.0
A18_ME_1_val_1	10515267.0	8505457.0
A18_ME_2_val_2	10096990.0	8923734.0
A19_ME_1_val_1	6626562.0	3871784.0
A19_ME_2_val_2	6533842.0	3964504.0
A1_ME_1_val_1	10962750.0	13278499.0
A1_ME_2_val_2	10717107.0	13524142.0
A20_ME_1_val_1	7719669.0	6486238.0
A20_ME_2_val_2	7573236.0	6632671.0
A21_ME_1_val_1	11751197.0	7422839.0
A21_ME_2_val_2	11572321.0	7601715.0
A22_ME_1_val_1	11938258.0	7515404.0
A22_ME_2_val_2	11683915.0	7769747.0
A23_ME_1_val_1	11782256.0	6727961.0
A23_ME_2_val_2	11563537.0	6946680.0
A24_ME_1_val_1	10894372.0	7553753.0
A24_ME_2_val_2	10742295.0	7705830.0
A2_ME_1_val_1	7562668.0	8856805.0
A2_ME_2_val_2	7362807.0	9056666.0
A3_ME_1_val_1	7987233.0	8010938.0
A3_ME_2_val_2	7776756.0	8221415.0
A4_ME_1_val_1	7096499.0	6651425.0
A4_ME_2_val_2	6905708.0	6842216.0
A5_ME_1_val_1	5471152.0	19429752.0
A5_ME_2_val_2	5381464.0	19519440.0
A6_ME_1_val_1	9935812.0	11905662.0
A6_ME_2_val_2	9818664.0	12022810.0
A7_ME_1_val_1	6467823.0	12807769.0
A7_ME_2_val_2	6373277.0	12902315.0
A8_ME_1_val_1	6835486.0	9450355.0
A8_ME_2_val_2	6712077.0	9573764.0
A9_ME_1_val_1	13522567.0	10126906.0
