Sample	Unassigned_NoFeatures	Unassigned_Chimera	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_FragmentLength	Total	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_NonSplit	Assigned	percent_assigned	Unassigned_Overlapping_Length	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_MappingQuality
A10_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3729082	0	85663	0	0	17168054	0	0	0	0	13353309	77.77998018878553	0	0	0	0
A11_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4338444	0	83743	0	0	16365020	0	0	0	0	11942833	72.97780876528107	0	0	0	0
A12_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4015606	0	91292	0	0	18307061	0	0	0	0	14200163	77.56659028994332	0	0	0	0
A13_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4250138	0	81203	0	0	19024552	0	0	0	0	14693211	77.23288832241622	0	0	0	0
A14_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4607743	0	89036	0	0	19174568	0	0	0	0	14477789	75.50516392338018	0	0	0	0
A15_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2316208	0	55058	0	0	15018172	0	0	0	0	12646906	84.21068822490514	0	0	0	0
A16_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3426364	0	111076	0	0	16474154	0	0	0	0	12936714	78.52733439301345	0	0	0	0
A17_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4253510	0	108128	0	0	19588479	0	0	0	0	15226841	77.73365660498705	0	0	0	0
A18_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	5399423	0	151329	0	0	19155965	0	0	0	0	13605213	71.02337574744995	0	0	0	0
A19_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2634405	0	63736	0	0	10429925	0	0	0	0	7731784	74.1307727524407	0	0	0	0
A1_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3948919	0	91450	0	0	25318677	0	0	0	0	21278308	84.04194263389039	0	0	0	0
A20_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	4558822	0	127756	0	0	19998786	0	0	0	0	15312208	76.5656875372335	0	0	0	0
A21_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2924954	0	103585	0	0	17988250	0	0	0	0	14959711	83.16379303156228	0	0	0	0
A23_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2942378	0	91582	0	0	20550718	0	0	0	0	17516758	85.23672019634544	0	0	0	0
A24_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2585408	0	82188	0	0	15179628	0	0	0	0	12512032	82.42647316521854	0	0	0	0
A2_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3297793	0	71155	0	0	20359444	0	0	0	0	16990496	83.45265224335203	0	0	0	0
A3_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	3421323	0	78325	0	0	23283636	0	0	0	0	19783988	84.96949531421983	0	0	0	0
A4_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2964816	0	65928	0	0	18528374	0	0	0	0	15497630	83.64268769617884	0	0	0	0
A5_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2912565	0	69649	0	0	18691831	0	0	0	0	15709617	84.04536184817849	0	0	0	0
A6_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2019591	0	89991	0	0	24081438	0	0	0	0	21971856	91.2398005467946	0	0	0	0
A7_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	1435418	0	59716	0	0	16380735	0	0	0	0	14885601	90.87260736468785	0	0	0	0
A8_CKDL240007483-1A_22553JLT4_L7_UniquelyMapped	2340881	0	64093	0	0	18023986	0	0	0	0	15619012	86.65681387013949	0	0	0	0
