Sample	Unassigned_Read_Type	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_NoFeatures	Assigned	Unassigned_Unmapped	percent_assigned	Unassigned_Ambiguity	Total	Unassigned_NonSplit	Unassigned_Overlapping_Length	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Secondary
A10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3845483	12316323	0	75.6513517441307	118568	16280374	0	0	0	0	0	0	0
A11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5771401	17644719	0	74.87261057305511	150200	23566320	0	0	0	0	0	0	0
A12_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3971674	11639984	0	74.07792741384117	101503	15713161	0	0	0	0	0	0	0
A13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5041226	10686650	0	67.74049678160299	47990	15775866	0	0	0	0	0	0	0
A14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4815056	9684166	0	66.58133071962776	45645	14544867	0	0	0	0	0	0	0
A15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5686247	11301346	0	66.33417442483528	49396	17036989	0	0	0	0	0	0	0
A17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2600782	12004477	0	81.8983744596382	52513	14657772	0	0	0	0	0	0	0
A18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3251685	13594128	0	80.37380978381398	67816	16913629	0	0	0	0	0	0	0
A19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1826395	6076862	0	76.56882719899401	33213	7936470	0	0	0	0	0	0	0
A1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6208775	14480856	0	69.6798400614994	92357	20781988	0	0	0	0	0	0	0
A20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2044662	10138575	0	82.90905299483585	45313	12228550	0	0	0	0	0	0	0
A21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5422526	11337415	0	67.40157275280728	60757	16820698	0	0	0	0	0	0	0
A22_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5452887	11685852	0	67.93304156518873	63276	17202015	0	0	0	0	0	0	0
A23_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6114703	9788756	0	61.34298552203029	53958	15957417	0	0	0	0	0	0	0
A24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5474419	10383250	0	65.25795093333655	53419	15911088	0	0	0	0	0	0	0
A2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3461411	10460903	0	74.79384135178985	64002	13986316	0	0	0	0	0	0	0
A3_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3245706	10266473	0	75.7026431584879	49399	13561578	0	0	0	0	0	0	0
A4_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3583036	7433934	0	67.19477492262229	46292	11063262	0	0	0	0	0	0	0
A5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2025191	13916105	0	87.197656032405	17969	15959265	0	0	0	0	0	0	0
A6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6199071	9433412	0	60.21717195155184	33168	15665651	0	0	0	0	0	0	0
A7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3168656	9695294	0	75.25430838226073	19424	12883374	0	0	0	0	0	0	0
A8_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4609862	5575439	0	54.658567705359104	15184	10200485	0	0	0	0	0	0	0
A9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5033642	16697797	0	76.38541277970299	128490	21859929	0	0	0	0	0	0	0
B10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3074849	8850172	0	73.69179210958598	84691	12009712	0	0	0	0	0	0	0
B11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3807715	12416581	0	76.0253543959102	107862	16332158	0	0	0	0	0	0	0
B12_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4441686	12901892	0	73.9424965332359	104970	17448548	0	0	0	0	0	0	0
B13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5441634	7728579	0	58.53186009903776	33842	13204055	0	0	0	0	0	0	0
B14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5894384	13459027	0	69.33025888584812	59508	19412919	0	0	0	0	0	0	0
B15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5837342	15537260	0	72.4416309589378	73369	21447971	0	0	0	0	0	0	0
B16_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5531078	11711508	0	67.6902315863796	59036	17301622	0	0	0	0	0	0	0
B17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3530821	15857319	0	81.4809545119126	73241	19461381	0	0	0	0	0	0	0
B18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2924660	12474097	0	80.69322014031222	59911	15458668	0	0	0	0	0	0	0
B19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4279780	16410027	0	79.01022451288905	79691	20769498	0	0	0	0	0	0	0
B1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2315404	7435862	0	75.89388498882748	46443	9797709	0	0	0	0	0	0	0
B20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2831777	8985291	0	75.7381512195344	46558	11863626	0	0	0	0	0	0	0
B21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5452829	12925823	0	70.08596628323272	64160	18442812	0	0	0	0	0	0	0
