Sample	Unassigned_Duplicate	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_FragmentLength	Assigned	Unassigned_NonSplit	Unassigned_MappingQuality	Unassigned_Singleton	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Overlapping_Length	percent_assigned	Total	Unassigned_Ambiguity
A10_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13078915	0	0	0	0	0	3635334	0	77.86447765985213	16797024	82775
A11_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11801904	0	0	0	0	0	4268799	0	73.06154572175112	16153373	82670
A12_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14076674	0	0	0	0	0	3968623	0	77.62253279306755	18134778	89481
A13_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14342167	0	0	0	0	0	4123712	0	77.33848593692959	18544670	78791
A14_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14334750	0	0	0	0	0	4538381	0	75.60637794565423	18959710	86579
A15_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12567163	0	0	0	0	0	2287169	0	84.29424191335453	14908685	54353
A16_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12851579	0	0	0	0	0	3388949	0	78.60007410128341	16350594	110066
A17_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14920610	0	0	0	0	0	4157198	0	77.77852552853221	19183457	105649
A18_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13183278	0	0	0	0	0	5216992	0	71.08121122676638	18546783	146513
A19_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	8461092	0	0	0	0	0	2904883	0	73.9915816142932	11435209	69234
A1_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	20535143	0	0	0	0	0	3791648	0	84.1096667732144	24414724	87933
A20_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14872616	0	0	0	0	0	4415463	0	76.62041709413545	19410774	122695
A21_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14805303	0	0	0	0	0	2883711	0	83.21850202005197	17790879	101865
A23_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	17129608	0	0	0	0	0	2866130	0	85.2838226428304	20085413	89675
A24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12431366	0	0	0	0	0	2559195	0	82.48432472401309	15071186	80625
A2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16548458	0	0	0	0	0	3199151	0	83.50631853549271	19817013	69404
A3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	19058160	0	0	0	0	0	3281727	0	85.02466287879278	22414861	74974
A4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15291749	0	0	0	0	0	2914195	0	83.69359148439304	18271111	65167
A5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	15452611	0	0	0	0	0	2857139	0	84.08124979017248	18378189	68439
A6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	21388520	0	0	0	0	0	1958347	0	91.26749062576621	23434982	88115
