Sample	Assigned	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_MappingQuality	Unassigned_Secondary	Unassigned_FragmentLength	Unassigned_NonSplit	percent_assigned	Unassigned_Read_Type	Total	Unassigned_Ambiguity	Unassigned_Chimera	Unassigned_NoFeatures	Unassigned_Singleton	Unassigned_Overlapping_Length	Unassigned_Unmapped
A10_ME_UniquelyMapped	23771426	0	0	0	0	0	0	75.67196943506957	0	31413780	229321	0	7413033	0	0	0
A11_ME_UniquelyMapped	34150134	0	0	0	0	0	0	74.89377352277545	0	45598095	292409	0	11155552	0	0	0
A12_ME_UniquelyMapped	22478577	0	0	0	0	0	0	74.08426154902727	0	30341906	197468	0	7665861	0	0	0
A13_ME_UniquelyMapped	20607566	0	0	0	0	0	0	67.73525711475122	0	30423692	92999	0	9723127	0	0	0
A14_ME_UniquelyMapped	18791590	0	0	0	0	0	0	66.56707365262587	0	28229557	89252	0	9348715	0	0	0
A15_ME_UniquelyMapped	21711367	0	0	0	0	0	0	66.34357961854323	0	32725649	93495	0	10920787	0	0	0
A17_ME_UniquelyMapped	23218312	0	0	0	0	0	0	81.88535372212918	0	28354658	103474	0	5032872	0	0	0
A18_ME_UniquelyMapped	25888772	0	0	0	0	0	0	80.34533061778683	0	32221875	130442	0	6202661	0	0	0
A19_ME_UniquelyMapped	13698985	0	0	0	0	0	0	76.60098270126596	0	17883563	74628	0	4109950	0	0	0
A1_ME_UniquelyMapped	27868505	0	0	0	0	0	0	69.71425353730012	0	39975333	176505	0	11930323	0	0	0
A20_ME_UniquelyMapped	19556839	0	0	0	0	0	0	82.90320626561284	0	23589967	87030	0	3946098	0	0	0
A21_ME_UniquelyMapped	21937270	0	0	0	0	0	0	67.44123681592617	0	32527977	117198	0	10473509	0	0	0
A22_ME_UniquelyMapped	22402371	0	0	0	0	0	0	67.92126708751566	0	32982852	121310	0	10459171	0	0	0
A23_ME_UniquelyMapped	18853114	0	0	0	0	0	0	61.36710620608338	0	30721856	102368	0	11766374	0	0	0
A24_ME_UniquelyMapped	20130380	0	0	0	0	0	0	65.20496289476844	0	30872466	104207	0	10637879	0	0	0
A2_ME_UniquelyMapped	20359378	0	0	0	0	0	0	74.79996093823766	0	27218434	124561	0	6734495	0	0	0
A3_ME_UniquelyMapped	19833090	0	0	0	0	0	0	75.7067197663573	0	26197265	93785	0	6270390	0	0	0
A4_ME_UniquelyMapped	14425249	0	0	0	0	0	0	67.18617019963567	0	21470563	88725	0	6956589	0	0	0
A5_ME_UniquelyMapped	26867634	0	0	0	0	0	0	87.16648139049109	0	30823355	34676	0	3921045	0	0	0
A6_ME_UniquelyMapped	18220399	0	0	0	0	0	0	60.224137299035675	0	30254313	65003	0	11968911	0	0	0
A7_ME_UniquelyMapped	18565121	0	0	0	0	0	0	75.28877813172308	0	24658550	37570	0	6055859	0	0	0
A8_ME_UniquelyMapped	10779204	0	0	0	0	0	0	54.662278553882246	0	19719639	29694	0	8910741	0	0	0
A9_ME_UniquelyMapped	32249812	0	0	0	0	0	0	76.41580534494355	0	42203065	247562	0	9705691	0	0	0
B10_ME_UniquelyMapped	17150131	0	0	0	0	0	0	73.67846756144436	0	23276992	164884	0	5961977	0	0	0
B11_ME_UniquelyMapped	23982597	0	0	0	0	0	0	76.01353934089262	0	31550428	208369	0	7359462	0	0	0
B12_ME_UniquelyMapped	24686031	0	0	0	0	0	0	73.98389750854459	0	33366762	201746	0	8478985	0	0	0
B13_ME_UniquelyMapped	14946889	0	0	0	0	0	0	58.58038531341562	0	25515177	64698	0	10503590	0	0	0
B14_ME_UniquelyMapped	25749428	0	0	0	0	0	0	69.33537403764738	0	37137505	113625	0	11274452	0	0	0
B15_ME_UniquelyMapped	29656608	0	0	0	0	0	0	72.48689073983802	0	40913064	140107	0	11116349	0	0	0
B16_ME_UniquelyMapped	22456087	0	0	0	0	0	0	67.68295696940667	0	33178348	112243	0	10610018	0	0	0
B17_ME_UniquelyMapped	30279633	0	0	0	0	0	0	81.52743830037463	0	37140420	142000	0	6718787	0	0	0
B18_ME_UniquelyMapped	24015840	0	0	0	0	0	0	80.74418554610277	0	29743120	116354	0	5610926	0	0	0
B19_ME_UniquelyMapped	31396020	0	0	0	0	0	0	79.04490173548716	0	39719222	152245	0	8170957	0	0	0
B1_ME_UniquelyMapped	14231352	0	0	0	0	0	0	75.858928803111	0	18760286	87730	0	4441204	0	0	0
B20_ME_UniquelyMapped	17428549	0	0	0	0	0	0	75.7457777448635	0	23009268	89955	0	5490764	0	0	0
B21_ME_UniquelyMapped	24599608	0	0	0	0	0	0	70.04855866244532	0	35117936	123312	0	10395016	0	0	0
B22_ME_UniquelyMapped	21204684	0	0	0	0	0	0	64.67258637807593	0	32787747	124501	0	11458562	0	0	0
B23_ME_UniquelyMapped	22636508	0	0	0	0	0	0	64.7094359682684	0	34981773	133089	0	12212176	0	0	0
B24_ME_UniquelyMapped	22300939	0	0	0	0	0	0	64.76155393306783	0	34435460	112565	0	12021956	0	0	0
B2_ME_UniquelyMapped	24907785	0	0	0	0	0	0	77.06324797600487	0	32321224	153813	0	7259626	0	0	0
B4_ME_UniquelyMapped	24345539	0	0	0	0	0	0	86.14477358721363	0	28261191	139678	0	3775974	0	0	0
B5_ME_UniquelyMapped	21486655	0	0	0	0	0	0	87.29365892612816	0	24614222	42628	0	3084939	0	0	0
B6_ME_UniquelyMapped	15119332	0	0	0	0	0	0	77.52195257713173	0	19503291	32019	0	4351940	0	0	0
B7_ME_UniquelyMapped	17606479	0	0	0	0	0	0	66.903268887775	0	26316321	75808	0	8634034	0	0	0
B8_ME_UniquelyMapped	9248361	0	0	0	0	0	0	57.106615581457945	0	16194903	39817	0	6906725	0	0	0
B9_ME_UniquelyMapped	22370858	0	0	0	0	0	0	75.27479124075958	0	29718924	210770	0	7137296	0	0	0
C10_ME_UniquelyMapped	24862956	0	0	0	0	0	0	74.5936688485271	0	33331188	208680	0	8259552	0	0	0
C11_ME_UniquelyMapped	19059404	0	0	0	0	0	0	73.75245618643996	0	25842399	190121	0	6592874	0	0	0
C12_ME_UniquelyMapped	22382494	0	0	0	0	0	0	75.28485566981979	0	29730407	191048	0	7156865	0	0	0
C13_ME_UniquelyMapped	17303843	0	0	0	0	0	0	62.349535880170194	0	27752962	80657	0	10368462	0	0	0
C14_ME_UniquelyMapped	20406995	0	0	0	0	0	0	61.6063127723711	0	33124844	94468	0	12623381	0	0	0
C15_ME_UniquelyMapped	23708341	0	0	0	0	0	0	68.7093134731844	0	34505280	115707	0	10681232	0	0	0
C16_ME_UniquelyMapped	22187906	0	0	0	0	0	0	69.43041441164719	0	31957041	101880	0	9667255	0	0	0
C17_ME_UniquelyMapped	29729709	0	0	0	0	0	0	79.13329797808585	0	37569152	153183	0	7686260	0	0	0
C18_ME_UniquelyMapped	21025507	0	0	0	0	0	0	72.53246452402826	0	28987719	114250	0	7847962	0	0	0
C19_ME_UniquelyMapped	31061086	0	0	0	0	0	0	80.47468246450876	0	38597339	159318	0	7376935	0	0	0
C1_ME_UniquelyMapped	17524447	0	0	0	0	0	0	67.43165369796084	0	25988458	123530	0	8340481	0	0	0
C20_ME_UniquelyMapped	19173348	0	0	0	0	0	0	83.19849965101352	0	23045305	74994	0	3796963	0	0	0
C21_ME_UniquelyMapped	21747093	0	0	0	0	0	0	66.95511501855582	0	32480107	121068	0	10611946	0	0	0
C22_ME_UniquelyMapped	19692159	0	0	0	0	0	0	58.83303414134788	0	33471262	108889	0	13670214	0	0	0
C23_ME_UniquelyMapped	19116305	0	0	0	0	0	0	62.467881805960914	0	30601814	116338	0	11369171	0	0	0
C24_ME_UniquelyMapped	21903097	0	0	0	0	0	0	70.75346697882516	0	30956924	111424	0	8942403	0	0	0
C2_ME_UniquelyMapped	24412233	0	0	0	0	0	0	75.74977740259745	0	32227465	132149	0	7683083	0	0	0
C3_ME_UniquelyMapped	25644589	0	0	0	0	0	0	76.06361897546165	0	33714658	154136	0	7915933	0	0	0
C4_ME_UniquelyMapped	13560997	0	0	0	0	0	0	70.29320634489501	0	19292045	81103	0	5649945	0	0	0
C5_ME_UniquelyMapped	14782924	0	0	0	0	0	0	82.52270809626006	0	17913765	29541	0	3101300	0	0	0
C6_ME_UniquelyMapped	15794645	0	0	0	0	0	0	84.71754925796593	0	18643888	33820	0	2815423	0	0	0
C7_ME_UniquelyMapped	18919407	0	0	0	0	0	0	72.7415771783296	0	26009069	41042	0	7048620	0	0	0
C8_ME_UniquelyMapped	20102915	0	0	0	0	0	0	94.5232028807623	0	21267704	26862	0	1137927	0	0	0
C9_ME_UniquelyMapped	39827674	0	0	0	0	0	0	75.48199671036198	0	52764468	380984	0	12555810	0	0	0
D10_ME_UniquelyMapped	19178056	0	0	0	0	0	0	75.45710670645603	0	25415838	187762	0	6050020	0	0	0
D11_ME_UniquelyMapped	25408834	0	0	0	0	0	0	73.13889315943804	0	34740523	194837	0	9136852	0	0	0
D12_ME_UniquelyMapped	15739737	0	0	0	0	0	0	74.6806742876073	0	21076051	157703	0	5178611	0	0	0
D13_ME_UniquelyMapped	17082931	0	0	0	0	0	0	55.78945185490961	0	30620360	83046	0	13454383	0	0	0
D14_ME_UniquelyMapped	24033759	0	0	0	0	0	0	66.48134191309185	0	36151134	116981	0	12000394	0	0	0
D15_ME_UniquelyMapped	18153011	0	0	0	0	0	0	62.84117835601997	0	28887127	99013	0	10635103	0	0	0
D16_ME_UniquelyMapped	19859880	0	0	0	0	0	0	71.21955802725653	0	27885430	90812	0	7934738	0	0	0
D17_ME_UniquelyMapped	23651252	0	0	0	0	0	0	82.35008646997726	0	28720373	129996	0	4939125	0	0	0
D18_ME_UniquelyMapped	35306174	0	0	0	0	0	0	83.34268079549402	0	42362657	159320	0	6897163	0	0	0
D19_ME_UniquelyMapped	21202878	0	0	0	0	0	0	74.06794734888985	0	28626253	125728	0	7297647	0	0	0
D1_ME_UniquelyMapped	24102997	0	0	0	0	0	0	79.6637122045166	0	30255930	149199	0	6003734	0	0	0
D20_ME_UniquelyMapped	15749675	0	0	0	0	0	0	81.37525783572069	0	19354378	76709	0	3527994	0	0	0
D21_ME_UniquelyMapped	25572456	0	0	0	0	0	0	66.90719897320787	0	38220784	140248	0	12508080	0	0	0
D23_ME_UniquelyMapped	25008786	0	0	0	0	0	0	67.78824753317136	0	36892510	138488	0	11745236	0	0	0
D24_ME_UniquelyMapped	21742280	0	0	0	0	0	0	64.07364195142189	0	33933267	128771	0	12062216	0	0	0
D2_ME_UniquelyMapped	21624651	0	0	0	0	0	0	78.95541811228915	0	27388432	117514	0	5646267	0	0	0
D3_ME_UniquelyMapped	6445138	0	0	0	0	0	0	65.41628990092563	0	9852497	47610	0	3359749	0	0	0
D4_ME_UniquelyMapped	22102847	0	0	0	0	0	0	75.81017779346986	0	29155514	122141	0	6930526	0	0	0
D5_ME_UniquelyMapped	16039480	0	0	0	0	0	0	73.38649146065129	0	21856175	42947	0	5773748	0	0	0
D6_ME_UniquelyMapped	19896774	0	0	0	0	0	0	81.99656168525887	0	24265376	45814	0	4322788	0	0	0
D7_ME_UniquelyMapped	19843664	0	0	0	0	0	0	79.34281731426813	0	25010032	46548	0	5119820	0	0	0
D8_ME_UniquelyMapped	16262572	0	0	0	0	0	0	76.56090817571311	0	21241352	56538	0	4922242	0	0	0
D9_ME_UniquelyMapped	22128000	0	0	0	0	0	0	74.72282098369986	0	29613443	233231	0	7252212	0	0	0
E10_ME_UniquelyMapped	27945681	0	0	0	0	0	0	79.40101019376728	0	35195624	203554	0	7046389	0	0	0
E11_ME_UniquelyMapped	30238446	0	0	0	0	0	0	76.84383605033285	0	39350516	220759	0	8891311	0	0	0
E12_ME_UniquelyMapped	27834852	0	0	0	0	0	0	76.84306949540847	0	36222983	248512	0	8139619	0	0	0
E13_ME_UniquelyMapped	14478426	0	0	0	0	0	0	56.836243419351206	0	25473932	66474	0	10929032	0	0	0
E14_ME_UniquelyMapped	19389282	0	0	0	0	0	0	71.1876840085283	0	27236849	96032	0	7751535	0	0	0
E15_ME_UniquelyMapped	22030459	0	0	0	0	0	0	69.87277710560066	0	31529388	113756	0	9385173	0	0	0
E16_ME_UniquelyMapped	18550698	0	0	0	0	0	0	65.98617501144577	0	28113007	96657	0	9465652	0	0	0
E17_ME_UniquelyMapped	26099029	0	0	0	0	0	0	83.53705931441498	0	31242456	129363	0	5014064	0	0	0
E18_ME_UniquelyMapped	20765825	0	0	0	0	0	0	80.12440106833435	0	25916980	97949	0	5053206	0	0	0
E19_ME_UniquelyMapped	26307035	0	0	0	0	0	0	80.96423171995689	0	32492169	131146	0	6053988	0	0	0
E1_ME_UniquelyMapped	14878370	0	0	0	0	0	0	73.37472226252466	0	20277242	99302	0	5299570	0	0	0
E20_ME_UniquelyMapped	17347206	0	0	0	0	0	0	78.85624482266283	0	21998519	92594	0	4558719	0	0	0
E21_ME_UniquelyMapped	24027336	0	0	0	0	0	0	60.761358228375606	0	39543777	137834	0	15378607	0	0	0
E22_ME_UniquelyMapped	21539130	0	0	0	0	0	0	66.79504402929439	0	32246599	126043	0	10581426	0	0	0
E23_ME_UniquelyMapped	16788675	0	0	0	0	0	0	66.52531991436696	0	25236519	88245	0	8359599	0	0	0
E24_ME_UniquelyMapped	18731576	0	0	0	0	0	0	62.94616777798359	0	29758088	114827	0	10911685	0	0	0
E2_ME_UniquelyMapped	21234415	0	0	0	0	0	0	82.57052488964273	0	25716701	98340	0	4383946	0	0	0
E3_ME_UniquelyMapped	22297500	0	0	0	0	0	0	80.03654670272041	0	27859148	140803	0	5420845	0	0	0
E4_ME_UniquelyMapped	21911677	0	0	0	0	0	0	79.52829429909613	0	27552052	124127	0	5516248	0	0	0
E5_ME_UniquelyMapped	21396728	0	0	0	0	0	0	86.73307923410924	0	24669628	53644	0	3219256	0	0	0
E6_ME_UniquelyMapped	19464695	0	0	0	0	0	0	83.03191401777273	0	23442426	55404	0	3922327	0	0	0
E7_ME_UniquelyMapped	7140908	0	0	0	0	0	0	53.802396418692766	0	13272472	20558	0	6111006	0	0	0
E8_ME_UniquelyMapped	12521364	0	0	0	0	0	0	68.6228177361672	0	18246648	42382	0	5682902	0	0	0
E9_ME_UniquelyMapped	29847623	0	0	0	0	0	0	76.53957512460083	0	38996327	229304	0	8919400	0	0	0
F10_ME_UniquelyMapped	22874627	0	0	0	0	0	0	72.40804795576956	0	31591277	204092	0	8512558	0	0	0
F11_ME_UniquelyMapped	23533316	0	0	0	0	0	0	74.39653799143679	0	31632273	201463	0	7897494	0	0	0
F12_ME_UniquelyMapped	17804067	0	0	0	0	0	0	76.0226998042521	0	23419409	163473	0	5451869	0	0	0
F13_ME_UniquelyMapped	22132819	0	0	0	0	0	0	67.8485785632605	0	32620903	110391	0	10377693	0	0	0
F14_ME_UniquelyMapped	18218620	0	0	0	0	0	0	70.09697431309189	0	25990594	85300	0	7686674	0	0	0
F15_ME_UniquelyMapped	17012511	0	0	0	0	0	0	62.93773047634018	0	27030703	79826	0	9938366	0	0	0
F16_ME_UniquelyMapped	17556126	0	0	0	0	0	0	70.04974110390434	0	25062371	85391	0	7420854	0	0	0
F17_ME_UniquelyMapped	28016985	0	0	0	0	0	0	79.49470260603563	0	35243839	142880	0	7083974	0	0	0
F18_ME_UniquelyMapped	21424299	0	0	0	0	0	0	74.52786055636722	0	28746698	119387	0	7203012	0	0	0
F19_ME_UniquelyMapped	23055280	0	0	0	0	0	0	82.34222957906256	0	27999339	97875	0	4846184	0	0	0
F1_ME_UniquelyMapped	11127174	0	0	0	0	0	0	73.05860959302913	0	15230476	63595	0	4039707	0	0	0
F20_ME_UniquelyMapped	19703759	0	0	0	0	0	0	81.22024021270532	0	24259666	107987	0	4447920	0	0	0
F21_ME_UniquelyMapped	18421456	0	0	0	0	0	0	65.65240880569424	0	28059071	105766	0	9531849	0	0	0
F22_ME_UniquelyMapped	24062862	0	0	0	0	0	0	72.03674982019898	0	33403592	120872	0	9219858	0	0	0
F23_ME_UniquelyMapped	21900669	0	0	0	0	0	0	66.60508874704905	0	32881375	125611	0	10855095	0	0	0
F24_ME_UniquelyMapped	19852730	0	0	0	0	0	0	64.04031669049543	0	31000362	116248	0	11031384	0	0	0
F2_ME_UniquelyMapped	21739093	0	0	0	0	0	0	78.75051480678313	0	27605017	128728	0	5737196	0	0	0
F3_ME_UniquelyMapped	20447853	0	0	0	0	0	0	68.94253867146894	0	29659269	147381	0	9064035	0	0	0
F5_ME_UniquelyMapped	11859853	0	0	0	0	0	0	69.56519163365554	0	17048545	27144	0	5161548	0	0	0
F6_ME_UniquelyMapped	11898099	0	0	0	0	0	0	62.53635637878931	0	19025891	36370	0	7091422	0	0	0
F7_ME_UniquelyMapped	20180897	0	0	0	0	0	0	85.79260275322498	0	23522887	47053	0	3294937	0	0	0
F9_ME_UniquelyMapped	21802243	0	0	0	0	0	0	72.56319662446774	0	30045869	239066	0	8004560	0	0	0
G10_ME_UniquelyMapped	24715280	0	0	0	0	0	0	75.13198639000169	0	32895816	225295	0	7955241	0	0	0
G11_ME_UniquelyMapped	25136237	0	0	0	0	0	0	75.41374335909435	0	33331109	228847	0	7966025	0	0	0
G13_ME_UniquelyMapped	17656195	0	0	0	0	0	0	65.24290816386106	0	27062244	90047	0	9316002	0	0	0
G14_ME_UniquelyMapped	19148764	0	0	0	0	0	0	61.456786751564884	0	31158095	101989	0	11907342	0	0	0
G15_ME_UniquelyMapped	17914628	0	0	0	0	0	0	66.26606092964393	0	27034394	90379	0	9029387	0	0	0
G16_ME_UniquelyMapped	22412973	0	0	0	0	0	0	70.8837000216418	0	31619361	105222	0	9101166	0	0	0
G17_ME_UniquelyMapped	32035470	0	0	0	0	0	0	79.78681157176966	0	40151335	160915	0	7954950	0	0	0
G18_ME_UniquelyMapped	20935708	0	0	0	0	0	0	81.32531344341797	0	25743163	104453	0	4703002	0	0	0
G19_ME_UniquelyMapped	24183606	0	0	0	0	0	0	77.3976467134796	0	31245919	129133	0	6933180	0	0	0
G1_ME_UniquelyMapped	11707302	0	0	0	0	0	0	75.51123567495544	0	15504053	61558	0	3735193	0	0	0
G20_ME_UniquelyMapped	23486437	0	0	0	0	0	0	80.00880877664564	0	29354814	119919	0	5748458	0	0	0
G21_ME_UniquelyMapped	25180266	0	0	0	0	0	0	63.63536723347456	0	39569609	150647	0	14238696	0	0	0
G22_ME_UniquelyMapped	20640055	0	0	0	0	0	0	67.41824416445043	0	30614940	124213	0	9850672	0	0	0
G23_ME_UniquelyMapped	27935726	0	0	0	0	0	0	66.61385069962279	0	41936813	162327	0	13838760	0	0	0
G24_ME_UniquelyMapped	13965217	0	0	0	0	0	0	61.14995241631169	0	22837658	80093	0	8792348	0	0	0
G2_ME_UniquelyMapped	18946478	0	0	0	0	0	0	75.17681143134847	0	25202556	120722	0	6135356	0	0	0
G3_ME_UniquelyMapped	9159376	0	0	0	0	0	0	59.67327697472879	0	15349209	61728	0	6128105	0	0	0
G5_ME_UniquelyMapped	22424924	0	0	0	0	0	0	75.04200777153395	0	29883161	122660	0	7335577	0	0	0
G6_ME_UniquelyMapped	14339191	0	0	0	0	0	0	67.34394356165204	0	21292473	38600	0	6914682	0	0	0
G7_ME_UniquelyMapped	23015490	0	0	0	0	0	0	92.05177539157067	0	25002766	31963	0	1955313	0	0	0
G9_ME_UniquelyMapped	25612397	0	0	0	0	0	0	73.18366764271951	0	34997422	221692	0	9163333	0	0	0
H10_ME_UniquelyMapped	22349020	0	0	0	0	0	0	78.75856400384795	0	28376622	175414	0	5852188	0	0	0
H11_ME_UniquelyMapped	24004294	0	0	0	0	0	0	74.5751962530182	0	32188040	228739	0	7955007	0	0	0
H13_ME_UniquelyMapped	19310672	0	0	0	0	0	0	69.75577802294802	0	27683258	97417	0	8275169	0	0	0
H14_ME_UniquelyMapped	17127895	0	0	0	0	0	0	61.988410615080944	0	27630802	76270	0	10426637	0	0	0
H15_ME_UniquelyMapped	18668086	0	0	0	0	0	0	68.02678307204957	0	27442259	90605	0	8683568	0	0	0
H17_ME_UniquelyMapped	25719029	0	0	0	0	0	0	81.88542058777168	0	31408557	117990	0	5571538	0	0	0
H18_ME_UniquelyMapped	26301807	0	0	0	0	0	0	77.70670187552774	0	33847540	142333	0	7403400	0	0	0
H19_ME_UniquelyMapped	24932469	0	0	0	0	0	0	78.1141991692267	0	31917973	123078	0	6862426	0	0	0
H1_ME_UniquelyMapped	29775586	0	0	0	0	0	0	88.43745570788907	0	33668524	110675	0	3782263	0	0	0
H21_ME_UniquelyMapped	24578869	0	0	0	0	0	0	66.61615115959853	0	36896261	132735	0	12184657	0	0	0
