"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.348422206109553,0.121653644746969,0.051288649828437,0.825258285420492,21,0.809447471907749,0.979226875650529,"Bone"
"2","aaas",-0.25203625002691,0.270389807652257,-0.208862239740847,0.363562665427594,21,0.901076553593118,0.88551191438451,"Bone"
"3","aacs",0.221427196406071,0.334735513413819,0.322878535907446,0.153411665172616,21,0.911224311794102,0.84458723366499,"Bone"
"4","aadat",0.458484547852571,0.0365846527997007,0.355864062788216,0.113363292806847,21,0.684095291217497,0.84458723366499,"Bone"
"5","aaed1",0.171280448984696,0.457871677086198,0.161086398023084,0.485448918737752,21,0.933298953682604,0.920553411884708,"Bone"
"6","aagab",0.107457315902946,0.642916727811114,0.173869231764177,0.450999591614973,21,0.961372455373509,0.911344763002717,"Bone"
"7","aak1",0.210355836585768,0.360063393777128,0.243146829946327,0.288211533790676,21,0.918037691717561,0.872579513780889,"Bone"
"8","aamdc",0.300229228068232,0.186058702778001,0.271777628073183,0.233349648357444,21,0.860681650341081,0.862778024538351,"Bone"
"9","aamp",-0.0618693637016964,0.78991954707353,-0.0624685825086816,0.787929354101775,21,0.977590116322304,0.975895581380837,"Bone"
"10","aar2",-0.0644743895417678,0.781276755234354,0.0198889570366441,0.931808458110945,21,0.977363803465116,0.994625383103418,"Bone"
"11","aars",0.235103582066446,0.304948469219784,0.115479964039681,0.618156687324182,21,0.903931252608015,0.948507025464494,"Bone"
"12","aars2",0.339955872129321,0.131604434923162,0.288086463254838,0.205371701795587,21,0.818320617290474,0.849673743112233,"Bone"
"13","aarsd1",-0.250733737106875,0.272956699923738,-0.268168281064946,0.239860961630492,21,0.901076553593118,0.862778024538351,"Bone"
"14","aasdh",-0.214263375345875,0.351000972191396,-0.297627155059491,0.190089404314523,21,0.917117799110755,0.845565775073478,"Bone"
"15","aasdhppt",0.296321689308125,0.192133693825224,0.326173994608653,0.149019176263655,21,0.865603809886219,0.84458723366499,"Bone"
"16","aass",-0.181049295884964,0.432223589327053,-0.281675848798527,0.216088357196488,21,0.932295333953395,0.85589087766401,"Bone"
"17","aatf",-0.351678488409642,0.117974189742834,-0.265498960045646,0.244751360562932,21,0.806384142601737,0.864091778026237,"Bone"
"18","aatk",0.112667367583089,0.626793598572686,0.213262403742144,0.353309683352861,21,0.958420358363799,0.88394756168357,"Bone"
"19","abat",0.403779005211071,0.0694879967419049,0.355090592315984,0.114205381739282,21,0.729499505921741,0.84458723366499,"Bone"
"20","abca12",0.263107609847214,0.249186672993238,0.257736436598214,0.259335707343983,21,0.89247748501899,0.867220993892369,"Bone"
"21","abca3",0.373169951590232,0.0956768119653745,0.41609307096864,0.0606377044540787,21,0.77854913208971,0.828272791498237,"Bone"
"22","abca5",-0.119831188643286,0.604890257205015,-0.178421923182866,0.439045457545138,21,0.954921396800523,0.905964447506253,"Bone"
"23","abcb1",0.0221427196406071,0.924101536593157,0.0986302739279756,0.670585756231722,21,0.990565195362371,0.95735810437266,"Bone"
"24","abcb10",-0.353632257789696,0.115805372601891,-0.241285302262513,0.292033493155992,21,0.806384142601737,0.872750558719242,"Bone"
"25","abcb6",-0.145881447044,0.528061816551386,-0.042054405550192,0.85637052706328,21,0.94560027925847,0.985697028531203,"Bone"
"26","abcb7",-0.332792051069125,0.140465852051419,-0.166091343448851,0.471807348652751,21,0.825589638531642,0.915577724755818,"Bone"
