"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",0.207510793209374,0.280081406735781,0.111522451253138,0.564648299798758,29,0.689010696027749,0.838607970570401,"Bone"
"2","aaas",-0.243168820562386,0.195377351804752,-0.276368866277632,0.139305289385062,30,0.618502869254218,0.529555529855302,"Bone"
"3","aacs",0.143447295065701,0.449510229577328,0.187247884037276,0.321773823857025,30,0.799981776952844,0.693775400493005,"Bone"
"4","aadat",0.304295661694582,0.102067564164071,0.295980073460137,0.112267775786641,30,0.504585977594638,0.493189641298961,"Bone"
"5","aaed1",-0.0791971846785753,0.677407569547949,-0.0841165955300827,0.658537471405784,30,0.901711111872004,0.881865664961591,"Bone"
"6","aagab",-0.215505578590151,0.252740347324154,-0.207743882666715,0.270642991950633,30,0.665668752543857,0.659864066558417,"Bone"
"7","aak1",-0.00803126379839073,0.966402668403961,-0.058175931023858,0.760090644866856,30,0.992399656163379,0.923639717427113,"Bone"
"8","aamdc",0.0593421158436649,0.755425314294477,0.0658200842259861,0.729667533414283,30,0.92917059049082,0.90928230939117,"Bone"
"9","aamp",-0.0236476100730394,0.901286177396344,0.0671533180750217,0.724400873832344,30,0.975894189351477,0.907258560761178,"Bone"
"10","aar2",0.180480344802725,0.339883295344938,0.187022704338405,0.322366628771075,30,0.73005891585157,0.69391089864856,"Bone"
"11","aars",0.357168148367321,0.0526696444676499,0.333927930390661,0.0713176710311531,30,0.396102838363953,0.428070244508372,"Bone"
"12","aars2",0.189627061906448,0.31555157953967,0.20375870743384,0.280146314072084,30,0.716242029090726,0.665247186717225,"Bone"
"13","aarsd1",-0.127161676807853,0.503097123041246,-0.153444760016066,0.418198570582679,30,0.826655849089024,0.758166550913455,"Bone"
"14","aasdh",-0.0408255909751529,0.830392303698993,-0.159259911475987,0.400559992311972,30,0.95506891683552,0.744981977343447,"Bone"
"15","aasdhppt",-0.0151701649525158,0.936583887145223,0.0832014127618801,0.662032869651569,30,0.985132737254389,0.882528185555019,"Bone"
"16","aass",-0.174679987614998,0.355885734607132,-0.0304777717337131,0.872977784341443,30,0.740883856175282,0.960459790827755,"Bone"
"17","aatf",-0.174010715631799,0.357760600833798,-0.0265997533642335,0.889034067173488,30,0.742837697247873,0.965657655647965,"Bone"
"18","aatk",0.150140014897693,0.428411980532933,0.10684604673561,0.574139340568077,30,0.787471885643641,0.842722351529337,"Bone"
"19","abat",0.303626389711383,0.102861748745746,0.176830018431423,0.349902480534476,30,0.505227006558177,0.712972703775832,"Bone"
"20","abca12",0.0903517177318957,0.634913969227907,0.0263478959566299,0.890078399276989,30,0.886469905616468,0.965951990870348,"Bone"
"21","abca3",0.304072571033516,0.102331778198814,0.120729512657106,0.525105083568587,30,0.504661609944259,0.817402530274356,"Bone"
"22","abca5",0.13541603126731,0.475545814916994,0.0748845090566401,0.694109706621229,30,0.812684465469792,0.894208482712586,"Bone"
"23","abcb1",0.352037063162794,0.0564124280940903,0.407725319600073,0.0253185482073897,30,0.407021579846922,0.311465711215416,"Bone"
"24","abcb10",0.282209686249008,0.130801339453251,0.162146836581862,0.391962857489465,30,0.542809197408112,0.741599547693169,"Bone"
"25","abcb6",-0.15036310555876,0.427718226788863,-0.0694577543300901,0.715326813489014,30,0.787148208191265,0.903513176165842,"Bone"
"26","abcb7",0.325489274495891,0.0792290027391077,0.295364415194527,0.113052092917887,30,0.462917583407142,0.494809676054854,"Bone"
"27","abcb9",0.157948188035018,0.404501344179477,-0.051977580747032,0.785022191365114,30,0.772378509638231,0.931565372926505,"Bone"
"28","abcc10",-0.0707197395580517,0.71037353458967,-0.183259444726953,0.332373253883606,30,0.913151524174547,0.701928980963005,"Bone"
"29","abcc2",-0.00825435445945714,0.965469952725761,-0.0370278978879953,0.845973256902534,30,0.99203955171889,0.951224674556355,"Bone"
"30","abcc4",-0.108868242600408,0.566871586335046,-0.0490004594103318,0.79707323042062,30,0.856408828933232,0.935739881857847,"Bone"
"31","abcc5",-0.0296710579218324,0.876313988876055,0.0166152090399319,0.930556956383803,30,0.969508358395767,0.979626884159421,"Bone"
"32","abcc8",-0.072504464846583,0.703388245730024,-0.259064396933138,0.166850593715323,30,0.910135109901841,0.562342590233377,"Bone"
"33","abcd2",0.115784053093466,0.54233681512596,0.165154576164265,0.383119537659524,30,0.844725321332789,0.735484713695248,"Bone"
"34","abcd3",0.285109864842871,0.126723104218323,0.223250964733825,0.235670886210506,30,0.540134660750233,0.632561426107393,"Bone"
"35","abcd4",0.353375607129192,0.0554164708876839,0.225434445554673,0.231001715796711,30,0.403666404905217,0.626340130942856,"Bone"
"36","abce1",-0.159732913323549,0.399144127405949,-0.250984275205983,0.180956701479165,30,0.769877753356318,0.576810050056308,"Bone"
"37","abcf1",-0.0745122807961807,0.695558013061666,-0.122512152024049,0.518959402514667,30,0.907532861232478,0.814436416761428,"Bone"
"38","abcf2",-0.235137556763995,0.211006299662214,-0.139991807249168,0.460617344744059,30,0.632533587963927,0.782197478075183,"Bone"
"39","abcf3",-0.165533270511276,0.382014358080315,0.054549075206745,0.774652040370159,30,0.759491827401559,0.928728024673572,"Bone"
"40","abcg4",0.200558504298702,0.287930949556689,0.147535888410942,0.436555763330671,30,0.693672568862016,0.768977026112052,"Bone"
"41","abhd10",-0.191857968517112,0.309785467983493,-0.154613874130715,0.414618126374318,30,0.712459721993294,0.754868799157434,"Bone"
"42","abhd12b",-0.0758508247625791,0.690354796174558,-0.165552349501926,0.38195872700622,30,0.905861064705679,0.734420468061922,"Bone"
"43","abhd13",0.0655886543535243,0.730582985247755,0.0806643543030682,0.671759042324728,30,0.919756294453966,0.886304211518389,"Bone"
"44","abhd14a",0.279309507655144,0.134974965837148,0.151646650127443,0.423738772279298,30,0.5490165407112,0.762412433884333,"Bone"
"45","abhd14b",-0.0162856182578479,0.931931280660801,0.0896592641992511,0.637520780983187,30,0.983456716107665,0.874183101329186,"Bone"
