"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.405748347958533,0.054738484773979,-0.291327221726328,0.177428825777989,23,0.23019118083284,0.444315326376141,"Brain"
"2","aaas",-0.727770846338322,8.29063069443723e-05,-0.735882571057672,6.27857598124191e-05,23,0.00387012051950584,0.0045391611047058,"Brain"
"3","aacs",-0.412684217154406,0.0503441913559203,-0.34654368218623,0.10524556103791,23,0.219841425227575,0.340771062110302,"Brain"
"4","aadat",-0.086202945720128,0.695731097655076,0.0144077978143863,0.947977207140325,23,0.858877509656057,0.980179359612712,"Brain"
"5","aaed1",-0.258608837160384,0.233464521435866,-0.291628213122082,0.176960961728126,23,0.507804986018752,0.443698537569482,"Brain"
"6","aagab",0.164974603016107,0.4519032758668,0.229997565501186,0.291080547720436,23,0.708844286246459,0.571376107493576,"Brain"
"7","aak1",0.103542618709809,0.638249293821121,-0.080784856635782,0.714048170152762,23,0.828842510736124,0.875070598829889,"Brain"
"8","aamdc",0.685164792706535,0.000309126275245342,0.624845140216829,0.00143461651264543,23,0.00955333763590004,0.0318094196344977,"Brain"
"9","aamp",-0.338866752141193,0.11371074171437,-0.299273850339226,0.165360782336635,23,0.346127270644774,0.42828699263754,"Brain"
"10","aar2",-0.0767899803828726,0.727652882058951,-0.163598337900396,0.455737675993982,23,0.876984630242691,0.706831064084222,"Brain"
"11","aars",-0.406739186415087,0.0540932187198984,-0.305019285894199,0.157000092129008,23,0.228924513542833,0.418201009835766,"Brain"
"12","aars2",-0.303196567705278,0.159619652819574,-0.311580220387964,0.147821008238158,23,0.416324976213179,0.405348967681412,"Brain"
"13","aarsd1",0.0411197959469576,0.85222162501143,0.0875191233971886,0.691305733847072,23,0.936695404087755,0.861835308897384,"Brain"
"14","aasdh",0.0510281805124896,0.81713964203564,0.143749558613029,0.512876481672518,23,0.921865724263745,0.748827945467963,"Brain"
"15","aasdhppt",0.14416699542849,0.511640332706351,0.163747497462601,0.455321286356469,23,0.749532502031997,0.70661424521692,"Brain"
"16","aass",-0.101065522568426,0.646347968174293,-0.0691725335884556,0.75381294990213,23,0.834059179757613,0.892665018907224,"Brain"
"17","aatf",-0.400794155675767,0.0580544054593765,-0.365085411010537,0.0867215005067448,23,0.237167997496833,0.307051762579221,"Brain"
"18","aatk",0.204112722049958,0.350207029032582,0.0902479163783524,0.682161960551972,23,0.625735721217567,0.85621908003847,"Brain"
"19","abat",0.738670069360407,5.69350863402387e-05,0.780185285549842,1.13108726175983e-05,23,0.00304861507767278,0.00150007639099353,"Brain"
"20","abca12",0.459253624612406,0.0274893333999166,0.436272229273926,0.0374163036187252,23,0.15300205410415,0.197028371356453,"Brain"
"21","abca3",-0.366610228924682,0.0853146073850807,-0.297107389534904,0.168592482232411,23,0.295028549040516,0.433573012608999,"Brain"
"22","abca5",-0.37998654808815,0.0736951005294534,-0.44342769188807,0.034062854925314,23,0.272341406754537,0.187247524769239,"Brain"
"23","abcb1",0.583603850909832,0.00346236194226178,0.612935418042384,0.00187322638294563,23,0.0444611120683696,0.0370684106174597,"Brain"
"24","abcb10",-0.129304418580192,0.55652049640222,-0.0624402303252119,0.777154257470519,23,0.778599934396455,0.905000358208095,"Brain"
"25","abcb6",-0.382463644229533,0.0716818308212818,-0.287695391822872,0.183141531134677,23,0.268367983553373,0.451692412048207,"Brain"
"26","abcb7",-0.226406587322405,0.298886781559295,-0.124183551223252,0.572384153565408,23,0.576916307229537,0.78991917740518,"Brain"
"27","abcb9",-0.0926433956877237,0.674170503852482,-0.130245997151363,0.553625413486413,23,0.848368638315308,0.776393734627374,"Brain"
"28","abcc10",-0.801588311351535,4.27139122728485e-06,-0.803059833934713,3.97784002896855e-06,23,0.000548326158446194,0.000780982592354159,"Brain"
"29","abcc2",-0.181818856777511,0.406369400354649,-0.252087362517433,0.245882364890258,23,0.672947458157794,0.524249489263279,"Brain"
"30","abcc4",-0.119891453242937,0.58583154502677,0.0826744803622516,0.707641918159885,23,0.796514530565965,0.871647007815835,"Brain"
"31","abcc5",0.0822395918939152,0.709114608880326,0.142639287332683,0.516171311124654,23,0.865581443218176,0.751269949889157,"Brain"
"32","abcc8",0.275453090921788,0.203323536091483,0.125614021157659,0.567932809401099,23,0.471814268107536,0.786870239453882,"Brain"
"33","abcd2",-0.152589122309192,0.487011757397641,-0.0802472113450715,0.715874349036414,23,0.734570870953164,0.875814661232644,"Brain"
"34","abcd3",-0.442904790079278,0.0342995559964679,-0.31335886048327,0.145399467650446,23,0.173674565963405,0.402061525006387,"Brain"
"35","abcd4",0.202131045136852,0.355005230303755,0.354878918894149,0.0965890934300326,23,0.630092594351059,0.326292150669558,"Brain"
"36","abce1",-0.380977386544704,0.072884718807752,-0.444655480231916,0.0335121536098637,23,0.270544833891389,0.185503665182495,"Brain"
"37","abcf1",-0.471143686091044,0.0232515356040298,-0.523999886561968,0.0102742786292709,23,0.13788429138475,0.0975826326030408,"Brain"
"38","abcf2",-0.425565117089597,0.0429141331083242,-0.430379830476071,0.0403686007961948,23,0.198658906525035,0.204219433234273,"Brain"
"39","abcf3",-0.37998654808815,0.0736951005294534,-0.413824997891449,0.049648444993595,23,0.272341406754537,0.228475043148767,"Brain"
"40","abcg4",0.576172562485683,0.00400947869954292,0.505579509275676,0.0138525703108223,23,0.0480226198786165,0.11549644307355,"Brain"
"41","abhd10",0.0559823727952555,0.799720852936006,-0.0414487384407743,0.851052224016402,23,0.913224029246534,0.939413430542209,"Brain"
"42","abhd11",0.0673770150456173,0.760018684704569,-0.010297332518812,0.962807068455374,23,0.893043136765458,0.985896321158016,"Brain"
"43","abhd12b",0.418629247893725,0.0467999761453757,0.505738212594279,0.0138178867032675,23,0.210374034183455,0.115394912059898,"Brain"
"44","abhd13",-0.297746956194235,0.167633912712956,-0.303476954449924,0.159214709154173,23,0.426832388555583,0.421003821008614,"Brain"
"45","abhd14a",-0.205598979734788,0.346633523139297,-0.18283025556731,0.40371893835654,23,0.622126091986697,0.667357118727491,"Brain"
"46","abhd14b",0.188259306745107,0.389656506339114,0.114768922620966,0.602055892217437,23,0.660341981547525,0.809622758609541,"Brain"
"47","abhd16a",-0.211544010474107,0.332555844674902,-0.248884228004968,0.252135735579318,23,0.610259630299605,0.531444048592235,"Brain"
"48","abhd17b",0.0267526383269363,0.903558378945093,-0.0792092152398622,0.719404287809544,23,0.959419941503416,0.876891344530236,"Brain"
"49","abhd18",0.125836483982256,0.567241930107894,0.156160118937353,0.476751607709472,23,0.785478280482692,0.721038994128015,"Brain"
"50","abhd2",0.102056361024979,0.643103772742979,0.154632588476716,0.48112701375215,23,0.832339956889478,0.724707605612727,"Brain"
"51","abhd3",-0.650485446727173,0.000777672101964218,-0.493040366126058,0.0168266833441695,23,0.0172848629455443,0.128397518431948,"Brain"
"52","abhd4",0.50086883978764,0.0149149083801848,0.599466156832766,0.00250173216414237,23,0.106826164242339,0.0432839851847768,"Brain"
"53","abhd5",0.26207677175832,0.227031935871971,0.14919694451743,0.496859407680624,23,0.500720434776662,0.737154133813319,"Brain"
"54","abhd8",0.558832889496002,0.00557378218521827,0.535186879502208,0.0085004949502407,23,0.0590584984344874,0.087805832868372,"Brain"
"55","abi1",0.149121187711256,0.497080449329898,0.113949223605535,0.604669392875863,23,0.740003945753831,0.81171603807037,"Brain"
"56","abi2",-0.0956159110573833,0.664301259580418,-0.148338078814189,0.499368229237472,23,0.843529073892426,0.739069407930649,"Brain"
"57","abi3bp",-0.0391381190338512,0.859272836739364,-0.0900553479843741,0.682805829994728,23,0.940368207472677,0.856597729215964,"Brain"
"58","abl1",-0.506813870526959,0.0135846743291666,-0.310195978945204,0.149725240646104,23,0.100982438053411,0.407945261112773,"Brain"
"59","abl2",-0.0753037226980428,0.732735010685728,-0.147574872730339,0.501602838549224,23,0.879036202240004,0.740357531518343,"Brain"
"60","ablim1",-0.251177548736235,0.247648222851354,-0.243025710832026,0.263836570535338,23,0.522812914908415,0.543579337607066,"Brain"
"61","ablim2",-0.0495419228276598,0.822382030774686,0.0448703365981329,0.838906760175797,23,0.924135713388354,0.934004935746957,"Brain"
"62","abr",-0.108496810992575,0.622172103550361,-0.229115585053935,0.292985957935244,23,0.818634595643859,0.572646573649346,"Brain"
"63","abracl",-0.632154935280938,0.00121142098881155,-0.623460210445514,0.00148062986434906,23,0.0230169987874195,0.0323701895889239,"Brain"
"64","abt1",0.216498202756873,0.321090018156937,0.182503955178412,0.404572988300795,23,0.599100782969424,0.668229573501736,"Brain"
"65","abtb1",-0.14119448005883,0.520474074994384,-0.0265949383293088,0.904124327103302,23,0.75561938711306,0.962265825604312,"Brain"
"66","abtb2",0.255636321790724,0.239072504789249,0.299940739323418,0.164374739436192,23,0.513202484822542,0.427201414565745,"Brain"
"67","acaa1",0.146148672341596,0.505791749630915,-0.0560379474816096,0.799525960509377,23,0.745820306171026,0.916293171864529,"Brain"
"68","acaa2",-0.147139510798149,0.50287973818329,-0.0670839520603647,0.761032950560935,23,0.744156479484118,0.896549553969839,"Brain"
"69","acaca",-0.587567204736045,0.00319724187718076,-0.649858634604641,0.000789922976501422,23,0.0424588632840994,0.0220320299824756,"Brain"
"70","acacb",0.468171170721385,0.0242581431657199,0.423863293308761,0.0438433300032595,23,0.141589500156429,0.213939212145535,"Brain"
"71","acad11",0.341839267510852,0.110376076707118,0.373095398326836,0.0795212235114946,23,0.340112526871325,0.294796746027618,"Brain"
"72","acad8",0.0559823727952555,0.799720852936006,0.111433037017074,0.612721181601481,23,0.913224029246534,0.816825614615315,"Brain"
"73","acad9",-0.271489737095576,0.21016650607049,-0.226861347352275,0.29789111361187,23,0.480017615256344,0.577643421099878,"Brain"
"74","acadl",-0.117414357101554,0.593653672387226,-0.0637834798220528,0.772481521031908,23,0.801598573476273,0.902659607761423,"Brain"
"75","acadm",0.105028876394639,0.63340914165972,0.258865404638792,0.232984564390432,23,0.825447482975049,0.510552714015618,"Brain"
"76","acads",-0.324995013749448,0.130248392210033,-0.304816742277675,0.157289681771497,23,0.371825274753829,0.418366737568867,"Brain"
"77","acadsb",0.397326221077831,0.0604659948483678,0.46008574611233,0.0271740133660049,23,0.24334646560157,0.165477373575424,"Brain"
"78","acadvl",-0.304682825390107,0.157481357143852,-0.230565492632826,0.289857706662612,23,0.412790792953243,0.570205347114486,"Brain"
"79","acan",0.617787777660917,0.00168245238906775,0.621838524394877,0.00153610207483328,23,0.0281007435725361,0.0328968126545236,"Brain"
"80","acap1",0.0609365650780215,0.782393897083564,0.0638439665059939,0.772271285595235,23,0.905154256672181,0.90256812170004,"Brain"
"81","acap2",0.440427693937895,0.0354385970514031,0.377314880342368,0.0759141895694501,23,0.177556503515486,0.287982110308356,"Brain"
"82","acat1",0.0322022498379788,0.884030709496762,0.0932684093429444,0.672090971082501,23,0.951601751686851,0.849992703856283,"Brain"
"83","acat2",-0.445877305448938,0.0329711498997781,-0.478704903111341,0.0208416625189164,23,0.169346049728894,0.143674744786169,"Brain"
"84","acbd3",-0.233837875746554,0.282874248073594,-0.148454847522547,0.499026771990475,23,0.560708669892288,0.738838202692237,"Brain"
"85","acbd4",-0.427546794002704,0.0418516364445131,-0.413893047396102,0.0496071797626137,23,0.195776891249199,0.228390685058631,"Brain"
"86","acbd5",0.494428389820044,0.016473927253289,0.547634940400385,0.00683252090827417,23,0.113175597658444,0.0780794419279562,"Brain"
"87","acbd6",0.435968920883406,0.037563992899304,0.52051349746768,0.0108856034381248,23,0.183835904643563,0.101167999933631,"Brain"
"88","accs",-0.210057752789277,0.336042740489325,-0.162060266987426,0.460042865396965,23,0.613957843357288,0.70906014180248,"Brain"
"89","ace",0.368096486609512,0.0839598056239042,0.366128619674507,0.0857571111139644,23,0.292159698944275,0.306044269041302,"Brain"
"90","ace2",0.19370891825615,0.375822692498261,0.0744528929779506,0.735649258352369,23,0.648142028933016,0.885236873438562,"Brain"
"91","acer2",0.186773049060277,0.393478506852761,0.225556036509612,0.300754524246954,23,0.663059624556832,0.58050971607976,"Brain"
"92","acer3",0.04805566514283,0.827631776849283,0.0932162677537276,0.67226436692187,23,0.925826944653322,0.850083109931008,"Brain"
"93","ache",-0.366114809696406,0.0857698250356164,-0.380478922774628,0.0732915513423195,23,0.295480219536084,0.282399734149491,"Brain"
"94","acin1",0.0629182419911279,0.775490542142579,-0.0637225140377741,0.772693437351138,23,0.901228737055901,0.90269272992614,"Brain"
"95","ackr3",0.0490465035993832,0.824131139098415,0.222310804106246,0.307946798874143,23,0.924285965030514,0.58612501047578,"Brain"
"96","acly",-0.0852121072635748,0.699068933522016,-0.138735839736551,0.527835256175235,23,0.860452025981063,0.758137878214329,"Brain"
"97","aco1",-0.28684773317215,0.184492819756412,-0.225350717948266,0.301206464572543,23,0.44838024374295,0.58094584027061,"Brain"
"98","aco2",-0.28684773317215,0.184492819756412,-0.260910780373763,0.229181498159903,23,0.44838024374295,0.506654481314334,"Brain"
"99","acod1",0.214516525843767,0.325647296068274,0.0818013075370831,0.710599819045024,23,0.603164331396899,0.873332583685848,"Brain"
"100","acot11",-0.0891754610897876,0.685750525441867,0.0608914662192102,0.782551190201539,23,0.853766864936203,0.907485675776016,"Brain"
"101","acot13",0.33193088294532,0.121776381443474,0.2583516462707,0.233946295922313,23,0.358210019798327,0.511151912562096,"Brain"
"102","acot7",-0.312114113814256,0.147091158401021,-0.352936824657016,0.0985571961418534,23,0.397791699951228,0.329445236177058,"Brain"
"103","acot8",0.144662414656766,0.51017512791273,0.0657108004888306,0.76579035539874,23,0.748645644579786,0.899402830169209,"Brain"
"104","acot9",-0.208571495104448,0.339551341863171,-0.258013522048437,0.234580668462445,23,0.615928910521002,0.511789134614764,"Brain"
"105","acox1",-0.295765279281129,0.170616380998212,-0.214981304841255,0.324574959582964,23,0.430431298295565,0.599844768154111,"Brain"
"106","acox3",0.0807533342090854,0.714155198225654,0.00292946464435828,0.989415802286545,23,0.868557755354485,0.995984399220549,"Brain"
"107","acp1",0.083725849578745,0.704085791488875,0.0504181312756325,0.819290528867746,23,0.86307290569604,0.925804769840056,"Brain"
"108","acp2",-0.0990838456553195,0.652855035224228,0.0249632379130378,0.909982716655242,23,0.837866888964394,0.964222653445352,"Brain"
"109","acp5",0.00148625768482979,0.994630021332917,-0.00264075791014501,0.990458855264367,23,0.997019762098959,0.996129421229621,"Brain"
"110","acp6",-0.322517917608065,0.133374351181924,-0.272705702826547,0.208050866017096,23,0.375820283772225,0.482387291541596,"Brain"
"111","acp7",0.811992115145343,2.54858047121932e-06,0.818527478182458,1.8126562304489e-06,23,0.000390638018919255,0.000497263748917393,"Brain"
"112","acsbg2",-0.843203526526769,4.38420828937876e-07,-0.829536875115999,9.89290543855885e-07,23,0.000127243703192897,0.000430685487636043,"Brain"
"113","acsf3",0.269012640954192,0.214520859523185,0.167278342437366,0.445522854519267,23,0.485149038149215,0.69926941007618,"Brain"
"114","acsl1",-0.228883683463788,0.293488237395434,-0.0823522776377336,0.708732916981076,23,0.571453130003011,0.872162856479297,"Brain"
"115","acsl3",-0.595989331616747,0.00269024291772104,-0.624805738890099,0.0014359085444914,23,0.0380203279253928,0.0318094196344977,"Brain"
"116","acsl4",-0.192718079799596,0.378316791218112,-0.130137045426048,0.553960058663128,23,0.650036212864342,0.776645486893573,"Brain"
"117","acss1",0.378004871175044,0.0753363086314588,0.498544229055029,0.0154631081427664,23,0.275911652643306,0.122571762476415,"Brain"
"118","acss3",0.485510843711066,0.018848754031924,0.472445813369601,0.022821293933257,23,0.121841558503328,0.15038474245061,"Brain"
"119","acta1",-0.497896324417981,0.0156187895867229,-0.433413022275731,0.0388268494765448,23,0.109748028162706,0.200189906239886,"Brain"
"120","acta2",0.102551780253256,0.64148403161155,0.0684845204739662,0.756189167424432,23,0.831103009448981,0.89384078817087,"Brain"
"121","actb",-0.184791372147171,0.398607075846197,-0.149244618281601,0.496720331038822,23,0.666263692587926,0.73711162277758,"Brain"
"122","actl6a",-0.69309150035896,0.000246047478657234,-0.632967428489197,0.00118855326704167,23,0.00826736041541907,0.0282013835613466,"Brain"
"123","actn3",-0.28387521780249,0.189285389640034,-0.304438562988441,0.157831392237223,23,0.454511896034932,0.419152657782462,"Brain"
"124","actn4",-0.134258610862958,0.541365048734868,-0.209127107407202,0.338237172247781,23,0.7685572997289,0.611648134880709,"Brain"
"125","actr10",-0.138221964689171,0.529379986041033,-0.141994965849251,0.518088043820142,23,0.761100122080388,0.752482678092701,"Brain"
"126","actr2",-0.556355793354619,0.00583407224969011,-0.472694637593691,0.0227398121544372,23,0.0606925355180749,0.150225743075898,"Brain"
"127","actr5",-0.0663861765890641,0.763449420890801,-0.0624670845702759,0.777060766329292,23,0.895445595804099,0.904944109473738,"Brain"
