"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.0693703479287916,0.710776940599562,-0.159332656720662,0.391909503823308,31,0.883598309889157,0.685968705363429,"Brain"
"2","aaas",-0.442109564350841,0.0127659187876732,-0.486510174700377,0.00551629375208057,31,0.1229763051676,0.0752766282688429,"Brain"
"3","aacs",-0.289818392367225,0.113766871084537,-0.345098151391533,0.0572569942151206,31,0.383826704145624,0.275650743173564,"Brain"
"4","aadat",-0.224492962685011,0.224698018805098,-0.0707381227567059,0.705324816466772,31,0.531179117838337,0.871879860071062,"Brain"
"5","aaed1",0.339166394975462,0.0619638610878532,0.293764915137524,0.108709859115198,31,0.280137609345062,0.380076678955022,"Brain"
"6","aagab",0.217818847578159,0.239145373110282,0.232244848149915,0.208673497059478,31,0.546816825403482,0.521901344477307,"Brain"
"7","aak1",0.20709981422473,0.263622164701475,0.138053192160606,0.458925081095931,31,0.575089527939407,0.734111595874116,"Brain"
"8","aamdc",0.349076444679575,0.0542612785835673,0.373956420271564,0.0382275607703772,31,0.262426560216977,0.222405817408841,"Brain"
"9","aamp",0.131055351189087,0.482218104134747,0.230456220279919,0.212299281686507,31,0.756277720143076,0.526856664249758,"Brain"
"10","aar2",0.140560909068543,0.450725819961822,0.0772375646642305,0.679616669311272,31,0.735798700877874,0.858965458675202,"Brain"
"11","aars",-0.231167077791862,0.210853154309631,-0.188565425638374,0.30967990305206,31,0.514976188798401,0.622810018815027,"Brain"
"12","aars2",-0.251796160849404,0.171793073283944,-0.298085025225128,0.1033692783694,31,0.468520186387693,0.370852324205489,"Brain"
"13","aarsd1",-0.395593004515208,0.0276091175241631,-0.436322331384937,0.0141317893529731,31,0.1864894130343,0.127385199387389,"Brain"
"14","aasdh",-0.365862855402869,0.0429582542990486,-0.347966401787552,0.0550844119014795,31,0.232888133492975,0.270190051718469,"Brain"
"15","aasdhppt",0.29082962192887,0.112454697207349,0.303138023056348,0.097376098912721,31,0.381261382054763,0.358844461592697,"Brain"
"16","aass",0.231773815528849,0.2096241918444,0.171996726139674,0.354859521271702,31,0.513602339445615,0.658973144367108,"Brain"
"17","aatf",-0.390536856706987,0.0298442426493054,-0.388752614180688,0.0306672877621874,31,0.193963376569618,0.198016351433439,"Brain"
"18","aatk",-0.00566288554520747,0.975880350159911,-0.0336058131168799,0.857568216857163,31,0.992523962040208,0.942986190383436,"Brain"
"19","abat",0.256245570920638,0.164090598508405,0.178501826104189,0.336672698114395,31,0.458177720500684,0.644862905278476,"Brain"
"20","abca12",0.336941689939845,0.0638053662707529,0.380282358685489,0.0348299471506609,31,0.28437712205521,0.212296381639864,"Brain"
"21","abca3",-0.40388508692069,0.0242406187265525,-0.376179367639463,0.0370044861012727,31,0.174214231500693,0.218765981121481,"Brain"
"22","abca5",-0.177167419200062,0.340356287845006,-0.218223007435558,0.238253254765691,31,0.646541423924005,0.554805176514843,"Brain"
"23","abcb1",0.170291058180882,0.359723558763661,0.135850825288921,0.466190737562002,31,0.665108512221785,0.739129720387585,"Brain"
"24","abcb10",0.135909253084979,0.465997205374675,0.197820637365447,0.286087856618163,31,0.745424397580422,0.601761653121318,"Brain"
"25","abcb6",-0.527052847528953,0.00231588288083988,-0.601875508477072,0.000341084887310473,31,0.0473987183691407,0.0140397952617872,"Brain"
"26","abcb7",0.0301346409369969,0.872153275493393,0.00390425504929129,0.983369539520892,31,0.95119394628027,0.995570537888126,"Brain"
"27","abcb9",-0.26817807974804,0.144656968618805,-0.318085856579943,0.0811827340930828,31,0.431580059591274,0.329283085632206,"Brain"
"28","abcc10",-0.557996472115265,0.00110729575210809,-0.584127360937496,0.000560337433925031,31,0.0312051828199575,0.0187750521129696,"Brain"
"29","abcc2",-0.0327638377972718,0.86110195895207,-0.151400071463361,0.41620567588843,31,0.94593749734225,0.703875179589507,"Brain"
"30","abcc4",0.0331683296219295,0.859403987335824,0.138972965469711,0.455908624437671,31,0.945419879996043,0.73211920571165,"Brain"
"31","abcc5",-0.0483367730465924,0.796237919859007,-0.004658988163189,0.980155275643945,31,0.919869649458887,0.994650354929234,"Brain"
"32","abcc8",0.166043894021976,0.372006321423446,0.132631405065848,0.476919568284207,31,0.676028538215273,0.745185458379472,"Brain"
"33","abcd2",-0.138336204032925,0.457995798646119,-0.132698352393803,0.476695168680806,31,0.740487518556628,0.745050007399166,"Brain"
"34","abcd3",-0.0608760196109803,0.744941464111163,-0.132298721177029,0.478035497728571,31,0.89777409577742,0.745593023068248,"Brain"
"35","abcd4",0.368087560438486,0.0416135564093231,0.322286590147307,0.0770276628169256,31,0.228943116357388,0.319479047787774,"Brain"
"36","abce1",-0.200021207293221,0.280652586123867,-0.214254059986109,0.247110711840331,31,0.593189437570034,0.564659971231438,"Brain"
"37","abcf1",-0.270807276608315,0.140609701017639,-0.338383582013466,0.0626070259346782,31,0.425331609192398,0.287719490516777,"Brain"
"38","abcf2",-0.291234113753527,0.111933003758651,-0.325961407792198,0.0735291162645717,31,0.380910597199744,0.311511501992056,"Brain"
"39","abcf3",-0.444941007123444,0.0121390576248788,-0.451503454848907,0.010784826148975,31,0.120113727224541,0.109249525554607,"Brain"
"40","abcg4",0.274043211205576,0.135742438131116,0.234039254780254,0.205078935722527,31,0.418055830438544,0.517788134459712,"Brain"
"41","abhd10",0.37253697050972,0.0390254259791033,0.407330597672298,0.0229439486246843,31,0.221453543002915,0.167295450725182,"Brain"
"42","abhd11",0.222672749474051,0.228578212714537,0.259742348593048,0.158212594667718,31,0.535549771768144,0.455321501820268,"Brain"
"43","abhd12b",0.366671839052184,0.0424653068392797,0.342856888404702,0.0590011692346602,31,0.231783533952233,0.280118508816216,"Brain"
"44","abhd13",-0.0891904473370177,0.633264432179851,0.00876907233396395,0.962657854036865,31,0.843104280902836,0.987334931700771,"Brain"
"45","abhd14a",0.108403809008257,0.561591839248314,0.0606939028684707,0.745679441464028,31,0.805311363559613,0.892490231683575,"Brain"
"46","abhd14b",-0.119122842361686,0.523297128033763,-0.0843747260571793,0.65178803761399,31,0.782894389189315,0.845299476354144,"Brain"
"47","abhd16a",-0.0483367730465924,0.796237919859007,-0.0351548198272615,0.851074193123996,31,0.919869649458887,0.939596352902662,"Brain"
"48","abhd17b",-0.359390986208346,0.0470687616373018,-0.343151784161384,0.0587693212030213,31,0.244014690019823,0.279373876380768,"Brain"
"49","abhd18",0.356761789348071,0.048825597847742,0.366310202092817,0.0426851044298903,31,0.248430295600611,0.235096601831147,"Brain"
"50","abhd2",0.159976516652111,0.389973952261325,0.14642477145683,0.4318636542839,31,0.690030738383979,0.716526705581309,"Brain"
"51","abhd3",-0.296694753386406,0.105065932397575,-0.38499466530897,0.0324611836987152,31,0.367593170499428,0.204471781757673,"Brain"
"52","abhd4",0.196987518608289,0.288163063996255,0.19120288192341,0.302836370549552,31,0.600574507311522,0.61657482730498,"Brain"
"53","abhd5",0.0327638377972718,0.861101958952071,-0.0753122786926378,0.687196857229669,31,0.94593749734225,0.863004222835623,"Brain"
"54","abhd8",0.268380325660369,0.144342672296435,0.277874243272029,0.130140746122992,31,0.43115595181927,0.413646911495302,"Brain"
"55","abi1",0.0932353655835945,0.617871673378864,0.0529945834078931,0.777073394394637,31,0.834870505057139,0.906035472998856,"Brain"
"56","abi2",-0.357368527085057,0.0484156195436227,-0.300308984966038,0.100698212285321,31,0.247352122098778,0.365325018931916,"Brain"
"57","abi3bp",0.29426780243846,0.108077765799186,0.355120175656157,0.0499486965282732,31,0.37414550679307,0.255964714152688,"Brain"
"58","abl1",-0.315503623232988,0.0838210888206252,-0.213519810372224,0.248772951185576,31,0.327520116360934,0.566371467568819,"Brain"
"59","abl2",0.172920255041157,0.352242397109466,0.217161283915881,0.240601603545501,31,0.659368545486022,0.5576557929718,"Brain"
"60","ablim1",-0.0655276755945436,0.726168730289102,-0.114074707755919,0.541172824994604,31,0.890413245750121,0.78292273605898,"Brain"
"61","ablim2",0.19678527269596,0.288668282753374,0.10624205893155,0.569467315080937,31,0.601377249067306,0.799272666872844,"Brain"
"62","abr",0.0489435107835789,0.793734640677231,0.0452993455082974,0.808799150764796,31,0.919044264388886,0.919695064975984,"Brain"
"63","abracl",-0.470626237989207,0.00754120124735666,-0.114297181946304,0.540378992674616,31,0.0935622596862448,0.782621892029005,"Brain"
"64","abt1",0.0586513145753631,0.75397146639141,0.130547650272764,0.483931374497394,31,0.901445567879031,0.749056234129338,"Brain"
"65","abtb1",-0.154718122931561,0.405942307985478,-0.0955806330167743,0.609018561638914,31,0.702770522300416,0.822563160486839,"Brain"
"66","abtb2",0.224088470860353,0.225556406573757,0.254236048026102,0.167538222137114,31,0.532391767996038,0.469046158580599,"Brain"
"67","acaa1",-0.0194156075835685,0.917432226843647,-0.00135785619884871,0.994215763264501,31,0.969597000330511,0.998220901092165,"Brain"
"68","acaa2",0.103954398937023,0.577855439792434,0.140098127747737,0.452232995365598,31,0.814468869381051,0.73065428709577,"Brain"
"69","acaca",-0.560827914887869,0.00103128521903343,-0.569528185361715,0.000825541342576113,31,0.03034340959438,0.0233965656028254,"Brain"
"70","acacb",0.281121818137085,0.125526815870363,0.316851096088176,0.0824362501093701,31,0.402235856324078,0.331279789695314,"Brain"
"71","acad11",0.369503281824788,0.0407755559771106,0.354839138591293,0.0501430056197647,31,0.226195962102261,0.256304949898782,"Brain"
"72","acad8",0.327031640235732,0.0725337207771054,0.333522170688398,0.0667190169938723,31,0.304942963325821,0.296722445535498,"Brain"
"73","acad9",0.323997951550799,0.0753827464482137,0.352671363039569,0.0516620445668038,31,0.311303398718643,0.260674470930313,"Brain"
"74","acadl",-0.280515080400099,0.126379522485647,-0.262736025002705,0.153301568114521,31,0.403612765706871,0.448498039134697,"Brain"
"75","acadm",0.0972802838301713,0.60263621182014,0.197500480206819,0.286884198591872,31,0.827623151215913,0.60254703219972,"Brain"
"76","acads",-0.10961728448223,0.557193004856157,-0.237569108141524,0.198132870224521,31,0.802680008505487,0.50897286162676,"Brain"
"77","acadsb",0.52745733935361,0.00229467117799757,0.501754481483616,0.00402927582476393,31,0.0471572578395255,0.0619074453857944,"Brain"
"78","acadvl",-0.0677523806301609,0.717244488484627,-0.0707882478903879,0.705125281393549,31,0.886906184631355,0.871879860071062,"Brain"
"79","acan",0.648602640838585,7.93724314504678e-05,0.615203363376454,0.000230382216381934,31,0.00764608369698569,0.0109387878427602,"Brain"
"80","acap1",0.172111271391841,0.354534289449967,0.228926441233432,0.215434351183361,31,0.661434223250371,0.530268544604885,"Brain"
"81","acap2",0.338155165413818,0.0627956764797384,0.259531619601768,0.158562488914159,31,0.281673823511197,0.455917200646149,"Brain"
"82","acat1",0.160381008476769,0.388760802490579,0.18859699552566,0.309597419597175,31,0.689101220762892,0.622810018815027,"Brain"
"83","acat2",-0.255638833183652,0.165126163694667,-0.383462184054377,0.0332167375878835,31,0.4594685379739,0.207512120539806,"Brain"
"84","acbd3",-0.299728442071338,0.101390388890943,-0.354750398273222,0.0502044851663109,31,0.361938218814864,0.256553753960054,"Brain"
"85","acbd4",-0.518356273298813,0.00281489432671983,-0.505905838366962,0.00368975673563945,31,0.0529596597413006,0.0587718612353729,"Brain"
"86","acbd5",0.641726279819404,9.98657303620311e-05,0.585190910913196,0.000544350658304385,31,0.00868276819881301,0.0183863379080761,"Brain"
"87","acbd6",0.342200083660395,0.0595201351085747,0.431154875366162,0.0154525475161063,31,0.274162056820807,0.133429032187281,"Brain"
"88","accs",0.310447475424767,0.0891769414794807,0.277750352117883,0.130319196613887,31,0.337776630704037,0.413816829563896,"Brain"
"89","ace",0.398828939112469,0.0262517830012813,0.342770258541791,0.0590694143656612,31,0.18156954642619,0.280334272150872,"Brain"
"90","ace2",0.101122956164419,0.588312991555222,0.123921748921686,0.506574563396221,31,0.819865587132562,0.762487569619147,"Brain"
"91","acer2",0.295481277912433,0.106563862415234,0.277318685578353,0.13094236575154,31,0.370312194105802,0.414812993290688,"Brain"
"92","acer3",0.221257028087749,0.231627202359643,0.160614355585245,0.388061940072283,31,0.539288200520586,0.683088561295646,"Brain"
"93","ache",-0.0944488410575675,0.613284276879899,-0.247460897534383,0.179541091871308,31,0.832715122033106,0.4838548999379,"Brain"
"94","acin1",0.391952578093289,0.029204062201526,0.414997485683205,0.0202624607373535,31,0.191542322203593,0.155634629118671,"Brain"
"95","ackr3",0.416222087572749,0.0198591663566112,0.378657630152488,0.0356783353648907,31,0.155740945709361,0.214617545989681,"Brain"
"96","acly",0.25766129230694,0.161692318091346,0.195614694553626,0.291603536376173,31,0.453948294464944,0.60674546695737,"Brain"
"97","aco1",0.0161796729863071,0.931157882988162,-0.0195576036810087,0.916830436070625,31,0.976429270537671,0.969469582574087,"Brain"
"98","aco2",-0.160583254389098,0.388155044633004,-0.292680205428081,0.110082685430382,31,0.688514751178426,0.381547615977956,"Brain"
"99","acod1",0.0657299215068725,0.725355958864046,0.131560332613168,0.480517114583457,31,0.890233820149387,0.747176891580687,"Brain"
