"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.359620144145012,0.0919068367306602,-0.353734361872986,0.0977454220548401,23,0.426488747801041,0.329796787247404,"Eye"
"2","aacs",0.0134297979141291,0.951504329998724,-0.0836031897648155,0.70450036607306,23,0.986451646223669,0.869018475580839,"Eye"
"3","aadat",-0.373049942059141,0.0795607717507859,-0.470236826892234,0.0235550073247532,23,0.403219856593089,0.173882299896178,"Eye"
"4","aaed1",-0.155686175819348,0.478106989658561,-0.0918994721188914,0.676648679790685,23,0.784452513395131,0.854221115943128,"Eye"
"5","aagab",-0.0746099884118282,0.735110910968181,-0.357760649221689,0.0937226321204973,23,0.905622221337996,0.323654577171676,"Eye"
"6","aak1",0.0293465954419858,0.894255987389854,0.0219739634310973,0.920726845843183,23,0.967580778638676,0.970062261551135,"Eye"
"7","aamdc",-0.378521341209342,0.0749059355234237,-0.463383718888445,0.0259526005693666,23,0.394157807018164,0.180433486669824,"Eye"
"8","aamp",-0.0104453983776559,0.962272636286643,-0.148597235283335,0.498610554620429,23,0.989548207837835,0.747275074438657,"Eye"
"9","aar2",0.0462581928153335,0.833990319094907,-0.0145955243871964,0.947300283804847,23,0.946462154712713,0.981556006964193,"Eye"
"10","aars",-0.163147174660531,0.456998337894942,-0.305317027190592,0.15657507217267,23,0.770202121665764,0.419724592055322,"Eye"
"11","aars2",-0.263124559132381,0.225111685199885,-0.384933325539729,0.0697164042826873,23,0.588008138650658,0.281791127694532,"Eye"
"12","aarsd1",0.104453983776559,0.635279629298775,0.118608742557537,0.58987653396673,23,0.861988253077183,0.804463143626781,"Eye"
"13","aasdh",-0.108930583081269,0.620772222396258,-0.085775681840753,0.69716975526738,23,0.85509781204119,0.865410753506142,"Eye"
"14","aasdhppt",0.211394967166847,0.332904533720107,0.320628165875968,0.135795007306322,23,0.685552529942518,0.388777343335934,"Eye"
"15","aass",-0.119375981458925,0.587455635896649,-0.0204014216826897,0.926384420103549,23,0.840229122181373,0.972182159134801,"Eye"
"16","aatf",0.16215237481504,0.459784455935971,0.199704805916325,0.360931880610568,23,0.772301989088903,0.637268150579496,"Eye"
"17","aatk",-0.309382751947714,0.150852004707404,-0.245900988763071,0.258051359473238,23,0.512530057444505,0.538683857855294,"Eye"
"18","abat",-0.239249362840596,0.271559677985193,-0.130441700401345,0.553024541546453,23,0.63085174410268,0.783359538785766,"Eye"
