"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.475602459145534,0.0218048262257715,-0.44179832431842,0.0348047073374756,23,0.106679742850116,0.153964779171713,"Fat"
"2","aaas",-0.0990838456553195,0.652855035224228,-0.222453202886659,0.307629013699685,23,0.803284327449909,0.5115272618738,"Fat"
"3","aacs",-0.172405891440256,0.431493999934931,-0.276194806510825,0.202059816828855,23,0.636499741126383,0.404834974780932,"Fat"
"4","aadat",0.0698541111870003,0.751461086746908,-0.0243587573433016,0.912154186377158,23,0.866852147790197,0.952895713317698,"Fat"
"5","aaed1",0.284866056259044,0.187678520678836,0.172209623754558,0.432026574295665,23,0.391555778625932,0.624523395811893,"Fat"
"6","aagab",-0.483033747569683,0.0195554121556578,-0.447806772638372,0.032130932280773,23,0.10011589311541,0.148076417745489,"Fat"
"7","aak1",-0.433987243970299,0.0385402621703115,-0.375395610294457,0.0775392311915059,23,0.150050969239205,0.235597359592182,"Fat"
"8","aamdc",-0.299728633107342,0.164687907650348,-0.355164399663408,0.096302262233281,23,0.361593897607519,0.266209961101259,"Fat"
"9","aamp",-0.71488994640313,0.000126453424498516,-0.704254290113287,0.000176251301788146,23,0.00514924829348957,0.0173853846192395,"Fat"
"10","aar2",-0.210057752789277,0.336042740489325,-0.167103163370553,0.446006351502558,23,0.552109948449304,0.636539372811244,"Fat"
"11","aars",-0.155561637678852,0.478463467138396,-0.238410106055723,0.273295335325958,23,0.676141512869271,0.47931565105594,"Fat"
"12","aars2",-0.0435968920883406,0.84342303617802,-0.085810622098297,0.697052068539985,23,0.918179410305945,0.817957752087291,"Fat"
"13","aarsd1",-0.392867448023342,0.0636787026101896,-0.431917487501087,0.0395811246375404,23,0.202377721863602,0.165157078394319,"Fat"
"14","aasdh",0.250682129507958,0.248613231323645,0.299503289398887,0.165021076250825,23,0.464387994195577,0.360878506188289,"Fat"
"15","aasdhppt",-0.534061928082172,0.00866651976093316,-0.508868086813162,0.0131482422410273,23,0.0623055682767678,0.0935516285975605,"Fat"
"16","aass",-0.279416444748001,0.196632447103312,-0.347529362333382,0.104193195827416,23,0.40329586625955,0.277863122012606,"Fat"
"17","aatf",-0.273471414008682,0.206725982513355,-0.382960746958323,0.0712828858641456,23,0.416414932558929,0.224700974674176,"Fat"
"18","aatk",-0.136240287776064,0.535356856865705,-0.104621667092429,0.634733826451978,23,0.720203493764021,0.775162096115339,"Fat"
"19","abat",0.0544961151104257,0.804937197583668,0.110046027680095,0.617178276547392,23,0.897004254776944,0.761899906978183,"Fat"
"20","abca3",0.255140902562448,0.240015650985752,0.304897498032515,0.157174175162732,23,0.453772446821992,0.350840899445916,"Fat"
"21","abca5",-0.0599457266214683,0.785851573442758,-0.0268426432987715,0.903235392625881,23,0.886812253097737,0.947254921104908,"Fat"
"22","abcb1",-0.0341839267510852,0.876945302909891,-0.051372469027129,0.815926325512938,23,0.938145392759312,0.895303390829197,"Fat"
"23","abcb10",0.0847166880352982,0.700739879167404,0.143935208120349,0.512326542802953,23,0.834216643257687,0.687358099708854,"Fat"
"24","abcb11",-0.0822395918939152,0.709114608880326,-0.132238466348914,0.547521785160306,23,0.839216715375844,0.713081159464546,"Fat"
"25","abcb6",-0.353233909761214,0.0982542272442212,-0.450470301847161,0.0309990641290297,23,0.264067588909372,0.145660117522631,"Fat"
"26","abcb7",0.0832304303504684,0.705760744358801,-0.0292978774786497,0.894430578348072,23,0.837431737982824,0.941690003629391,"Fat"
"27","abcb9",-0.225911168094128,0.299973809170196,-0.323296785150886,0.132385725611686,23,0.516522179706373,0.317633737488923,"Fat"
"28","abcc10",0.0743128842414896,0.736129153060262,-0.0270030397005004,0.902659840751416,23,0.85839394079962,0.946906856396472,"Fat"
