"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.369884316048107,0.0442362344818857,-0.351013367861107,0.0571835774915244,30,0.193951366738284,0.206192904277672,"Fat"
"2","aaas",-0.0312326925492973,0.869857704092645,-0.130041171766743,0.493396425929111,30,0.942800503113232,0.702617017146274,"Fat"
"3","aacs",0.073619918151915,0.699034385112406,0.00477450044235159,0.980023136149728,30,0.85237372714504,0.991687850455628,"Fat"
"4","aadat",-0.338651623498809,0.0671645238714592,-0.463525153538766,0.00988534795641621,30,0.24306432973104,0.0788523314381186,"Fat"
"5","aaed1",0.105075701362279,0.580535966214459,0.152537619029992,0.420988529490175,30,0.778389203919835,0.644248701272178,"Fat"
"6","aagab",-0.466259481628795,0.00940259200293158,-0.426205030843854,0.0188497714464389,30,0.08383758141481,0.110621508473786,"Fat"
"7","aak1",-0.339320895482008,0.0665916337692504,-0.464401238505372,0.00972845153063594,30,0.242093252610003,0.0782152144539016,"Fat"
"8","aamdc",-0.111768421194271,0.556521781221743,-0.0398652509611883,0.834326620944631,30,0.762525491499033,0.919133033521937,"Fat"
"9","aamp",-0.374569219930501,0.0414155787364135,-0.44154472506034,0.0145781866355583,30,0.187478607844961,0.0966085915515241,"Fat"
"10","aar2",-0.0939211683089583,0.621544747967653,-0.174589363094278,0.35613926233603,30,0.802641410380127,0.588814972161225,"Fat"
"11","aars",-0.213051581318421,0.258314089261193,-0.321718532861974,0.0829748603465671,30,0.509071202562843,0.254544052645263,"Fat"
"12","aars2",-0.12426149821399,0.512962841298611,-0.104857536206051,0.581326420447228,30,0.731004235475557,0.764806970561903,"Fat"
"13","aarsd1",-0.607698960744899,0.000368350944089558,-0.64780043699467,0.000108775052691418,30,0.0190750596388788,0.00905395700360298,"Fat"
"14","aasdh",-0.174903078276065,0.355262083156566,-0.164390502454328,0.385355034067064,30,0.600590876012664,0.615592276085026,"Fat"
"15","aasdhppt",-0.222867570405343,0.236497205876041,-0.275986518825072,0.139875665074046,30,0.486898805881546,0.344339319192812,"Fat"
"16","aass",-0.475183108071452,0.00796294286448367,-0.49561015227077,0.00535328405225267,30,0.0771449516511647,0.0580690178025086,"Fat"
