"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",0.0538607453210541,0.848806337510378,0.284023440625905,0.30493217674118,15,0.911453628245107,0.483173726089444,"Gonad"
"2","aaas",-0.247759428476849,0.373294571041396,-0.269048511861325,0.332215391541915,15,0.564476315851049,0.509197214626413,"Gonad"
"3","aacs",-0.464997767938434,0.0807235705430905,-0.488056428125153,0.0649338980971953,15,0.238700327281735,0.193499075634545,"Gonad"
"4","aadat",0.102335416110003,0.716669188913476,0.0987235915389625,0.726308139058903,15,0.826983566317875,0.826079970175563,"Gonad"
"5","aaed1",-0.172354385027373,0.539056776347938,-0.0957850510472894,0.734178563295987,15,0.698241857954313,0.831981182343942,"Gonad"
"6","aagab",-0.0736096852721073,0.79431668426176,-0.0815136984471964,0.772739685661929,15,0.879164487364293,0.858453960749492,"Gonad"
"7","aak1",-0.233396563057901,0.402494351180045,-0.239945949300644,0.389033366026261,15,0.588981179288878,0.561245638720821,"Gonad"
"8","aamdc",0.770208658091074,0.00078102136165667,0.76874866372699,0.000810737500313147,15,0.030612227516641,0.0411822034282629,"Gonad"
"9","aamp",-0.635556794788439,0.0108865418909588,-0.587819137838549,0.021193487768411,15,0.0881949592147019,0.108842906241197,"Gonad"
"10","aar2",0.253145503008954,0.362650616097611,0.134689263456742,0.632234013455315,15,0.555220417526198,0.757409144846685,"Gonad"
"11","aars",0.0520653871436857,0.85379528436078,0.080339344886178,0.775936165325479,15,0.914477656425443,0.860490815210696,"Gonad"
"12","aars2",0.114902923351582,0.683446096378465,-0.0227666057475349,0.935812007846558,15,0.805203722052927,0.963164417042422,"Gonad"
"13","aarsd1",-0.418318455326854,0.120720006882071,-0.392188769011618,0.148218130944079,15,0.297003140104991,0.309004823764417,"Gonad"
"14","aasdh",-0.531426020501067,0.0414836885629712,-0.51589554445307,0.0490057532852808,15,0.169983116070385,0.167266789114483,"Gonad"
"15","aasdhppt",0.366253068183168,0.179384489002199,0.415902312867534,0.123103077384203,15,0.368461493387389,0.27643459081816,"Gonad"
"16","aass",0.154400803253688,0.58271294139924,0.0171542421858423,0.95161559901808,15,0.731318187086571,0.971400895272165,"Gonad"
"17","aatf",-0.614012496660017,0.0148909815892377,-0.609139392672808,0.0159368324365289,15,0.102303879344327,0.0966433574547245,"Gonad"
"18","aatk",0.427295246213696,0.112144158887425,0.462550925255036,0.0825461892640973,15,0.284007492357164,0.220584880970741,"Gonad"
"19","abat",0.226215130348427,0.417531864865929,0.204380550679283,0.464987590205505,15,0.60147590051626,0.626349587141866,"Gonad"
"20","abca12",-0.854590492427392,4.95631780287362e-05,-0.860853076137802,3.78226815823757e-05,15,0.0130765417614026,0.0383858194801459,"Gonad"
"21","abca3",0.157991519608425,0.573866904015251,0.00808113451500068,0.977197186196554,15,0.72417513294386,0.98539130469934,"Gonad"
"22","abca5",-0.486542066066856,0.0658960455224471,-0.433029805871959,0.106892134209866,15,0.215193866007814,0.255974301822046,"Gonad"
"23","abcb1",-0.377025217247379,0.165961421633486,-0.380642986329193,0.161606619731168,15,0.35256580341487,0.325849232005002,"Gonad"
"24","abcb10",-0.51706315508212,0.0484076855378749,-0.631997658023424,0.0114823330355206,15,0.183548403529175,0.0838430361401263,"Gonad"
"25","abcb11",0.107721490642108,0.70236905858299,0.0543739894458354,0.847381103274655,15,0.817042501222131,0.908433244137672,"Gonad"
"26","abcb6",-0.54040281138791,0.0375476773793774,-0.550670943060082,0.0333950526031197,15,0.1618065073221,0.137923337955793,"Gonad"
"27","abcb7",-0.22262441399369,0.425158125318484,-0.0904061889656906,0.748648320715609,15,0.608839936913062,0.842231472659017,"Gonad"
"28","abcb9",-0.064632894385265,0.818990379944217,-0.00805715454257019,0.977264835175868,15,0.893991166251323,0.98539130469934,"Gonad"
"29","abcc10",-0.511677080550014,0.0512119173653615,-0.541024862710714,0.0372856636745221,15,0.189071232929719,0.146012112710352,"Gonad"
"30","abcc2",-0.220829055816322,0.428997874760102,-0.25290430465365,0.363123663299001,15,0.612008347359723,0.538400877214233,"Gonad"
"31","abcc4",-0.721733987302125,0.00238377064867136,-0.693956848635203,0.00410587467260719,15,0.0455053064325741,0.060182045263414,"Gonad"
"32","abcc5",0.628375362078965,0.0121144298826355,0.580653690353156,0.023228343802155,15,0.0923046452738567,0.113931030352579,"Gonad"
"33","abcc8",-0.244168712122112,0.380483838269147,-0.354881200289333,0.194303575352685,15,0.570758045577368,0.365656436414929,"Gonad"
"34","abcd2",0.307006248330008,0.265696287154144,0.322868417085732,0.24049488970493,15,0.46104969745988,0.416501240845894,"Gonad"
