"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",0.0432806252383714,0.817173633782417,0.0650436176357752,0.728115212653246,31,0.93841695614116,0.914157554120974,"Gonad"
"2","aaas",-0.112650973167163,0.546266016815931,-0.158272201628038,0.395109415258056,31,0.8197461987792,0.736293026918332,"Gonad"
"3","aacs",0.0258874767780913,0.890054563251456,0.0301421577431139,0.872121645337266,31,0.96397628650358,0.962208100260273,"Gonad"
"4","aadat",0.00566288554520747,0.975880350159911,0.123057363803698,0.509566867697567,31,0.991273667602493,0.808812374299203,"Gonad"
"5","aaed1",0.298514966597365,0.102848787057994,0.356364289619996,0.0490956848858845,31,0.411325467481936,0.310291036275564,"Gonad"
"6","aagab",-0.17069555000554,0.358566501609882,-0.222913557940227,0.22806229853907,31,0.698093027375704,0.586149133465778,"Gonad"
"7","aak1",-0.205279601013771,0.267935418111395,-0.164208332210694,0.377390021662044,31,0.620082111779232,0.721465371201253,"Gonad"
"8","aamdc",0.160381008476769,0.388760802490579,0.114891165968385,0.538262245574334,31,0.720444228893435,0.823577510530143,"Gonad"
"9","aamp",0.353323608838481,0.0512012071727362,0.374647405893496,0.0378439419257353,31,0.303150176470072,0.279764594946401,"Gonad"
"10","aar2",0.154515877019233,0.406563763875376,0.136411706475448,0.464334659295666,31,0.734152920818705,0.781158403783454,"Gonad"
"11","aars",0.038831215167137,0.835700336555667,0.00957418296891065,0.959232086230275,31,0.945045802047529,0.989384290990864,"Gonad"
"12","aars2",0.0568311013644036,0.761383486042157,0.0471268861032753,0.8012355829895,31,0.917358834829267,0.939446360737965,"Gonad"
"13","aarsd1",-0.138133958120597,0.458659780361594,-0.182649313876963,0.325379522630879,31,0.770626760002227,0.679935180398934,"Gonad"
"14","aasdh",-0.549502143797454,0.00136551818287636,-0.529067227883035,0.00221190810277338,31,0.0540983478759675,0.0709855335912298,"Gonad"
"15","aasdhppt",0.126201449293195,0.49872495262657,0.113956569312361,0.541594590700195,31,0.79316750660655,0.824754773172041,"Gonad"
"16","aass",0.0817073485808507,0.662137253331722,0.101648093309954,0.586367223912521,31,0.87886288556824,0.848617545076103,"Gonad"
"17","aatf",-0.167661861320607,0.367298439606127,-0.119436729566586,0.522195198305858,31,0.704253796771862,0.814906130313574,"Gonad"
"18","aatk",-0.343615805046696,0.0584059573948229,-0.373602173774736,0.0384254403193849,31,0.320319324715057,0.281056380951467,"Gonad"
"19","abat",0.290627376016541,0.112716223700028,0.222559441225283,0.228821239271045,31,0.430656225567162,0.586149133465778,"Gonad"
"20","abca12",0.531906749424845,0.00207222867769494,0.492617537009443,0.00487224044466,31,0.0679575882468513,0.104331929908687,"Gonad"
"21","abca3",-0.336941689939845,0.0638053662707529,-0.310403353758556,0.089224800165689,31,0.33341080887836,0.393914940070004,"Gonad"
"22","abca5",-0.313885655934357,0.0855074084231832,-0.225199399936674,0.223204168615144,31,0.381327296843654,0.579748111177117,"Gonad"
"23","abcb1",-0.478109336745374,0.00652006508851062,-0.549502778157731,0.00136549708808561,31,0.114775181563056,0.0552102214211329,"Gonad"
"24","abcb10",-0.139954171331556,0.452702378735826,-0.0957464400806691,0.608394687779331,31,0.766727852432358,0.861544971667894,"Gonad"
"25","abcb11",0.188290944378149,0.310397626636612,0.186554270837349,0.314962824319797,31,0.657594397668115,0.669347972624419,"Gonad"
"26","abcb6",-0.45100838449331,0.0108823477055819,-0.46149371685358,0.008968426132248,31,0.146107274843176,0.140670285898856,"Gonad"
"27","abcb7",-0.334919230816556,0.065516348944146,-0.327085569764752,0.0724838401744241,31,0.3373739527339,0.363234611715182,"Gonad"
"28","abcb9",-0.341997837748066,0.05968065716225,-0.280542751048059,0.12634054156235,31,0.323602191575717,0.457669122523113,"Gonad"
"29","abcc10",0.00768534466849586,0.96727016532326,0.0547751652871041,0.769780364176744,31,0.988252890884995,0.928542488580131,"Gonad"
"30","abcc2",-0.503996813523465,0.00384269822738274,-0.534021132873667,0.00197325525321983,31,0.0903723013396032,0.0661594825811175,"Gonad"
"31","abcc4",-0.47527789397277,0.00689165394171939,-0.460092155369347,0.00920647283927438,31,0.118489611314475,0.142009757420948,"Gonad"
"32","abcc5",0.0620894950849534,0.740029881745786,0.0951538391634221,0.610625675963394,31,0.910904926380491,0.862769531508049,"Gonad"
"33","abcc8",-0.218425585315145,0.237806934703875,-0.277010762729099,0.131388229616659,31,0.587599135854741,0.464237093921445,"Gonad"
"34","abcd2",-0.393772791304248,0.0283974578441066,-0.344956944155025,0.0573656704905077,31,0.231960600074393,0.331524682031051,"Gonad"
"35","abcd3",-0.149864221035669,0.4210050065793,-0.171099213350355,0.357414027128323,31,0.746229372586611,0.706858679178704,"Gonad"
"36","abcd4",-0.216200880279528,0.24273910929946,-0.238148250394834,0.197008990141201,31,0.592429284259115,0.549067411225602,"Gonad"
"37","abce1",0.0677523806301609,0.717244488484627,0.0457077425795579,0.807107439958469,31,0.902613820345137,0.941037731364397,"Gonad"
