"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.0510281805124896,0.817139642035641,-0.0381176300220003,0.862908040141206,23,0.93758268226605,0.955914406356544,"Gut"
"2","aaas",-0.0416152151752342,0.850460509436964,-0.206867240816805,0.343601237256689,23,0.949437810591708,0.696984402529663,"Gut"
"3","aacs",-0.463216978438619,0.0260132795108286,-0.442630485762292,0.0344242441225195,23,0.275420385075159,0.313151844034596,"Gut"
"4","aadat",0.116423518645,0.59679486975262,0.192777789377688,0.378166225899099,23,0.841964078643146,0.719748930486336,"Gut"
"5","aaed1",-0.174882987581639,0.424802760578529,-0.145083117247405,0.50893249664668,23,0.746697418249935,0.798684495653625,"Gut"
"6","aagab",-0.246223356453469,0.257407860538684,-0.260145146131671,0.230600255646778,23,0.624586215370594,0.599339635748464,"Gut"
"7","aak1",0.152093703080915,0.488443861479174,0.182751167373143,0.403925849813838,23,0.786142144981439,0.736900243760798,"Gut"
"8","aamdc",0.280902702432831,0.19416226363053,0.25829560171071,0.23405136611127,23,0.564154791717071,0.601128258772095,"Gut"
"9","aamp",-0.273966833236958,0.205871805220909,-0.377756782460013,0.0755437036637815,23,0.576674378428252,0.401959318930587,"Gut"
"10","aar2",-0.106019714851192,0.630190415389763,-0.0534830213837857,0.808497501200111,23,0.858304803739906,0.934991480770826,"Gut"
"11","aars",-0.31310495227081,0.145743419656067,-0.28380775716444,0.189395132757114,23,0.504899126614031,0.557264175958339,"Gut"
"12","aars2",-0.038147280577298,0.86280238012005,0.000169833931720082,0.999386370953157,23,0.954458916619271,0.999744134263258,"Gut"
"13","aarsd1",-0.222443233496192,0.307651255407064,-0.22194188419305,0.30877103697533,23,0.663362535172973,0.671129353703168,"Gut"
"14","aasdh",-0.136240287776064,0.535356856865705,-0.04907569999944,0.82402803686829,23,0.812850332300031,0.939621611252725,"Gut"
"15","aasdhppt",-0.0203121883593405,0.926705563108989,0.084530125964782,0.70136946246099,23,0.977828603646054,0.89017704823463,"Gut"
"16","aass",-0.115928099416724,0.598368091475376,-0.00664294750325412,0.976001636937145,23,0.842605401135717,0.992841012502136,"Gut"
"17","aatf",-0.108496810992575,0.622172103550361,-0.157784232436609,0.472121797868991,23,0.85348350827852,0.776543890890267,"Gut"
"18","abat",0.293783602368022,0.173635469077697,0.262515237812116,0.226227059387688,23,0.538859299562688,0.595913343113147,"Gut"
"19","abca3",0.231360779605171,0.288150715408701,0.169870163660402,0.438401817118855,23,0.649190715900132,0.756231182463037,"Gut"
"20","abca5",-0.0797624957525322,0.71752203793437,-0.176845852055856,0.419540742283864,23,0.896505813273764,0.744956821466482,"Gut"
"21","abcb1",0.52563980120147,0.00999666576055457,0.451907895645621,0.0304014585285348,23,0.185813465335431,0.300243904541828,"Gut"
"22","abcb10",-0.439436855481342,0.0359024928599893,-0.503557689541822,0.0143006863028305,23,0.31186470733625,0.230589455594468,"Gut"
"23","abcb11",-0.35818810204398,0.0933028855243414,-0.331623522558123,0.122143141163306,23,0.435615420077932,0.478235625682299,"Gut"
"24","abcb6",-0.270003479410746,0.212771947660355,-0.318631581637207,0.138386473877573,23,0.583904696060288,0.500249856460211,"Gut"
"25","abcb7",-0.242260002627256,0.265391074409489,-0.270593502260028,0.211735051868075,23,0.630134496398873,0.579948251386893,"Gut"
"26","abcb9",0.0123854807069149,0.95527159438862,-0.0208223245047471,0.92486977792161,23,0.986259779390326,0.977472426642594,"Gut"
"27","abcc10",-0.130790676265022,0.551953809113599,-0.176579885737694,0.420251653719365,23,0.822342031888379,0.745331232293058,"Gut"
"28","abcc2",-0.050532761284213,0.818886274420543,-0.0225227364892038,0.9187533717312,23,0.938361568297896,0.975882408947363,"Gut"
"29","abcc4",0.35967435972881,0.0918542909158495,0.335038702039123,0.118112649733747,23,0.434365074351841,0.470843219125102,"Gut"
"30","abcc5",-0.205598979734788,0.346633523139297,-0.342745018111294,0.109374345371474,23,0.693004179602806,0.45660686067194,"Gut"
"31","abcc8",0.0648999189042343,0.768603586590236,0.154096191644872,0.482668239936083,23,0.917221541507684,0.783299984468253,"Gut"
"32","abcd2",0.131286095493298,0.550435379441576,0.152409115616987,0.487531857996339,23,0.821240033201929,0.786002456709234,"Gut"
"33","abcd3",-0.35818810204398,0.0933028855243414,-0.27794740179136,0.19909488379134,23,0.435615420077932,0.568462612240329,"Gut"
"34","abcd4",-0.162002087646447,0.460206126930429,-0.0739707681467039,0.737302193104711,23,0.76756015560792,0.905740973602295,"Gut"
"35","abce1",-0.306169083074937,0.155363245887489,-0.221004203854416,0.310872070104509,23,0.516831929221517,0.672415479955301,"Gut"
"36","abcf1",-0.329453786803937,0.124754964646153,-0.324637439338439,0.130696348357564,23,0.476545286349397,0.489954002227139,"Gut"
"37","abcf2",-0.0574686304800853,0.794512774055262,-0.147950691967068,0.500501855872137,23,0.929418951339012,0.793095108893296,"Gut"
"38","abcf3",-0.126331903210532,0.565704700918709,-0.187918408688848,0.390531291740263,23,0.830008065961613,0.728298039701425,"Gut"
"39","abcg5",-0.202626464365128,0.353802092459492,-0.143988967372744,0.512167348068861,23,0.69911823841652,0.800777217727908,"Gut"
"40","abcg8",-0.228883683463788,0.293488237395434,-0.0904090745292152,0.681623278746464,23,0.652755475129497,0.880925505230886,"Gut"
"41","abhd10",-0.198663110538916,0.363493995285023,-0.260972567231186,0.229067255617375,23,0.70566372329633,0.598017139685697,"Gut"
"42","abhd12b",-0.173892149125086,0.4274724886776,-0.190519326892822,0.383885008833364,23,0.748727696368318,0.723653161814159,"Gut"
"43","abhd13",0.0980930071987663,0.65611780532202,0.0739073556773474,0.737519682755005,23,0.872067174572197,0.905740973602295,"Gut"
"44","abhd14a",0.194699756712703,0.373338025835034,0.21250783433913,0.330306243323706,23,0.712187758400695,0.688196016450787,"Gut"
"45","abhd14b",-0.253159225649341,0.243812503428433,-0.125276209894316,0.56898262685833,23,0.613241388864625,0.83073354178005,"Gut"
"46","abhd16a",-0.248205033366575,0.253474779293437,-0.18314246953742,0.402902694887309,23,0.621237071407435,0.736004099875006,"Gut"
"47","abhd17b",0.236314971887937,0.277658853386763,0.226396822767146,0.298908182966134,23,0.640888332536382,0.662770695651803,"Gut"
"48","abhd18",-0.444886466992385,0.0334093413841513,-0.511203826601196,0.0126660082718767,23,0.302594920326906,0.21992416997206,"Gut"
"49","abhd2",-0.0262572190986597,0.90533647337876,0.0658167512854536,0.765422985595879,23,0.97023118806946,0.91792727719148,"Gut"
