"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",0.313604297599376,0.0804934896259459,0.155278841273085,0.396100129816834,32,0.418074945626099,0.793955899285201,"Gut"
"2","aaas",-0.066912054118507,0.715962170010042,-0.127846750737617,0.485610973990975,32,0.8978451452336,0.83967405142723,"Gut"
"3","aacs",0.292280675957215,0.10452989653792,0.322298541159216,0.0720172746339172,32,0.463014211553388,0.453271288451104,"Gut"
"4","aadat",-0.409928243638106,0.0198008098045143,-0.32670246727093,0.06799728358207,32,0.239836740639071,0.443172085791581,"Gut"
"5","aaed1",0.0680150000655154,0.711477813563512,-0.01321395248601,0.942778242214494,32,0.896411083686747,0.985821700100683,"Gut"
"6","aagab",-0.16360364880624,0.370941884620868,-0.232638929629949,0.200084302589888,32,0.720095766454073,0.63439507196085,"Gut"
"7","aak1",0.194853783971477,0.285209155665535,0.138872090990684,0.448445937468174,32,0.660302156089658,0.821633096093679,"Gut"
"8","aamdc",0.322795513824446,0.0715545965889929,0.35374735600573,0.0470077275427892,32,0.398866485422657,0.391879586482304,"Gut"
"9","aamp",0.0106618108210808,0.95381692283784,0.0901007295870721,0.623845338313339,32,0.98859995452703,0.896658399121632,"Gut"
"10","aar2",-0.0437501892313315,0.812070687648846,-0.15079620284491,0.410041921084041,32,0.935450124148212,0.804084436105718,"Gut"
"11","aars",-0.0117647567680891,0.949045242924787,0.0473986557445576,0.796712340107085,32,0.98688486867724,0.950388512587123,"Gut"
"12","aars2",0.148897702846128,0.416028962303428,0.151607893426305,0.407497113901543,32,0.750815606728861,0.802287599161402,"Gut"
"13","aarsd1",-0.114706378488869,0.531885815139919,-0.0315448850239195,0.863918968004874,32,0.81989136703798,0.966415479933921,"Gut"
"14","aasdh",-0.0261030540791978,0.887229865606523,-0.0952001758857339,0.604257918178799,32,0.96414991779358,0.889531460563007,"Gut"
"15","aasdhppt",0.395589946326998,0.0250216212215561,0.416005924032517,0.0178784214861805,32,0.263200854191665,0.26625897511545,"Gut"
"16","aass",-0.207721486686574,0.253954435660414,-0.161621609252714,0.376844631445279,32,0.63482593888205,0.780677472358787,"Gut"
"17","aatf",-0.31544254084439,0.0786402053817993,-0.150693382579111,0.410364920898323,32,0.414293874009739,0.804375482905881,"Gut"
"18","abat",-0.0301471892182284,0.869896282078799,-0.0831358966104773,0.651008700579163,32,0.957738927713295,0.904765879499654,"Gut"
"19","abca3",0.104044567667788,0.570924773521024,-0.0301981163750185,0.869678363695162,32,0.836106391268395,0.967984815072392,"Gut"
"20","abca5",-0.172427216382307,0.345331833770685,-0.244525194517499,0.177404394156023,32,0.703415885283546,0.611334563434756,"Gut"
"21","abcb1",0.506619838325839,0.0030878629871241,0.257960438047918,0.154029076291668,32,0.0971848090440589,0.586585111083328,"Gut"
"22","abcb10",-0.266912919176023,0.139740442052406,-0.246008497388691,0.174707308029399,32,0.512683879057158,0.608534960046957,"Gut"
"23","abcb11",-0.589708433000469,0.000382494303222775,-0.555887981498799,0.000955748209431264,32,0.036208164969334,0.0605217996140254,"Gut"
"24","abcb6",-0.557355351888223,0.000920361157447891,-0.517303909125576,0.00242991985596736,32,0.0554001425230326,0.104682616433468,"Gut"
"25","abcb7",-0.236765729957794,0.191993387811004,-0.320652966816093,0.0735659014857002,32,0.576854682565194,0.45700280454901,"Gut"
"26","abcb9",-0.104779864965794,0.568191418211629,-0.122401184854516,0.504533226561848,32,0.835116362613343,0.847441302438238,"Gut"
"27","abcc10",-0.149265351495131,0.414865751808901,-0.270925649541337,0.133660186842131,32,0.750513051866838,0.559042118334946,"Gut"
"28","abcc2",-0.257721702950953,0.154424002693747,-0.172862201678111,0.344097661594838,32,0.531569120818592,0.75901517535141,"Gut"
