"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.26444047098026,0.234340972017425,-0.332842152890537,0.130132988967837,22,0.622185886147504,0.465096242159418,"Heart"
"2","aacs",-0.731033507570697,0.000111231184678058,-0.676580120953643,0.000545195398252493,22,0.0352380393060086,0.109785420506851,"Heart"
"3","aadat",0.288223125757928,0.193331801709676,0.239959169808123,0.282095438221521,22,0.577915783936834,0.632680812401377,"Heart"
"4","aaed1",-0.546434806201179,0.00850729619966622,-0.572458303943023,0.00536584211578081,22,0.158163816669851,0.151668807312986,"Heart"
"5","aagab",0.032842713740589,0.884637758487661,-0.00287289480329544,0.989876338767853,22,0.968929753453502,0.996724740729813,"Heart"
"6","aak1",0.502267018756939,0.0172148248048796,0.520121956488229,0.0130886309936249,22,0.207390707314452,0.191413575050838,"Heart"
"7","aamdc",0.355041060609471,0.104928674432568,0.347930825673457,0.112576086824154,22,0.453498009007332,0.437706803018405,"Heart"
"8","aamp",0.129105840221626,0.566903648495584,0.0224304400852834,0.92107561396686,22,0.844199848845545,0.975060547094477,"Heart"
"9","aar2",-0.0294451916294936,0.896506213872138,-0.0785621731443817,0.728202515407107,22,0.972314852977382,0.901714184181408,"Heart"
"10","aars",-0.0713479643330037,0.752367142222521,0.0233784169439399,0.917750741338814,22,0.927070831023316,0.974593472852905,"Heart"
"11","aars2",0.0900343359440285,0.690291893310028,0.112328992313347,0.618698824370697,22,0.906576866763191,0.853452005402058,"Heart"
"12","aarsd1",-0.217441415110107,0.331023213539087,-0.270750423802163,0.222947833730485,22,0.704285789450523,0.575494897603168,"Heart"
"13","aasdh",-0.356173567979836,0.103746638030828,-0.395798896851782,0.0682451284781167,22,0.451344890526865,0.360368119302346,"Heart"
"14","aasdhppt",-0.0113250737036514,0.960106459087988,0.0380318864746134,0.8665574190605,22,0.991723919918731,0.957134754753387,"Heart"
"15","aass",-0.0424690263886927,0.85114793975938,0.0355900598592727,0.875057861963955,22,0.960201080107442,0.960143588298215,"Heart"
"16","aatf",-0.00509628316664312,0.982042397809242,-0.00258984882449688,0.990873709079374,22,0.995491589741354,0.996978946313745,"Heart"
"17","abat",0.574747490460308,0.00514345390930056,0.565898784600957,0.00604781328772085,22,0.129321126862414,0.154511874963707,"Heart"
"18","abca12",0.282560588906102,0.202620951798205,0.00118854681311736,0.995811648857205,22,0.58621294547645,0.998459078231303,"Heart"
"19","abca3",-0.415063951238823,0.054748856202278,-0.415220901268837,0.0546480603906475,22,0.342219145493222,0.331132232184967,"Heart"
"20","abca5",-0.313704541591143,0.155113277322052,-0.243689893932693,0.274451953419144,22,0.530439186697175,0.6256904609198,"Heart"
"21","abcb10",-0.285958111017198,0.197012172322106,-0.346022056263545,0.114696318652186,22,0.581347393737363,0.440433863624394,"Heart"
"22","abcb11",0.159117285536302,0.479387651294476,0.110434295057398,0.624666071316618,22,0.801594045867677,0.855470692260225,"Heart"
"23","abcb6",-0.36579988062794,0.0940903321425436,-0.40867486384526,0.0589747489674706,22,0.432498798937287,0.341562064175161,"Heart"
"24","abcb7",-0.0866368138329331,0.701449424620994,-0.113915183603622,0.613720957340862,22,0.911631021168079,0.851177742994333,"Heart"
"25","abcb9",-0.0481315632405184,0.831559479228482,-0.106364749161273,0.637559539898315,22,0.95227748344268,0.862125927265606,"Heart"
"26","abcc10",-0.0566253685182569,0.802360324837432,-0.0714991019390312,0.7518585018213,22,0.942413432109219,0.911342194402511,"Heart"
"27","abcc2",-0.480183125034819,0.0237098289915257,-0.566167111404664,0.00601857096990628,22,0.237698538750485,0.15445959581323,"Heart"
"28","abcc4",-0.0254814158332156,0.910379633093104,0.0477300053673621,0.832945554515601,22,0.976265208055973,0.943631639502726,"Heart"
"29","abcc5",-0.249151621480331,0.263499751991126,-0.24083434113855,0.280290557089893,22,0.648816426479004,0.630922612520094,"Heart"
"30","abcc8",0.569651207293665,0.00564940558998621,0.546978160210654,0.00842891732386237,22,0.135176109585168,0.169214176918981,"Heart"
"31","abcd2",-0.355041060609471,0.104928674432568,-0.381876440668126,0.0794693092225203,22,0.453498009007332,0.379251095730111,"Heart"
"32","abcd3",-0.113816990721696,0.614028637640614,-0.0942312476667455,0.676594640630173,22,0.868024419475888,0.87858580897422,"Heart"
"33","abcd4",0.069649203277456,0.758090955220258,0.054788209170557,0.808655764245066,22,0.92884906642086,0.935253660318066,"Heart"
"34","abce1",-0.08154053066629,0.718297052675629,-0.231506241156454,0.29990128937641,22,0.916088994716745,0.648169794477056,"Heart"
"35","abcf1",-0.148358465517833,0.509956431089829,-0.0901449975307024,0.689929506065979,22,0.817884566222942,0.883982379509321,"Heart"
"36","abcf2",-0.0866368138329331,0.701449424620994,-0.093612516925701,0.678607890997153,22,0.911631021168079,0.878834168299736,"Heart"
"37","abcf3",-0.0906005896292111,0.688438254921354,-0.10378247280278,0.645794021285247,22,0.905719431723774,0.865320401471596,"Heart"
"38","abhd10",-0.0515290853516138,0.819851826859515,-0.11245425285676,0.618305133957417,22,0.948955274932752,0.853402510157644,"Heart"
"39","abhd12b",0.193092506647256,0.389258884310738,0.01863442627817,0.934401730098938,22,0.750195976089803,0.97905803070232,"Heart"
"40","abhd13",0.207815102462003,0.353392313551425,0.134183127791781,0.551616641441273,22,0.722474734983811,0.819958785626917,"Heart"
"41","abhd14a",0.191393745591708,0.393524384444668,0.241043050209449,0.279861204018202,22,0.751558506101222,0.630762873029072,"Heart"
"42","abhd14b",0.122877049684618,0.585909170552078,0.0447964643874162,0.843085683561292,22,0.855452231684479,0.948202018433035,"Heart"
"43","abhd16a",0.0849380527773854,0.707050714825444,-0.00264478354606285,0.990680134294857,22,0.912844023378845,0.996974163102321,"Heart"
"44","abhd17b",-0.228200235128575,0.307049097973768,-0.357437890197439,0.102438583877251,22,0.687345634808436,0.422726801507064,"Heart"
"45","abhd18",0.107588200184688,0.633672433381472,0.118189670055516,0.600388573778842,22,0.877929794871207,0.844221286645029,"Heart"
