"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.635664514125817,9.25246083828567e-05,-0.619486492838932,0.00015640776883982,32,0.00463177605813108,0.00561730742124108,"Heart"
"2","aacs",-0.209927378580591,0.248833229120928,-0.186839050646789,0.305871745389289,32,0.518002690924834,0.598344451717358,"Heart"
"3","aadat",-0.0187500810991421,0.918871534826568,-0.0300306484971071,0.870394997550662,32,0.96656319674949,0.947068530285337,"Heart"
"4","aaed1",-0.286765946222173,0.111546647883312,-0.323745120897548,0.0706769485839372,32,0.332232311422725,0.271594418591442,"Heart"
"5","aagab",0.0136030000131031,0.941096375430556,-0.000871895956219564,0.996221274362131,32,0.974630188716798,0.998675641367824,"Heart"
"6","aak1",0.205515594792557,0.259144771424524,0.226483489058193,0.212586505564623,32,0.528921977843829,0.498453790899085,"Heart"
"7","aamdc",0.0816180000786185,0.656989005536608,0.0579785933232658,0.752615228737774,32,0.835397318017663,0.89677512125242,"Heart"
"8","aamp",-0.0783091622375934,0.670097441628857,-0.0704299386883029,0.701692352767036,32,0.841945867079044,0.870893427095912,"Heart"
"9","aar2",-0.21911859480566,0.228235673215571,-0.0916982089834953,0.617681241282819,32,0.49438600849821,0.826694302440397,"Heart"
"10","aars",0.0150735946091142,0.934741251972885,0.0998190175411261,0.586746553714734,32,0.971472193827867,0.809166686442957,"Heart"
"11","aars2",-0.0194853783971477,0.9157010745184,-0.0847926803695418,0.644505453786715,32,0.964955199650208,0.840851953985832,"Heart"
"12","aarsd1",-0.156618324475187,0.39198746737552,-0.217711940320724,0.231310846446816,32,0.654646297598624,0.520810417460915,"Heart"
"13","aasdh",-0.262868784036992,0.146070166108507,-0.33656123968679,0.0596330461033049,32,0.388077593500066,0.247791780207737,"Heart"
"14","aasdhppt",0.0613973243834652,0.738520986136368,0.0206846383060086,0.910532847653012,32,0.879518913996099,0.964578424102542,"Heart"
"15","aass",0.0312501351652368,0.865178876594037,0.0637909211695881,0.728702110572295,32,0.941345464015823,0.883268312785228,"Heart"
"16","aatf",-0.1055151622638,0.565464018362547,-0.0725124147297346,0.693291513219198,32,0.7796132499909,0.866150450580653,"Heart"
"17","abat",0.553311216749193,0.00102078759518755,0.471235123781516,0.00648116359941229,32,0.0194932350758498,0.065676618875526,"Heart"
"18","abca12",0.402942919307053,0.0222186043930105,0.460330693333109,0.00802281552149488,32,0.131513253678733,0.0739922898791733,"Heart"
