"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.513254320494555,0.012254699425941,-0.465159888155155,0.0253132341044848,23,0.09122652950001,0.187558295426999,"Kidney"
"2","aaas",0.21550736430032,0.32336380962806,0.259150563178082,0.232451883649839,23,0.578040092911522,0.512451228093757,"Kidney"
"3","aacs",-0.471143686091044,0.0232515356040298,-0.416139037164854,0.048260094408199,23,0.128979241771767,0.246333431539457,"Kidney"
"4","aadat",0.371069001979172,0.0812986698633453,0.369222251364233,0.0829443953197629,23,0.265959096114807,0.315792776714053,"Kidney"
"5","aaed1",-0.197672272082362,0.36594077694006,-0.133639431500815,0.54324869454892,23,0.61567800944608,0.770981302537537,"Kidney"
"6","aagab",-0.313600371499086,0.145072843869189,-0.401409083890115,0.0576346246266484,23,0.372846381118888,0.265559329155766,"Kidney"
"7","aak1",-0.104533457166362,0.635020923511535,-0.0780623883106105,0.723310785009996,23,0.81885139963542,0.874306302730418,"Kidney"
"8","aamdc",-0.364628552011576,0.0871463853195287,-0.375683902040247,0.0772934751545566,23,0.276548959513443,0.30562442144826,"Kidney"
"9","aamp",-0.470152847634491,0.0235832703588637,-0.419494928774303,0.046300533364816,23,0.129871450095331,0.241939319187928,"Kidney"
"10","aar2",-0.0896708803180642,0.684091971128969,-0.00821627604014535,0.970320015311285,23,0.848332285446133,0.987897457340748,"Kidney"
"11","aars",0.0966067495139365,0.661023362277255,0.241427777386538,0.267087231228147,23,0.833563765186073,0.544803094250996,"Kidney"
"12","aars2",0.360169778957086,0.0913751648424534,0.358877793281832,0.0926285756593795,23,0.284442832819456,0.333291973825009,"Kidney"
"13","aarsd1",0.268517221725916,0.215398905097962,0.292681267984323,0.175330784464347,23,0.465671918640356,0.451540707477874,"Kidney"
"14","aasdh",-0.295765279281129,0.170616380998212,-0.281239559951026,0.193605347441742,23,0.405300859400346,0.470276193977483,"Kidney"
"15","aasdhppt",-0.202626464365128,0.353802092459492,-0.2240808161332,0.304011033062756,23,0.605987924948501,0.578027721843132,"Kidney"
"16","aass",0.088680041861511,0.687410483707799,0.127207979128958,0.562990885125818,23,0.850516588428443,0.781613795163953,"Kidney"
"17","aatf",-0.139212803145724,0.526403391936811,-0.200995182871376,0.357772715057027,23,0.746531836727264,0.627295544837173,"Kidney"
"18","aatk",-0.244241679540363,0.261379949685692,-0.326771077631003,0.12803974808954,23,0.517109240583612,0.389353993886059,"Kidney"
"19","abat",-0.166460860700937,0.447781483199101,-0.144720699330792,0.510002884499273,23,0.687222104209068,0.74770258557787,"Kidney"
"20","abca3",0.0312114113814256,0.887576672182509,0.106476719879993,0.628708024619797,23,0.952769922807718,0.819905063219386,"Kidney"
"21","abca5",-0.0123854807069149,0.955271594388619,0.0283364195249586,0.897877122660513,23,0.983402567778943,0.958587480270162,"Kidney"
"22","abcb1",-0.226902006550682,0.297802193000241,-0.218268537690637,0.317051585017318,23,0.554461496745975,0.590678389950724,"Kidney"
"23","abcb10",-0.35818810204398,0.0933028855243414,-0.324158118220102,0.131298559110149,23,0.287524882947807,0.393512948334413,"Kidney"
"24","abcb6",-0.574190885572577,0.00416705863240314,-0.544244143482422,0.00725726473284408,23,0.0504754108356026,0.106328357305433,"Kidney"
"25","abcb7",-0.281893540889384,0.192527245382345,-0.12504188767536,0.569711335039358,23,0.436923360430798,0.784834838047993,"Kidney"
"26","abcb9",-0.232847037290001,0.284977506974588,-0.224876453119346,0.302252001127814,23,0.540779703008233,0.57675357289444,"Kidney"
"27","abcc10",-0.106515134079468,0.628583483244927,0.00697272633501637,0.97481063353613,23,0.815181087968399,0.990277523165059,"Kidney"
"28","abcc2",-0.563291662550491,0.00512967829780309,-0.600936508996871,0.0024254427074105,23,0.0563909729354089,0.0697274886230726,"Kidney"
"29","abcc4",-0.372059840435725,0.0804258667621005,-0.345743978880427,0.106105090503645,23,0.264539654711094,0.354560900709517,"Kidney"
"30","abcc5",0.281893540889384,0.192527245382345,0.215192511112908,0.324088369805548,23,0.436923360430798,0.59603752270951,"Kidney"
"31","abcc8",0.0956159110573833,0.664301259580418,0.0638168637993229,0.772365485396087,23,0.835587342847304,0.899009705141454,"Kidney"
"32","abcd2",0.33638965599981,0.116545271604396,0.386544465169863,0.0684564820031585,23,0.327454557526642,0.289741615993513,"Kidney"
"33","abcd3",-0.52266728583181,0.0105045166248993,-0.58404234027163,0.00343214882919964,23,0.0839161088147237,0.0798164469989504,"Kidney"
"34","abcd4",-0.248700452594852,0.252497600186641,-0.186232847476325,0.394872860528168,23,0.507813318796721,0.656633087701613,"Kidney"
"35","abce1",-0.363142294326746,0.088539390500188,-0.304537218689355,0.157689950110679,23,0.279094681073541,0.428790080582538,"Kidney"
"36","abcf1",-0.19370891825615,0.375822692498261,-0.131387058805773,0.550126166953359,23,0.625024247590591,0.775393538599932,"Kidney"
"37","abcf2",-0.37998654808815,0.0736951005294534,-0.399196606002312,0.0591559690206099,23,0.251585285577015,0.270182174682843,"Kidney"
"38","abcf3",-0.0525144381973193,0.81190482170591,-0.00764309011388945,0.972389763222053,23,0.916808862239007,0.988910261904827,"Kidney"
"39","abhd10",-0.227397425778958,0.296720043916263,-0.246799045830536,0.256261257521572,23,0.553212762411986,0.533641226159986,"Kidney"
"40","abhd11",-0.268517221725916,0.215398905097962,-0.264172550550929,0.223201840375361,23,0.465671918640356,0.501007444191721,"Kidney"
"41","abhd12b",0.471143686091044,0.0232515356040298,0.481770925591721,0.0199238221195562,23,0.128979241771767,0.167266324124747,"Kidney"
"42","abhd13",-0.0401289574904044,0.855745896993022,0.019966615589185,0.927949353548545,23,0.940137179983723,0.970944432844957,"Kidney"
"43","abhd14a",0.033193088294532,0.880486898082327,0.0483302084779859,0.826661492980232,23,0.950295183178822,0.924335736681261,"Kidney"
"44","abhd14b",-0.638099966020258,0.00105244523475792,-0.585514123779352,0.00333235674702241,23,0.02479203538859,0.0797515493747076,"Kidney"
"45","abhd16a",-0.246223356453469,0.257407860538684,-0.255047021295766,0.240194649286203,23,0.5127914285794,0.519064400977849,"Kidney"
"46","abhd17b",0.284370637030767,0.188480785248763,0.196693374130203,0.368367395762401,23,0.431889832900253,0.636152971590591,"Kidney"
"47","abhd18",-0.0698541111870003,0.751461086746907,0.121484838627864,0.580823538804248,23,0.885570950326942,0.79244225495756,"Kidney"
"48","abhd2",0.597475589301577,0.00260824043619276,0.494762608422164,0.0163898925448149,23,0.0398857695399942,0.152625962595003,"Kidney"
"49","abhd4",0.00445877305448938,0.983890965472231,0.113571601316695,0.605874975096567,23,0.993324680037493,0.807910336413862,"Kidney"
"50","abhd5",0.40475750950198,0.0553896781750124,0.412995572579072,0.0501535539277692,23,0.213721012101775,0.249448375818656,"Kidney"
"51","abhd6",-0.532080251169066,0.00896550464520708,-0.491898450368495,0.0171214721425861,23,0.0762569614080655,0.15627478411502,"Kidney"
"52","abi1",0.867479068712322,8.38601031199359e-08,0.675120630977465,0.000408792369929646,23,0.000526599704143587,0.03451826972947,"Kidney"
"53","abi2",-0.108496810992575,0.622172103550361,-0.187553749098083,0.391468274657772,23,0.81222990499341,0.653618223044589,"Kidney"
"54","abl1",0.229379102692065,0.292415849975406,0.261707501028127,0.227711258392143,23,0.549525496368146,0.506833705009075,"Kidney"
"55","abl2",0.364133132783299,0.087608887852306,0.273381855553701,0.206880648709404,23,0.277060928310197,0.484727460964031,"Kidney"
"56","ablim1",-0.702504465696215,0.000185895796029723,-0.634618249727373,0.00114322447605513,23,0.0107895017992355,0.0511059350817584,"Kidney"
"57","ablim2",-0.417638409437172,0.0473767671763226,-0.398854850009836,0.0593936928685766,23,0.194434964422386,0.270574187085207,"Kidney"
"58","abr",0.632154935280938,0.00121142098881155,0.41213116218735,0.0506842029909325,23,0.0269052445532873,0.250256831660596,"Kidney"
"59","abracl",0.318059144553576,0.139135933878485,0.291098119185384,0.177785516476807,23,0.36439271625143,0.454115598786806,"Kidney"
"60","abt1",-0.162497506874724,0.458816854256615,-0.0736990457448865,0.73823427313364,23,0.696574289546719,0.882957258061244,"Kidney"
"61","abtb1",0.261581352530043,0.227943632435325,0.335927414941937,0.117079851444012,23,0.481768651914999,0.372266836952725,"Kidney"
"62","abtb2",-0.150112026167809,0.494193240343993,-0.0633825363425867,0.77387548327563,23,0.723148065966735,0.899911238912016,"Kidney"
"63","acaa1",-0.52563980120147,0.00999666576055457,-0.530861843979,0.00915352618891845,23,0.0814600097103652,0.118778384748408,"Kidney"
"64","acaa2",0.226902006550682,0.297802193000241,0.223690331872096,0.304876633454934,23,0.554461496745975,0.578917835541422,"Kidney"
"65","acaca",-0.476593297602087,0.0214933990170818,-0.370242886198725,0.082031798963761,23,0.124398384576017,0.313963092233888,"Kidney"
"66","acacb",0.0668815958173407,0.761733510413137,0.0585102119444016,0.790867947435356,23,0.890531738914536,0.908072052369611,"Kidney"
"67","acad11",-0.536539024223555,0.00830443112485553,-0.534484115241934,0.00860390014094604,23,0.0731987653209026,0.115642341500897,"Kidney"
"68","acad8",-0.541988635734598,0.00755176213752892,-0.456135792465457,0.0286968636448177,23,0.0695454427828599,0.197011971581999,"Kidney"
"69","acad9",-0.123359387840873,0.574955738356823,-0.0496609089886692,0.821962064202064,23,0.780555444717586,0.922327870474361,"Kidney"
"70","acadl",-0.52266728583181,0.0105045166248993,-0.447074521935916,0.0324477789671756,23,0.0839161088147237,0.207141975371535,"Kidney"
"71","acadm",-0.451822336188257,0.0304367670707407,-0.427745838414296,0.0417460665520477,23,0.151094646870059,0.231277178213389,"Kidney"
"72","acads",-0.357692682815703,0.0937895022344962,-0.43515590279003,0.0379621400275843,23,0.288465020157797,0.222142700214981,"Kidney"
"73","acadsb",-0.0376518613490214,0.864568108097007,-0.124960119196928,0.569965720224505,23,0.943955647537485,0.784999670932482,"Kidney"
"74","acadvl",-0.0143671576200213,0.948123756233146,0.0398381018551857,0.856780938629276,23,0.980316778183921,0.940092531468997,"Kidney"
"75","acap1",0.399803317219214,0.058735745667609,0.327223905338054,0.127480970454423,23,0.220546100649653,0.388880913631439,"Kidney"
"76","acap2",0.497896324417981,0.0156187895867229,0.414238085401577,0.0493983583932022,23,0.104039947860644,0.24861327565643,"Kidney"
"77","acat1",-0.456776528471023,0.028445318937645,-0.372206287870099,0.0802974653574594,23,0.145976432680886,0.311339706517975,"Kidney"
"78","acat2",0.0703495304152768,0.749752924892327,0.137719498409296,0.53089247716433,23,0.884392723322512,0.761736135967438,"Kidney"
"79","acbd3",0.116918937873277,0.595223394827729,0.0952565508113219,0.665491572728232,23,0.794798297799379,0.840957721205665,"Kidney"
"80","acbd4",-0.128313580123639,0.559574402009635,-0.107658294601183,0.624881775604879,23,0.770141808876095,0.817409278450646,"Kidney"
