"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",-0.455516676114452,0.0087965832967314,-0.43150224474536,0.0136672235118382,32,0.0807946550881416,0.107614454100878,"Kidney"
"2","aaas",0.148162405548123,0.418360855825195,0.20594763092919,0.258122765816984,32,0.689725798018791,0.571837684666975,"Kidney"
"3","aacs",-0.361766270618741,0.0418979266381313,-0.367035192154058,0.038790456447937,32,0.197491385341429,0.199798827338697,"Kidney"
"4","aadat",-0.413604730128134,0.018618510082555,-0.427993502648229,0.0145394721671294,32,0.12391330198344,0.111218935386893,"Kidney"
"5","aaed1",0.111765189296847,0.542525694465739,0.0894079651881734,0.626526288447545,32,0.779613343960827,0.853627973509638,"Kidney"
"6","aagab",-0.352575054393672,0.0477947046799198,-0.510037165275272,0.00286242522680187,32,0.213223852061335,0.0430273661454917,"Kidney"
"7","aak1",-0.0727944325025516,0.692156555643751,-0.169110307367825,0.354830649503679,32,0.864862047711113,0.669377021494973,"Kidney"
"8","aamdc",-0.41176648688312,0.0192021170371532,-0.391498586494487,0.0267030014885739,32,0.125693767975709,0.161836652942701,"Kidney"
"9","aamp",-0.332354378698518,0.063097138896328,-0.391505498524461,0.0267000848039536,32,0.249156091010844,0.161836652942701,"Kidney"
"10","aar2",-0.24154516239483,0.182911632052799,-0.232922444139947,0.199521012084305,32,0.447859617412233,0.501150264096464,"Kidney"
"11","aars",0.0452207838273427,0.805871569269726,0.100551436281822,0.583990380693589,32,0.920387392135274,0.831237727214122,"Kidney"
"12","aars2",-0.126838783905961,0.489085724565566,-0.113826065265305,0.535059834839498,32,0.745624546721592,0.804014250273677,"Kidney"
"13","aarsd1",-0.135662351482028,0.459104358069426,-0.0689657121047627,0.707619990563046,32,0.722062827248606,0.892662298625129,"Kidney"
"14","aasdh",0.220589189401672,0.225050388589202,0.246638198327724,0.173571152413852,32,0.503092711018943,0.466867710036151,"Kidney"
