"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",0.656430477466492,0.000669354438846995,0.648498018617315,0.00081708692539906,23,0.0210090925483267,0.0317034739858058,"Liver"
"2","aaas",-0.270003479410746,0.212771947660355,-0.382828742564075,0.0713886599821202,23,0.44990845301836,0.235461580212213,"Liver"
"3","aacs",-0.176864664494745,0.419490482622177,-0.272136505961773,0.209039414831257,23,0.649386258069749,0.432472940497313,"Liver"
"4","aadat",0.102056361024979,0.643103772742979,-0.0333621285097196,0.879882532010573,23,0.804372552301586,0.94014141600296,"Liver"
"5","aaed1",0.154075379994022,0.482728087979427,0.193591397839906,0.376118017470889,23,0.697592549394697,0.604436133018584,"Liver"
"6","aagab",-0.264553867899703,0.222509605729485,-0.310610041240549,0.149153828463551,23,0.459814409879473,0.358269421996859,"Liver"
"7","aak1",-0.141689899287107,0.518996746083992,-0.216358907586842,0.321409088920738,23,0.723074109617405,0.554790333755242,"Liver"
"8","aamdc",0.127322741667086,0.562635817402663,0.0856798558308379,0.697492553686332,23,0.754775740197931,0.837613530008394,"Liver"
"9","aamp",-0.651971704412002,0.000749273454815323,-0.657862733873023,0.000645289973621736,23,0.0218881291684967,0.0294643551161977,"Liver"
"10","aar2",-0.373546098120555,0.0791299023673118,-0.353336971267038,0.098149285705353,23,0.258634143422255,0.282477887346305,"Liver"
"11","aars",0.562796243322215,0.00517751267988616,0.451217597217006,0.030687260546209,23,0.0587357469846459,0.150189051585864,"Liver"
"12","aars2",0.00396335382621278,0.985680669005913,-3.85934368972674e-05,0.999860557571098,23,0.993535324109953,0.999989388205537,"Liver"
"13","aarsd1",-0.312609533042533,0.146416190187695,-0.228227899784459,0.294911504596793,23,0.363925798719622,0.526168208536565,"Liver"
"14","aasdh",-0.33490339831498,0.118270468642114,-0.474684457139883,0.0220965943765223,23,0.322692657000452,0.127939418351997,"Liver"
"15","aasdhppt",-0.478079555286917,0.0210329886154078,-0.432772300912804,0.0391486016813802,23,0.125139357006723,0.169457685300303,"Liver"
"16","aass",-0.214516525843767,0.325647296068275,-0.29845402439881,0.166578593557866,23,0.567449049175865,0.38087793531112,"Liver"
"17","aatf",-0.225911168094128,0.299973809170196,-0.297303474335138,0.168298190274395,23,0.542905810873345,0.383292007342605,"Liver"
"18","abat",0.459253624612406,0.0274893333999166,0.421733475239415,0.0450282872581781,23,0.146159133323054,0.183967314447253,"Liver"
"19","abca3",0.656430477466492,0.000669354438846995,0.629661444028291,0.00128396189312529,23,0.0210090925483267,0.0388764554394987,"Liver"
"20","abca5",0.332921721401874,0.120599486497067,0.303795161090212,0.158756017512433,23,0.326861560895951,0.371415426531293,"Liver"
