"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","a1cf",0.540401077742656,0.0016990724127567,0.416250673543018,0.0198498320674511,31,0.0700183699703815,0.264947871535913,"Liver"
"2","aaas",0.0578423309260478,0.757263090561539,0.0566340262385877,0.762187246741271,31,0.920997614845142,0.954010302285052,"Liver"
"3","aacs",0.258874767780913,0.159656684261538,0.156425773999148,0.400716545827243,31,0.521073695505143,0.82627254529587,"Liver"
"4","aadat",-0.545254979638548,0.00151329108771152,-0.355339005065659,0.0497978121463993,31,0.0647903309275951,0.391250882412472,"Liver"
"5","aaed1",-0.284559998646676,0.120774841392148,-0.247389694163638,0.179670366304212,31,0.461852614653799,0.631816536619302,"Liver"
"6","aagab",0.241077127495975,0.191392937669565,0.162651418795011,0.381991893933545,31,0.559520807171027,0.81142864093527,"Liver"
"7","aak1",-0.354941576137111,0.0500721109119562,-0.315468646184259,0.0838572717835074,31,0.320001947346052,0.485944584845034,"Liver"
"8","aamdc",0.257054554569954,0.162717064602758,0.26985692772249,0.142062994540927,31,0.523910914560658,0.586820185729195,"Liver"
"9","aamp",-0.249571455813787,0.175738925071928,-0.212793495666096,0.25042449633275,31,0.538346482339024,0.714942473986244,"Liver"
"10","aar2",-0.11487567820278,0.538317388365141,-0.0836349069356762,0.654652219805688,31,0.822930791646734,0.926001391155804,"Liver"
"11","aars",0.655479001857765,6.2724145462669e-05,0.303144118840011,0.0973690314178361,31,0.0152445535665655,0.512523285566012,"Liver"
"12","aars2",0.0357975264822044,0.848382503765932,0.0943062895709711,0.613822436869375,31,0.953320754586422,0.915604018649433,"Liver"
"13","aarsd1",-0.0483367730465924,0.796237919859007,-0.0147297444252769,0.937314483010308,31,0.934412738065858,0.990120490333508,"Liver"
"14","aasdh",-0.164425926723346,0.376749451889014,-0.206198773391312,0.265751603320646,31,0.718625196235621,0.729763994758487,"Liver"
"15","aasdhppt",-0.0499547403452231,0.789566989403738,-0.00638840117223388,0.972791267577885,31,0.932455731685171,0.994936799668827,"Liver"
"16","aass",-0.275863424416536,0.133059359563309,-0.286503641654988,0.11814819211953,31,0.482616274683978,0.551896423348431,"Liver"
"17","aatf",0.00384267233424793,0.983631820469951,0.0361370720962966,0.846961142666401,31,0.994857626561507,0.972675558974919,"Liver"
"18","abat",0.0576400850137189,0.758086651088027,0.0286368856463243,0.878459518044756,31,0.921380275173931,0.979475406667358,"Liver"
"19","abca3",0.00283144277260374,0.987938869847889,-0.146648834096493,0.431151624608363,31,0.996823363259833,0.845053862642323,"Liver"
"20","abca5",0.212155962032951,0.251880126833468,0.174549637297778,0.347653315903148,31,0.614451751176235,0.794559291216418,"Liver"
"21","abcb1",0.0495502485205654,0.791233372606121,0.19578783817003,0.291168181545099,31,0.933060408155157,0.75021410569659,"Liver"
"22","abcb10",-0.223481733123366,0.226848141152218,-0.245952769777125,0.182293214074352,31,0.592019458983125,0.634312933696135,"Liver"
"23","abcb6",-0.284155506822018,0.121326871161285,-0.149043709902853,0.423581548492335,31,0.463125131996072,0.840574277514557,"Liver"
"24","abcb7",-0.105370120323325,0.572657940140269,-0.101626058647631,0.586448811143685,31,0.843283067092451,0.906001215961678,"Liver"
"25","abcb9",0.188493190290477,0.309868685914643,0.195373465793981,0.292210775949934,31,0.665474641009367,0.75038442500457,"Liver"
"26","abcc10",-0.131055351189087,0.482218104134747,-0.146535778975096,0.431510812271743,31,0.792112771704427,0.845214300451283,"Liver"
"27","abcc2",0.00465165598356328,0.980186500605715,-0.00645376828455519,0.972512967425736,31,0.993911307583312,0.994936799668827,"Liver"
"28","abcc4",-0.28031283448777,0.126664705019638,-0.30716714860003,0.0927888184438184,31,0.471430780239023,0.501455307521753,"Liver"
"29","abcc5",-0.174335976427459,0.348253021201658,-0.0366035962484127,0.845009010455452,31,0.697331416920305,0.972675558974919,"Liver"
"30","abcd2",-0.405098562394663,0.0237772529318383,-0.507607821868684,0.00355784812811983,31,0.233407534008666,0.117724828531756,"Liver"
"31","abcd3",0.197392010432946,0.287154321703591,0.13593376776312,0.4659160172395,31,0.645346110826319,0.861852822431205,"Liver"
"32","abcd4",0.272020752082288,0.138769805948475,0.0947890706052464,0.612000641270828,31,0.492199762324384,0.915472205178057,"Liver"
"33","abce1",-0.2054818469261,0.26745391322012,-0.191332488948831,0.302502548087235,31,0.629423109050804,0.75987484868984,"Liver"
"34","abcf1",-0.46314313923304,0.00869496633772204,-0.415179912965933,0.0202019572556869,31,0.150044312671274,0.265172990721872,"Liver"
"35","abcf2",-0.131662088926074,0.480174731885049,-0.0147840809260823,0.937083696377695,31,0.79162929324564,0.990004926150957,"Liver"
"36","abcf3",0.0891904473370177,0.633264432179851,0.0954520303792446,0.60950263385992,31,0.870996326135799,0.915226008055819,"Liver"
"37","abcg5",-0.207504306049388,0.262669861589655,-0.239538193296295,0.194329731276794,31,0.624426028123373,0.651215511767047,"Liver"
"38","abcg8",-0.237032209249399,0.199178733162111,-0.172421380031562,0.353654683679753,31,0.567616839524045,0.797724721976268,"Liver"
"39","abhd10",-0.0703815774904357,0.706744683401893,0.0142209915455705,0.939475578730459,31,0.903609299107364,0.990778931691594,"Liver"
"40","abhd12b",-0.0778646762466028,0.67715418703587,-0.110894250977527,0.552581254508616,31,0.892890959557339,0.900153009718369,"Liver"
"41","abhd13",-0.119729580098672,0.521168139504745,-0.0667886868832157,0.721105867553201,31,0.815000472845957,0.947746750462992,"Liver"
"42","abhd14a",0.300537425720654,0.100426824097738,0.0285627574105919,0.878771825220367,31,0.425940141161524,0.979620393133532,"Liver"
"43","abhd14b",0.115684661852096,0.535440672759594,0.221163411059315,0.231829781551407,31,0.821804486603165,0.697691479838753,"Liver"
"44","abhd16a",0.0999094806904461,0.592820000629639,0.117442628095573,0.529214824329829,31,0.854035633502283,0.889370039614365,"Liver"
"45","abhd17b",-0.274245457117905,0.135442379731638,-0.235912992987847,0.201371201718149,31,0.486387440730818,0.660435316008563,"Liver"
"46","abhd18",-0.0214380667068569,0.90886526589348,0.0445896608572333,0.811740901186151,31,0.971754964702685,0.967114077346253,"Liver"
"47","abhd2",0.294874540175446,0.107318811735294,0.294061933945307,0.108336193842855,31,0.439151211211298,0.537895606428899,"Liver"
"48","abhd4",0.218627831227474,0.23736190424068,0.263734435425126,0.151688391120207,31,0.60282312874592,0.60186192256305,"Liver"
"49","abhd5",-0.0889882014246889,0.634038102744433,-0.0948464689992342,0.611784196699309,31,0.871303933645651,0.915472205178057,"Liver"
"50","abhd6",0.356155051611084,0.0492383309077516,0.224687471801461,0.224286031643975,31,0.317555912261545,0.688560290461262,"Liver"
"51","abi1",-0.171504533654855,0.356259047417485,-0.226576918489096,0.220310623582427,31,0.703141396655004,0.682835841367993,"Liver"
"52","abi2",0.0182021321095955,0.92257682716207,0.0331864900883389,0.859327767903093,31,0.975305128424399,0.974347480886348,"Liver"
"53","abl1",-0.225504192246655,0.222561730070849,-0.2278131638512,0.217735619139363,31,0.588959032196255,0.679820025937646,"Liver"
"54","abl2",0.0179998861972666,0.923434564504408,0.0925018843121528,0.620651384592123,31,0.975305128424399,0.917154267366602,"Liver"
"55","abracl",-0.264942145150778,0.149753446240791,-0.167073802523538,0.369005460484465,31,0.507304310133534,0.80577286534698,"Liver"
"56","abt1",-0.0594602982246785,0.750684070936324,-0.0157771773071818,0.932866559932478,31,0.917044460283019,0.989389732531952,"Liver"
"57","abtb1",0.203257141890483,0.272781485886125,0.196148076900294,0.290263719289322,31,0.632910979610924,0.75021410569659,"Liver"
"58","abtb2",0.270605030695986,0.140918069061875,0.27354374140244,0.136485549662261,31,0.495245338109023,0.578433078661728,"Liver"
"59","acaa1",-0.0572355931890613,0.759734551670698,0.0329344845815251,0.860385545030411,31,0.921791859580925,0.974347480886348,"Liver"
"60","acaa2",0.224290716772682,0.22512693593492,0.164303416983396,0.377110026352224,31,0.590567927779598,0.80969590735583,"Liver"
"61","acaca",0.21943681487679,0.235587357249855,0.190639808347437,0.304289343846514,31,0.601813863823305,0.760437626278267,"Liver"
"62","acacb",-0.0135504761260322,0.942324456811926,0.0347138943831518,0.852921765042069,31,0.981029971344578,0.973758679991177,"Liver"
"63","acad11",0.118111612800042,0.526854810129829,0.103179139634879,0.580710506361375,31,0.817437684717841,0.905315205577464,"Liver"
"64","acad8",0.301953147106956,0.0987572403651506,0.321423075647036,0.077868095916525,31,0.422108096845718,0.472505603713079,"Liver"
"65","acad9",-0.111033005868532,0.552081213446124,-0.146584776317468,0.431355122545019,31,0.83133617134063,0.845053862642323,"Liver"
"66","acadl",0.335121476728885,0.0653436558705258,0.32698919271286,0.0725730001312472,31,0.358640169271188,0.459170060241286,"Liver"
"67","acadm",0.437660154279606,0.0138056636937231,0.382726488896698,0.0335844830883118,31,0.183395362673536,0.325963447998089,"Liver"
"68","acads",0.360604461682319,0.0462750822762186,0.375885381473532,0.0371644041564161,31,0.309796153030385,0.343784302098001,"Liver"
"69","acadsb",0.0804938731068777,0.666865893881862,0.0711895214448341,0.703528609617225,31,0.888476815934067,0.941841617247905,"Liver"
"70","acadvl",0.225908684071312,0.22171108337548,0.185067288381471,0.318904688245234,31,0.588551436870017,0.771740312422237,"Liver"
"71","acap2",0.175347205989103,0.345420193207387,0.0196074561985774,0.916619167818711,31,0.694181748892678,0.98737765243394,"Liver"
"72","acat1",-0.0912129064603061,0.625548725063415,0.0222765220908146,0.905316528630991,31,0.867919749587109,0.984941957356626,"Liver"
"73","acat2",0.176560681463076,0.342039225578971,0.143151105184968,0.442340063269172,31,0.691003205127099,0.852227536970674,"Liver"
"74","acbd3",0.296896999298735,0.104817823940811,0.251532003169561,0.172258282474338,31,0.435526650098984,0.622031389846906,"Liver"
"75","acbd4",0.159976516652111,0.389973952261325,0.0765421660138216,0.682351084413603,31,0.728177382791775,0.934756814698259,"Liver"
"76","acbd5",0.418446792608367,0.0191434867671071,0.396069120273451,0.0274058861209487,31,0.210412322462747,0.300566154543538,"Liver"
"77","acbd6",0.0230560340054876,0.902018872167824,-0.036000043281682,0.847534698135456,31,0.969918288999377,0.972688193789126,"Liver"
"78","accs",0.20366163371514,0.271807759288076,0.157356663756863,0.397884033373886,31,0.632707403104876,0.82378440695103,"Liver"
"79","ace",0.454042073178242,0.0102962326521202,0.421401393737562,0.018226122785489,31,0.162290745140849,0.253823795670882,"Liver"
"80","acer2",0.183234796569928,0.323804341993056,0.111992979826606,0.548627462957653,31,0.678276434062481,0.899459545557665,"Liver"
"81","acer3",0.0823140863178372,0.659777695743244,0.115554707959766,0.535902288762247,31,0.885174966986464,0.893381965993679,"Liver"
"82","acin1",-0.11831385871237,0.526142339308934,-0.0539613618175993,0.773111244577743,31,0.817132581625259,0.957214981480773,"Liver"
"83","ackr3",-0.201841420504181,0.276207307107622,-0.187627055724814,0.312137882630293,31,0.636084899686516,0.764686523598241,"Liver"
"84","acly",-0.17231351730417,0.35396048195497,-0.272276697765074,0.138383989324019,31,0.701554768191326,0.581478878217273,"Liver"
"85","acmsd",0.0107190333534284,0.954361958709022,0.0666287594955327,0.721747328076883,31,0.985305833215433,0.947746750462992,"Liver"
"86","aco1",0.506221518559082,0.00366497756675087,0.385388334689871,0.0322693616550174,31,0.102072729661363,0.319491890823466,"Liver"
"87","aco2",-0.0327638377972718,0.86110195895207,-0.063035394485334,0.736208262852697,31,0.957342321765031,0.951020685662536,"Liver"
"88","acot11",0.471232975726193,0.00745363827170647,0.527561153864345,0.00228925434195129,31,0.141619127162423,0.0915196223203428,"Liver"
"89","acot13",0.230762585967205,0.211675199303704,0.171841360206425,0.355300941465864,31,0.578137888098242,0.798497753359975,"Liver"
"90","acot8",0.196987518608289,0.288163063996255,0.123568512733962,0.50779632829035,31,0.646123586345461,0.879789362657249,"Liver"
"91","acot9",0.143999089578133,0.439613206947049,0.220908061581957,0.2323829413829,31,0.763180571457527,0.69780653118007,"Liver"
"92","acox1",-0.0345840510082314,0.853465982712697,-0.0450537348873194,0.809816956534545,31,0.955221619616534,0.966426845534401,"Liver"
"93","acox3",0.0362020183068621,0.846689326977292,-0.0202426059181114,0.913927981940849,31,0.95319302130081,0.98664011932014,"Liver"
"94","acp1",-0.169684320443895,0.361463303349482,-0.0595946715917257,0.750138442999226,31,0.707463234493896,0.952497782548786,"Liver"
"95","acp2",0.226110929983641,0.22128658838325,0.180248913271573,0.331886790440905,31,0.588163786615127,0.783695492192758,"Liver"
"96","acp5",-0.0709883152274223,0.704329057033911,-0.0769390695140527,0.680789911902189,31,0.902341502202866,0.934669893366189,"Liver"
"97","acp6",-0.110830759956203,0.552810131871933,-0.220180276853387,0.233964395293087,31,0.831544546138045,0.698833574418158,"Liver"
"98","acp7",-0.192740354449383,0.298891321998829,-0.190397072818255,0.304917056520737,31,0.655564161248038,0.760437626278267,"Liver"
"99","acsbg2",-0.224695208597339,0.224269655021911,-0.0915451356129795,0.624284945127758,31,0.590274005834409,0.917716018529098,"Liver"
"100","acsf3",0.120538563747988,0.518336074086637,0.113560611389884,0.543009331212605,31,0.813079968671858,0.897204335652849,"Liver"
"101","acsl1",0.439075875665908,0.0134674239408891,0.406846216014221,0.0231227154931349,31,0.181440242899774,0.279313771142445,"Liver"
