"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",0.0351747652076384,0.873405988839667,-0.000858181749451864,0.996899300018747,23,0.935924275967187,0.998639082404092,"Muscle"
"2","aacs",-0.281398121661107,0.193343578695799,-0.29145446957486,0.177230926446888,23,0.396331373906114,0.387562218199776,"Muscle"
"3","aadat",0.460244463068959,0.0271141994015341,0.281343361346604,0.193433954995191,23,0.115402500556979,0.408561697917426,"Muscle"
"4","aaed1",-0.129304418580192,0.55652049640222,-0.161074645239717,0.462812745204925,23,0.734038676860286,0.667805121393887,"Muscle"
"5","aagab",0.230865360376894,0.289213336263952,0.215977028851025,0.32228480706351,23,0.503865200846508,0.545671137268177,"Muscle"
"6","aak1",0.329949206032214,0.124155080595914,0.27426455593374,0.205359630635382,23,0.300425397892569,0.422176829543081,"Muscle"
"7","aamdc",0.332426302173597,0.121186898931744,0.328048169440066,0.126468363236353,23,0.295681522406058,0.3163002654348,"Muscle"
"8","aamp",0.417638409437172,0.0473767671763226,0.32910036334957,0.125184188871529,23,0.164046389248012,0.314697949783106,"Muscle"
"9","aar2",0.691109823445854,0.000260665354815682,0.684007905511651,0.000319412010985721,23,0.00667403389267167,0.0121716717225234,"Muscle"
"10","aars",-0.433987243970299,0.0385402621703115,-0.465693433502131,0.02512365894467,23,0.145166671707482,0.124317120703559,"Muscle"
"11","aars2",0.219470718126533,0.314326886385002,0.167857718483686,0.443925740410606,23,0.530666254333068,0.651015497806055,"Muscle"
"12","aarsd1",-0.0871937841766812,0.692398714685815,-0.232443501345003,0.285836895294012,23,0.8296456667066,0.509787635650189,"Muscle"
"13","aasdh",-0.213525687387214,0.327940469617692,-0.287591516420258,0.183306757033687,23,0.543947386066836,0.395950152008424,"Muscle"
"14","aasdhppt",0.118405195558107,0.590519507601927,0.304694599549136,0.157464498208786,23,0.759291121474835,0.361019167560728,"Muscle"
"15","aass",0.143176156971937,0.51457683366912,0.107790432323102,0.624454458428753,23,0.702788747603767,0.786760521828027,"Muscle"
"16","aatf",0.176864664494745,0.419490482622177,0.138887925163342,0.527378489659132,23,0.626843030204722,0.715980800464233,"Muscle"
"17","aatk",0.105028876394639,0.63340914165972,0.0352589194951743,0.873105493574574,23,0.791141283610571,0.936559969016054,"Muscle"
"18","abat",0.66980679662996,0.000471942408304692,0.696749397398298,0.000220923508418272,23,0.00956335230972119,0.0104189339414438,"Muscle"
