"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.433825405823287,0.0131141725665803,-0.405797898551416,0.0212025511995795,32,0.0568913410603955,0.0877307815691898,"Muscle"
"2","aacs",-0.412501784181126,0.0189668801893133,-0.480430672497593,0.00538487959220839,32,0.0732591383383704,0.0333186589426912,"Muscle"
"3","aadat",-0.444487216644368,0.0108107042297087,-0.485161203011411,0.00488564975817023,32,0.0501099509088645,0.0310941548083893,"Muscle"
"4","aaed1",-0.0128677027150975,0.944275296603195,0.0454834155391564,0.804765682111547,32,0.968404652084363,0.90298450153089,"Muscle"
"5","aagab",0.097794540634741,0.594394466962975,0.138934797232659,0.448239049311947,32,0.737233836461972,0.654686625767445,"Muscle"
"6","aak1",0.313604297599376,0.0804934896259459,0.123299805559385,0.501385505703942,32,0.196341559135755,0.697297073781973,"Muscle"
"7","aamdc",0.486766811279689,0.00472548780995409,0.506818893703768,0.00307432274373027,32,0.0286474166076829,0.0226340290894649,"Muscle"
"8","aamp",-0.0264707027282006,0.885651846244314,-0.0638190127843713,0.728587121706326,32,0.932769769088889,0.857343285327584,"Muscle"
"9","aar2",0.623532108708725,0.000137540039670431,0.454955975826307,0.00889068500874961,32,0.00279436465106357,0.0478370960049535,"Muscle"
"10","aars",-0.0602943784364569,0.743059192062615,-0.0821525001396105,0.654880745489652,32,0.840699104383251,0.811228138851197,"Muscle"
"11","aars2",-0.0992651352307522,0.588834664315164,0.0547585063997421,0.765962582707242,32,0.732626832468697,0.881503690277549,"Muscle"
"12","aarsd1",-0.308089567864335,0.0862556362676123,-0.320453589637229,0.0737552737717698,32,0.205549811994639,0.208245416296972,"Muscle"
"13","aasdh",-0.121691702819922,0.507025391296346,-0.142315054734626,0.437162926392061,32,0.667715256656986,0.645009121116561,"Muscle"
"14","aasdhppt",0.265442324580011,0.142018551340229,0.225530435576203,0.214569034668617,32,0.287461830045009,0.416194374934407,"Muscle"
"15","aass",-0.36286921656575,0.0412314314953137,-0.323754977474711,0.070667883044226,32,0.126150488905366,0.202504981279094,"Muscle"
"16","aatf",-0.188236108289426,0.30220394640271,-0.077083762611549,0.674976589495843,32,0.474665715217002,0.823695221808488,"Muscle"
"17","aatk",-0.010294162172078,0.955407840052583,-0.0817425447570238,0.656497524312433,32,0.974041210614408,0.812066706073711,"Muscle"
"18","abat",0.655149892522965,4.71929674227745e-05,0.471017358174471,0.00650927608118614,32,0.00140897865543321,0.0382063059021445,"Muscle"
"19","abca3",0.101471027124769,0.580537983372524,-0.0559550246036018,0.76099505248709,32,0.726426649438538,0.878448434261915,"Muscle"
"20","abca5",-0.0849268379196435,0.643979975362366,-0.19691412686298,0.28004581759202,32,0.774727424905634,0.494692330477624,"Muscle"
"21","abcb10",-0.500002162643789,0.00356835630894073,-0.641032016584592,7.72198973768163e-05,32,0.0237928215261146,0.00161119754626144,"Muscle"
"22","abcb6",-0.349266216552647,0.0500727451009415,-0.232868414818817,0.199628273402533,32,0.143264229214595,0.397394608003565,"Muscle"
"23","abcb7",-0.39191345983697,0.0265283981784486,-0.361663927717879,0.0419602070555411,32,0.0928683605441448,0.142016931207107,"Muscle"
"24","abcb9",0.0915445136016937,0.618273195588428,0.099704001862233,0.587179889532163,32,0.755056116561225,0.763687391299623,"Muscle"
"25","abcc10",0.061764973032468,0.737010161535015,0.16806511137304,0.357855949192066,32,0.836949537130872,0.573958332739165,"Muscle"
"26","abcc2",0.16764778394527,0.359068185138086,0.160381149533814,0.380566666100687,32,0.53222528471174,0.594949314426671,"Muscle"
"27","abcc4",0.40772235174409,0.0205395652699648,0.39017716872125,0.0272654177154313,32,0.07724159607028,0.104542344250057,"Muscle"
"28","abcc5",0.265442324580011,0.142018551340229,0.16936097674705,0.354107376699866,32,0.287461830045009,0.570463177927653,"Muscle"
"29","abcc8",-0.473531459915588,0.0061909673263954,-0.595939338937588,0.000319524688696153,32,0.034034101443646,0.00444039560289289,"Muscle"
"30","abcd3",0.655517541171967,4.65759484649849e-05,0.60884746763109,0.000217503439756448,32,0.00140772450000445,0.00337728121203221,"Muscle"
"31","abcd4",-0.0676473514165126,0.712971555366327,-0.0534848944476417,0.771260227366326,32,0.821331862649391,0.884471135156428,"Muscle"
"32","abce1",-0.461031405849494,0.00791515931646214,-0.389672116601657,0.0274829207510525,32,0.0403560483163875,0.105074602527905,"Muscle"
"33","abcf1",-0.462502000445505,0.00769320459334782,-0.499415641362898,0.00361389538497618,32,0.039623240628221,0.0251347108474977,"Muscle"
"34","abcf2",-0.534928784299053,0.00160846446022131,-0.410318508452934,0.0196724295584743,32,0.0140635324143993,0.0831324274408599,"Muscle"
"35","abcf3",-0.118382864978897,0.518728702413859,0.0281214390040734,0.878571952514065,32,0.677840575549967,0.93986915814428,"Muscle"
"36","abhd10",-0.0341913243572591,0.852621821893697,-0.0538148355959875,0.769886840254433,32,0.9117764954715,0.883781478313329,"Muscle"
"37","abhd12b",0.345957378711622,0.0524363049420351,0.307871087954357,0.0864902583731111,32,0.147583231134998,0.231483494241734,"Muscle"
"38","abhd13",-0.255515811056936,0.158107671484852,-0.253422708530775,0.161660978575841,32,0.308138992495819,0.347168126597525,"Muscle"
"39","abhd14a",0.44742840583639,0.0102389446466246,0.445670013262915,0.0105776171474469,32,0.0482824583994443,0.0540621497142825,"Muscle"
"40","abhd14b",0.351472108446663,0.0485446798699846,0.450388346200775,0.00968952727814509,32,0.140285815976825,0.0507039613436974,"Muscle"
"41","abhd16a",-0.42757537879024,0.0146464515320935,-0.538706863688687,0.00146802495963991,32,0.0615393954676552,0.0132322750642325,"Muscle"
"42","abhd17b",-0.560296541080246,0.000852880344094441,-0.556728397338665,0.000935337401049956,32,0.00917127333411658,0.00952785789460666,"Muscle"
"43","abhd18",-0.309927811109349,0.0843008461464903,-0.239483097313134,0.186792114854351,32,0.202468137515663,0.380658903315144,"Muscle"
"44","abhd2",0.435296000419299,0.0127738812409099,0.275397934077223,0.127114992998244,32,0.0558605363345419,0.298178238925457,"Muscle"
"45","abhd3",-0.327207297612479,0.067547883983533,-0.228058412253109,0.209337953137993,32,0.174931394187962,0.409285930206838,"Muscle"
"46","abhd4",0.05147081086039,0.779658510540619,0.0020398797594087,0.991159468561846,32,0.865181223942823,0.996382523522103,"Muscle"
"47","abhd5",0.265809973229014,0.141446503573143,0.170189731482295,0.351722414943905,32,0.286857336875037,0.568804420688212,"Muscle"
"48","abi1",-0.252574621864914,0.16311687534458,-0.277582412130214,0.124005427712386,32,0.3146866012525,0.293414260255675,"Muscle"
"49","abi2",-0.570223054603321,0.000656124345363666,-0.599781567954038,0.00028544928315815,32,0.00788691531018567,0.00409069709298543,"Muscle"
