"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",0.00566253685182569,0.980047473326855,-0.0771220260536359,0.733007353727011,22,0.992635345969931,0.887649880982747,"Skin"
"2","aacs",0.348812270072463,0.111606670181132,0.38075880654621,0.0804269018337419,22,0.353476462103984,0.287809256642476,"Skin"
"3","aadat",0.253681650961791,0.25463004876461,0.32299132947897,0.142603358780962,22,0.554901947365354,0.397538954192493,"Skin"
"4","aaed1",0.14099716761046,0.53139956153755,0.133747600130463,0.552920587997514,22,0.787962804184651,0.796682013167393,"Skin"
"5","aagab",-0.212345131943464,0.342758173639659,-0.151008300928354,0.502341318379993,22,0.644392932848158,0.763114328727827,"Skin"
"6","aak1",0.151755987628929,0.500202701092345,0.168810756335658,0.452659365473407,22,0.767701622608211,0.726139289141886,"Skin"
"7","aamdc",0.545302298830814,0.00867259144815788,0.4867014133428,0.0216169799536606,22,0.0746816229203605,0.13836979314194,"Skin"
"8","aamp",0.146093450777103,0.516509503987516,0.0556335061933725,0.805757719710041,22,0.778489194002244,0.920478446446895,"Skin"
"9","aar2",-0.0787092622403772,0.727712325197631,0.000855000212398584,0.996987036269948,22,0.895084057993302,0.998804857592402,"Skin"
"10","aars",-0.38788377435006,0.0744680136418615,-0.259653774518138,0.243233060485246,22,0.280374375853631,0.533558044132718,"Skin"
"11","aars2",0.0101925663332862,0.964093188796612,0.0232981709513231,0.918032140278732,22,0.988347835376028,0.969319428493727,"Skin"
"12","aarsd1",-0.0906005896292111,0.688438254921354,-0.176514609424347,0.431985201098782,22,0.876788454918156,0.70907192376783,"Skin"
"13","aasdh",-0.0266139232035808,0.906413051321928,-0.0554575113500523,0.806360904737145,22,0.968687006096524,0.920646738715082,"Skin"
"14","aasdhppt",-0.116082005462427,0.606947425958265,-0.095276730862135,0.67319765439221,22,0.833720605350574,0.859496025227167,"Skin"
"15","aass",-0.290488140498658,0.189698295829048,-0.314339634018966,0.154234091136312,22,0.472871516589517,0.415807102615511,"Skin"
"16","aatf",0.359571090090932,0.100259094327388,0.39990490022193,0.065176520720078,22,0.331852536665062,0.256096598865799,"Skin"
"17","aatk",-0.532278464071615,0.010771044646176,-0.548574538125331,0.00820207473573925,22,0.0860118159673305,0.0807976800091351,"Skin"
"18","abat",-0.0294451916294936,0.896506213872138,-0.0221413497106154,0.922089806670052,22,0.964575222088568,0.970282058257306,"Skin"
"19","abca12",0.426389024942475,0.0478346727825988,0.468320446565216,0.0279323514987099,22,0.218085648154712,0.161258414487171,"Skin"
"20","abca3",0.305210736313405,0.167210480929665,0.361144885749685,0.0986731425068316,22,0.440813515195014,0.322343620314319,"Skin"
"21","abca5",-0.0537941000923441,0.812067100196225,0.0136825391990979,0.951810606503851,22,0.932448356319422,0.982378359121378,"Skin"
"22","abcb10",-0.195923775073169,0.382207715736795,-0.0718761795085129,0.750589914160077,22,0.677434341534321,0.89675692124732,"Skin"
"23","abcb6",-0.0962631264810368,0.669998284819534,-0.0244708532462816,0.913920849880158,22,0.866784200617585,0.968205861177306,"Skin"
"24","abcb7",-0.048697816925701,0.829605738127249,0.107107936697284,0.63519720519604,22,0.940039551458318,0.840228235874386,"Skin"
"25","abcb9",-0.0373727432220496,0.868850652918845,0.0243072042887171,0.914494459220427,22,0.953675291349832,0.968468690675654,"Skin"
"26","abcc10",-0.218007668795289,0.329734315590814,-0.270327120091278,0.223700481796632,22,0.633829657765302,0.510694317979095,"Skin"
"27","abcc2",-0.725937224404054,0.000131079367395171,-0.5928486683394,0.00364049734029932,22,0.00461296459678089,0.0496465902300386,"Skin"
"28","abcc4",-0.179502418202874,0.424105282357602,-0.114030234918707,0.613360532205907,22,0.711282520125741,0.829113511615237,"Skin"
"29","abcc5",0.221971444591567,0.320796209878367,0.2427185753564,0.276429291346908,22,0.624471067755226,0.569735128008469,"Skin"
"30","abcc8",0.108720707555053,0.630082562529647,-0.0673563781669779,0.765835803998594,22,0.846054102291484,0.904375751964834,"Skin"
