"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.415810622022151,0.0179376888342251,-0.540060844950345,0.00142036949215316,32,0.0686405915470952,0.0120013580589073,"Skin"
"2","aacs",0.159559513667209,0.383043760766384,0.140105226728212,0.444386879819249,32,0.550168462239247,0.634255296078067,"Skin"
"3","aadat",0.110662243349839,0.54654143057818,0.0691282447072322,0.706961170976798,32,0.693406173287024,0.834747253041956,"Skin"
"4","aaed1",0.295957162447243,0.100040309761639,0.259963069079343,0.150744878441232,32,0.221158091283593,0.312464993754779,"Skin"
"5","aagab",0.341545594923588,0.0557244146494202,0.261950598727509,0.147535816216776,32,0.147831099711352,0.308197350561475,"Skin"
"6","aak1",0.066912054118507,0.715962170010041,-0.0110590179821982,0.952098294204337,32,0.822299858005213,0.976024190171064,"Skin"
"7","aamdc",0.49228154101473,0.00420922536508919,0.452139483393126,0.00937637738102055,32,0.0255970052283566,0.0451684372314137,"Skin"
"8","aamp",0.0845591892706408,0.645420411328466,0.0422965354447143,0.818209401721529,32,0.771631541595244,0.90522363990979,"Skin"
"9","aar2",0.110294594700836,0.547883106831408,0.160153227652836,0.381252874649142,32,0.694592491531404,0.57556885592193,"Skin"
"10","aars",-0.00698532433105293,0.96973296160325,0.0125959449947197,0.945450406346715,32,0.983610144890844,0.972311972122588,"Skin"
"11","aars2",0.196324378567488,0.281517562772007,0.215322015317003,0.236599389649181,32,0.44812999788197,0.424002389213944,"Skin"
"12","aarsd1",-0.31544254084439,0.0786402053817993,-0.334201984279877,0.0615568150613957,32,0.188089049052352,0.169692931697376,"Skin"
"13","aasdh",-0.0665444054695042,0.717459032825316,-0.10383999882101,0.571686281838814,32,0.823520709496173,0.737801833361334,"Skin"
"14","aasdhppt",-0.134927054184022,0.461564834997877,-0.167527098140413,0.359419204418238,32,0.621116315695111,0.554666080935256,"Skin"
"15","aass",-0.259559946195967,0.151401869941681,-0.346258926801626,0.0522173063953546,32,0.29322525423399,0.150653540824032,"Skin"
"16","aatf",-0.195221432620479,0.284283359239848,-0.00658522101148078,0.971465865092814,32,0.451019628729923,0.98584250567368,"Skin"
"17","aatk",-0.387501676048936,0.0284338530294805,-0.44782089877436,0.0101646122324128,32,0.0935851786993423,0.0478852471467389,"Skin"
"18","abat",0.058456135191443,0.750641663625291,0.0745652223987791,0.68504522752849,32,0.846870147153241,0.819485477590015,"Skin"
"19","abca12",0.416178270671154,0.0178262555426257,0.339817491566152,0.0570559361392069,32,0.0684134120824829,0.160644387857249,"Skin"
"20","abca3",0.172059567733304,0.346377038805417,0.0571006893386024,0.756247392066142,32,0.515761207886517,0.86740199766829,"Skin"
"21","abca5",0.0301471892182284,0.869896282078799,0.00869380124127528,0.962334929929168,32,0.926349248205851,0.98129210082677,"Skin"
"22","abcb10",0.178677243415354,0.327856250577425,0.283672532119537,0.115633869515634,32,0.497154058798364,0.262422978486258,"Skin"
"23","abcb6",-0.583826054616424,0.000451786593758315,-0.550445371382419,0.00109765603958906,32,0.00606238695567914,0.0100483175071063,"Skin"
"24","abcb7",0.0121324054170919,0.947455060199972,0.0839190665481731,0.647931404562188,32,0.971804211500896,0.792380029548346,"Skin"
"25","abcb9",-0.161397756912223,0.377514726291714,-0.110248062443159,0.54805302910531,32,0.544608272486704,0.720307905145565,"Skin"
"26","abcc10",-0.436398946366307,0.0125235539573847,-0.385997670910576,0.0291084407297479,32,0.0536158768671795,0.100633552832535,"Skin"
"27","abcc2",-0.788238703461973,8.49672676352586e-08,-0.743074100960197,1.10959243696963e-06,32,5.18361023480531e-05,0.000139027266588786,"Skin"
"28","abcc4",-0.505149243729828,0.00318950389372999,-0.526591980125009,0.00196047765340387,32,0.0213994915603675,0.0151011493967833,"Skin"
"29","abcc5",0.135662351482028,0.459104358069426,-0.00360872947973712,0.984360957073099,32,0.619073306326329,0.992788207399344,"Skin"
"30","abcc8",0.265074675931009,0.142592283190617,0.150992661323024,0.409425164927857,32,0.282178102579023,0.602616353540038,"Skin"
