"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.192718079799596,0.378316791218112,-0.279367878270579,0.196713523311907,23,0.621538986292717,0.492117830720082,"SpinalCord"
"2","aacs",-0.150112026167809,0.494193240343993,-0.0724385000490073,0.74256292585454,23,0.717556146790121,0.904800637903235,"SpinalCord"
"3","aadat",-0.436959759339959,0.0370832199927042,-0.45108274859619,0.0307433400254355,23,0.164639525387173,0.184411898373682,"SpinalCord"
"4","aaed1",-0.239782906485873,0.270459907063191,-0.167163827590341,0.445838885971835,23,0.519258079388663,0.733037357972234,"SpinalCord"
"5","aagab",-0.447363563133768,0.0323224154695445,-0.50165259777522,0.0147336922271532,23,0.152593350625631,0.124306379380206,"SpinalCord"
"6","aak1",-0.207085237419618,0.343081614751985,-0.239850223718482,0.270321350154862,23,0.590072033705528,0.574061960252363,"SpinalCord"
"7","aamdc",0.249691291051405,0.250550547468803,0.265036106343678,0.221636202098422,23,0.498783352631741,0.523944480226003,"SpinalCord"
"8","aamp",-0.42952847091581,0.0408098647274147,-0.472881259648289,0.0226788532370717,23,0.174199094968615,0.15743271624632,"SpinalCord"
"9","aar2",-0.658907573607875,0.00062820755233583,-0.627838305227291,0.00133931855263991,23,0.0155855689765391,0.0374827297379389,"SpinalCord"
"10","aars",-0.0777808188394258,0.724270936465767,-0.0379943421682904,0.863347401867003,23,0.864081303483794,0.950163350454445,"SpinalCord"
"11","aars2",-0.185782210603724,0.396038146728472,-0.181839357006046,0.406315582311257,23,0.63763606458393,0.700212556056101,"SpinalCord"
"12","aarsd1",-0.151598283852639,0.489878065925685,-0.156968573534659,0.474444097311427,23,0.714323151631111,0.754047613957826,"SpinalCord"
"13","aasdh",0.271489737095576,0.210166506070489,0.239220776049955,0.271618682683255,23,0.454632831575343,0.575102981025402,"SpinalCord"
"14","aasdhppt",0.406739186415087,0.0540932187198983,0.385335706814615,0.0694001007810658,23,0.204590722381954,0.282332228177518,"SpinalCord"
"15","aass",-0.147634930026426,0.501426817756324,-0.243971460158162,0.261924603373685,23,0.723125355055108,0.56652446210856,"SpinalCord"
"16","aatf",-0.295269860052852,0.171367713887719,-0.371865756948258,0.0805962721399727,23,0.404312124179783,0.307624631386388,"SpinalCord"
"17","aatk",-0.139708222374001,0.524918071778498,-0.0601377341782513,0.78518122688844,23,0.740881048546321,0.921165311821901,"SpinalCord"
"18","abat",0.640577062161641,0.00099167896077983,0.391469754949665,0.064712194624751,23,0.0197644403078211,0.271717632980133,"SpinalCord"
"19","abca12",0.303691986933554,0.158904640398382,0.290547662754701,0.178644544811982,23,0.387954184518828,0.467812273281911,"SpinalCord"
"20","abca3",0.205103560506511,0.347822293980677,0.286512645168162,0.185028877948503,23,0.593694002015142,0.476856822926662,"SpinalCord"
"21","abca5",-0.0718357881001066,0.744635286920651,-0.0319762395288296,0.88483935674613,23,0.875022986096769,0.957906484530774,"SpinalCord"
"22","abcb1",0.488483359080725,0.0180282001611459,0.534591454712811,0.00858803915637991,23,0.107971894210891,0.0957431396752878,"SpinalCord"
"23","abcb10",-0.365619390468129,0.0862268579063772,-0.308359208485176,0.152278662401666,23,0.271316413583185,0.431515096254008,"SpinalCord"
"24","abcb6",-0.551401601071853,0.00638513296792141,-0.477663561489364,0.0211610452404875,23,0.0586544133019659,0.152253005068015,"SpinalCord"
"25","abcb7",0.223929491181022,0.304346300844977,0.130853663396958,0.551760651697591,23,0.55320724115819,0.804374468105036,"SpinalCord"
"26","abcb9",-0.150607445396086,0.492752759492888,-0.128458244676262,0.559128056032918,23,0.716932057320517,0.808957520561904,"SpinalCord"
"27","abcc10",-0.0242755421855533,0.912453167328713,-0.0134940629530799,0.951272532631295,23,0.96086515910748,0.981930628805561,"SpinalCord"
"28","abcc2",0.218975298898256,0.315448003076537,-0.0300441142295091,0.891756807955457,23,0.563756238026025,0.961052112467414,"SpinalCord"
"29","abcc4",0.463712397666895,0.0258333219751854,0.0282643063917187,0.898135699802062,23,0.133401352329664,0.963834518809875,"SpinalCord"
"30","abcc5",0.146148672341596,0.505791749630915,0.142219479401595,0.517419772250293,23,0.726357455250875,0.783782102017547,"SpinalCord"
"31","abcc8",0.0767899803828726,0.727652882058951,0.0499517742620979,0.820935642404924,23,0.865797083312113,0.932695428995996,"SpinalCord"
"32","abcd2",0.554374116441513,0.00604953350020271,0.573194082372294,0.00424826719397561,23,0.0566585404055664,0.0662495457448404,"SpinalCord"
"33","abcd3",-0.426060536317874,0.0426465512496443,-0.411553853812764,0.0510410225159195,23,0.178654723553026,0.238667661177972,"SpinalCord"
"34","abcd4",0.0143671576200213,0.948123756233147,0.00562083603820643,0.979693318670578,23,0.977310925307221,0.993021232557256,"SpinalCord"
"35","abce1",-0.310627856129427,0.149129278290558,-0.396972115077054,0.0607164990262666,23,0.373710986144062,0.262526053767443,"SpinalCord"
"36","abcf1",-0.633145773737492,0.00118358338332595,-0.635183703564722,0.00112804171513026,23,0.0216308898290476,0.0341857325472941,"SpinalCord"
"37","abcf2",-0.576667981713959,0.00397087548430701,-0.534023120967307,0.00867229457262629,23,0.0442948038153362,0.0960609411330613,"SpinalCord"
"38","abcf3",-0.317068306097022,0.140440016608424,-0.481800000879644,0.0199152772140576,23,0.362562021579883,0.14636888122826,"SpinalCord"
"39","abcg4",0.365123971239852,0.0866857100016037,0.31202539029092,0.147212269206992,23,0.272089708892285,0.424216733617236,"SpinalCord"
"40","abcg8",-0.410207121013023,0.0518809741753289,-0.418581052067967,0.0468279049072496,23,0.200580601207121,0.227811750746394,"SpinalCord"
"41","abhd10",-0.402775832588874,0.0567099830771272,-0.452343532223416,0.0302221855358361,23,0.210415789592448,0.182601203866222,"SpinalCord"
"42","abhd11",-0.222938652724469,0.306547168260346,-0.125286100623929,0.568951877196838,23,0.55557323180265,0.814678177627918,"SpinalCord"
"43","abhd12b",0.173892149125086,0.4274724886776,0.189312093599524,0.386961908812395,23,0.664452246034903,0.684209603638147,"SpinalCord"
"44","abhd13",-0.242260002627256,0.265391074409489,-0.21911673176323,0.315127697503761,23,0.513853138714611,0.615642354121575,"SpinalCord"
"45","abhd14a",0.174882987581639,0.424802760578528,0.272665573943179,0.208120456519742,23,0.66229119034274,0.507528788352766,"SpinalCord"
"46","abhd14b",-0.21847987966998,0.316571549636781,-0.241291034671044,0.267366585325775,23,0.564815546361741,0.571575362259065,"SpinalCord"
"47","abhd16a",-0.745605938556279,4.4398581338791e-05,-0.735280298958693,6.41167667955566e-05,23,0.00412799042903817,0.00678468748306793,"SpinalCord"
"48","abhd17b",-0.597475589301577,0.00260824043619276,-0.581192008488594,0.00363257705366285,23,0.0346673345415684,0.0610304809726356,"SpinalCord"
"49","abhd18",0.0341839267510852,0.876945302909891,-0.0276860758213603,0.9002094300391,23,0.944451944817429,0.96454679041092,"SpinalCord"
"50","abhd2",0.539511539593215,0.00788654598947379,0.0695632685444106,0.75246441300184,23,0.0667186463499966,0.907537412046545,"SpinalCord"
"51","abhd3",-0.374041517348831,0.0787014286537364,-0.404351497005905,0.0556582354079576,23,0.256967006990286,0.250005202337854,"SpinalCord"
"52","abhd4",-0.0653953381325109,0.766884466427374,-0.176352235974477,0.420860667718514,23,0.888467105340158,0.712070508322683,"SpinalCord"
"53","abhd5",0.289324829313533,0.180563090804888,0.243615214986897,0.262643759802458,23,0.41611417136157,0.567126937034552,"SpinalCord"
"54","abi1",0.33638965599981,0.116545271604396,0.264384790939686,0.222816368210376,23,0.325534721749891,0.525049446399279,"SpinalCord"
"55","abi2",0.558832889496002,0.00557378218521827,0.621993212140383,0.00153073550394799,23,0.0544944615586961,0.0402722213009832,"SpinalCord"
"56","abi3bp",-0.366610228924682,0.0853146073850807,-0.355218160781742,0.0962483175018839,23,0.269775577884506,0.340432876290597,"SpinalCord"
"57","abl1",-0.0961113302856599,0.662661562644524,-0.0633633253705386,0.773942291161689,23,0.828078352536737,0.916037368843149,"SpinalCord"
"58","abl2",-0.226406587322405,0.298886781559295,-0.242125830840672,0.26566406389616,23,0.547178219002598,0.569972022648025,"SpinalCord"
"59","ablim1",0.101560941796702,0.64472508702378,0.0247399679080626,0.910784695590926,23,0.817180834608329,0.96824256722161,"SpinalCord"
"60","ablim2",0.250186710279682,0.249580672642118,0.306463921164674,0.154945455952133,23,0.497732051552945,0.436101442740808,"SpinalCord"
