"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.197796502257604,0.286147839660151,-0.15786415985252,0.396344650537672,31,0.516154453764686,0.614100234861863,"SpinalCord"
"2","aacs",-0.483367730465924,0.0058751035378973,-0.496678723952693,0.004480572590767,31,0.0539889610484951,0.050570443220704,"SpinalCord"
"3","aadat",0.0455053302739886,0.807945789911187,0.043806535567478,0.814989996769211,31,0.903533609682972,0.903556469869386,"SpinalCord"
"4","aaed1",-0.0177976402849378,0.924292386185978,0.0670919500817928,0.719890004992335,31,0.964303954223977,0.849119212980371,"SpinalCord"
"5","aagab",-0.183032550657599,0.324347930856529,-0.200157474920602,0.280318212571355,31,0.553877571765696,0.504332847071507,"SpinalCord"
"6","aak1",0.382042528389176,0.0339293192595585,0.38198033994421,0.0339608147672597,31,0.15111244932895,0.159027613353811,"SpinalCord"
"7","aamdc",0.123774498345249,0.507083692182858,0.0964665593963521,0.605688266680689,31,0.708143115322417,0.775682587367288,"SpinalCord"
"8","aamp",-0.530491028038543,0.00214088158403235,-0.603473862216452,0.000325703994216034,31,0.0297026003983054,0.0102813973593302,"SpinalCord"
"9","aar2",-0.192538108537054,0.299408406519453,-0.128429289507459,0.491113532900924,31,0.529115022035853,0.693268642922103,"SpinalCord"
"10","aars",0.0572355931890613,0.759734551670698,0.144946735607016,0.436576714961432,31,0.876792796651643,0.648284109018139,"SpinalCord"
"11","aars2",0.0173931484602801,0.926008278806234,0.0248380768569036,0.894486195239179,31,0.965253175666582,0.947160482922424,"SpinalCord"
"12","aarsd1",-0.100313972515104,0.591315999059441,-0.180806184114167,0.330369028288904,31,0.77030286524197,0.553552302756047,"SpinalCord"
"13","aasdh",0.241481619320633,0.190626194389642,0.288048162431634,0.11609136478458,31,0.412653698396288,0.310474218977699,"SpinalCord"
"14","aasdhppt",0.36384039627958,0.0442106763769485,0.307504791843961,0.0924119958241629,31,0.176070787649622,0.274682658310795,"SpinalCord"
"15","aass",0.378199856054928,0.0359203620595706,0.460106353146827,0.00920403493646961,31,0.156062162598951,0.0764078463530146,"SpinalCord"
"16","aatf",-0.061280511435638,0.743303167586956,-0.023103469613221,0.901818251136288,31,0.867073892905088,0.951163585366689,"SpinalCord"
"17","aatk",-0.109415038569902,0.5579250388132,-0.158718899942844,0.393759688732657,31,0.745924481450068,0.611529191547193,"SpinalCord"
"18","abat",0.379008839704243,0.0354935439429985,0.381396861147084,0.0342574733206922,31,0.155086955974425,0.15942997056703,"SpinalCord"
"19","abca12",0.361008953506976,0.0460129064401639,0.409962318794791,0.0219924320021408,31,0.180103633788261,0.125297352709193,"SpinalCord"
"20","abca3",-0.211549224295965,0.253270622900209,-0.169332601096426,0.362474098062009,31,0.483622198003589,0.58281851340625,"SpinalCord"
"21","abca5",-0.506019272646754,0.00368083622309183,-0.515511994944301,0.00299709428233352,31,0.0412667185690108,0.0402977729470247,"SpinalCord"
"22","abcb1",0.547681930586494,0.00142723094141021,0.476281821548533,0.00675789322096446,31,0.0236146328475127,0.0641313690508563,"SpinalCord"
"23","abcb10",0.434828711507003,0.0145034725624779,0.324133149557213,0.0752539641710945,31,0.0927215663320246,0.246514951875221,"SpinalCord"
"24","abcb6",-0.349480936504233,0.0539637619998362,-0.397104270137815,0.0269682441659613,31,0.197204974235526,0.139916479344657,"SpinalCord"
"25","abcb7",0.367885314526157,0.0417343896058959,0.268157729367038,0.144688621209354,31,0.170460649083131,0.350738105057088,"SpinalCord"
"26","abcb9",-0.0376177396931639,0.840768533372937,-0.0959435746455036,0.607653290664574,31,0.921680117829584,0.776952756031581,"SpinalCord"
"27","abcc10",-0.167055123583621,0.369059758293069,-0.120325997322464,0.519079489600064,31,0.595017247466779,0.715920171374692,"SpinalCord"
"28","abcc2",0.302559884843942,0.0980481629928871,0.285634579055395,0.119317352041563,31,0.280262987161527,0.315030172949004,"SpinalCord"
"29","abcc4",0.249975947638444,0.175016778800203,0.309691447542282,0.0899997145085879,31,0.392384914791938,0.271076218112638,"SpinalCord"
"30","abcc5",0.25766129230694,0.161692318091346,0.117384120847266,0.529421465499791,31,0.375472647513052,0.724223861828766,"SpinalCord"
"31","abcc8",0.0584490686630343,0.75479397807419,0.0856103151121657,0.647015349385309,31,0.874197704158948,0.802424079250936,"SpinalCord"
"32","abcd2",0.0924263819342791,0.620937812158452,0.0939465361698581,0.615181452908411,31,0.789093883461958,0.782149826242882,"SpinalCord"
"33","abcd3",-0.26635786653708,0.147508011907015,-0.323566255942061,0.0757950968757308,31,0.356175615392365,0.247765144133574,"SpinalCord"
"34","abcd4",0.272829735731603,0.137553004801971,0.205403098404674,0.267641329828459,31,0.341963873362628,0.493048344718104,"SpinalCord"
"35","abce1",0.0210335748821992,0.910577885802677,-0.0466521400116781,0.803198728506995,31,0.957030844321409,0.898328088230767,"SpinalCord"
"36","abcf1",-0.336941689939845,0.0638053662707529,-0.364077098429809,0.044062606679153,31,0.217489915984278,0.182694377270238,"SpinalCord"
"37","abcf2",-0.402873857359046,0.0246323945658915,-0.438427050453584,0.0136215685591321,31,0.126056805524167,0.0961995037202254,"SpinalCord"
"38","abcf3",-0.0697748397534492,0.709163110437275,-0.144080848049607,0.439350780941054,31,0.845365843089541,0.650336909983822,"SpinalCord"
"39","abcg4",-0.00141572138630187,0.993969271751541,-0.06652961805232,0.722145072420976,31,0.996517777550078,0.850208896865301,"SpinalCord"
"40","abcg8",-0.0505614780822096,0.787069125172214,-0.0310166208188907,0.868443304518693,31,0.8913200802825,0.932230024907735,"SpinalCord"
"41","abhd10",-0.315301377320659,0.0840304732067755,-0.324277249762334,0.0751168894647949,31,0.254589479228624,0.246276454850354,"SpinalCord"
"42","abhd11",-0.41784005487138,0.019336521390164,-0.439053477391387,0.0134727207867147,31,0.109320669765578,0.0955511718679057,"SpinalCord"
"43","abhd12b",-0.112853219079492,0.545541144416799,-0.109270828230799,0.558447282085468,31,0.738019369273873,0.745353896207423,"SpinalCord"
"44","abhd13",-0.138740695857583,0.456669369087813,-0.0856331797306702,0.646927159342678,31,0.669404415249216,0.802377289811348,"SpinalCord"
"45","abhd14a",-0.0982915133918154,0.598852541847407,-0.117818524883684,0.527888125821217,31,0.775061787476109,0.723020694169313,"SpinalCord"
"46","abhd14b",-0.0141572138630187,0.939746525576833,-0.0500138215950214,0.789323668734633,31,0.971329957924806,0.89066886280551,"SpinalCord"
"47","abhd16a",-0.511075420454975,0.00330161362900205,-0.545145254948829,0.00151728656675414,31,0.0387141475714072,0.0267937425059994,"SpinalCord"
"48","abhd17b",-0.624130885446795,0.000175363805340765,-0.677039697539682,2.88161875862705e-05,31,0.00738455057215175,0.00210732119905704,"SpinalCord"
