"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",0.0881846226332344,0.689071839181425,0.0903313768418216,0.68188296966527,23,0.855888854890059,0.867741786957546,"Spleen"
"2","aacs",-0.592025977790534,0.00291964200593499,-0.483563295824418,0.0194025724833504,23,0.0683427815723537,0.228543772530184,"Spleen"
"3","aadat",0.541493216506321,0.00761775828314446,0.493942205246374,0.0165967968023897,23,0.0982756232531194,0.214956311813566,"Spleen"
"4","aaed1",-0.596484750845024,0.00266267003974458,-0.584482321514745,0.00340205635276169,23,0.0661703534989758,0.133489788678538,"Spleen"
"5","aagab",-0.255140902562448,0.240015650985752,-0.203712280574274,0.351173524765849,23,0.515062803297045,0.653472995189779,"Spleen"
"6","aak1",0.135249449319511,0.538357057034124,0.0842254391259432,0.702398084953058,23,0.767303900348938,0.877387056079685,"Spleen"
"7","aamdc",0.0842212688070216,0.702412167454676,0.172423015048716,0.431447551578182,23,0.862732328454551,0.713610364178385,"Spleen"
"8","aamp",-0.324995013749448,0.130248392210033,-0.301401695260988,0.162228965221636,23,0.37769519734392,0.480723664918911,"Spleen"
"9","aar2",-0.315582048412193,0.142412428945044,-0.254816081891211,0.240635339631499,23,0.396213434468991,0.559946440826549,"Spleen"
"10","aars",0.0277434767834895,0.900003542351145,0.0409170740734156,0.852942457798615,23,0.960693614577898,0.94697528099294,"Spleen"
"11","aars2",0.386922417284023,0.0681634466867948,0.410538677586493,0.0516731971847476,23,0.271372951083106,0.309739302384889,"Spleen"
"12","aarsd1",-0.102551780253256,0.64148403161155,-0.122500059064124,0.57764242411249,23,0.828669202408542,0.809239487594958,"Spleen"
"13","aasdh",-0.325985852206001,0.129012873061582,-0.28212310919447,0.192149768086018,23,0.376092210304411,0.511759398451175,"Spleen"
"14","aasdhppt",-0.18776388751683,0.390928175455326,0.0305403499662489,0.889979421815987,23,0.654490834522818,0.962749722597842,"Spleen"
"15","aass",-0.364628552011576,0.0871463853195287,-0.339484854215585,0.113011358176917,23,0.306486734154188,0.417346526308765,"Spleen"
"16","aatf",0.112955584047064,0.607843783527944,0.225611231857336,0.300633101522093,23,0.809511351968959,0.616406875559817,"Spleen"
"17","aatk",-0.440923113166172,0.0352084315477966,-0.357123859329255,0.0943505406609829,23,0.192858647583324,0.391134389522558,"Spleen"
"18","abat",-0.0401289574904044,0.855745896993022,0.0199372250580864,0.928055143933623,23,0.942615256529139,0.976866592396509,"Spleen"
"19","abca3",0.0609365650780215,0.782393897083564,0.0979911438913705,0.656453580997073,23,0.906022110798331,0.85439093340932,"Spleen"
"20","abca5",-0.248205033366575,0.253474779293437,-0.201104043146973,0.35750693761049,23,0.530915615032109,0.659724781294514,"Spleen"
"21","abcb1",-0.0658907573607875,0.765166408709362,-0.133803282757629,0.542749937963974,23,0.897009297746394,0.78624522044115,"Spleen"
"22","abcb10",-0.28536147548732,0.186878593900764,-0.220111080061539,0.312881370796678,23,0.454036407351371,0.624267085642313,"Spleen"
"23","abcb6",-0.172901310668533,0.430151244354611,-0.276648458096944,0.201289514184026,23,0.688291969810642,0.522759621430482,"Spleen"
"24","abcb7",-0.14268073774366,0.516048120865677,-0.158166317928976,0.471035944344939,23,0.751053390174035,0.741083398347722,"Spleen"
"25","abcb9",-0.171415052983703,0.434186251164374,-0.105599523075069,0.631554613289579,23,0.691534501420822,0.84244578417941,"Spleen"
"26","abcc10",0.0540006958821491,0.806677780015567,0.0531835374600636,0.809550681361081,23,0.919326735572531,0.930431033690855,"Spleen"
"27","abcc2",0.0445877305448938,0.839908604455695,-0.0890239620558424,0.686257991414537,23,0.934450625907824,0.869925522748569,"Spleen"
