"","gene","cor_spear","p_spear","cor_pears","p_pears","cellsExpr","padj_spear","padj_pear","tissue"
"1","aaas",-0.243383405639844,0.179500451335153,-0.261569407042123,0.148147414579607,32,0.480546442140492,0.489914447687132,"Spleen"
"2","aacs",-0.037867810847287,0.836975557286034,-0.0115280979533698,0.95006896044245,32,0.938597360763716,0.988491083747919,"Spleen"
"3","aadat",-0.0529414054564012,0.77352399430773,-0.11346436842298,0.536366574863704,32,0.909879393716739,0.837948173440134,"Spleen"
"4","aaed1",0.153677135283165,0.401050214212223,0.137269457819738,0.453750969291868,32,0.692285572732819,0.785387520563574,"Spleen"
"5","aagab",-0.507355135623844,0.00303810138062883,-0.500777920794042,0.00350888529548741,32,0.0576995098029418,0.0679901160907048,"Spleen"
"6","aak1",0.230515702924747,0.204337795952391,0.267107656410886,0.139440785662276,32,0.510674697181515,0.475103908635505,"Spleen"
"7","aamdc",0.0121324054170919,0.947455060199972,-0.0340727212206983,0.853127519576162,32,0.980776070452311,0.96317178860773,"Spleen"
"8","aamp",-0.316913135440401,0.0771814383530205,-0.31834530015987,0.075780985873136,32,0.318070591239578,0.351238181090898,"Spleen"
"9","aar2",-0.291177730010206,0.105905929425636,-0.311788290174987,0.0823572258727446,32,0.37211042577716,0.367810267797293,"Spleen"
"10","aars",-0.208089135335577,0.253096104034822,-0.0731341781511107,0.690790147872283,32,0.563639708258486,0.908856329126168,"Spleen"
"11","aars2",0.581252514073405,0.00048544221315669,0.539328854113284,0.00144596233153947,32,0.0234116183383031,0.039850035888605,"Spleen"
"12","aarsd1",-0.0621326216814708,0.735500300914891,-0.126201583249747,0.491288875500957,32,0.892637269092745,0.809799582342257,"Spleen"
"13","aasdh",-0.0919121622506965,0.616857597301081,-0.0856806273176614,0.641030621536948,32,0.83339254937557,0.889442085343416,"Spleen"
"14","aasdhppt",-0.249265784023889,0.168886795646016,-0.102780411679578,0.575637914587209,32,0.467725661070885,0.85713559248828,"Spleen"
"15","aass",-0.0691179460125237,0.707002910161029,-0.0625592396648863,0.733749479972657,32,0.878218978740237,0.924608869106147,"Spleen"
"16","aatf",-0.222795081295688,0.220329191697268,-0.207359803174138,0.254800714578335,32,0.530136071135447,0.622185151002128,"Spleen"
"17","aatk",0.142280027164078,0.437276929006948,0.149486285335709,0.414167613617459,32,0.71824396382017,0.759209047567594,"Spleen"
"18","abat",0.180147838011365,0.323824963874039,0.184090229128809,0.313169817341817,32,0.631464405564583,0.677360763398056,"Spleen"
"19","abca3",0.457354919359466,0.00849396962543452,0.432298123195845,0.0134755975047667,32,0.0989487644675619,0.141084388559399,"Spleen"
"20","abca5",0.0775738649395878,0.673023589809544,0.0591247539758187,0.747881026172413,32,0.863035366095309,0.929624882397359,"Spleen"
"21","abcb1",-0.0466913784233538,0.799684006721693,-0.0993289005918327,0.588594106114905,32,0.922030587522846,0.864020871200621,"Spleen"
"22","abcb10",-0.201839108302529,0.267949263374449,-0.123653846125492,0.500148076035495,32,0.578644479731089,0.816727490007815,"Spleen"
"23","abcb6",0.0716914865555432,0.696598983669902,0.0151032480184606,0.934613145076814,32,0.873830679268461,0.985630883044922,"Spleen"
"24","abcb7",-0.225000973189705,0.215675862923767,-0.14085117861505,0.441941156671124,32,0.52621093281489,0.778917852445175,"Spleen"
"25","abcb9",-0.212133270474607,0.243781016505448,-0.209857614671077,0.248994136003784,32,0.55530509157713,0.617150284353401,"Spleen"
"26","abcc10",0.107721054157816,0.557317846562686,0.0809516399740847,0.659621000262621,32,0.798125860777419,0.895577864509459,"Spleen"
"27","abcc2",-0.264707027282006,0.143167701384984,-0.340870575278588,0.0562415702246587,32,0.431537922068222,0.30194880384573,"Spleen"
"28","abcc4",-0.0812503514296157,0.658440650400549,-0.0873056589627313,0.634690666241184,32,0.855812464754136,0.886070807744254,"Spleen"
"29","abcc5",-0.0452207838273427,0.805871569269726,0.0222377542911358,0.903845038474001,32,0.924781650978828,0.977948161314394,"Spleen"
"30","abcc8",0.126838783905961,0.489085724565566,0.148449859298322,0.417448368039756,32,0.756683132787467,0.761911237436725,"Spleen"
"31","abcd2",-0.0595590811384513,0.7460893875121,-0.0571951780821326,0.755856215507718,32,0.897259952615424,0.933759639805069,"Spleen"
"32","abcd3",0.115441675786875,0.52924161687318,0.104140402466612,0.570568185838763,32,0.780486299930119,0.855372073366085,"Spleen"
"33","abcd4",0.0275736486752089,0.880920393069196,0.113572739974367,0.535974889775694,32,0.956180127437707,0.837926153167898,"Spleen"
"34","abce1",-0.427207730141237,0.0147410595238338,-0.349288511843476,0.0500571116281088,32,0.133104042927544,0.284917926867677,"Spleen"
"35","abcf1",-0.498163919398775,0.00371276142161318,-0.478213771508763,0.00563347660680642,32,0.0649223038438956,0.0890057020341852,"Spleen"
"36","abcf2",-0.409928243638106,0.0198008098045143,-0.365322444312265,0.0397795127413466,32,0.155603323413907,0.253684561301046,"Spleen"
"37","abcf3",-0.271324702964056,0.133066317166459,-0.178285394338259,0.328935602577022,32,0.414926110945817,0.690732771849688,"Spleen"
"38","abhd10",-0.323530811122452,0.070874282797869,-0.419840168198286,0.0167474137967099,32,0.305392650701315,0.159030700533129,"Spleen"
