"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",138,-0.758997118876247,-2.17490220994106,1e-10,2.42758620689655e-08,2.04065335753176e-08,1456,"tags=50%, list=13%, signal=44%","NEK2/CDT1/PTTG1/CENPE/RB1/ATM/NCAPH/NDC80/NSL1/CENPF/EML4/KNTC1/KIF23/GEN1/PLK1/CDC6/PDS5A/SMC1A/KIF2C/RIOK2/RAD21/MAD2L1/BUB1/PRC1/POGZ/BUB1B/KNSTRN/ESPL1/KIF22/CCNB1/NUMA1/UBE2C/KPNB1/CDCA8/NSMCE2/CDC20/DSN1/TRIP13/TACC3/SMC2/RACGAP1/CENPK/MAD2L1BP/NUSAP1/SPDL1/NCAPD2/TTK/NCAPH2/DSCC1/NAA50/NUF2/ZW10/AURKB/KIF14/BUB3/HNRNPU/INCENP/FBXO5/SPAG5/ANAPC7/NCAPG2/PDS5B/NCAPD3/KIF4A/NCAPG/SMC4/DLGAP5/ANAPC4/NUP62"
"BP","GO:0000075","cell cycle checkpoint signaling",170,-0.719380299227718,-2.10870769386294,1e-10,2.42758620689655e-08,2.04065335753176e-08,1373,"tags=36%, list=12%, signal=33%","ATR/PRMT1/ATM/AURKA/RFWD3/NDC80/CEP63/TAOK3/CENPF/KNTC1/GEN1/PLK1/CDC6/FEM1B/BLM/MAD2L1/ZWILCH/BUB1/BUB1B/ETAA1/WEE2/CCNB1/TP53BP1/RAD17/CLSPN/DOT1L/E2F7/CDC20/SOX4/E2F8/CDK1/TRIP13/E2F1/MAD2L1BP/BRIP1/CDC45/SPDL1/EIF2AK4/TIMELESS/TTK/NABP1/ZW10/ORC1/AURKB/WEE1/HINFP/FANCD2/BUB3/RPA2/TOPBP1/CHEK1/CDK2/CCND1/DNA2/MSH2/CHEK2/GTSE1/PCNA/TIPIN/PRPF19/DONSON/TFDP1"
"CC","GO:0000228","nuclear chromosome",179,-0.725492880705738,-2.14403727066882,1e-10,2.42758620689655e-08,2.04065335753176e-08,1162,"tags=42%, list=10%, signal=39%","NDC80/BAZ1B/EXOSC9/ORC3/BRD8/NOL6/BCAS2/GINS1/PLK1/SUN2/SMC1A/RCC1/BLM/MIS18BP1/POLE/HDAC2/TONSL/RAD21/BUB1/LRWD1/BUB1B/P3H4/TOP2A/ETAA1/CCNB1/SMARCAD1/BIRC5/WDHD1/MCM2/RUVBL2/DSN1/UBE2I/SMARCE1/MCM7/SMC2/CENPK/RAD51/POLE2/ORC4/TIMELESS/CENPT/NCAPD2/POLE3/NUF2/TERF2IP/ORC1/PRIM1/GINS4/SUV39H1/RBBP4/HNRNPU/INCENP/RPA2/PMF1/PRIM2/MCM3/POLD1/TOPBP1/CHEK1/MCM5/DHX9/MCM4/POLA2/RUVBL1/PCNA/ANP32E/MCM10/FIGNL1/GINS3/TIPIN/MCM6/SMC3/PRPF19/POLD2/SMARCA5/MMS22L"
"BP","GO:0000280","nuclear division",311,-0.630912505418034,-1.94763192701296,1e-10,2.42758620689655e-08,2.04065335753176e-08,1456,"tags=36%, list=13%, signal=32%","NEK2/RMI1/CDT1/PTTG1/CENPE/RB1/LRP5/SMPD3/PRMT5/ATM/AURKA/ANLN/NCAPH/RAD54L/NDC80/MISP/USP16/NSL1/CEP192/CTDP1/CENPF/PRDM9/EML4/KNTC1/KIF23/GEN1/MYBL2/PLK1/CDC6/PDS5A/SMC1A/PSMC3IP/RCC1/KIF2C/MND1/RIOK2/RAD21/MAD2L1/PKMYT1/BUB1/PRC1/POGZ/BUB1B/P3H4/KNSTRN/TOP2A/ERCC4/ESPL1/MKI67/WEE2/KIF22/CCNB1/NUMA1/CCNE2/CTDNEP1/TPX2/UBE2C/KPNB1/RANBP1/CDCA8/NSMCE2/RAD54B/CDC20/DSN1/CDK1/TRIP13/TACC3/SMC2/RACGAP1/CENPK/NDC1/FANCA/RAD51/MAD2L1BP/NUSAP1/BRIP1/SPDL1/NCAPD2/FBXW5/TTK/NCAPH2/DSCC1/NAA50/NUF2/ZW10/AURKB/KIF14/FANCD2/BUB3/HNRNPU/INCENP/FBXO5/SPAG5/ANAPC7/RAD51AP1/CHEK1/NCAPG2/PDS5B/CHEK2/KIF11/NCAPD3/KIF4A/FIGNL1/NCAPG/SMC3/SMC4/DLGAP5/TOP2B/ANAPC4/NUP62/UBE2S"
"CC","GO:0000775","chromosome, centromeric region",164,-0.73391101472355,-2.14030456355444,1e-10,2.42758620689655e-08,2.04065335753176e-08,1456,"tags=48%, list=13%, signal=43%","NEK2/CDT1/BOD1L1/IKZF1/CENPE/PPP2R5A/CENPN/NDC80/BAZ1B/NSL1/SEC13/CENPF/KNTC1/PLK1/PDS5A/SMC1A/KIF2C/MIS18BP1/SPC25/RAD21/CENPL/NUP85/MAD2L1/ERCC6L/ZWILCH/BUB1/LRWD1/BUB1B/CENPH/KNSTRN/TOP2A/KIF22/CCNB1/TP53BP1/CTCF/PSEN1/BIRC5/CDCA8/RANGAP1/XPO1/DSN1/CENPP/CENPI/CENPK/CENPM/RCC2/MIS18A/SPDL1/NUP37/CENPT/NCAPD2/TTK/DSCC1/NUF2/ZW10/CENPQ/AURKB/SUV39H1/DNMT3A/BUB3/HNRNPU/INCENP/PMF1/SPAG5/PDS5B/NCAPD3/NCAPG/CENPW/SMC3/CBX1/ESCO2/SKA3/SMC4/HELLS/SPC24/NUP107/NUP160/NUP133/CBX5"
"CC","GO:0000793","condensed chromosome",161,-0.724065439059371,-2.10790085376522,1e-10,2.42758620689655e-08,2.04065335753176e-08,1456,"tags=45%, list=13%, signal=40%","NEK2/CDT1/BOD1L1/CENPE/CENPN/NDC80/BAZ1B/NSL1/CENPF/NOL6/KNTC1/PLK1/SUN2/SMC1A/RCC1/KIF2C/BLM/MIS18BP1/HMGB1/SPC25/RAD21/NUP85/MAD2L1/ERCC6L/ZWILCH/BUB1/HMGB2/LRWD1/BUB1B/P3H4/CENPH/KNSTRN/TOP2A/MKI67/CCNB1/TP53BP1/CTCF/BIRC5/RANGAP1/NSMCE2/DSN1/UBE2I/SMC2/CENPK/CENPM/RAD51/SPDL1/NUP37/CENPT/NCAPD2/NCAPH2/NUF2/ZW10/AURKB/SUV39H1/FANCD2/BUB3/HNRNPU/INCENP/PMF1/SPAG5/TOPBP1/CHEK1/NCAPD3/NCAPG/CENPW/SMC3/SKA3/SPC24/NUP107/NUP133/SMARCA5"
"BP","GO:0000819","sister chromatid segregation",162,-0.756252089718497,-2.20348922080926,1e-10,2.42758620689655e-08,2.04065335753176e-08,1456,"tags=49%, list=13%, signal=43%","NEK2/CDT1/PTTG1/CENPE/RB1/ATM/NCAPH/NDC80/NSL1/CENPF/EML4/KNTC1/KIF23/GEN1/PLK1/CDC6/PDS5A/SMC1A/KIF2C/RIOK2/RAD21/MAD2L1/BUB1/PRC1/POGZ/BUB1B/KNSTRN/TOP2A/ESPL1/MCMBP/KIF22/CCNB1/NUMA1/UBE2C/KPNB1/CTCF/CDCA8/NSMCE2/DDX11/CDC20/DSN1/RMI2/TRIP13/LATS1/TACC3/SMC2/RACGAP1/CENPK/MAD2L1BP/NUSAP1/SPDL1/NCAPD2/TTK/NCAPH2/DSCC1/NAA50/NUF2/ZW10/AURKB/KIF14/FEN1/BUB3/HNRNPU/INCENP/FBXO5/SPAG5/ANAPC7/NCAPG2/PDS5B/NCAPD3/KIF4A/NCAPG/SMC3/ESCO2/SMC4/DLGAP5/TOP2B/ANAPC4/NUP62"
"MF","GO:0003682","chromatin binding",407,-0.592088214155087,-1.86932573408072,1e-10,2.42758620689655e-08,2.04065335753176e-08,1474,"tags=26%, list=13%, signal=24%","MEN1/POLA1/TADA2B/CTBP2/CDT1/GATAD2B/NPM3/SFMBT1/EXO1/ATAD2/NCAPH/TFAP2A/DLX2/APEX1/KDM1A/GMNN/SIRT1/CENPF/HMGA1/HMGN3/FLI1/WRN/RBMX/SMARCD1/EED/SETDB1/CRAMP1/DNAJC2/MCM9/SMC1A/RCC1/POLE/HDAC2/RBL1/RAD21/TFAM/POLR2B/LRWD1/SP3/URI1/TOP2A/ERCC4/NCOA5/SSBP1/MCMBP/CDK9/SHMT2/SMARCAD1/HDAC3/RAD17/CTCF/GLI3/NOC2L/NONO/WDHD1/EGR1/NUDT21/PHC1/PHF19/MBD3/DDX11/RUVBL2/SMARCE1/NOC3L/MED1/SMC2/RAD51/BRIP1/CDC45/NCAPD2/POLE3/NCAPH2/MSH6/HCFC1/ORC1/CHAF1A/UBE2T/UHRF1/SUV39H1/RBBP4/MSGN1/HINFP/CREB3L1/DNMT1/DNMT3A/HNRNPU/TOX4/NUCKS1/POLD1/EZH2/CHAF1B/MSH2/DHX9/NCAPD3/PCNA/HP1BP3/SMC3/CBX1/SMC4/HELLS/SSRP1/SUZ12/TOP2B/NUP62/SMARCA5/CBX5"
"MF","GO:0005201","extracellular matrix structural constituent",121,-0.736355309502077,-2.0786139731843,1e-10,2.42758620689655e-08,2.04065335753176e-08,1380,"tags=40%, list=12%, signal=35%","AEBP1/EDIL3/COL6A5/MATN2/COL6A6/COL4A1/TNXB/COL4A2/EMILIN1/ZPLD1/NID2/LAMC1/THBS2/OGN/COL9A1/HAPLN1/COL2A1/ABI3BP/TNC/COL24A1/ELN/BGN/DCN/EMILIN3/LAMB2/MFAP2/NID1/PRELP/COL11A1/LUM/COL6A1/COL6A3/POSTN/ASPN/OTOL1/COL6A2/COL10A1/FBN1/FBN2/COL12A1/PXDN/COL5A1/COL16A1/CILP/COL1A2/COL22A1/MXRA5/COL1A1"
"BP","GO:0006260","DNA replication",228,-0.751620472502091,-2.26306216382332,1e-10,2.42758620689655e-08,2.04065335753176e-08,1481,"tags=49%, list=13%, signal=43%","RECQL/POLA1/RMI1/POLE4/CDT1/BOD1L1/NFIB/ATR/MGME1/ORC5/CHTF18/EXO1/POLH/ATM/RFWD3/SDE2/POLG2/GMNN/ORC3/HMGA1/WRN/CDC7/NFIX/ALYREF/DNAJC2/MCM9/GEN1/RBBP8/GINS1/CDC6/PDS5A/TRAIP/BLM/DBF4B/POLE/TONSL/POLK/LRWD1/RECQL4/LIG1/ETAA1/SSBP1/MCMBP/RRM2/CDK9/CCNE2/RAD17/WDHD1/CLSPN/MCM2/CCNA2/E2F7/DDX11/BARD1/RMI2/E2F8/CDK1/MCM7/NOC3L/RAD51/ING4/TERF2/BRIP1/CDC45/POLE2/ORC4/RFC2/TIMELESS/POLE3/ATAD5/DSCC1/RRM1/ORC1/PRIM1/CHAF1A/RFC3/RFC5/GINS4/RBBP4/FEN1/NASP/CDK2AP1/RPA2/RFC4/FBXO5/PRIM2/MCM3/NUCKS1/POLD1/TOPBP1/CHEK1/MCM5/CDK2/DNA2/CHAF1B/CHEK2/DHX9/MCM4/POLA2/PCNA/MCM10/GINS3/TIPIN/MCM6/SMC3/ESCO2/POLD2/SSRP1/DONSON/TERF1/MMS22L"
