"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.318762722283339,"29974"
"A2ML1","LOC107373536",-0.0698278833547835,"144568"
"A2ML1","LOC107380767",-0.00365268879254324,"144568"
"AAAS","aaas",-0.14315903052229,"8086"
"AACS","aacs",0.105243949915447,"65985"
"AADAC","LOC107380045",0.0611735308551416,"13"
"AADAT","aadat",0.658705236905493,"51166"
"AAGAB","aagab",0.0206151782497758,"79719"
"AAK1","LOC107373159",-0.000759059240638908,"22848"
"AAMDC","aamdc",0.21927242011762,"28971"
"AAMP","aamp",-0.00633648323083656,"14"
"AANAT","LOC107376253",0.0404551477156636,"15"
"AAR2","aar2",-0.00691133842480887,"25980"
"AARS2","aars2",0.29940915686324,"57505"
"AARSD1","aarsd1",-0.141390319221046,"80755"
"AASDH","aasdh",-0.0974237742350546,"132949"
"AASDHPPT","aasdhppt",0.212283811531996,"60496"
"AASS","aass",-0.0659547258101968,"10157"
"AATF","aatf",-0.326432543618405,"26574"
"AATK","aatk",0.0228574426305252,"9625"
"AATK","LOC107378275",-0.00174025049532169,"9625"
"ABAT","abat",0.467612512270098,"18"
"ABCA1","LOC107392625",0.151296668959949,"19"
"ABCA1","LOC107377411",0.0513252046610756,"19"
"ABCA1","LOC107391047",0.194381049681142,"19"
"ABCA1","LOC107372735",0.205446400378138,"19"
"ABCA1","LOC107381037",0.227619719542858,"19"
"ABCA12","LOC107376062",0.296505904587259,"26154"
"ABCA12","abca12",0.158778914405755,"26154"
"ABCA3","abca3",0.380332315983657,"21"
"ABCA4","LOC107383559",0.00315213564531211,"24"
"ABCA5","abca5",-0.0261619537881241,"23461"
"ABCB1","abcb1",0.000759059240638908,"5243"
"ABCB10","abcb10",-0.331095730807043,"23456"
"ABCB6","abcb6",-0.0404551477156636,"10058"
"ABCB7","abcb7",-0.28368167586318,"22"
"ABCB8","LOC107383862",0.00034314450151893,"11194"
"ABCB9","abcb9",0.0703923779713682,"23457"
"ABCC1","LOC107373251",0.0328499931325056,"4363"
"ABCC1","LOC107392837",-0.205446400378138,"4363"
"ABCC1","LOC107391801",-0.0310938581658511,"4363"
"ABCC10","abcc10",0.0536888488111989,"89845"
"ABCC12","LOC107381982",-0.0919744998763481,"94160"
"ABCC2","abcc2",-0.0616938776536382,"1244"
"ABCC3","LOC107388296",0.0454785253763928,"8714"
"ABCC4","abcc4",-0.118882814917116,"10257"
"ABCC5","abcc5",-0.00720906820525481,"10057"
"ABCC8","abcc8",0.00034314450151893,"6833"
"ABCC9","LOC107387088",0.162609291213737,"10060"
"ABCD1","LOC107391455",0.415899386744276,"215"
"ABCD2","abcd2",0.0756004325542151,"225"
"ABCD3","abcd3",-0.0246277274119302,"5825"
"ABCD3","LOC107395207",-0.0246277274119302,"5825"
"ABCD4","abcd4",-1.0161410823351e-05,"5826"
"ABCE1","abce1",-0.113452401927696,"6059"
"ABCF1","abcf1",-0.171448777437442,"23"
"ABCF2","abcf2",-0.338970904819158,"10061"
"ABCF3","abcf3",-0.0102049368777549,"55324"
"ABCG2","LOC107376824",-0.00605927828069277,"9429"
"ABCG4","abcg4",0.0142273483918865,"64137"
"ABHD10","abhd10",-0.00633648323083656,"55347"
"ABHD12","abhd12b",0.300868135982673,"26090"
"ABHD12","LOC107375545",0.00386403045270352,"26090"
"ABHD12","LOC107376141",0.0687073181597464,"26090"
"ABHD13","abhd13",-1.32807220871906,"84945"
"ABHD14A","abhd14a",0.0687073181597464,"25864"
"ABHD14B","abhd14b",0.0522629046068141,"84836"
"ABHD15","LOC107380403",6.39352940238499e-05,"116236"
"ABHD16A","abhd16a",-0.0284014055472617,"7920"
"ABHD17B","abhd17b",-0.00203287060824793,"51104"
"ABHD17C","LOC107393262",-0.00705934064532291,"58489"
"ABHD17C","LOC107384127",0.0142273483918865,"58489"
"ABHD18","abhd18",-0.00442052073561299,"80167"
"ABHD2","LOC107376844",-0.190068751754522,"11057"
"ABHD2","abhd2",-0.00181115881301314,"11057"
"ABHD3","abhd3",0.132759532383851,"171586"
"ABHD3","LOC107377588",7.74479617587554e-05,"171586"
"ABHD4","abhd4",0.923454080715388,"63874"
"ABHD5","LOC107383196",0.427016500409461,"51099"
"ABHD5","abhd5",0.263164792120321,"51099"
"ABHD6","abhd6",-0.0561175729778558,"57406"
"ABHD8","LOC107396936",4.08274555821338e-05,"79575"
"ABI1","LOC107384312",-0.0517927659880391,"10006"
"ABI1","LOC107389593",-0.0779896934677769,"10006"
"ABI1","LOC107390296",0.00296293482207464,"10006"
"ABI1","abi1",0.515206764800595,"10006"
"ABI2","LOC107388106",0.167482050683616,"10152"
