"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001501","skeletal system development",367,-0.655880046428007,-2.08170549737533,1e-10,3.35476190476191e-08,2.9218045112782e-08,1461,"tags=35%, list=13%, signal=32%","MCPH1/IGF2/TNFRSF11B/MTHFD1/PHEX/NOTCH2/PLXNB1/NAB2/ASH1L/SATB2/WDR5/RYK/MBTD1/SMAD1/NIPBL/INPPL1/PAPPA2/FRZB/HAPLN1/BMP3/VKORC1/GSC/RUNX1/TRIM45/THBS3/CHRD/FGFR1/TRPV4/NFIB/LTF/HOXA2/LRRC17/COL9A2/BMP4/SOX6/DLX5/BBS2/SLC10A7/SRC/OSR1/MMP9/MMP13/CSGALNACT1/CHAD/PPIB/TMEM107/SRF/ACAN/FREM1/EXT1/VCAN/GLI3/SKI/PHOSPHO1/ROR2/BMPR1A/IGF1/TRPS1/BGLAP/CHADL/SNAI2/FBN1/CYTL1/NPR2/TLL1/TGFB3/TFAP2A/PKD1/FAT4/FGFR3/PDGFRA/DLX6/SLC39A14/EPYC/CHST11/MATN1/MSX2/PCGF2/EN1/DLX1/BGN/TMEM119/WDR19/SIGLEC15/PKDCC/SCX/P3H1/BMP2/SULF1/UCMA/HHIP/CREB3L2/TSKU/GLI2/PRRX1/SRD5A1/DCHS1/TRIP11/LOXL2/SH3PXD2B/PRELP/CDH11/COL27A1/SOX11/MMP2/BMP1/COL13A1/LTBP3/GDF10/GREM1/SOX4/LRP5/COL2A1/COL11A1/BCAN/HAS2/SLC9B2/COL1A1/LOX/COL1A2/LUM/MMP14/SLC38A10/ADAMTS12/SERPINH1/ADAMTS7/COL10A1/FBN2"
"BP","GO:0002253","activation of immune response",300,0.571544364433212,1.91028816087777,1e-10,3.35476190476191e-08,2.9218045112782e-08,1732,"tags=27%, list=15%, signal=24%","CFH/PIK3CB/KRAS/FCGR1A/CFP/MAPK3/GPS2/HCK/PLCG2/LPXN/C1QC/RPS6KA5/ACTG1/FPR2/CLEC10A/C5AR1/CRKL/LCP2/RAF1/TESPA1/PSMF1/ARPC1B/INPP5D/PRKCE/HSP90AB1/NCKIPSD/CLEC4C/FCRL3/NCKAP1L/BCL2/APPL1/PDPK1/HLA-DPB1/FFAR2/CRP/BTK/LCK/CUL1/MALT1/CYFIP1/EIF2B5/CD22/VAV1/NOD2/TBK1/RAPGEF1/STK11/PSEN1/PRKCD/CARD11/C1QA/DGKZ/VAV3/PTPRC/WAS/RBCK1/C3/SYK/MAP3K7/IL1B/CD300A/ACTR3/SPG21/GRAP2/PLCL2/RELA/KLHL6/ELF1/FYN/C1R/PTPN6/GRB2/BCL10/PRKCB/TAB3/PRKCH/NFKBID/XRCC6/ARPC3/BTN1A1/ACTR2/RIPK2"
"BP","GO:0002274","myeloid leukocyte activation",467,0.520610052250954,1.7989395201541,1e-10,3.35476190476191e-08,2.9218045112782e-08,2299,"tags=36%, list=20%, signal=30%","PFKL/CFP/LTA4H/HVCN1/EPX/RAB44/ALOX5/SIGLEC14/NBEAL2/CXCR1/CCT2/ADAM8/DCSTAMP/FPR2/C5AR1/GLIPR1/CTSD/STXBP3/LCP2/AIF1/RAB27A/TMEM30A/CCT8/PRKCE/HSP90AB1/CLEC4C/ITGAL/UNC13D/JAK2/NCKAP1L/BIN2/YPEL5/SPI1/CST7/AMPD3/RAB37/TNIP2/PGLYRP1/ITGB2/RHOG/CD44/CPNE3/PDPK1/CYBA/LAMP1/PYGL/GPI/ALAD/RAB24/CRACR2A/GPR84/BTK/PTAFR/HMOX1/CYFIP1/PLEKHO2/SLC15A4/FGL2/TLR1/GSN/B2M/DOCK2/SVIP/SERPINB1/CYBB/PSEN1/PRKCD/OLFM4/ALDOC/KCMF1/SELL/ENPP4/HMOX2/C1QA/GAB2/COTL1/TICAM1/MAPK14/CTSS/TOLLIP/PLA2G4A/ITGAM/PTPRC/SBNO2/ARG1/BPI/LPCAT1/IL10/RAB3D/C3/SNAP23/SYK/CD84/KIT/CAT/CLNK/AP2A2/IL1RL1/GMFG/CD300A/KCNAB2/ITGB8/NDRG1/RAP2B/PKM/ATG7/RAB9B/GRN/PLD1/PTPN6/RAB5C/ADGRE5/ACTR10/CD53/RAC2/STOM/HSPD1/BRI3/PIK3CG/SPTAN1/XRCC6/PSAP/VAMP2/MVP/NEU1/TOM1/TSPAN14/ACTR2/ANO6/ATP8B4/RHOF/TUBB4B/LBP/CD2/PTPRN2/TMEM179B/DGAT1/CAB39/TMEM106A/GYG1/STXBP2/CD200/CTSC/C12orf4/TMC6/PIK3CD/IL18RAP/ATP6AP2/CD59/IQGAP1/DYNC1LI1/CHGA/SNAP25/EEF1A1/VAMP7/CAP1/LYN/JUP/CYSTM1/ATP6V0A1/CST3/RAB3A/STK10/FUCA2/CEACAM6/PSMC2/IST1/STXBP1/RBPJ"
"BP","GO:0002275","myeloid cell activation involved in immune response",397,0.531939233006528,1.82198207879088,1e-10,3.35476190476191e-08,2.9218045112782e-08,2293,"tags=38%, list=20%, signal=31%","PFKL/CFP/LTA4H/HVCN1/EPX/RAB44/ALOX5/SIGLEC14/NBEAL2/CXCR1/CCT2/ADAM8/FPR2/C5AR1/GLIPR1/CTSD/STXBP3/RAB27A/TMEM30A/CCT8/PRKCE/HSP90AB1/CLEC4C/ITGAL/UNC13D/NCKAP1L/BIN2/YPEL5/AMPD3/RAB37/PGLYRP1/ITGB2/RHOG/CD44/CPNE3/PDPK1/CYBA/LAMP1/PYGL/GPI/ALAD/RAB24/CRACR2A/GPR84/BTK/PTAFR/HMOX1/CYFIP1/PLEKHO2/SLC15A4/FGL2/GSN/B2M/DOCK2/SVIP/SERPINB1/CYBB/PSEN1/PRKCD/OLFM4/ALDOC/KCMF1/SELL/ENPP4/HMOX2/GAB2/COTL1/TICAM1/MAPK14/CTSS/TOLLIP/ITGAM/PTPRC/SBNO2/ARG1/BPI/LPCAT1/RAB3D/C3/SNAP23/SYK/CD84/KIT/CAT/CLNK/AP2A2/GMFG/CD300A/KCNAB2/RAP2B/PKM/ATG7/RAB9B/GRN/PLD1/PTPN6/RAB5C/ADGRE5/ACTR10/CD53/RAC2/STOM/BRI3/PIK3CG/SPTAN1/XRCC6/PSAP/VAMP2/MVP/NEU1/TOM1/TSPAN14/ACTR2/ANO6/ATP8B4/RHOF/TUBB4B/LBP/PTPRN2/TMEM179B/DGAT1/CAB39/GYG1/STXBP2/CTSC/C12orf4/TMC6/PIK3CD/ATP6AP2/CD59/IQGAP1/DYNC1LI1/CHGA/SNAP25/EEF1A1/VAMP7/CAP1/LYN/JUP/CYSTM1/ATP6V0A1/CST3/RAB3A/STK10/FUCA2/CEACAM6/PSMC2/IST1/STXBP1"
"BP","GO:0002366","leukocyte activation involved in immune response",492,0.502347141740516,1.74682227560063,1e-10,3.35476190476191e-08,2.9218045112782e-08,2294,"tags=36%, list=20%, signal=30%","PFKL/CFP/LTA4H/HVCN1/EPX/RAB44/ALOX5/SIGLEC14/SLAMF6/NBEAL2/CXCR1/PLCG2/GPR183/CCT2/ADAM8/FPR2/C5AR1/GLIPR1/CTSD/STXBP3/RAB27A/ZBTB7B/LCP1/MYB/TMEM30A/CCT8/PRKCE/HSP90AB1/CLEC4C/ITGAL/PAXIP1/UNC13D/NCKAP1L/BIN2/YPEL5/AMPD3/RAB37/PGLYRP1/ITGB2/RHOG/CD44/SUPT6H/CPNE3/PDPK1/CYBA/LAMP1/PYGL/GPI/ALAD/RAB24/APBB1IP/CRACR2A/GPR84/BTK/SWAP70/MALT1/PTAFR/HMOX1/CYFIP1/PLEKHO2/SLC15A4/FGL2/MTOR/GSN/PARP3/B2M/DOCK2/SVIP/IL6R/SERPINB1/CYBB/PSEN1/PRKCD/OLFM4/ALDOC/KCMF1/SELL/ENPP4/HMOX2/GAB2/COTL1/STAT3/TICAM1/MAPK14/CTSS/TOLLIP/ITGAM/PTPRC/SBNO2/ARG1/BPI/LPCAT1/IL10/RAB3D/C3/SNAP23/SYK/CD84/KIT/CAT/CD244/CLNK/AP2A2/GMFG/CD300A/KCNAB2/PLCL2/RAP2B/PTGER4/PKM/ATG7/RAB9B/GRN/PLD1/PTPN6/RAB5C/ADGRE5/ACTR10/CD53/RAC2/STOM/HSPD1/ITFG2/BRI3/PIK3CG/SPTAN1/PTK2B/NFKBID/XRCC6/PSAP/VAMP2/MVP/NEU1/HLX/TOM1/TSPAN14/ACTR2/RIPK2/ANO6/ATP8B4/THOC1/RHOF/TUBB4B/LBP/PTPRN2/TMEM179B/DGAT1/CAB39/GYG1/STXBP2/CTSC/C12orf4/TMC6/PGLYRP2/TFRC/PIK3CD/ATP6AP2/CD59/IQGAP1/DYNC1LI1/CHGA/SNAP25/EEF1A1/VAMP7/CAP1/LYN/JUP/CYSTM1/ATP6V0A1/CST3/RAB3A/STK10/FUCA2/CEACAM6/PSMC2/IST1/STXBP1/ZFPM1"
"BP","GO:0002444","myeloid leukocyte mediated immunity",402,0.525356808345287,1.80317238493865,1e-10,3.35476190476191e-08,2.9218045112782e-08,2293,"tags=38%, list=20%, signal=31%","PFKL/CFP/LTA4H/HVCN1/EPX/RAB44/ALOX5/SIGLEC14/NBEAL2/CXCR1/CCT2/ADAM8/FPR2/C5AR1/GLIPR1/CTSD/STXBP3/RAB27A/TMEM30A/CCT8/HSP90AB1/CLEC4C/ITGAL/UNC13D/NCKAP1L/BIN2/YPEL5/AMPD3/RAB37/PGLYRP1/ITGB2/RHOG/CD44/CPNE3/PDPK1/CYBA/LAMP1/IRAK4/PYGL/GPI/ALAD/RAB24/CRACR2A/GPR84/BTK/PTAFR/HMOX1/CYFIP1/PLEKHO2/SLC15A4/FGL2/GSN/B2M/DOCK2/SVIP/SERPINB1/CYBB/PSEN1/WDR1/PRKCD/OLFM4/ALDOC/KCMF1/SELL/ENPP4/HMOX2/GAB2/COTL1/TICAM1/MAPK14/CTSS/TOLLIP/ITGAM/PTPRC/ARG1/BPI/LPCAT1/RAB3D/C3/SNAP23/SYK/CD84/KIT/CAT/CLNK/AP2A2/GMFG/CD300A/KCNAB2/DHX36/RAP2B/PKM/ATG7/RAB9B/GRN/PLD1/PTPN6/RAB5C/ADGRE5/ACTR10/CD53/RAC2/STOM/BRI3/PIK3CG/SPTAN1/XRCC6/PSAP/VAMP2/MVP/NEU1/TOM1/TSPAN14/ACTR2/ANO6/ATP8B4/RHOF/TUBB4B/PTPRN2/TMEM179B/DGAT1/CAB39/GYG1/STXBP2/CTSC/C12orf4/TMC6/MAVS/PIK3CD/ATP6AP2/CD59/IQGAP1/DYNC1LI1/CHGA/SNAP25/EEF1A1/VAMP7/CAP1/LYN/JUP/CYSTM1/ATP6V0A1/CST3/RAB3A/STK10/FUCA2/PLA2G1B/CEACAM6/PSMC2/IST1/STXBP1"
"MF","GO:0005198","structural molecule activity",478,-0.652376768278127,-2.10486758093445,1e-10,3.35476190476191e-08,2.9218045112782e-08,1185,"tags=22%, list=10%, signal=20%","ASPH/MRPS24/MRPS25/THBS1/THBS3/COL9A1/MRPS5/EVPL/PODN/COL9A2/SORBS2/CLDN23/RPL7L1/KRT18/EPB41L2/HMGA1/COL6A5/NEBL/EMILIN1/MRPS17/ACAN/VCAN/LAMC3/MYOM2/SEC31A/DPT/RPLP0/FRAS1/CLDN34/LAMA2/PNN/SPARC/BGLAP/CHADL/FBN1/COL4A6/ANOS1/UMODL1/DCN/CTBP2/MYL1/COL25A1/MIP/MATN1/LAMC1/COL4A1/COL6A1/SNTA1/LTBP2/LAMB1/LAMA4/BGN/MXRA5/COL15A1/EFEMP2/COL6A6/COL24A1/COL9A3/POSTN/AEBP1/THBS2/COL14A1/TNC/SRPX/MARVELD1/FN1/NID1/NPHP4/PXDN/MYH8/PANX3/SRPX2/PRELP/COL27A1/COL13A1/NPHP1/MYBPH/TPM1/COL2A1/COL6A2/COL11A1/ELN/MATN2/COL16A1/COL1A1/CTHRC1/UMOD/COL1A2/LUM/COL6A3/ABI3BP/EMILIN3/ASPN/NID2/MFAP2/CILP/COL5A1/COL22A1/COL12A1/OGN/COL10A1/OTOL1/FBN2"
"MF","GO:0005201","extracellular matrix structural constituent",121,-0.843083002845888,-2.40772831891191,1e-10,3.35476190476191e-08,2.9218045112782e-08,902,"tags=60%, list=8%, signal=55%","THBS1/THBS3/COL9A1/PODN/COL9A2/COL6A5/EMILIN1/ACAN/VCAN/DPT/FRAS1/LAMA2/SPARC/CHADL/FBN1/COL4A6/ANOS1/UMODL1/DCN/COL25A1/MATN1/LAMC1/COL4A1/COL6A1/LTBP2/LAMB1/LAMA4/BGN/MXRA5/COL15A1/EFEMP2/COL6A6/COL24A1/COL9A3/POSTN/AEBP1/THBS2/COL14A1/TNC/SRPX/FN1/NID1/PXDN/SRPX2/PRELP/COL27A1/COL13A1/COL2A1/COL6A2/COL11A1/ELN/MATN2/COL16A1/COL1A1/CTHRC1/UMOD/COL1A2/LUM/COL6A3/ABI3BP/EMILIN3/ASPN/NID2/MFAP2/CILP/COL5A1/COL22A1/COL12A1/OGN/COL10A1/OTOL1/FBN2"
"CC","GO:0005581","collagen trimer",66,-0.828844818584533,-2.1549630336927,1e-10,3.35476190476191e-08,2.9218045112782e-08,1102,"tags=61%, list=9%, signal=55%","COL9A1/COL9A2/EDA/COL6A5/EMILIN1/COLEC10/COL4A6/DCN/C1QTNF5/COL25A1/COL4A1/COL6A1/COL15A1/COL6A6/COL24A1/COL9A3/C1QTNF6/COL14A1/COL27A1/COL13A1/SCARA3/C1QTNF9B/COL2A1/COL6A2/COL11A1/COL16A1/COL1A1/CTHRC1/LOX/COL1A2/LUM/COLEC12/COL26A1/COL6A3/COL5A1/COL22A1/COL12A1/C1QL4/COL10A1/OTOL1"
"CC","GO:0005788","endoplasmic reticulum lumen",222,-0.714053049351667,-2.17006248263471,1e-10,3.35476190476191e-08,2.9218045112782e-08,1312,"tags=38%, list=11%, signal=35%","ERLEC1/IGFBP4/LGALS1/COL28A1/ERP27/TRDN/THBS1/CASQ1/COL9A1/P4HA2/TOR1A/COL9A2/BMP4/COLGALT2/APP/APOA1/PDIA6/SUMF2/PPIB/VCAN/MIA3/KNG1/P4HA1/SUMF1/DNAJB9/BGLAP/CALR/FBN1/COL4A6/CP/MXRA8/GPX8/P4HA3/ARSI/COL25A1/MYDGF/LAMC1/COL4A1/COL6A1/CRTAP/FOXRED2/UGGT2/FKBP14/LAMB1/TXNDC5/COL15A1/POGLUT1/COL24A1/COL9A3/P3H1/FKBP10/COL14A1/TNC/CALU/QSOX1/GPX7/COLGALT1/P4HB/FN1/HRC/COL27A1/FKBP7/MANF/COL13A1/HSPA5/RCN1/COL2A1/COL6A2/COL11A1/CKAP4/GCG/RCN3/COL16A1/COL1A1/COL1A2/FSTL3/COL26A1/COL6A3/COL5A1/COL22A1/COL12A1/SERPINH1/ADAMTS7/FSTL1/COL10A1"
