"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",0.114694477673994,"29974"
"A2ML1","LOC107373536",-0.391093119197364,"144568"
"A2ML1","LOC107380767",0.172437279852779,"144568"
"AAAS","aaas",-0.172437279852779,"8086"
"AACS","aacs",0.0498135680052801,"65985"
"AADAC","LOC107380045",-0.0173493848044582,"13"
"AADAT","aadat",0.301591157779951,"51166"
"AAGAB","aagab",-0.128726960679767,"79719"
"AAK1","LOC107373159",-1.09727616478911,"22848"
"AAMDC","aamdc",0.00722837210373383,"28971"
"AAMP","aamp",-0.00106738902074687,"14"
"AANAT","LOC107376253",0.00123912895784678,"15"
"AAR2","aar2",0.0845857556288762,"25980"
"AARS2","aars2",0.0949898161507017,"57505"
"AARSD1","aarsd1",-0.0379384530837799,"80755"
"AASDH","aasdh",-0.00329530635181847,"132949"
"AASDHPPT","aasdhppt",-0.000431641527955533,"60496"
"AASS","aass",-0.0783770623271096,"10157"
"AATF","aatf",-0.0776796865828702,"26574"
"AATK","LOC107378275",-0.100072570771671,"9625"
"AATK","aatk",0.0552723037543897,"9625"
"ABAT","abat",0.299905781244126,"18"
"ABCA1","LOC107372735",0.00144847191034228,"19"
"ABCA1","LOC107381037",0.412377011893485,"19"
"ABCA1","LOC107392625",0.0709183441426562,"19"
"ABCA1","LOC107377411",-0.0918656949171325,"19"
"ABCA1","LOC107391047",0.00135330958183854,"19"
"ABCA12","LOC107376062",0.0136417034180153,"26154"
"ABCA12","abca12",0.0178250492558787,"26154"
"ABCA3","abca3",0.301028646224052,"21"
"ABCA4","LOC107383559",8.2546733285047e-05,"24"
"ABCA5","abca5",0.0437133289325618,"23461"
"ABCB1","abcb1",0.439562350878605,"5243"
"ABCB10","abcb10",0.249300596316912,"23456"
"ABCB6","abcb6",-0.0554602650163991,"10058"
"ABCB7","abcb7",0.358401386306486,"22"
"ABCB8","LOC107383862",-0.0303731873941743,"11194"
"ABCB9","abcb9",0.0620862786279789,"23457"
"ABCC1","LOC107392837",-0.0249321851512417,"4363"
"ABCC1","LOC107373251",0.00586714828009493,"4363"
"ABCC1","LOC107391801",0.0123615031819216,"4363"
"ABCC10","abcc10",-0.0105028167230943,"89845"
"ABCC12","LOC107381982",0.0890596890627428,"94160"
"ABCC2","abcc2",-0.000125971665881968,"1244"
"ABCC3","LOC107388296",0.0843414490362714,"8714"
"ABCC4","abcc4",-0.0268376886698105,"10257"
"ABCC5","abcc5",-0.00170134604136025,"10057"
"ABCC8","abcc8",-0.0110790370235039,"6833"
"ABCC9","LOC107387088",7.35694626494178e-06,"10060"
"ABCD1","LOC107391455",0.487390428393354,"215"
"ABCD2","abcd2",0.0307674022101192,"225"
"ABCD3","LOC107395207",0.383064969727851,"5825"
"ABCD3","abcd3",0.255784660784095,"5825"
"ABCD4","abcd4",0.443967378870455,"5826"
"ABCE1","abce1",-0.0637127080459139,"6059"
"ABCF1","abcf1",-0.0117481010861087,"23"
"ABCF2","abcf2",-0.158883523683839,"10061"
"ABCF3","abcf3",-0.0691797163469925,"55324"
"ABCG2","LOC107376824",0.148137600511391,"9429"
"ABCG4","abcg4",0.10844431988352,"64137"
"ABHD10","abhd10",-0.0976439947394515,"55347"
"ABHD12","abhd12b",-0.0122064952513717,"26090"
"ABHD12","LOC107375545",0.0226161998953964,"26090"
"ABHD12","LOC107376141",2.33275386936887e-05,"26090"
"ABHD13","abhd13",0.00894173052760699,"84945"
"ABHD14A","abhd14a",0.242928543168822,"25864"
"ABHD14B","abhd14b",-0.00049860229216592,"84836"
"ABHD15","LOC107380403",-0.00717090454203777,"116236"
"ABHD16A","abhd16a",0.0133962002033006,"7920"
"ABHD17B","abhd17b",-0.399922374459851,"51104"
"ABHD17C","LOC107384127",-0.0579395105819432,"58489"
"ABHD17C","LOC107393262",0.393118395682168,"58489"
"ABHD18","abhd18",0.0558373619149834,"80167"
"ABHD2","abhd2",0.504930850784788,"11057"
"ABHD2","LOC107376844",-0.191664092542246,"11057"
"ABHD3","LOC107377588",0.022445315416049,"171586"
"ABHD3","abhd3",0.000256997220814608,"171586"
"ABHD4","abhd4",3.29414517367905e-05,"63874"
"ABHD5","LOC107383196",0.017538761409849,"51099"
"ABHD5","abhd5",0.0103614632217573,"51099"
