"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",137,-0.800667975836873,-2.17208961445745,1e-10,1.75121951219512e-08,1.53709884467266e-08,714,"tags=35%, list=6%, signal=33%","RAB11A/MAU2/KPNB1/BUB3/DSCC1/MAD2L1/NUP62/PRC1/PTTG1/TUBG1/TTK/UBE2C/BUB1/TRIP13/KIF14/KIFC1/MAD2L1BP/BUB1B/KNSTRN/AURKB/RACGAP1/KIF4A/KNTC1/ESPL1/NCAPG2/CDCA8/NEK2/CENPF/NCAPH/NUMA1/NCAPD2/CDC20/CENPK/PLK1/GEN1/SPAG5/NDC80/NUF2/NCAPG/KIF2C/KIF23/DLGAP5/SMC4/TACC3/NUSAP1/SMC2/INCENP/CCNB1"
"BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",113,0.784150102130723,2.41748677635107,1e-10,1.75121951219512e-08,1.53709884467266e-08,1433,"tags=70%, list=12%, signal=62%","HELZ2/RPS27/RPLP0/RPSA/RPS6/RPS2/UPF3A/RPS7/RPL12/RPS3/RPS8/RPL13A/RPL7A/RPL13/RPS25/RPL23/RPS3A/RPL34/RPL7/RPL14/RPL9/RPL8/RPS5/RPL10A/RPL35A/RPL36A/RPL32/RPL6/RPL18/RPL31/RPS4X/RPL22/RPL11/RPL15/RPS10/RPL23A/RPS9/RPL24/RPL4/RPL5/RPS26/RPL26/RPS12/SMG6/RPL18A/RPS27A/RPL36/RPS24/RPS14/RPS15/RPS23/RPS28/RPL37A/RPL21/RPL10/RPL30/RPS20/RPL37/RPL27A/RPS29/RPL29/RPS19/RPS13/RPS17/RPS21/RPS15A/RPS11/RPS18/RPL19/RPL27/RPLP2/PABPC1/NCBP2/RPL28/RPL35/RPS16/RPLP1/RPL39/SECISBP2"
"BP","GO:0000226","microtubule cytoskeleton organization",469,-0.661642723600067,-1.95758781606009,1e-10,1.75121951219512e-08,1.53709884467266e-08,1560,"tags=27%, list=13%, signal=24%","DVL1/PAFAH1B1/FGF10/HDAC6/DISC1/DNAI2/MID1IP1/FER/NAV1/DCTN2/KIF3B/NAV3/RCC1/DIXDC1/SPDL1/DCTN1/BICD2/FSD1/MID1/KIF2A/ATF5/CHMP1A/BBS2/NSFL1C/GAPDH/CHMP2B/TTLL1/TRIM36/EML1/CDK5/LLGL1/CEP152/DNAAF2/DNAAF5/HAUS1/SPC25/KAT2A/CCDC69/GBA2/FOXJ1/CHEK1/MET/ABL1/CENPE/MARK3/CENPH/NEFL/SKA3/TUBB2A/SIRT1/RAB11A/GSK3B/CSNK1D/SASS6/KPNB1/FGF13/SS18/RANBP1/MAPRE3/MAP6/MAD2L1/NUP62/PRC1/KATNAL1/TBCE/ARHGEF2/DCLK2/TUBG1/EFNA5/TTK/CHEK2/STMN1/KIF3A/TUBA1A/CCP110/MAP2/MAPT/TUBA1B/KIFC1/MAPRE1/CDK2/EML2/DAG1/CLIP2/CENPJ/KNSTRN/RANBP9/TUBB4B/AURKB/RACGAP1/DCX/KIF4A/CCNB2/AAAS/STMN2/ESPL1/AURKA/HDAC3/CNP/MYBL2/NEK2/NUMA1/CDC20/TUBB/ASPM/WEE1/PLK1/CCNF/CRMP1/GEN1/PLK4/SPAG5/NDC80/KIF20A/NUF2/KIF2C/KIF23/DLGAP5/TPX2/KIF11/TACC3/NUSAP1/INCENP/CCNB1/CDK1"
"CC","GO:0000228","nuclear chromosome",183,-0.763515805021638,-2.11692245283675,1e-10,1.75121951219512e-08,1.53709884467266e-08,1570,"tags=38%, list=13%, signal=33%","SLX1B/POLA2/KAT5/SAP130/LRIF1/SIN3B/RUVBL1/RCC1/DMAP1/LRWD1/RPA2/DSN1/RAD21/BRD8/CHMP1A/POLA1/ORC1/NOL6/PBRM1/CENPT/LRPPRC/ING2/CHEK1/ORC3/GINS3/BCAS2/HDAC2/RUVBL2/TIPIN/POLD2/RAD51/RBBP4/BRMS1L/TUBG1/RPA1/HDAC8/BUB1/SUV39H1/SMARCAD1/WDHD1/SMARCA5/PRPF19/BIRC5/PCNA/TIMELESS/MCM10/ACTL6A/BUB1B/POLD1/POLE2/MMS22L/SMARCE1/NEK2/NCAPD2/MCM3/PRIM1/CENPK/PLK1/NDC80/POLE/MCM7/NUF2/MCM4/MCM2/MCM5/MCM6/SMC2/INCENP/CCNB1"
"BP","GO:0000280","nuclear division",327,-0.697145608505524,-2.02241534156561,1e-10,1.75121951219512e-08,1.53709884467266e-08,1479,"tags=30%, list=12%, signal=27%","DCTN2/KIF3B/FZR1/PSMD13/RCC1/CHMP6/SPDL1/CDC27/KIF2A/BOD1/CDC6/DSN1/RAD21/CHMP1A/INS/NSL1/NSFL1C/CHMP2B/TOP2B/ACTR2/ING2/PRDM9/CHEK1/NEUROG1/NCAPD3/PDS5A/ACTR3/CENPE/RAD51AP1/RMI1/RAD51/RAB11A/MAU2/KPNB1/PRMT5/RANBP1/BUB3/DSCC1/FANCD2/PPP2R1A/WNT4/MAD2L1/NUP62/PRC1/PTTG1/TUBG1/UBE2S/NEK9/TTK/CHEK2/UBE2C/BUB1/TRIP13/KIF14/KIFC1/MAD2L1BP/BUB1B/KNSTRN/AURKB/RACGAP1/KIF4A/CCNB2/AAAS/KNTC1/ESPL1/AURKA/NCAPG2/CDCA8/MYBL2/NEK2/CENPF/NCAPH/NUMA1/NCAPD2/CDC20/CENPK/PLK1/GEN1/SPAG5/CCNE2/NDC80/NUF2/MND1/NCAPG/KIF2C/KIF23/DLGAP5/TPX2/ANLN/KIF11/MKI67/SMC4/TACC3/NUSAP1/SMC2/INCENP/CCNB1/CDK1"
"CC","GO:0000775","chromosome, centromeric region",165,-0.7575077055044,-2.09128935435069,1e-10,1.75121951219512e-08,1.53709884467266e-08,1338,"tags=39%, list=11%, signal=35%","BOD1/LRWD1/TP53BP1/DSN1/FBXO28/RAD21/NSL1/OIP5/NUP85/NUP160/CENPT/SPC25/XPO1/NCAPD3/PPP1CC/PSEN1/SEC13/PDS5A/CENPE/ERCC6L/CENPH/SKA3/DCTN5/PPP2R5C/BUB3/DSCC1/CENPI/PPP2R1A/MAD2L1/CBX1/TTK/CENPQ/MIS18A/BUB1/SUV39H1/BIRC5/NUP107/BUB1B/KNSTRN/CENPP/SPC24/AURKB/DNMT3A/KNTC1/CDCA8/NEK2/CENPF/ESCO2/NCAPD2/CBX5/ZWILCH/CENPN/CENPK/PLK1/SPAG5/NDC80/NUF2/NCAPG/KIF2C/HELLS/SMC4/INCENP/RCC2/CCNB1"
"CC","GO:0000793","condensed chromosome",165,-0.741385613621976,-2.04678029011467,1e-10,1.75121951219512e-08,1.53709884467266e-08,1338,"tags=33%, list=11%, signal=30%","BOD1/LRWD1/TP53BP1/DSN1/FBXO28/RAD21/CHMP1A/NSL1/NUP85/NOL6/CENPT/LRPPRC/SPC25/CHEK1/NCAPD3/PPP1CC/LIG4/CENPE/ERCC6L/CENPH/SKA3/RAD51/HMGB2/DCTN5/BUB3/FANCD2/MAD2L1/TUBG1/BUB1/SUV39H1/SMARCA5/BIRC5/NUP107/BUB1B/KNSTRN/SPC24/AURKB/KNTC1/NEK2/CENPF/NCAPD2/ZWILCH/CENPN/CENPK/PLK1/SPAG5/NDC80/NUF2/NCAPG/KIF2C/MKI67/SMC2/INCENP/CCNB1"
"BP","GO:0000819","sister chromatid segregation",161,-0.791867738802972,-2.17837163568234,1e-10,1.75121951219512e-08,1.53709884467266e-08,714,"tags=32%, list=6%, signal=31%","RAB11A/MAU2/KPNB1/BUB3/DSCC1/MAD2L1/NUP62/PRC1/PTTG1/DDX11/TUBG1/HDAC8/TTK/UBE2C/SFPQ/BUB1/TRIP13/KIF14/KIFC1/MAD2L1BP/BUB1B/KNSTRN/AURKB/RACGAP1/KIF4A/KNTC1/ESPL1/NCAPG2/CDCA8/NEK2/CENPF/NCAPH/NUMA1/ESCO2/NCAPD2/CDC20/CENPK/PLK1/GEN1/SPAG5/NDC80/NUF2/NCAPG/KIF2C/KIF23/DLGAP5/SMC4/TACC3/NUSAP1/SMC2/INCENP/CCNB1"
"BP","GO:0000956","nuclear-transcribed mRNA catabolic process",187,0.657174719353491,2.13254386035055,1e-10,1.75121951219512e-08,1.53709884467266e-08,1477,"tags=45%, list=12%, signal=41%","HELZ2/MRTO4/RPS27/RPLP0/RPSA/TOB1/RPS6/RPS2/UPF3A/RPS7/RPL12/RPS3/RPS8/EXOSC8/RPL13A/CNOT4/RPL7A/RPL13/RPS25/RPL23/RPS3A/RPL34/RPL7/RPL14/RPL9/RPL8/RPS5/RPL10A/RPL35A/RPL36A/RPL32/RPL6/RPL18/RPL31/RPS4X/RPL22/RPL11/RPL15/RPS10/RPL23A/RPS9/RPL24/RPL4/RPL5/RPS26/RPL26/RPS12/SMG6/RPL18A/RPS27A/RPL36/RPS24/RPS14/RPS15/RPS23/RPS28/RPL37A/RPL21/RPL10/RPL30/RPS20/RPL37/RPL27A/RPS29/RPL29/RPS19/RPS13/RPS17/RPS21/RPS15A/RPS11/RPS18/RPL19/RPL27/RPLP2/PABPC1/NCBP2/RPL28/RPL35/RPS16/RPLP1/RPL39/SSB/SECISBP2/PATL2"
"MF","GO:0003735","structural constituent of ribosome",142,0.778013511945345,2.4606385149149,1e-10,1.75121951219512e-08,1.53709884467266e-08,1653,"tags=61%, list=14%, signal=54%","RSL24D1/RPS27/RPLP0/RPSA/RPS6/RPS2/RPS7/RPL12/RPS3/RPS8/RPL13A/MRPS23/RPL7A/RPL13/RPS25/RPL23/RPS3A/RPL34/RPL7/RPL14/RPL9/RPL8/RPS5/RPL10A/RPL35A/RPL36A/RPL32/RPL6/RPL18/RPL31/RPS4X/RPL22/RPL11/RPL15/RPS10/RPL23A/RPS9/RPL24/RPL4/RPL5/RPS26/RPL26/RPS12/RPL18A/RPS27A/RPL36/RPS24/RPS14/RPS15/RPS23/RPS28/RPL37A/RPL21/RPL10/RPL30/RPS20/RPL37/RPL27A/RPS29/MRPL24/RPL29/RPS19/RPS13/RPS17/RPS21/RPS15A/RPS11/RPS18/RPL19/RPL27/RPLP2/MRPL41/MRPS9/RPL28/RPL35/MRPL36/MRPL28/RPS16/RPLP1/RPL39/RPL22L1/MRPL10/MRPL35/MRPS11/MRPS18C/UBA52/MRPS15"
