"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.511935623589308,"29974"
"A2M","LOC107395751",0.0469821281718851,"2"
"A2ML1","LOC107373335",0.0210731241521857,"144568"
"A2ML1","LOC107380767",0.000775404025913023,"144568"
"AAAS","aaas",-2.97033297846697,"8086"
"AACS","aacs",-0.535685008284741,"65985"
"AADAC","LOC107380045",-0.116296960612905,"13"
"AADAT","aadat",-0.0135820140812828,"51166"
"AAGAB","aagab",0.0569087334180441,"79719"
"AAK1","LOC107373159",0.00285566496606666,"22848"
"AAMDC","aamdc",2.40483529413155,"28971"
"AAMP","aamp",-0.319957481658769,"14"
"AANAT","LOC107376253",-0.215826965995125,"15"
"AANAT","LOC107378383",0.787884327440747,"15"
"AAR2","aar2",-0.0106028338403841,"25980"
"AARS2","aars2",-0.241621479840944,"57505"
"AARSD1","aarsd1",0.00285566496606666,"80755"
"AASDH","aasdh",0.004475361255134,"132949"
"AASDHPPT","aasdhppt",0.0419576742874282,"60496"
"AASS","aass",-0.0191553135490708,"10157"
"AATF","aatf",-0.495447634599388,"26574"
"AATK","aatk",0.093009093483019,"9625"
"AATK","LOC107378275",-0.249593689604992,"9625"
"ABAT","abat",3.13537376193743,"18"
"ABCA1","LOC107377411",-0.376951824593607,"19"
"ABCA1","LOC107391047",3.0667394376766,"19"
"ABCA1","LOC107372735",0.0501629146603283,"19"
"ABCA1","LOC107392625",-0.0275890399892018,"19"
"ABCA1","LOC107381037",-0.973023017525909,"19"
"ABCA12","LOC107376062",-0.00429573739932131,"26154"
"ABCA12","abca12",0.716819494631321,"26154"
"ABCA3","abca3",-0.391897757321044,"21"
"ABCA4","LOC107383559",0.141633837178199,"24"
"ABCA5","abca5",-0.430358090947125,"23461"
"ABCB1","abcb1",1.43603170483565,"5243"
"ABCB10","abcb10",-0.0329104101276636,"23456"
"ABCB6","abcb6",-0.437764410940675,"10058"
"ABCB7","abcb7",-0.118748736193078,"22"
"ABCB8","LOC107383862",-0.518641171071838,"11194"
"ABCB9","abcb9",-0.0158633520405371,"23457"
"ABCC1","LOC107392837",0.263972193956933,"4363"
"ABCC1","LOC107391801",-0.495447634599388,"4363"
"ABCC1","LOC107373251",0.596715918622008,"4363"
"ABCC10","abcc10",-4.3040728465672,"89845"
"ABCC12","LOC107381982",0.983920224334025,"94160"
"ABCC2","abcc2",-0.071105537034961,"1244"
"ABCC3","LOC107388296",0.297807168498572,"8714"
"ABCC4","abcc4",-0.027842062095587,"10257"
"ABCC5","abcc5",0.0122770196579149,"10057"
"ABCC8","abcc8",0.19056184901383,"6833"
"ABCC9","LOC107387088",0.00906474066003604,"10060"
"ABCD1","LOC107391455",0.302379298815664,"215"
"ABCD2","abcd2",-0.0476780816845845,"225"
"ABCD3","LOC107395207",-0.217820892154271,"5825"
"ABCD3","abcd3",-0.648727740235629,"5825"
"ABCD4","abcd4",0.0909115197299485,"5826"
"ABCE1","abce1",-0.4333097804119,"6059"
"ABCF1","abcf1",-0.769635995579555,"23"
"ABCF2","abcf2",-0.581917594741149,"10061"
"ABCF3","abcf3",-0.430358090947125,"55324"
"ABCG1","LOC107395544",0.0874998980929785,"9619"
"ABCG2","LOC107376824",1.53181684796507,"9429"
"ABCG4","abcg4",1.38103498059219,"64137"
"ABHD10","abhd10",0.00543373752709689,"55347"
"ABHD11","abhd11",0.00802970499780947,"83451"
"ABHD12","LOC107376141",-3.47551909141035e-06,"26090"
"ABHD12","abhd12b",0.556674071081473,"26090"
"ABHD12","LOC107375545",-0.042607896247557,"26090"
"ABHD13","abhd13",-0.230943888766253,"84945"
"ABHD14A","abhd14a",-0.0946021431440909,"25864"
"ABHD14B","abhd14b",0.0770579356590928,"84836"
"ABHD15","LOC107380403",-0.00893154702093753,"116236"
"ABHD16A","abhd16a",-0.10114668324504,"7920"
"ABHD17B","abhd17b",0.00117828738141016,"51104"
"ABHD17C","LOC107393262",-0.325970886980821,"58489"
"ABHD17C","LOC107384127",-1.60002922644597,"58489"
"ABHD18","abhd18",0.0309849280897113,"80167"
"ABHD2","abhd2",0.0195661376252184,"11057"
"ABHD2","LOC107376844",-3.54742662159163,"11057"
"ABHD3","LOC107377588",-3.29371736997972,"171586"
"ABHD3","abhd3",-2.02249161501056,"171586"
"ABHD4","abhd4",0.914776536145262,"63874"
"ABHD5","abhd5",0.168754652824844,"51099"
"ABHD5","LOC107383196",0.279994452527124,"51099"
"ABHD8","LOC107396936",-0.0076594120532269,"79575"
"ABHD8","abhd8",1.25952551181709,"79575"
"ABI1","LOC107389593",-0.0469821281718851,"10006"
"ABI1","LOC107384312",-6.31668954083978,"10006"
"ABI1","abi1",0.0452692137018846,"10006"
"ABI1","LOC107390296",1.25285930335791,"10006"
"ABI2","abi2",-0.0169847251027314,"10152"
"ABI3BP","LOC107384590",0.792497746169199,"25890"
"ABI3BP","abi3bp",-0.00257798550913431,"25890"
"ABL1","abl1",-0.946196545136039,"25"
"ABL2","abl2",-0.0101699979549928,"27"
"ABLIM1","LOC107388069",0.123751341496729,"3983"
"ABLIM1","ablim1",-0.152254984628445,"3983"
"ABLIM2","ablim2",-0.00420741654415381,"84448"
"ABLIM3","LOC107386751",0.164143958269244,"22885"
"ABLIM3","LOC107373670",3.53863678267218,"22885"
"ABLIM3","LOC107394056",0.0519848901127938,"22885"
"ABO","LOC107385470",-0.490577294937299,"28"
"ABR","LOC107377344",2.05290438080011,"29"
"ABR","abr",-0.0223600497680725,"29"
"ABRACL","abracl",-1.84380940116036,"58527"
"ABT1","abt1",0.106814410069861,"29777"
"ABTB1","abtb1",-0.040042881334928,"80325"
"ABTB2","LOC107381557",-0.501995825452498,"25841"
"ABTB2","abtb2",0.158870399048927,"25841"
"ACAA1","acaa1",0.0432641370364042,"30"
"ACAA2","acaa2",-0.0439264207544295,"10449"
"ACACA","acaca",-1.46611208895232,"31"
"ACACB","acacb",0.756163129438752,"32"
"ACAD11","LOC107372609",0.0053333415072711,"84129"
"ACAD11","acad11",0.327182924947331,"84129"
"ACAD11","LOC107374620",0.145118677406254,"84129"
"ACAD8","acad8",0.00543373752709689,"27034"
"ACAD9","acad9",-0.183917056108743,"28976"
"ACADL","acadl",-0.0265904585729765,"33"
"ACADM","acadm",0.0208288723041068,"34"
"ACADS","LOC107383304",-0.0212599432544129,"35"
"ACADS","acads",-0.287694565438471,"35"
"ACADSB","acadsb",0.484137549247203,"36"
"ACADVL","acadvl",-0.244590491084408,"37"
"ACADVL","LOC107393942",0.257742774830279,"37"
"ACAN","acan",1.71377864308732,"176"
