"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",137,-0.810876965545261,-2.33699097558887,1e-10,4.22411764705882e-08,3.81857585139319e-08,1039,"tags=41%, list=9%, signal=38%","CDC16/KIF22/ATRX/CDC6/NCAPG2/KIF18A/KATNB1/EML4/BUB1B/CHMP6/ESPL1/APC/PRC1/KIF14/NEK2/AURKB/TUBG1/DSCC1/UBE2C/NCAPD3/RAB11A/CENPE/MAD2L1/KIFC1/NDC80/ZNF207/KIF23/KNSTRN/NCAPH/CCNB1/CHMP1A/KIF4A/NCAPD2/BUB1/NUF2/HNRNPU/MAD2L1BP/RACGAP1/INCENP/CENPF/KNTC1/CDC20/TACC3/NUSAP1/CENPK/DLGAP5/PLK1/KIF2C/CDCA8/PTTG1/SMC2/NUMA1/NCAPG/SMC4/GEN1/SPAG5"
"BP","GO:0000226","microtubule cytoskeleton organization",469,-0.613149308913531,-1.91830649057791,1e-10,4.22411764705882e-08,3.81857585139319e-08,1136,"tags=23%, list=9%, signal=21%","RCC1/DOCK7/EFNA5/CEP295/CEP152/RAC1/KIF2A/HOOK3/NEURL1/STMN1/NCKAP5L/ATRX/CFAP69/STAG1/MARK4/CLASP2/KIF18A/CAMSAP1/KATNB1/EML4/KIF3A/GAPDH/TUBB2A/CCDC69/ARHGEF2/ESPL1/SKA3/NCOR1/APC/PRC1/AAAS/TUBA1A/CLIP2/DNAI2/WEE1/EML2/NEK2/SETD2/TUBGCP3/AURKB/FGF13/TUBG1/DAG1/DCLK2/DIXDC1/MAP6/AURKA/CNP/TBCEL/MYBL2/TBCE/NAV3/RANBP9/BBS2/CCP110/RAB11A/CENPE/TTLL4/MAD2L1/TRIM36/KIFC1/NDC80/LLGL1/MAPT/FOXJ1/MAP2/TUBA1B/MAPRE1/ZNF207/KATNAL1/KIF23/PLK4/CCNB2/KIF20A/GSK3B/KNSTRN/CCNB1/CHMP1A/KIF4A/TUBB4B/MARK3/CDK2/HAUS5/NUF2/HNRNPU/SS18/DCX/CRMP1/RACGAP1/INCENP/STMN2/CDK1/TPX2/CDC20/TACC3/NUSAP1/DLGAP5/PLK1/KIF11/KIF2C/CCNF/TUBB/ASPM/NUMA1/GEN1/SPAG5"
"BP","GO:0000280","nuclear division",327,-0.658614215518165,-2.01814077643753,1e-10,4.22411764705882e-08,3.81857585139319e-08,1156,"tags=27%, list=10%, signal=25%","FANCD2/PPP2R2D/RCC1/BAG6/KIF20B/ERCC4/KIF2A/CDC16/KIF22/ATRX/CDC6/NCAPG2/ACTR3/PPP1R9B/FGF8/STAG1/CLASP2/KIF18A/KATNB1/EML4/BUB1B/CHMP6/ESPL1/APC/PRC1/AAAS/KIF14/NEK2/AURKB/TUBG1/WNT4/DSCC1/RAD51/AURKA/MND1/MYBL2/UBE2C/NCAPD3/RAB11A/TOP2A/CENPE/CCNE2/MAD2L1/PRDM9/KIFC1/NDC80/ZNF207/RAD51AP1/KIF23/CCNB2/TOP2B/KNSTRN/NCAPH/CCNB1/CHMP1A/KIF4A/UBR2/NCAPD2/BUB1/NEUROG1/NUF2/HNRNPU/MAD2L1BP/RACGAP1/INCENP/CENPF/PRMT5/KNTC1/CDK1/TPX2/CDC20/TACC3/NUSAP1/CENPK/MKI67/DLGAP5/PLK1/KIF11/KIF2C/ANLN/CDCA8/PTTG1/SMC2/NUMA1/NCAPG/SMC4/GEN1/SPAG5"
"CC","GO:0000775","chromosome, centromeric region",165,-0.733193580439917,-2.14080397148021,1e-10,4.22411764705882e-08,3.81857585139319e-08,1080,"tags=35%, list=9%, signal=32%","CENPI/PPP2R5C/KIF22/CENPP/TP53BP1/ATRX/CENPT/CTCF/STAG1/CLASP2/KIF18A/BUB1B/NUP98/CBX1/SKA3/APC/NEK2/AURKB/DSCC1/SPC24/NCAPD3/DCTN5/CENPL/TOP2A/CENPE/MAD2L1/ZWILCH/NDC80/CENPW/ZNF207/CENPN/ESCO2/CBX5/DNMT3A/KNSTRN/CCNB1/PSEN1/NCAPD2/SUV39H1/TRAPPC12/BUB1/HELLS/NUF2/ERCC6L/HNRNPU/INCENP/CENPF/KNTC1/CENPK/PLK1/BIRC5/KIF2C/CDCA8/NCAPG/RCC2/SMC4/SPAG5"
"BP","GO:0000819","sister chromatid segregation",161,-0.803861337171597,-2.3434195208558,1e-10,4.22411764705882e-08,3.81857585139319e-08,1039,"tags=39%, list=9%, signal=36%","CDC16/KIF22/ATRX/CDC6/CTCF/NCAPG2/STAG1/KIF18A/KATNB1/EML4/BUB1B/CHMP6/ESPL1/APC/PRC1/KIF14/NEK2/AURKB/TUBG1/DSCC1/UBE2C/NCAPD3/RAB11A/TOP2A/CENPE/MAD2L1/KIFC1/NDC80/ZNF207/KIF23/ESCO2/TOP2B/KNSTRN/NCAPH/CCNB1/CHMP1A/KIF4A/NCAPD2/BUB1/NUF2/HNRNPU/HDAC8/MAD2L1BP/RACGAP1/INCENP/CENPF/KNTC1/CDC20/TACC3/NUSAP1/CENPK/DLGAP5/PLK1/KIF2C/CDCA8/PTTG1/SMC2/NUMA1/NCAPG/SMC4/GEN1/SPAG5"
"CC","GO:0005819","spindle",315,-0.644504478535722,-1.97107183213723,1e-10,4.22411764705882e-08,3.81857585139319e-08,1163,"tags=24%, list=10%, signal=23%","GEM/SHCBP1/CEP295/KIF20B/KIF2A/CDC16/KBTBD8/KIF22/KIF15/CDC6/BIRC6/STAG1/CLASP2/KIF18A/KATNB1/EML4/KIF3A/BUB1B/CCDC69/CBX1/ARHGEF2/ESPL1/SKA3/NCOR1/PRC1/AAAS/EML2/KIF14/NEK2/TUBGCP3/AURKB/TUBG1/AURKA/PRPF19/RAB11A/MAPK1/ECT2/CENPE/MAD2L1/KIFC1/MAPRE1/ZNF207/KATNAL1/KIF23/PLK4/KIF20A/KNSTRN/CCNB1/KIF4A/HAUS5/HNRNPU/DCDC2/PTP4A1/CRMP1/MAD2L1BP/RACGAP1/INCENP/CKAP2/CENPF/TTLL12/KNTC1/CDK1/TPX2/CDC20/TACC3/NUSAP1/DLGAP5/PLK1/KIF11/BIRC5/KIF2C/CDCA8/ASPM/NUMA1/RCC2/CKAP2L/SPAG5"
"CC","GO:0005874","microtubule",337,-0.617282184341876,-1.89525602797338,1e-10,4.22411764705882e-08,3.81857585139319e-08,1118,"tags=23%, list=9%, signal=22%","CEP295/KIF20B/KIF2A/HOOK3/KIF22/STMN1/NCKAP5L/KIF15/RADIL/CLASP2/KIF18A/CAMSAP1/LRPPRC/KATNB1/GSK3A/EML4/KIF3A/DPP9/GTSE1/TUBB2A/SLC8A1/ARHGEF2/SKA3/APC/PRC1/TUBA1A/CLIP2/DNAI2/EML2/KIF14/NEK2/TUBGCP3/AURKB/FGF13/TUBG1/MAP6/AURKA/SYNJ1/TBCE/SARM1/DYNC1I2/NAV3/RAB11A/CENPE/TTLL4/KIFC1/MAPT/MAP2/TUBA1B/MAPRE1/ZNF207/KATNAL1/KIF23/KIF20A/KNSTRN/DPYSL2/KIF4A/TUBB4B/APPBP2/HAUS5/HNRNPU/DCDC2/DCX/RACGAP1/INCENP/CKAP2/KNTC1/CDK1/TPX2/EML6/PLK1/KIF11/BIRC5/KIF2C/TUBB/ASPM/NUMA1/RCC2/SPAG5"
"BP","GO:0007059","chromosome segregation",262,-0.729303779768366,-2.20286705742779,1e-10,4.22411764705882e-08,3.81857585139319e-08,1163,"tags=32%, list=10%, signal=29%","GEM/FANCD2/RCC1/BAG6/ERCC4/CDC16/KIF22/ATRX/CDC6/CENPT/CTCF/NCAPG2/ACTR3/STAG1/KIF18A/KATNB1/EML4/BUB1B/USP9X/CHMP6/ESPL1/SKA3/APC/PRC1/KIF14/NEK2/SETDB2/SMARCAD1/AURKB/TUBG1/DSCC1/UBE2C/NCAPD3/RAB11A/TOP2A/ECT2/CENPE/CCNE2/MAD2L1/PRDM9/KIFC1/NDC80/CENPW/ZNF207/CENPN/KIF23/ESCO2/TOP2B/KNSTRN/NCAPH/CCNB1/CHMP1A/KIF4A/NCAPD2/TRAPPC12/BUB1/NUF2/HNRNPU/HDAC8/MAD2L1BP/RACGAP1/INCENP/CENPF/KNTC1/CDC20/TACC3/NUSAP1/CENPK/MKI67/DLGAP5/PLK1/BIRC5/KIF2C/CDCA2/CDCA8/PTTG1/SMC2/NUMA1/NCAPG/RCC2/SMC4/GEN1/SPAG5"
"BP","GO:0044772","mitotic cell cycle phase transition",482,-0.61207471770292,-1.92059070302046,1e-10,4.22411764705882e-08,3.81857585139319e-08,1444,"tags=26%, list=12%, signal=23%","CNOT7/DBF4B/CDC45/DYNC1H1/CENPJ/MDM4/PTEN/TAF2/AKT1/SKP2/PCNA/KHDRBS1/FBXL7/GSPT1/RPS6KB1/ORC3/TAOK1/PPP2R2D/RCC1/PKIA/APPL1/BRD7/FOXM1/CEP152/APEX1/CDC16/CKS1B/NASP/MYO16/CDC6/CEP164/CUL5/PPP1R9B/CLASP2/RFWD3/E2F3/HMMR/TAOK2/PHOX2B/PSMD11/KLF11/GTSE1/NABP1/BUB1B/ADAMTS1/ENSA/E2F1/AVEN/ESPL1/APC/CAMK2A/TUBA1A/WEE1/ACVR1B/E2F8/KIF14/NEK2/AURKB/TUBG1/AURKA/MCM6/DYNC1I2/UBE2C/CLSPN/NES/CDK10/CCP110/RAB11A/MCM10/CENPE/CARM1/CCNE2/MAD2L1/PSMD2/MCM2/NDC80/MAPRE1/ZNF207/MCM3/AJUBA/E2F7/PLK4/CCNB2/RRM2/CCNB1/POLE2/CDC25A/TFDP1/TUBB4B/MELK/POLA1/CDK2/ORC1/HAUS5/BUB1/NEUROG1/EZH2/IQGAP3/EIF4G1/TERT/MAD2L1BP/MCM5/CENPF/KNTC1/FBXL15/MCM7/CDK1/TPX2/CDC20/CCNB3/TACC3/MCM4/DLGAP5/PLK1/POLE/CCNA2/CCNF/ANLN/TUBB/LZTS1/SOX4/RCC2/GEN1"
"BP","GO:0048285","organelle fission",365,-0.646643563079793,-1.98872435666302,1e-10,4.22411764705882e-08,3.81857585139319e-08,1156,"tags=26%, list=10%, signal=24%","FANCD2/PPP2R2D/RCC1/BAG6/KIF20B/ERCC4/KIF2A/CDC16/KIF22/ATRX/CDC6/NCAPG2/ACTR3/PPP1R9B/FGF8/STAG1/CLASP2/KIF18A/KATNB1/EML4/BUB1B/CHMP6/ESPL1/APC/PRC1/AAAS/KIF14/NEK2/INF2/AURKB/TUBG1/WNT4/DSCC1/RAD51/AURKA/MND1/MYBL2/UBE2C/NCAPD3/MTFR2/RAB11A/TOP2A/CENPE/CCNE2/MAD2L1/PRDM9/MTFR1L/KIFC1/NDC80/MAPT/ZNF207/RAD51AP1/KIF23/CCNB2/TOP2B/KNSTRN/NCAPH/CCNB1/CHMP1A/KIF4A/UBR2/NCAPD2/BUB1/COX10/NEUROG1/NUF2/HNRNPU/PEX19/MAD2L1BP/RACGAP1/INCENP/CENPF/PRMT5/KNTC1/CDK1/TPX2/CDC20/TACC3/NUSAP1/CENPK/MKI67/DLGAP5/PLK1/KIF11/KIF2C/ANLN/CDCA8/PTTG1/SMC2/NUMA1/NCAPG/SMC4/GEN1/SPAG5"
