"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.0102853105014068,"29974"
"A2M","LOC107395751",0.257509917223719,"2"
"A2ML1","LOC107373335",0.0744765862496146,"144568"
"A2ML1","LOC107380767",0.0711063167062342,"144568"
"AAAS","aaas",-0.837332491020271,"8086"
"AACS","aacs",-0.273583979233863,"65985"
"AADAC","LOC107380045",-0.243868818659091,"13"
"AADAT","aadat",-0.145561406901504,"51166"
"AAGAB","aagab",0.135339130877796,"79719"
"AAK1","LOC107373159",-0.00571048253593053,"22848"
"AAMDC","aamdc",0.441759723468057,"28971"
"AAMP","aamp",0.0415126328727446,"14"
"AANAT","LOC107378383",0.193386084565722,"15"
"AANAT","LOC107376253",-0.0208365129280724,"15"
"AAR2","aar2",0.0486463824063417,"25980"
"AARS2","aars2",-0.192622640641742,"57505"
"AARSD1","aarsd1",-0.616708715351178,"80755"
"AASDH","aasdh",-0.500117465140773,"132949"
"AASDHPPT","aasdhppt",0.276003825638983,"60496"
"AASS","aass",0.15727211548071,"10157"
"AATF","aatf",-0.595623162010613,"26574"
"AATK","LOC107378275",-0.0280705102961395,"9625"
"AATK","aatk",-6.0045991492155e-05,"9625"
"ABAT","abat",0.201131325655881,"18"
"ABCA1","LOC107372735",-0.174179116512308,"19"
"ABCA1","LOC107392625",-0.0149453524893253,"19"
"ABCA1","LOC107377411",2.47085938681117e-05,"19"
"ABCA1","LOC107391047",0.312487909834149,"19"
"ABCA1","LOC107381037",-3.26000861348612,"19"
"ABCA12","abca12",0.402693432711937,"26154"
"ABCA12","LOC107376062",-0.11824358272167,"26154"
"ABCA3","abca3",-0.652458707847513,"21"
"ABCA4","LOC107383559",0.102096154740751,"24"
"ABCA5","abca5",-0.0829260845128974,"23461"
"ABCB1","abcb1",0.0756145290754223,"5243"
"ABCB10","abcb10",0.0450697763498959,"23456"
"ABCB6","abcb6",-1.3889336240171,"10058"
"ABCB7","abcb7",0.00179021415337131,"22"
"ABCB8","LOC107383862",-0.170284663290715,"11194"
"ABCB9","abcb9",-0.225178578093414,"23457"
"ABCC1","LOC107373251",-0.0322467187198208,"4363"
"ABCC1","LOC107392837",-0.200347688637586,"4363"
"ABCC1","LOC107391801",-0.449200717994219,"4363"
"ABCC10","abcc10",-1.64929046481723,"89845"
"ABCC12","LOC107381982",0.242532174371064,"94160"
"ABCC2","abcc2",-0.00212786129749325,"1244"
"ABCC3","LOC107388296",-0.00708854639473195,"8714"
"ABCC4","abcc4",0.00218256350995996,"10257"
"ABCC5","abcc5",-0.00478326898741541,"10057"
"ABCC8","abcc8",0.0713074971840166,"6833"
"ABCC9","LOC107387088",0.15363098065658,"10060"
"ABCD1","LOC107391455",0.0840371933756535,"215"
"ABCD2","abcd2",-0.0469151335491755,"225"
"ABCD3","abcd3",-0.00778469461593212,"5825"
"ABCD3","LOC107395207",0.00092436476461983,"5825"
"ABCD4","abcd4",0.508242481718309,"5826"
"ABCE1","abce1",-0.110377893149007,"6059"
"ABCF1","abcf1",-0.230723660438395,"23"
"ABCF2","abcf2",-0.2769758278952,"10061"
"ABCF3","abcf3",-0.85242466755385,"55324"
"ABCG1","LOC107395544",0.0363612338392203,"9619"
"ABCG2","LOC107376824",0.525535588780819,"9429"
"ABCG4","abcg4",0.237673389539797,"64137"
"ABHD10","abhd10",0.524775078125076,"55347"
"ABHD11","abhd11",0.142725476145947,"83451"
"ABHD12","abhd12b",0.503061198622558,"26090"
"ABHD12","LOC107375545",-0.194918990978382,"26090"
"ABHD12","LOC107376141",0.688775764110971,"26090"
"ABHD13","abhd13",-0.017696714027911,"84945"
"ABHD14A","abhd14a",0.02716374101384,"25864"
"ABHD14B","abhd14b",-0.03350349581855,"84836"
"ABHD15","LOC107380403",0.158610026336583,"116236"
"ABHD16A","abhd16a",-0.00478326898741541,"7920"
"ABHD17B","abhd17b",-0.477007877917719,"51104"
"ABHD17C","LOC107384127",-2.51701997767932,"58489"
"ABHD17C","LOC107393262",-0.888809917541394,"58489"
"ABHD18","abhd18",0.467840439487165,"80167"
"ABHD2","LOC107376844",-2.58871072867145,"11057"
"ABHD2","abhd2",0.0654247001576428,"11057"
"ABHD3","abhd3",-0.290327114628602,"171586"
"ABHD3","LOC107377588",-2.44456151233137,"171586"
"ABHD4","abhd4",0.106444507815888,"63874"
"ABHD5","abhd5",0.00212786129749324,"51099"
"ABHD5","LOC107383196",0.649792779796177,"51099"
"ABHD8","abhd8",0.225601913062331,"79575"
"ABHD8","LOC107396936",0.0381303673519318,"79575"
"ABI1","LOC107384312",-1.03492426656171,"10006"
"ABI1","LOC107390296",0.753903953743602,"10006"
"ABI1","LOC107389593",-0.568596946762556,"10006"
"ABI1","abi1",0.0194956748204014,"10006"
"ABI2","abi2",-0.469944797243111,"10152"
"ABI3BP","abi3bp",0.284340278418664,"25890"
"ABI3BP","LOC107384590",0.583225874213013,"25890"
"ABL1","abl1",-0.339685935441646,"25"
"ABL2","abl2",0.078360261267415,"27"
"ABLIM1","LOC107388069",0.237673389539797,"3983"
"ABLIM1","ablim1",-0.0091058867543069,"3983"
"ABLIM2","ablim2",0.106185516419155,"84448"
"ABLIM3","LOC107386751",0.0571800346598405,"22885"
"ABLIM3","LOC107394056",0.0527242117946764,"22885"
"ABLIM3","LOC107373670",0.0250800422062865,"22885"
"ABO","LOC107385470",-0.11064336827346,"28"
"ABR","LOC107377344",0.353878891197521,"29"
"ABR","abr",0.00491024134883033,"29"
"ABRACL","abracl",-0.998932177949673,"58527"
"ABT1","abt1",0.00719329572184336,"29777"
"ABTB1","abtb1",-0.060577666000622,"80325"
"ABTB2","LOC107381557",-0.00346949339974621,"25841"
"ABTB2","abtb2",0.144928060650746,"25841"
"ACAA1","acaa1",-0.000726648692092155,"30"
"ACAA2","acaa2",0.0247599412810723,"10449"
"ACACA","acaca",-1.67498054394785,"31"
"ACACB","acacb",0.253364830200178,"32"
"ACAD11","acad11",0.513461800557857,"84129"
"ACAD11","LOC107372609",0.154288860945754,"84129"
"ACAD11","LOC107374620",0.0542415673851024,"84129"
"ACAD8","acad8",0.372639487131192,"27034"
"ACAD9","acad9",0.363761586334155,"28976"
"ACADL","acadl",-0.251993229895494,"33"
"ACADM","acadm",0.0213962901922947,"34"
"ACADS","LOC107383304",0.00557250637514258,"35"
"ACADS","acads",-0.0278421703133439,"35"
"ACADSB","acadsb",1.3921073635774,"36"
"ACADVL","acadvl",-0.00977888946926546,"37"
"ACADVL","LOC107393942",0.00539141358736476,"37"
"ACAN","acan",2.65948507098107,"176"
"ACAP2","acap1",0.077508891986811,"23527"
"ACAP2","acap2",0.406486266483589,"23527"
"ACAP2","LOC107379876",-0.155941611322887,"23527"
"ACAP3","LOC107374920",0.326980512224458,"116983"
"ACAP3","LOC107385549",0.00714081468220566,"116983"
"ACAT1","acat1",0.0658071392672322,"38"
"ACAT2","acat2",-0.199956632898293,"39"
"ACBD3","acbd3",-0.297931033898163,"64746"
"ACBD4","acbd4",-1.32208732295581,"79777"
"ACBD5","LOC107384316",0.0336307501249221,"91452"
"ACBD5","acbd5",2.56727957776623,"91452"
"ACBD6","acbd6",0.419310113067251,"84320"
"ACBD7","LOC107374258",-0.00255624038642419,"414149"
"ACCS","accs",0.325891438490273,"84680"
"ACE","LOC107374589",0.090432667949537,"1636"
"ACE","LOC107374473",-0.00940846528290215,"1636"
"ACE","ace",0.630485216429136,"1636"
"ACE2","ace2",0.0232978757337826,"59272"
"ACER2","acer2",0.287323053673229,"340485"
"ACER3","acer3",0.140544773786606,"55331"
"ACHE","LOC107395693",0.109056626947239,"43"
"ACHE","ache",-0.0200550940145749,"43"
"ACIN1","acin1",0.601473468603628,"22985"
"ACIN1","LOC107377177",0.317268606820315,"22985"
"ACKR3","ackr3",0.708426219953492,"57007"
"ACKR4","LOC107383620",-0.646250615255371,"51554"
"ACKR4","LOC107372710",0.49645511417825,"51554"
"ACKR4","LOC107379530",-0.00329540258823165,"51554"
"ACLY","acly",0.203890115080229,"47"
"ACLY","LOC107387857",-0.237673389539797,"47"
"ACO1","aco1",0.0005011924835932,"48"
"ACO2","LOC107376317",-0.0315063388435451,"50"
"ACO2","aco2",-0.0659988769298958,"50"
"ACOT1","LOC107380820",0.537038374397195,"641371"
"ACOT1","LOC107395266",-0.221392500902661,"641371"
"ACOT11","LOC107384368",0.00662766779614891,"26027"
"ACOT11","acot11",0.0323711105168285,"26027"
"ACOT13","acot13",-0.00159773018646344,"55856"
"ACOT7","acot7",-0.0537328531866914,"11332"
"ACOT8","acot8",0.298955069989888,"10005"
"ACOT9","acot9",0.0284150870726092,"23597"
"ACOX1","acox1",-0.00212786129749325,"51"
"ACOX3","acox3",-0.189588853755244,"8310"
"ACP1","acp1",-0.0520582680238897,"52"
"ACP2","acp2",-0.0038322437196904,"53"
"ACP5","acp5",0.0701057134187047,"54"
"ACP6","acp6",-1.78108611729805,"51205"
"ACP7","acp7",0.533184239400723,"390928"
"ACSBG2","acsbg2",-0.906867976244248,"81616"
"ACSBG2","LOC107394339",0.00719329572184336,"81616"
"ACSF2","LOC107393615",0.113860995968773,"80221"
"ACSF2","LOC107387470",0.307234316729713,"80221"
"ACSF3","acsf3",0.0025263753658704,"197322"
"ACSL1","acsl1",-0.621848929625003,"2180"
"ACSL3","LOC107384026",-0.000177980596158388,"2181"
"ACSL3","acsl3",-3.22354831253727,"2181"
"ACSL4","acsl4",-0.0455269074015293,"2182"
"ACSL6","LOC107386827",-0.322639214864456,"23305"
"ACSL6","LOC107393756",-0.113860995968773,"23305"
"ACSS1","acss1",0.359087362268704,"84532"
"ACSS2","LOC107390533",0.0307761531125119,"55902"
"ACSS2","LOC107383541",-0.0175223316552553,"55902"
"ACSS3","acss3",1.80061077514973,"79611"
"ACTA2","acta2",0.142725476145947,"59"
"ACTB","LOC107386128",-0.0239180968766487,"60"
"ACTC1","LOC107395987",-0.127330844337085,"70"
"ACTC1","LOC107377808",-0.261232772798091,"70"
"ACTC1","acta1",-0.986746753792046,"70"
"ACTC1","LOC107392454",-0.369070448988555,"70"
"ACTG1","actb",0.0151045424690138,"71"
"ACTG1","LOC107389815",0.017960156645817,"71"
"ACTL6A","actl6a",-0.620132072315186,"86"
"ACTN1","LOC107391737",7.5999237212605e-06,"87"
"ACTN2","LOC107375941",0.411582259205533,"88"
"ACTN2","actn3",-0.0949423722856087,"88"
"ACTN4","actn4",0.047383512029783,"81"
"ACTR10","actr10",-0.00869154678343427,"55860"
"ACTR1B","LOC107396565",-0.567792087142622,"10120"
"ACTR2","actr2",-0.104383825203045,"10097"
"ACTR2","LOC107377040",-0.357345335589497,"10097"
"ACTR3","LOC107382736",-0.0593118540007053,"10096"
"ACTR3","LOC107373242",-0.863329501125005,"10096"
"ACTR3","LOC107377239",-1.00138304749155,"10096"
"ACTR5","actr5",-0.0121721529992122,"79913"
"ACTR6","actr6",0.362003829948778,"64431"
"ACTR8","actr8",-0.118798893430606,"93973"
"ACVR1","acvr1",0.180677692164083,"90"
"ACVR1","LOC107392117",0.192622640641743,"90"
"ACVR1","LOC107390883",1.01991210021235,"90"
"ACVR1B","acvr1b",-0.864425737907243,"91"
"ACVR1C","acvr1c",-0.00751266263339406,"130399"
"ACVR2A","acvr2a",-0.0231954312160446,"92"
"ACVR2B","LOC107383557",-0.427796470975405,"93"
"ACY1","acy1",0.0481704376461267,"95"
"ACY3","LOC107377364",-0.0679353225669011,"91703"
"ACYP1","acyp1",-6.89895239806186e-05,"97"
"ACYP1","LOC107396546",0.00729889697699564,"97"
"ADA","ada",-0.0505787528740854,"100"
"ADAD2","adad2",3.05325443252658,"161931"
"ADAL","adal",0.123017237970255,"161823"
"ADAM10","LOC107388626",-0.552655416613517,"102"
"ADAM10","adam10",0.0220858954193738,"102"
"ADAM11","LOC107395130",-0.769868606228033,"4185"
"ADAM11","LOC107387859",-1.40806357745442,"4185"
"ADAM12","LOC107387781",-0.47205586609318,"8038"
"ADAM12","adam15",0.216411043882582,"8038"
"ADAM12","adam12",-0.700892270594031,"8038"
"ADAM17","adam17",0.00441320431680811,"6868"
"ADAM17","LOC107377926",-0.0363699722892234,"6868"
"ADAM19","adam19",-1.34201925635747,"8728"
"ADAM22","adam22",-1.6547678922555,"53616"
"ADAM23","adam23",-0.952051531628693,"8745"
"ADAM28","adam32",0.388998290094229,"10863"
"ADAM8","LOC107387480",-0.00139495603237903,"101"
"ADAM8","adam8",-0.211099666000564,"101"
"ADAM9","adam9",-0.091605989472688,"8754"
"ADAMTS1","adamts1",-0.77591972182955,"9510"
"ADAMTS10","LOC107392874",-0.15134283524268,"81794"
"ADAMTS12","LOC107394283",-0.318337769588268,"81792"
"ADAMTS13","adamts13",0.0065775144175031,"11093"
"ADAMTS14","adamts14",-0.54793645710335,"140766"
"ADAMTS15","LOC107386475",-0.0648536275285283,"170689"
"ADAMTS15","LOC107380757",-0.00756663937990575,"170689"
"ADAMTS18","adamts18",-0.316201915942868,"170692"
"ADAMTS2","LOC107375858",-0.270220489590965,"9509"
"ADAMTS2","LOC107387186",-0.54715279371986,"9509"
"ADAMTS3","adamts3",-0.00789501441817196,"9508"
