"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0000313","organellar ribosome",79,-0.79731596183332,-2.29337183494381,1e-10,7.2021052631579e-09,5.41717451523546e-09,1438,"tags=73%, list=13%, signal=64%","MRPS2/MRPS17/MRPL2/MRPS11/MRPS16/MRPS6/MRPS30/MRPS21/MRPS7/MRPL37/MRPL52/MRPS34/MRPL36/MRPL45/MRPL34/MRPL42/MRPS22/MRPS14/DAP3/MRPL28/MRPS36/MRPL35/MRPL21/MRPL55/MRPS33/MRPL13/MRPL3/MRPL41/MRPS18C/MRPS5/MRPS18B/MRPS28/MRPL12/MRPL15/MRPL19/MRPL54/MRPL51/MRPS26/MRPL46/MRPL20/MTG2/MRPL27/MRPS18A/CHCHD1/MRPL32/MRPL39/MRPS24/MTG1/MRPL18/MRPL14/MRPS27/MRPS9/MRPL16/MRPL9/MRPL17/MRPL40/MALSU1/MRPL43"
"MF","GO:0001216","DNA-binding transcription activator activity",254,0.509946789509156,1.99217354453446,1e-10,7.2021052631579e-09,5.41717451523546e-09,2838,"tags=40%, list=25%, signal=31%","RREB1/MTF1/NFIA/TBX20/ELK4/ZNF721/SMARCD3/GLIS2/ZNF143/PBX2/SRF/PRDM2/MAFG/FOSL2/MEIS3/ZNF438/SIX4/ZNF729/NFATC3/ONECUT2/PRDM16/MEF2C/ZNF521/CREBRF/PLAG1/CASZ1/ZBTB7B/VEZF1/ATF2/ZFAT/PRDM4/CEBPG/FOXJ3/ZFP62/TCF4/TFE3/ZIC3/ARNT2/NFKB2/PRDM15/ZNF300/MEF2A/E2F5/DDIT3/E4F1/NR4A2/ZNF292/CLOCK/RELA/PGR/STAT6/SATB2/MEF2D/CEBPB/NFIB/JUN/MLXIP/RBPJ/ZNF71/SP1/ETS1/ZNF208/SOX10/ZNF658/IRF2/NFKB1/IRF1/NFE2L2/JUNB/NR2C2/NPAS4/IRF5/CSRNP1/KLF5/ZNF845/NFAT5/KLF15/SMAD1/NR3C1/IKZF3/NEUROD2/IRX6/KLF13/FOXK2/STAT5B/MAF/EPAS1/KLF7/RORB/TCF12/TCF3/ELF1/ETV1/NRF1/STAT3/ZNF668/SMAD2/MEIS2/SREBF1/NKRF/EGR1/CDC5L"
"MF","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",250,0.510385503682679,1.99977504696108,1e-10,7.2021052631579e-09,5.41717451523546e-09,2838,"tags=40%, list=25%, signal=31%","RREB1/MTF1/NFIA/TBX20/ELK4/ZNF721/SMARCD3/GLIS2/ZNF143/PBX2/SRF/PRDM2/MAFG/FOSL2/MEIS3/ZNF438/SIX4/ZNF729/NFATC3/ONECUT2/PRDM16/MEF2C/ZNF521/CREBRF/PLAG1/CASZ1/ZBTB7B/VEZF1/ATF2/ZFAT/PRDM4/CEBPG/FOXJ3/ZFP62/TCF4/TFE3/ZIC3/ARNT2/NFKB2/PRDM15/ZNF300/MEF2A/DDIT3/E4F1/NR4A2/ZNF292/CLOCK/RELA/PGR/STAT6/SATB2/MEF2D/CEBPB/NFIB/JUN/MLXIP/RBPJ/ZNF71/SP1/ETS1/ZNF208/SOX10/ZNF658/IRF2/NFKB1/IRF1/NFE2L2/JUNB/NR2C2/NPAS4/IRF5/CSRNP1/KLF5/ZNF845/NFAT5/KLF15/SMAD1/NR3C1/IKZF3/NEUROD2/IRX6/KLF13/FOXK2/STAT5B/MAF/EPAS1/KLF7/RORB/TCF12/TCF3/ELF1/ETV1/NRF1/STAT3/ZNF668/SMAD2/MEIS2/SREBF1/NKRF/EGR1/CDC5L"
"MF","GO:0003735","structural constituent of ribosome",142,-0.773034549898579,-2.34722225309893,1e-10,7.2021052631579e-09,5.41717451523546e-09,1911,"tags=79%, list=17%, signal=66%","MRPL24/RPS29/RPS27/RPL36A/MRPL11/MRPL4/RPL23/RPL39/RPL21/MRPL49/RPS7/RPS4X/RPLP1/MRPS2/RPL35/RPS2/RPS27A/RPS3A/RPS5/RPS17/RPS20/MRPS17/RPL27A/RPS10/UBA52/MRPL2/RPL13A/MRPS11/MRPS16/MRPS6/RPLP2/RPL10A/RPL11/RPL37A/RPS15/RPS16/RPL19/MRPS30/RPL14/RPL23A/MRPS21/MRPS7/MRPL37/RPL13/RPL22/MRPL52/MRPS34/MRPL36/RPL24/RPS9/RPSA/RPS15A/RPS24/RPL9/RPS14/MRPL34/RPS26/RPL10/RPL8/RPS11/RPS3/MRPL42/MRPS22/MRPS14/RPL34/RPS21/DAP3/RPL37/RPL6/RPL7/RPS19/MRPL28/MRPS36/RPS28/MRPL35/RPL32/RPS18/MRPL21/RPL18A/MRPL55/RPS12/MRPS33/MRPL13/MRPL3/MRPL41/MRPS18C/MRPS5/RPL3/RPL18/MRPS25/MRPS18B/MRPS23/MRPL12/MRPL15/MRPL19/MRPL54/RPLP0/MRPL51/MRPL46/MRPL20/MRPL27/MRPS18A/MRPL32/MRPS24/MRPL18/MRPL14/MRPS9/MRPL16/MRPL9/MRPL17/RPL7L1/MRPL43"
"MF","GO:0004672","protein kinase activity",427,0.459842780958531,1.86412093572653,1e-10,7.2021052631579e-09,5.41717451523546e-09,2831,"tags=42%, list=25%, signal=32%","STK32B/HIPK2/ACVR1C/MAP3K13/PKMYT1/MAST2/TRPM7/CDC42BPA/EPHA3/SIK3/BMPR2/EPHA7/CASK/GRK4/TRIM28/BMP2K/JAK1/DYRK4/TLK1/ULK1/CLK2/NEK5/TAOK1/AKT3/MAP2K6/IKBKE/ROCK1/SLK/HCK/TLK2/CDK11B/CAMK2G/SYK/KALRN/RPS6KA3/EPHB2/MARK3/ROCK2/EIF2AK4/WNK2/AKAP13/CSNK1G2/CAMK1/PIK3CA/LATS1/WNK4/DYRK2/SPEG/MAP3K4/STK10/MAP3K9/RPS6KA6/RPS6KA5/BRSK1/FGFR2/MAK/AKT2/STK38/MYO3B/PAN3/MAST1/CDKL5/HUNK/PPM1D/ULK2/INSR/KSR1/MAPK15/PRKAA2/PIKFYVE/MINK1/PRKG1/EPHB3/TNK2/NEK1/SRPK3/PEAK1/DCLK1/ERN1/TTBK1/CDK17/SCYL1/SNRK/NTRK3/TESK2/CSNK1G1/STK17A/MAP3K15/MOK/TRIM24/CAMKK1/TAOK2/ALPK1/NTRK2/TYRO3/RIOK1/STK16/PASK/STK39/STK38L/AAK1/MYO3A/SRC/GAK/SIK1/WNK3/LTBP1/PDGFRB/EPHA4/CDK8/EGFR/WNK1/DSTYK/HIPK1/MAPK12/TGFBR1/MAP3K5/LMTK3/TYK2/MAPK7/STK33/LIMK1/PRKCB/DAPK2/MARK4/TAOK3/STK24/MAP3K12/NRP2/TRIO/ILK/EPHA8/PINK1/IGF1R/CSF1R/PTK2/PIK3CG/MAP3K8/HIPK3/ROR2/PRKCA/NRP1/TGFBR3/TNIK/PPP1R9B/TOP1/CIT/PRKAA1/CDK10/GUCY2F/DYRK1B/CLK4/PIM1/MAST4/CAMK1G/EFNA3/CHUK/SBK1/MAP4K5/PRKD2/RIOK3/RET/MTOR/PRKG2/ULK4/KIT/EPHA5/EPHB1/VRK2/MAP3K14/CAMK2D/BRD2/EIF2AK3/CSK/CPNE3/RPS6KA1/WEE2/MMD2/MMD2"
"MF","GO:0004674","protein serine/threonine kinase activity",337,0.462345451266278,1.85240959807494,1e-10,7.2021052631579e-09,5.41717451523546e-09,2346,"tags=36%, list=21%, signal=29%","STK32B/HIPK2/ACVR1C/MAP3K13/PKMYT1/MAST2/TRPM7/CDC42BPA/SIK3/BMPR2/CASK/GRK4/BMP2K/DYRK4/TLK1/ULK1/CLK2/NEK5/TAOK1/AKT3/MAP2K6/IKBKE/ROCK1/SLK/TLK2/CDK11B/CAMK2G/SYK/KALRN/RPS6KA3/MARK3/ROCK2/EIF2AK4/WNK2/AKAP13/CSNK1G2/CAMK1/PIK3CA/LATS1/WNK4/DYRK2/SPEG/MAP3K4/STK10/MAP3K9/RPS6KA6/RPS6KA5/BRSK1/MAK/AKT2/STK38/MYO3B/MAST1/CDKL5/HUNK/PPM1D/ULK2/KSR1/MAPK15/PRKAA2/PIKFYVE/MINK1/PRKG1/TNK2/NEK1/SRPK3/DCLK1/ERN1/TTBK1/CDK17/SNRK/TESK2/CSNK1G1/STK17A/MAP3K15/MOK/CAMKK1/TAOK2/ALPK1/RIOK1/STK16/PASK/STK39/STK38L/AAK1/MYO3A/GAK/SIK1/WNK3/LTBP1/CDK8/EGFR/WNK1/DSTYK/HIPK1/MAPK12/TGFBR1/MAP3K5/LMTK3/MAPK7/STK33/LIMK1/PRKCB/DAPK2/MARK4/TAOK3/STK24/MAP3K12/TRIO/ILK/PINK1/PIK3CG/MAP3K8/HIPK3/PRKCA/TGFBR3/TNIK/TOP1/CIT/PRKAA1/CDK10"
"MF","GO:0005096","GTPase activator activity",203,0.558933984538925,2.13423263212818,1e-10,7.2021052631579e-09,5.41717451523546e-09,1658,"tags=34%, list=15%, signal=29%","SIPA1L2/TSC2/ARHGAP26/EVI5/ELMOD1/ARHGEF10L/SIPA1L3/TBC1D16/FAM13B/TBC1D12/GMIP/ARHGAP5/ARHGAP35/EVI5L/AGAP2/DOCK4/SRGAP1/DOCK1/RABGAP1/TBC1D5/ARHGEF1/ARHGAP32/SRGAP2/ACAP3/SRGAP3/ARHGAP23/SGSM1/ARHGAP39/STXBP5L/SIPA1L1/ARHGAP44/RIN3/ASAP2/TBC1D8B/ARHGAP20/ASAP1/ACAP2/SH3BP1/RABEP1/SYDE2/ARHGAP24/TBC1D2/ARAP1/TBC1D30/RGS9/FAM13A/RASA3/GDI1/PLCB1/LLGL2/RAPGEF2/ARFGAP3/IQGAP1/RASAL2/STXBP5/TBC1D25/DOCK2/RGS3/PLEKHG6/ARHGEF6/RAP1GDS1/RALGAPA1/TBC1D8/JUN/ARHGAP17/VPS9D1/MYO9B/RGS8/SYNGAP1"
"CC","GO:0005743","mitochondrial inner membrane",364,-0.72926447028825,-2.36659779350728,1e-10,7.2021052631579e-09,5.41717451523546e-09,1972,"tags=56%, list=18%, signal=48%","MRPL1/PISD/SLC25A5/NDUFB11/BCL2L1/MRPL24/ECSIT/GRPEL1/IMMT/NDUFB7/NDUFA13/NDUFAB1/SLC25A15/PET100/MRPL11/SLC25A37/ATAD3A/MRPL4/COQ4/UQCRHL/MCU/COQ5/TMEM11/COX8A/SAMM50/MRPL49/TIMM13/NDUFA10/NDUFA6/ENDOG/NDUFB8/BOK/MRPS2/CKMT2/NDUFA4/HADHB/MRPS17/NDUFV3/PLA2G4A/MRPL2/MRPS11/MRPS16/MRPS6/SLC25A20/MRPS30/GOT2/MRPS21/MRPS7/TOMM40/APOO/COX7A2L/MRPL37/NDUFA3/PPIF/FOXRED1/MRPL52/MRPS34/COX11/MRPL36/MRPL45/TMEM70/NDUFA5/MPV17/MTCH2/SLC25A16/TIMM10B/HCCS/SDHD/MRPL34/SCO2/RPS3/MRPL42/MRPS22/NDUFC1/GATM/NDUFV2/THEM4/MRPS14/AIFM1/DAP3/NDUFAF4/PHB2/SDHC/UQCRC2/GHITM/MRPL28/MRPS36/DNAJC30/COX7A2/MRPL35/SDHA/SDHB/AURKAIP1/MRPL21/UQCRB/GCAT/COQ3/MRPL55/COX4I1/TMEM126A/MRPS33/MRPL13/MRPL3/MRPL41/MRPS18C/MRPS5/NDUFA2/PTCD3/NDUFS7/PSEN2/MRPS25/APOOL/DNAJC15/MRPS18B/MRPS23/COX10/NDUFA1/NDUFS5/STOML2/MRPS28/TIMM21/COX7B/NDUFB2/UQCRQ/COQ10A/NDUFAF1/MRPL12/MRPL15/MRPL19/MRPL54/NDUFA12/NDUFAF2/TIMM23/UQCRFS1/TIMMDC1/HIGD2A/MPC2/ROMO1/SLC25A26/COX5A/MRPL51/MRPS26/MRPL46/MPC1/NDUFS8/TIMM17A/TMEM14C/COX5B/BCS1L/COX20/COX7C/MRPL20/NDUFS3/NDUFS4/NDUFV1/MTG2/MRPL27/MRPS18A/MTX2/NDUFA8/NDUFB3/NDUFB9/COX6B1/COX6C/NDUFS6/PHB/TIMM9/CHCHD1/SMDT1/COX6A1/DUSP18/NDUFC2/COA3/MRPL32/IMMP2L/MRPL39/MRPS24/MTG1/NDUFA9/NDUFB10/NDUFB5/NDUFB6/NDUFS2/UQCC2/COQ7/COQ9/MRPL18/SLC25A3/UQCRC1/MRPL14/MRPS27/MRPS9/CRLS1/MRPL16/UQCC1/MRPL9/CYC1/MRPL17/NDUFA11/TIMM8B/MRPL40/COX15/MRPL43"
"CC","GO:0005746","mitochondrial respirasome",62,-0.812953187317201,-2.25309581230467,1e-10,7.2021052631579e-09,5.41717451523546e-09,1942,"tags=90%, list=17%, signal=75%","NDUFB11/NDUFB7/NDUFA13/NDUFAB1/UQCRHL/NDUFA10/NDUFA6/NDUFB8/NDUFA4/NDUFV3/COX7A2L/NDUFA3/FOXRED1/NDUFA5/SDHD/NDUFC1/NDUFV2/SDHC/UQCRC2/COX7A2/SDHA/SDHB/UQCRB/COX4I1/NDUFA2/NDUFS7/NDUFA1/NDUFS5/COX7B/NDUFB2/UQCRQ/NDUFAF1/NDUFA12/UQCRFS1/COX5A/NDUFS8/BCS1L/COX7C/NDUFS3/NDUFS4/NDUFV1/NDUFA8/NDUFB3/NDUFB9/NDUFS6/COX6A1/NDUFC2/NDUFA9/NDUFB10/NDUFB5/NDUFB6/NDUFS2/UQCRC1/CYC1/NDUFA11/COX15"
"CC","GO:0005759","mitochondrial matrix",388,-0.692928506510209,-2.25543096794931,1e-10,7.2021052631579e-09,5.41717451523546e-09,2328,"tags=51%, list=21%, signal=42%","NADK2/DNAJC19/TRMT5/MRPS12/GSTZ1/MRPS15/TFB2M/ARL2BP/MPV17L2/MRRF/VDAC1/ACAD8/FDXR/MLYCD/MRPL48/SUOX/FAHD1/FASTKD5/LIPT1/HAGH/CDK1/DTYMK/ACAA2/PARG/METTL15/SIRT3/SLC25A5/BCL2L1/GPX1/EXD2/MRPL24/GRPEL1/MMAA/NDUFAB1/ATG4D/SSBP1/MRPL11/ATAD3A/MRPL4/FLAD1/ALDH7A1/ABHD10/COQ5/MCEE/MRPL49/ECHS1/NDUFA10/MCAT/NDUFB8/ISCA2/DLD/MARS2/HADH/MRPS2/RPUSD4/SOD1/ALDH4A1/HADHB/MRPS17/HIBADH/MRPL2/IBA57/DLAT/MRPS11/MRPS16/MRPS6/AUH/BLOC1S1/GLRX2/MRPS30/PUS1/ALDH5A1/GOT2/MRPS21/MRPS7/NDUFAF7/MRPL37/PARS2/PPIF/METTL17/MRPL52/MRPS34/PCCB/IVD/MRPL36/MRPL45/ALKBH7/NUDT2/PYCR2/NARS2/TBRG4/MRPL34/SCO2/VDAC2/RPS3/GLRX5/HOGA1/MRPL42/MRPS22/THEM4/MRPS14/PRDX5/DAP3/ISCU/IDH3B/MRPL28/MRPS36/ETFB/LYRM7/MRPL35/MRPL21/LIPT2/MIPEP/CBR4/COQ3/MRPL55/TXN2/GCDH/MRPS33/GCSH/GADD45GIP1/MRPL13/MRPL3/MRPL41/MRPS18C/MRPS5/ACADM/HMGCL/NDUFS7/POLG2/NT5M/DNAJC15/MRPS18B/PYCR1/ALDH6A1/TEFM/ACAT1/MRPS28/NFS1/TMLHE/C1QBP/FDX1/MDH2/NDUFAF1/MRPL12/MRPL15/MRPL19/MRPL54/SDHAF2/MRPL51/MRPS26/SUCLG1/MRPL46/NDUFS8/ECI1/MRPL20/NDUFS3/PCCA/MTG2/MRM1/MRPL27/MRPS18A/HSD17B10/MTHFD2/CHCHD1/LACTB2/REXO2/SMDT1/PPA2/MRPL32/MRPL39/MRPS24/MTG1/NDUFA9/PARK7/PDHB/TUFM/NDUFS2/UQCC2/MRPL18/PDHX/TRNT1/PDE12/DLST/MRPL14/MRPS27/SDHAF1/TRUB2/MRPS9/ARL2/MRPL16/MRPL9/MRPL17/GRSF1/DIMT1/MRPL40/MALSU1/MRPL43"
"CC","GO:0005761","mitochondrial ribosome",79,-0.79731596183332,-2.29337183494381,1e-10,7.2021052631579e-09,5.41717451523546e-09,1438,"tags=73%, list=13%, signal=64%","MRPS2/MRPS17/MRPL2/MRPS11/MRPS16/MRPS6/MRPS30/MRPS21/MRPS7/MRPL37/MRPL52/MRPS34/MRPL36/MRPL45/MRPL34/MRPL42/MRPS22/MRPS14/DAP3/MRPL28/MRPS36/MRPL35/MRPL21/MRPL55/MRPS33/MRPL13/MRPL3/MRPL41/MRPS18C/MRPS5/MRPS18B/MRPS28/MRPL12/MRPL15/MRPL19/MRPL54/MRPL51/MRPS26/MRPL46/MRPL20/MTG2/MRPL27/MRPS18A/CHCHD1/MRPL32/MRPL39/MRPS24/MTG1/MRPL18/MRPL14/MRPS27/MRPS9/MRPL16/MRPL9/MRPL17/MRPL40/MALSU1/MRPL43"
