"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",0.60168693240444,"144568"
"AAAS","aaas",-0.000148364642892345,"8086"
"AACS","aacs",-1.40177995461629,"65985"
"AADAC","LOC107380045",0.565967344539267,"13"
"AADAT","aadat",-0.0030226798324822,"51166"
"AAGAB","aagab",-2.96416414772907,"79719"
"AAK1","LOC107373159",0.967884597246691,"22848"
"AAMDC","aamdc",-2.10445088258979,"28971"
"AAMP","aamp",-4.34504986179827,"14"
"AANAT","LOC107382246",1.30022144940659,"15"
"AANAT","LOC107376253",0.15932669802993,"15"
"AAR2","aar2",-0.702862961041892,"25980"
"AARS2","aars2",0.0683433689721963,"57505"
"AARSD1","aarsd1",-0.00331360983412528,"80755"
"AASDH","aasdh",0.0411238884795604,"132949"
"AASDHPPT","aasdhppt",-1.27248559391579,"60496"
"AASS","aass",-0.0129103507387259,"10157"
"AATF","aatf",0.108887261055765,"26574"
"AATK","aatk",0.0824068174952673,"9625"
"AATK","LOC107378275",0.343999384793931,"9625"
"ABAT","abat",-0.559024634893851,"18"
"ABCA1","LOC107392625",0.104507229009602,"19"
"ABCA1","LOC107391047",0.789581585839827,"19"
"ABCA1","LOC107381037",0.100240962687811,"19"
"ABCA1","LOC107372735",-0.02338524765276,"19"
"ABCA12","LOC107376062",0.173951707606742,"26154"
"ABCA3","abca3",0.00137601731477414,"21"
"ABCA4","LOC107382716",1.85037725417182,"24"
"ABCA4","LOC107383559",-0.00248317653994679,"24"
"ABCA5","abca5",-0.456507912463397,"23461"
"ABCB1","abcb1",0.780537401894569,"5243"
"ABCB10","abcb10",-0.736573194745091,"23456"
"ABCB6","abcb6",-0.212652121789463,"10058"
"ABCB7","abcb7",0.192649157694155,"22"
"ABCB8","LOC107383862",-0.223161720074982,"11194"
"ABCB9","abcb9",0.034193803939864,"23457"
"ABCC1","LOC107373251",1.25882254701757,"4363"
"ABCC1","LOC107391801",0.855337355149098,"4363"
"ABCC10","abcc10",-0.249055224943194,"89845"
"ABCC3","LOC107388296",2.34529639433697,"8714"
"ABCC4","abcc4",-0.358677061631968,"10257"
"ABCC5","abcc5",-0.0208423213193999,"10057"
"ABCC8","abcc8",1.31429760066388,"6833"
"ABCC9","LOC107387088",1.95204084118004,"10060"
"ABCD1","LOC107391455",-0.60168693240444,"215"
"ABCD2","abcd2",0.343999384793931,"225"
"ABCD3","LOC107395207",-0.474549381306289,"5825"
"ABCD3","abcd3",-0.410888209065525,"5825"
"ABCD4","abcd4",0.183140860135845,"5826"
"ABCE1","abce1",-0.552147638986028,"6059"
"ABCF1","abcf1",0.0375643166598535,"23"
"ABCF2","abcf2",0.00498482404677388,"10061"
"ABCF3","abcf3",-0.00331360983412528,"55324"
"ABCG1","LOC107395544",-3.86049336002031,"9619"
"ABCG1","LOC107394113",-2.9983987157927,"9619"
"ABCG2","LOC107376824",0.944792487959096,"9429"
"ABCG4","abcg4",3.14060503506231,"64137"
"ABCG5","abcg5",0.0280031178288773,"64240"
"ABCG8","abcg8",-0.170958361069395,"64241"
"ABHD10","abhd10",-1.41688171902365,"55347"
"ABHD11","abhd11",-0.00498482404677385,"83451"
"ABHD12","LOC107376141",-3.29191876881368,"26090"
"ABHD12","abhd12b",-0.0129103507387259,"26090"
"ABHD12","LOC107375545",-0.389382556159223,"26090"
"ABHD13","abhd13",0.027542204214794,"84945"
"ABHD14A","abhd14a",-0.0079530995287244,"25864"
"ABHD14B","abhd14b",-0.00274590820204918,"84836"
"ABHD15","LOC107380403",-0.552147638986028,"116236"
"ABHD16A","abhd16a",-2.96416414772907,"7920"
"ABHD17B","abhd17b",-5.51155184643819,"51104"
"ABHD17C","LOC107393262",-2.83212031449591,"58489"
"ABHD17C","LOC107384127",0.00748279847187925,"58489"
"ABHD18","abhd18",-4.5928876829178,"80167"
"ABHD2","abhd2",-0.957160191797237,"11057"
"ABHD2","LOC107376844",-0.0260981429861793,"11057"
"ABHD3","LOC107377588",0.173951707606742,"171586"
"ABHD3","abhd3",0.694632058016309,"171586"
"ABHD4","abhd4",-1.59363064202906,"63874"
"ABHD5","abhd5",-3.21506286431066,"51099"
"ABHD5","LOC107383196",0.0270408940567306,"51099"
"ABHD6","abhd6",-0.00945905626456313,"57406"
"ABHD8","LOC107396936",-0.135087268660891,"79575"
"ABHD8","abhd8",1.3720308330143,"79575"
"ABI1","LOC107389593",2.19731299395661,"10006"
"ABI1","abi1",0.0280031178288773,"10006"
"ABI1","LOC107390296",-0.0289849634679904,"10006"
"ABI1","LOC107384312",0.46246371444727,"10006"
"ABI2","abi2",3.37130708068597,"10152"
"ABI3BP","abi3bp",0.0171281834562235,"25890"
"ABI3BP","LOC107384590",0.245235950748707,"25890"
"ABL1","abl1",0.0734265269008092,"25"
"ABL2","abl2",-0.142877108452464,"27"
"ABLIM1","LOC107388069",-0.00223436707078711,"3983"
"ABLIM1","ablim1",0.512234351962021,"3983"
"ABLIM2","ablim2",1.59363064202907,"84448"
"ABLIM3","LOC107373670",3.068421661879,"22885"
"ABLIM3","LOC107386751",-0.845675497615427,"22885"
"ABLIM3","LOC107394056",1.4017799546163,"22885"
"ABO","LOC107385470",0.00270194497778683,"28"
"ABR","LOC107377344",0.893891799270938,"29"
"ABR","abr",9.46677948713915e-05,"29"
"ABRACL","abracl",-0.252915379639265,"58527"
"ABT1","abt1",-0.662473489256433,"29777"
"ABTB1","abtb1",-0.925592602859972,"80325"
"ABTB2","abtb2",0.148229847645566,"25841"
"ACAA1","acaa1",-0.106682919998815,"30"
"ACAA2","acaa2",-1.06916036692165,"10449"
"ACACA","acaca",0.394679860999042,"31"
"ACACB","acacb",1.4017799546163,"32"
