"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0002274","myeloid leukocyte activation",418,0.560124240423457,1.80553839634375,1e-10,2.53407407407407e-08,2.16140350877193e-08,1693,"tags=29%, list=15%, signal=26%","B4GALT1/ANO6/SIGLEC5/CFP/AIF1/CD2/DYNC1LI1/BIN2/TIMP2/CYFIP1/HSPA1B/IL1RL1/UNC13D/VAT1/STXBP2/PLSCR1/LCP2/BPI/ADGRE5/SERPINB1/SNAP23/CFD/WNT5A/ADAM10/PADI2/B2M/TMEM106A/IQGAP1/RAB31/SPI1/RELB/CLNK/TMBIM1/CNN2/C1QA/PTPRC/TMEM63A/LBP/ITGAV/STXBP3/GM2A/FUCA1/PSMA5/RHOG/GLB1/NCKAP1L/DSC1/GSN/CD84/ALOX5/ITGAM/CTSZ/ITGB2/IDH1/HMOX1/PECAM1/DOCK2/MVP/TLR1/SNAP29/ASAH1/GNS/SYK/IFI35/STK10/PIK3CG/PRKCD/ANPEP/SLC44A2/CTSC/GCA/CLEC4C/PLEKHO2/ZC3H12A/CD53/CRISPLD2/SIGLEC14/CD93/STOM/TLR3/STX4/CAB39/GUSB/CAPN1/ARPC5/ENPP4/GAA/CTSS/CST3/ORMDL3/HEBP2/NDRG1/IL18RAP/THBS1/S100A13/HSP90AA1/ADAM8/CLU/DBNL/APAF1/GPR84/CYBA/HAVCR2/PLAUR/NFKB1/FGL2/TGFBR2/C12orf4/ARG1/RORA/CSTB/HYAL2/EPX/RAC2/GMFG/FOXP1/NEU1/PYCARD/PIGR/GYG1/ALDH3B1"
"CC","GO:0005743","mitochondrial inner membrane",364,-0.640876207965646,-2.28815000968456,1e-10,2.53407407407407e-08,2.16140350877193e-08,1876,"tags=47%, list=17%, signal=41%","COA3/PISD/SCO1/MRPL54/MRPS6/PTPMT1/CYCS/NDUFAF2/MRPS27/NDUFA10/MRPS18A/MRPS9/TIMM23/COQ10B/MRPL17/MRPS18C/SFXN2/MRPL2/YME1L1/MRPL27/MRPL34/GATM/MRPL36/SDHC/MTG2/MRPL11/ROMO1/PARL/MRPL19/NDUFS6/NDUFAF1/ABCB8/MRPL13/NDUFS4/MRPS35/PPIF/ADCK1/MRPS36/NDUFB10/PTCD3/AURKAIP1/UQCC2/MRPL51/COX6B1/MRPL14/COX5B/TIMM13/MRPS22/MRPL52/MRPL55/TOMM40/MRPS14/NDUFV3/TMEM126A/TIMM8B/NDUFV1/MRPL43/CCDC51/SMDT1/TIMM50/UQCRB/TIMM17A/NDUFS3/TMEM14C/NDUFAB1/THEM4/COQ7/NDUFA8/MRPL32/MPC1/NDUFA1/OXA1L/LETM2/MTX1/MRPS15/MRPL39/SPHK2/SLC25A20/MRPS24/NDUFB5/UQCC1/SDHB/NDUFC2/MTG1/MRPS17/NNT/MRPL12/MRPL21/FOXRED1/COX7B/COX18/MTCH2/NDUFB3/NDUFA13/NDUFA5/MRPL42/COX5A/COX7A2/IMMT/SLC25A32/GCAT/NDUFB2/AIFM1/COX8A/NDUFB6/NDUFC1/UQCRC2/HCCS/COX6C/SMIM20/ENDOG/NDUFA6/NDUFS5/ECSIT/MRPL15/UQCRFS1/GRPEL1/MRPL4/MRPL44/NDUFB9/FDXR/UQCRQ/NDUFAF4/PHB/COX7A2L/NDUFA2/MRPS21/NDUFA3/COX6A1/NDUFS8/NDUFA12/COQ9/MRPS31/NDUFB7/CRLS1/TMEM177/APOO/COQ5/MRPS28/BCS1L/MRPS2/TIMM10B/MRPS26/UQCRC1/MPC2/NDUFB11/NDUFA9/COX7C/NDUFS2/CYC1/COX4I1/COX15/NDUFA11/CKMT2/SLC25A16/NDUFAF6/PHB2/MRPL1/COX10/GOT2/TMEM70/TIMMDC1/SCO2/CHCHD3/FPGS/SLC25A11/MRPS5/SLC25A3/NOA1/APOOL/FASTKD2/PSEN1"
"CC","GO:0005746","mitochondrial respirasome",62,-0.842432879277484,-2.42798316894146,1e-10,2.53407407407407e-08,2.16140350877193e-08,1042,"tags=81%, list=9%, signal=74%","SDHC/NDUFS6/NDUFAF1/NDUFS4/NDUFB10/NDUFV3/NDUFV1/UQCRB/NDUFS3/NDUFAB1/NDUFA8/NDUFA1/OXA1L/NDUFB5/SDHB/NDUFC2/NNT/FOXRED1/COX7B/NDUFB3/NDUFA13/NDUFA5/COX5A/COX7A2/NDUFB2/NDUFB6/NDUFC1/UQCRC2/NDUFA6/NDUFS5/UQCRFS1/NDUFB9/UQCRQ/COX7A2L/NDUFA2/NDUFA3/COX6A1/NDUFS8/NDUFA12/NDUFB7/BCS1L/UQCRC1/NDUFB11/NDUFA9/COX7C/NDUFS2/CYC1/COX4I1/COX15/NDUFA11"
"CC","GO:0005759","mitochondrial matrix",388,-0.584338244863796,-2.09573283963057,1e-10,2.53407407407407e-08,2.16140350877193e-08,1854,"tags=35%, list=17%, signal=30%","MRPL54/MRPS6/PARK7/MRPS27/NARS2/NDUFA10/MRPS18A/MRPS9/MRPL17/MRPS18C/SDHAF3/MTHFD2/MRPL2/TRNT1/NUDT2/CARS2/MRPL27/MRPL34/FOXO3/MRPL36/PARS2/POLG2/TRUB2/MTG2/DTYMK/MRPL11/MRPL19/TEFM/NDUFAF1/OGDH/MRPL13/MRPS35/PPIF/MRPS36/POLDIP2/UQCC2/MRPL51/PCCA/PNPT1/CBR4/AUH/NT5M/FDX1/MRPL14/DHX30/MRPS22/MRPL52/MRPL55/PUS1/MPG/MRPS14/POLRMT/AADAT/ACO2/SOD2/MRPL43/SMDT1/TBRG4/NDUFAF7/IDH2/NDUFS3/NDUFAB1/PDE12/THEM4/PDSS1/MRPL32/NSUN3/ECI1/LRPPRC/OXA1L/FASTKD5/MRPS15/ARL2/MRPL39/MRPS24/PITRM1/MTG1/MRPS17/MRPL12/MRPL21/SDHAF1/MRPL42/ACP6/SUPV3L1/HSD17B10/ALDH5A1/VDAC2/GADD45GIP1/ISCU/MRPL15/FLAD1/GRPEL1/MRPL4/MRPL44/GRSF1/FARS2/FDXR/PDHX/TRMT61B/MRPS21/GLRX5/NDUFS8/MRPS31/SUCLG1/PRDX5/DLST/ACAT1/COQ5/PDP1/MRPS28/DLD/MRPS2/HIBADH/MRPS26/IDH3B/TXN2/NDUFA9/NDUFS2/GLRX2/PYCR1/DARS2/MDH2/PDPR/GOT2/DLAT/PDHB/SCO2/TUFM/FPGS/MRPS5/ACOT9/PDHA1/FASTKD2/MCAT/CLPP"
"BP","GO:0006091","generation of precursor metabolites and energy",373,-0.559061481848997,-2.00352768949689,1e-10,2.53407407407407e-08,2.16140350877193e-08,1538,"tags=32%, list=14%, signal=29%","SDHC/GPD1/POLG2/HTR2A/RBKS/NDUFS6/TEFM/NDUFAF1/OGDH/CAT/NDUFS4/PPIF/NDUFB10/CYB5R4/MTOR/TPI1/UQCC2/PNPT1/COX6B1/FDX1/COX5B/NUP50/PPP1CB/COA6/THTPA/AAAS/TACO1/NUP98/NDUFV3/TKT/OPN3/P2RX7/CYB5A/RDH16/ACO2/NDUFV1/UQCRB/NUP107/NUP160/IDH2/NDUFS3/NDUFAB1/OGT/CISD1/PDE12/NDUFA8/NCOR1/PPP1CA/GAPDHS/NDUFA1/OXA1L/SPHK2/HSD17B6/NDUFB5/SDHB/GALK1/ENO3/NDUFC2/HMGCLL1/NNT/COX7B/NDUFB3/SEC13/NDUFA13/PGLS/NDUFA5/COX5A/COX7A2/NDUFB2/COX8A/NDUFB6/NDUFC1/UQCRC2/COX6C/NDUFA6/NDUFS5/ISCU/UQCRFS1/GPX2/NDUFB9/FDXR/UQCRQ/COX7A2L/NDUFA2/NDUFA3/COX6A1/CHCHD2/NDUFS8/NDUFA12/COQ9/NDUFB7/SUCLG1/DLST/ACAT1/DLD/UQCRC1/IDH3B/NDUFB11/MTFR1L/NDUFA9/COX7C/NDUFS2/GLRX2/CYC1/COX4I1/COX15/NDUFA11/PHB2/MDH2/ALDOB/COX10/DLAT/PDHB/SCO2/MDH1/TYRP1/NOA1/NUP62/PDHA1/INS/PSEN1"
"BP","GO:0006119","oxidative phosphorylation",89,-0.791398881583446,-2.41590167068942,1e-10,2.53407407407407e-08,2.16140350877193e-08,1453,"tags=65%, list=13%, signal=57%","NDUFS6/TEFM/NDUFAF1/NDUFS4/PPIF/NDUFB10/UQCC2/COX6B1/COX5B/COA6/NDUFV3/NDUFV1/UQCRB/NDUFS3/NDUFAB1/PDE12/NDUFA8/NDUFA1/NDUFB5/NDUFC2/COX7B/NDUFB3/NDUFA13/NDUFA5/COX5A/COX7A2/NDUFB2/COX8A/NDUFB6/NDUFC1/UQCRC2/COX6C/NDUFA6/NDUFS5/ISCU/UQCRFS1/NDUFB9/UQCRQ/COX7A2L/NDUFA2/NDUFA3/COX6A1/CHCHD2/NDUFS8/NDUFA12/COQ9/NDUFB7/DLD/UQCRC1/NDUFB11/NDUFA9/COX7C/NDUFS2/CYC1/COX4I1/COX15/NDUFA11/COX10"
"BP","GO:0006414","translational elongation",119,-0.697157089620361,-2.20515285751559,1e-10,2.53407407407407e-08,2.16140350877193e-08,2291,"tags=51%, list=20%, signal=41%","MRPL38/ZNF598/MRPS12/MRPL35/GFM1/CHCHD1/MRPL18/EIF5A2/MRPL54/MRPS6/MRPS27/TRNAU1AP/MRPS18A/MRPS9/MRPL17/MRPS18C/MRPL2/EEF1G/MRPL27/MRPL34/SRP9/MRPL36/MRPL11/MRPL19/MRPL13/MRPS35/MRPS36/PTCD3/AURKAIP1/MRPL51/MRPL14/MRPS22/MRPL52/MRPL55/MRPS14/MRPL43/MRPL32/OXA1L/MRPS15/MRPL39/MRPS24/MRPS17/MRPL12/MRPL21/MRPL42/DPH3/GADD45GIP1/MRPL15/ABTB1/MRPL4/MRPL44/MRPS21/DPH6/MRPS31/MRPS28/MRPS2/MRPS26/DPH7/MRPL1/TUFM/MRPS5"
"BP","GO:0010257","NADH dehydrogenase complex assembly",51,-0.836513921124073,-2.28021874919327,1e-10,2.53407407407407e-08,2.16140350877193e-08,1453,"tags=76%, list=13%, signal=67%","NDUFS6/NDUFAF1/NDUFS4/NDUFB10/NDUFV3/TMEM126A/NDUFV1/NDUFAF7/NDUFS3/NDUFAB1/NDUFA8/NDUFA1/OXA1L/NDUFB5/NDUFC2/FOXRED1/NDUFB3/NDUFA13/NDUFA5/NDUFB2/NDUFB6/NDUFC1/NDUFA6/NDUFS5/ECSIT/NDUFB9/NDUFAF4/NDUFA2/NDUFA3/NDUFS8/NDUFA12/NDUFB7/BCS1L/NDUFB11/NDUFA9/NDUFS2/NDUFA11/NDUFAF6/TIMMDC1"
"BP","GO:0015980","energy derivation by oxidation of organic compounds",210,-0.598388031710025,-2.0247050986928,1e-10,2.53407407407407e-08,2.16140350877193e-08,1538,"tags=39%, list=14%, signal=34%","SDHC/GPD1/POLG2/NDUFS6/NDUFAF1/OGDH/CAT/NDUFS4/NDUFB10/MTOR/PNPT1/COX6B1/COX5B/PPP1CB/COA6/NDUFV3/OPN3/ACO2/NDUFV1/UQCRB/IDH2/NDUFS3/NDUFAB1/CISD1/NDUFA8/PPP1CA/NDUFA1/OXA1L/NDUFB5/SDHB/NDUFC2/NNT/COX7B/NDUFB3/NDUFA13/NDUFA5/COX5A/NDUFB2/COX8A/NDUFB6/NDUFC1/UQCRC2/COX6C/NDUFA6/NDUFS5/ISCU/UQCRFS1/NDUFB9/UQCRQ/COX7A2L/NDUFA2/NDUFA3/COX6A1/CHCHD2/NDUFS8/NDUFA12/COQ9/NDUFB7/SUCLG1/DLST/DLD/UQCRC1/IDH3B/NDUFB11/MTFR1L/NDUFA9/COX7C/NDUFS2/CYC1/COX4I1/COX15/NDUFA11/MDH2/COX10/DLAT/PDHB/SCO2/MDH1/NOA1/PDHA1/INS"
"BP","GO:0019221","cytokine-mediated signaling pathway",422,0.588728358600743,1.90114034384437,1e-10,2.53407407407407e-08,2.16140350877193e-08,2161,"tags=36%, list=19%, signal=30%","IL2RG/CXCR3/IL1R1/JAK1/INPP5D/CSF1R/CSF3R/STAT6/HSPA1B/IL1RL1/PDGFB/FCGR1A/SOCS3/TYK2/MMP2/TRIM68/HCK/WNT5A/CXCL12/ACSL1/VAV1/PADI2/ELF1/B2M/LCP1/FOXC1/TRIM21/SPI1/APPL1/HLA-A/SHC1/PTPRZ1/CNN2/PTPRC/SMAD4/LBP/PSMA5/ICAM1/PLP2/USP18/HSP90B1/ALOX5/PTPN2/CNOT7/ITGAM/FYN/ITGB2/ANXA1/CXCR4/HMOX1/MYC/STAT3/CBFB/HLA-G/CCR1/EPOR/LEPR/RBCK1/CRLF1/LIFR/RNF31/SYK/TAX1BP1/IFI35/PRKCD/AIP/PTGS2/IL6ST/PARP9/IL6R/IL1RAP/ECM1/FGF2/RELA/STX4/TNFRSF1A/ANGPT1/TEC/TEC/F3/CSF2RB/MAP3K3/SQSTM1/IL18RAP/PIM1/PITPNA/SIGIRR/HSP90AA1/BCL2/TNFSF12/SLC27A1/BBS4/DOK1/PLVAP/HLA-DPA1/C1QTNF4/IP6K2/TNFRSF11B/CEBPD/NFKB1/ADAM17/IRAK4/CCL20/PALM3/STAT1/KRT18/MTAP/CDIP1/SRC/ARG1/PSME1/RORA/AXL/HLA-DPB1/VCAM1/PLCB1/PYCARD/ROBO1/EDARADD/SAMHD1/PSMD14/IRF7/F13A1/TRAF2/IL1R2/PELI2/CXCL9/ACKR4/PDCD4/IRF8/CMKLR1/RFFL/PSMB8/TGFB1/GAB2/NUMBL/NFKBIA/PARP14/TRAF3/IKBKG/CASP8/APPL2/CDC37/TOLLIP/ILK/RAPGEF1/PPARG/JUNB/CAMK2G/NCAM1/NMI"
