"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",1.54288303947747,"144568"
"AAAS","aaas",-0.372801006860238,"8086"
"AACS","aacs",0.000289939009908819,"65985"
"AADAC","LOC107380045",-0.0044217592702223,"13"
"AADAT","aadat",-0.410094179133957,"51166"
"AAGAB","aagab",-0.00997141090539067,"79719"
"AAK1","LOC107373159",-0.0268250571968749,"22848"
"AAMDC","aamdc",-0.426019625211861,"28971"
"AAMP","aamp",-0.000174457621737922,"14"
"AANAT","LOC107382246",0.973332150693927,"15"
"AANAT","LOC107376253",0.0122231490724373,"15"
"AAR2","aar2",0.00364694922830753,"25980"
"AARS2","aars2",-0.170399980444181,"57505"
"AARSD1","aarsd1",0.0205810980478564,"80755"
"AASDH","aasdh",-0.0225560079808963,"132949"
"AASDHPPT","aasdhppt",0.100979209281207,"60496"
"AASS","aass",-0.0275788272031369,"10157"
"AATF","aatf",0.0547176240804261,"26574"
"AATK","LOC107378275",-0.00114334890004775,"9625"
"AATK","aatk",-0.254142125600932,"9625"
"ABAT","abat",-0.13544736984155,"18"
"ABCA1","LOC107391047",-1.55567015564221e-06,"19"
"ABCA1","LOC107392625",0.00179355765433749,"19"
"ABCA1","LOC107381037",0.0429915309100482,"19"
"ABCA1","LOC107372735",-0.0218860560428507,"19"
"ABCA12","LOC107376062",0.0811351999264838,"26154"
"ABCA3","abca3",-0.0735799371948889,"21"
"ABCA4","LOC107382716",-0.0210109325492571,"24"
"ABCA4","LOC107383559",-1.02051829523259,"24"
"ABCA5","abca5",-0.532776917217775,"23461"
"ABCB1","abcb1",1.46125478311198,"5243"
"ABCB10","abcb10",0.0140399539587969,"23456"
"ABCB6","abcb6",-0.285041337438466,"10058"
"ABCB7","abcb7",0.0248744485672076,"22"
"ABCB8","LOC107383862",-0.283935166551028,"11194"
"ABCB9","abcb9",-0.0777730807322626,"23457"
"ABCC1","LOC107391801",-0.0554839688019773,"4363"
"ABCC1","LOC107373251",-0.0263293272026716,"4363"
"ABCC10","abcc10",-0.271961015408938,"89845"
"ABCC3","LOC107388296",0.027326210085278,"8714"
"ABCC4","abcc4",-0.0433219828270336,"10257"
"ABCC5","abcc5",0.00621724145317496,"10057"
"ABCC8","abcc8",0.00527794053520941,"6833"
"ABCC9","LOC107387088",0.367487781320462,"10060"
"ABCD1","LOC107391455",-0.0011879543714979,"215"
"ABCD2","abcd2",0.0369983502267853,"225"
"ABCD3","abcd3",-0.00914191966932948,"5825"
"ABCD3","LOC107395207",0.00239933349077124,"5825"
"ABCD4","abcd4",1.30545109127844,"5826"
"ABCE1","abce1",-0.140912475607189,"6059"
"ABCF1","abcf1",0.0104012771725871,"23"
"ABCF2","abcf2",0.0175191073460365,"10061"
"ABCF3","abcf3",-0.0346341081014225,"55324"
"ABCG1","LOC107395544",-0.61847103315086,"9619"
"ABCG1","LOC107394113",-0.344234631407423,"9619"
"ABCG2","LOC107376824",0.100979209281207,"9429"
"ABCG4","abcg4",0.0626774894409504,"64137"
"ABCG5","abcg5",0.0161862073441176,"64240"
"ABCG8","abcg8",0.0484632844914236,"64241"
"ABHD10","abhd10",-0.0578222161108357,"55347"
"ABHD11","abhd11",0.00997141090539067,"83451"
"ABHD12","LOC107375545",0.319626191554452,"26090"
"ABHD12","LOC107376141",-1.07539301414483,"26090"
"ABHD12","abhd12b",0.00568504126979623,"26090"
"ABHD13","abhd13",0.0227819322608534,"84945"
"ABHD14A","abhd14a",0.0731229340611053,"25864"
