"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000904","cell morphogenesis involved in differentiation",498,0.559309548139244,2.06465694990926,1e-10,4.85971223021583e-09,3.09655433547899e-09,2122,"tags=34%, list=20%, signal=29%","GAB2/DOK1/OPHN1/LPXN/MERTK/SEMA3G/CSF1R/TRAK2/LAMB2/MEGF8/GDI1/PAK3/PLXNC1/BOC/AXL/LRP1/NRP1/APP/PDPN/SRGAP2/DISC1/PTPRO/ULK2/LRRK2/PLCG1/NRXN3/EFNA5/ATRNL1/IST1/BCL2/DNM2/PTPN6/FYN/RPS6KA5/FERMT3/OLFM4/LGI1/TYRO3/KIDINS220/EFNA1/SOX17/MAG/NUMBL/HECW2/TRIO/ZSWIM6/SH3KBP1/PLXND1/STXBP1/ULK1/AMIGO1/CDH2/RHOG/MAP2/ZNF385A/EPHB4/NOTCH1/LIMK1/PDLIM5/HDAC6/KALRN/RILPL1/PARVB/NEO1/DOCK7/DOK2/PLXNA3/L1CAM/ROBO1/SPTBN1/PLXNB2/CHL1/CYFIP1/GFRA1/DPYSL2/SEMA4B/KANK1/DMTN/ITGA4/FEZ1/PARVG/PARP6/RADIL/ISL2/FEZ2/GLI3/CORO1C/ADGRB3/DIP2B/CRKL/PTPN11/CTTN/ATL1/EPB41L5/TIAM2/LAMB1/SPG11/FGFR2/TAL1/PTK2/ARL13B/NRCAM/PIK3CD/GPC1/FRS2/PPP1R9A/PAFAH1B1/LAMC1/SMO/USP33/NRXN1/PTPRA/CRMP1/SEC24B/BMPR2/SRCIN1/SEMA4C/SHANK3/FZD7/MAPK3/ARHGAP35/CDH11/ANKRD27/SEMA3A/GAB1/SEMA5B/UST/ABL1/TMEFF1/SEMA7A/ZDHHC17/ZNF365/PXN/SLIT1/NFASC/VSTM2L/PRKCQ/CASS4/ADAM10/CDK5R1/GDNF/CTNNA2/TOP2B/HEG1/ITGAV/MICALL2/ZSWIM5/RHOA/SHANK2/PTPRS/ISL1/SIPA1L1/RERE/ANTXR1/BTBD3/SMAD4/FLRT2/NFATC4/GRB2/MEF2A/MINK1/VLDLR/ITGA8/SPAST/PIK3CB/ACTR2/SZT2/CASP9/SRC/DBNL/PICALM"
"BP","GO:0000956","nuclear-transcribed mRNA catabolic process",184,-0.667591878031318,-2.04035985734019,1e-10,4.85971223021583e-09,3.09655433547899e-09,2370,"tags=60%, list=22%, signal=48%","SECISBP2/NBAS/NOCT/UBA52/RPL35A/RPS3/RPL29/RPL9/UPF3B/LSM1/RPS5/NCBP2/RPL18/RPS29/LSM6/RPL22/RPS2/RNPS1/EIF3E/RPS28/RPS21/RPL7/RPL3/RBM8A/RPLP0/RPL37A/RPL21/RPL34/RPL36/RPS15A/RPL15/EXOSC8/RPS25/EXOSC3/LSM2/PRPF18/RPS17/RPS7/RPS8/RPS23/RPL13A/RPS14/RPL24/RPL10A/RPL8/RPS12/RPL37/DXO/RPL18A/EXOSC5/RPL23A/RPL31/RPS4X/CNOT11/EXOSC2/RPS9/RPL27A/RPL13/RPS26/RPL14/NT5C3B/EXOSC10/RPL27/RPL19/RPL12/RPS27A/RPLP2/RPS27/RPL35/RPS16/RPL5/RPS11/PABPC1/RPL36A/RPS19/RPS10/PELO/CNOT7/RPS18/EXOSC4/RPLP1/EXOSC1/RPS24/RPL32/TOB1/RPL23/RPL11/RPL26/RPL30/RPS13/RPL6/RPS3A/RPL28/DCP1B/EIF4G1/WDR61/RPS20/RPS15/PYM1/RPL10/EXOSC6/EXOSC9/ETF1/GSPT1/LSM3/MAGOHB/PDE12/MRTO4/MTPAP/EIF4A3/SSB"
"BP","GO:0001525","angiogenesis",356,0.530173694166438,1.90245218160699,1e-10,4.85971223021583e-09,3.09655433547899e-09,2063,"tags=37%, list=19%, signal=31%","TNFAIP3/HLA-G/PDGFRB/PTPRB/KDR/VASH2/HYAL1/MAP3K3/CXCL8/CLEC14A/ACKR3/TGFBR3/NRP1/MAPK14/SLC12A2/ACVR1/JAK1/ARHGAP22/PLCG1/ADGRA2/EDNRA/CDH5/SRPX2/CREB3L1/PRKCB/TLR3/ETS1/HDAC9/TGFB2/STAT1/AMOT/ADM2/EFNA1/STAB1/SOX17/SYK/JAM3/HDAC7/NFE2L2/RAPGEF3/ADAM8/PLXND1/GRN/PPARG/HEY1/PRCP/PTK2B/EPHB4/ITGB1/EMILIN1/FLT1/NOTCH1/ERAP1/TNFSF12/HIPK1/ROBO1/ADTRP/ITGB2/SPRED1/HK2/UBP1/GPR4/HIF1A/PIK3C2A/PRKD2/BRCA1/CD40/CALCRL/AKT3/ADGRB3/EGLN1/ADAM12/CYBB/RUNX1/HDAC5/TGFBR1/VAV2/TNFAIP2/RNF213/CXCL10/JUP/MMP14/FGFR2/TAL1/TSPAN12/PPP1R16B/PTK2/ESM1/NRCAM/PIK3CD/S1PR1/CTSH/ADIPOR2/SCG2/GAB1/PGK1/RGCC/TJP1/ABL1/MMRN2/RASIP1/CASP8/TIE1/DAB2IP/GATA2/SASH1/ANPEP/PDE3B/BCAS3/ITGAV/MEOX2/AGO1/SMAD1/RHOA/VEZF1/ISL1/FAP/ITGB8/PIK3CG/HSPG2/HMOX1/ANGPTL4/NFATC4/CLDN5/DLL4/RECK/COL4A1/EPAS1/MMP19/C5AR1"
"BP","GO:0001568","blood vessel development",473,0.5504006763202,2.02115162428394,1e-10,4.85971223021583e-09,3.09655433547899e-09,2063,"tags=37%, list=19%, signal=32%","CFLAR/TNFAIP3/HLA-G/PDGFRB/ATP7A/PTPRB/KDR/VASH2/MEGF8/HYAL1/SMAD7/SGPL1/MAP3K3/CXCL8/CLEC14A/ACKR3/AHR/LRP1/TGFBR3/NRP1/RAPGEF1/MAPK14/SLC12A2/QKI/IL6R/TBX2/ACVR1/CCM2/JAK1/ARHGAP22/PLCG1/ADGRA2/EDNRA/CDH5/SRPX2/CREB3L1/PRKCB/TLR3/ETS1/HDAC9/TGFB2/STAT1/AMOT/ADM2/PKD2/EFNA1/STAB1/TGFB1/SOX17/SYK/JAM3/HDAC7/NFE2L2/ZFP36L1/MIB1/SOCS3/RAPGEF3/ADAM8/PLXND1/GRN/PPARG/SPI1/CDH2/HEY1/PRCP/PTK2B/EPHB4/ITGB1/EMILIN1/FLT1/NOTCH1/ERAP1/TNFSF12/PRRX1/HIPK1/ROBO1/ADTRP/ITGB2/SPRED1/HK2/UBP1/ZMIZ1/GPR4/ARID2/RIN2/LYL1/HIF1A/PIK3C2A/PRKD2/BRCA1/PDGFB/CD40/CALCRL/TBX3/AKT3/GLI3/ADGRB3/EGLN1/ADAM12/CYBB/RUNX1/CRKL/HDAC5/TGFBR1/VAV2/PAX6/PTK7/TNFAIP2/RNF213/CXCL10/PECAM1/JUP/MMP14/FGFR2/TAL1/TSPAN12/PPP1R16B/MYLK/PTK2/ESM1/NRCAM/PIK3CD/S1PR1/EGR1/JUNB/SMO/SEC24B/BMPR2/CTSH/CITED1/ADIPOR2/SCG2/GAB1/PGK1/RGCC/TJP1/ABL1/MMRN2/TIPARP/RASIP1/CASP8/TIE1/DAB2IP/GATA2/SASH1/AP2B1/ANPEP/PAXIP1/PDE3B/HEG1/BCAS3/FLVCR1/ITGAV/MEOX2/AGO1/ALDH1A2/SMAD1/RHOA/DDIT3/VEZF1/ISL1/FAP/ITGB8/PIK3CG/HSPG2/ANTXR1/HMOX1/ANGPTL4/NFATC4/CLDN5/DLL4/RECK/LRP5/COL4A1/EPAS1/MMP19/C5AR1"
"BP","GO:0001667","ameboidal-type cell migration",311,0.604566945958461,2.15334750165207,1e-10,4.85971223021583e-09,3.09655433547899e-09,2027,"tags=38%, list=19%, signal=32%","LPXN/SEMA3G/PRKCE/KDR/MEGF8/HYAL1/MMP9/SGPL1/MAP3K3/CLEC14A/PTPRR/PAK3/SH3BP1/NRP1/ZEB2/SRGAP2/PTPRG/ACVR1/GJA1/AGTR2/PPARD/DDR2/PLCG1/ADGRA2/FGFR1/CDH5/SRPX2/ETS1/ADAM17/PKN2/HDAC9/TGFB2/PLPP3/AMOT/EFNA1/TGFB1/SOX17/HDAC7/NFE2L2/PLXND1/GRN/PPARG/CDH2/PRCP/PTK2B/EPHB4/ITGB1/NOTCH1/HDAC6/FAT2/TNFSF12/ROBO1/ADTRP/ITGB2/SPRED1/RIN2/HIF1A/SEMA4B/KANK1/PIK3C2A/DMTN/ITGA4/PRKD2/P2RY12/PDGFB/CD40/MAP4K4/RADIL/AKT3/MTA2/CORO1C/HDAC5/PTPN11/TGFBR1/GNA12/EPB41L5/JUP/PTK2/PIK3CD/SMO/BMPR2/CTSH/SEMA4C/DPP4/MCC/ADIPOR2/APPL2/SCG2/APPL1/SEMA3A/SEMA5B/RGCC/ABL1/MMRN2/SEMA7A/FGF7/PXN/DAB2IP/PATZ1/GATA2/SASH1/PAXIP1/GDNF/RIC8A/CORO1B/BCAS3/MEOX2/RHOA/CLASP2/ISL1/SMURF2/FAP/PIK3CG/HYAL2/HMOX1/DLL4/ACVR1C/LRP5/ARID5B"
"BP","GO:0001944","vasculature development",494,0.542810696488418,2.00343642512718,1e-10,4.85971223021583e-09,3.09655433547899e-09,2063,"tags=37%, list=19%, signal=31%","CFLAR/TNFAIP3/HLA-G/PDGFRB/ATP7A/PTPRB/KDR/VASH2/MEGF8/HYAL1/SMAD7/SGPL1/MAP3K3/CXCL8/CLEC14A/ACKR3/AHR/LRP1/TGFBR3/NRP1/RAPGEF1/PDPN/MAPK14/SLC12A2/QKI/IL6R/TBX2/ACVR1/CCM2/JAK1/TMEM204/ARHGAP22/PLCG1/ADGRA2/EDNRA/CDH5/SRPX2/CREB3L1/PRKCB/TLR3/ETS1/HDAC9/TGFB2/STAT1/AMOT/ADM2/PKD2/EFNA1/STAB1/TGFB1/SOX17/SYK/JAM3/HDAC7/NFE2L2/ZFP36L1/MIB1/SOCS3/RAPGEF3/ADAM8/PLXND1/GRN/PPARG/SPI1/EPC1/CDH2/HEY1/PRCP/PTK2B/EPHB4/ITGB1/EMILIN1/FLT1/NOTCH1/ERAP1/TNFSF12/PRRX1/HIPK1/ROBO1/ADTRP/ITGB2/SPRED1/HK2/UBP1/ZMIZ1/GPR4/ARID2/RIN2/LYL1/HIF1A/PIK3C2A/PRKD2/BRCA1/PDGFB/CD40/CALCRL/TBX3/AKT3/GLI3/ADGRB3/EGLN1/ADAM12/CYBB/RUNX1/CRKL/HDAC5/TGFBR1/VAV2/PAX6/PTK7/TNFAIP2/RNF213/CXCL10/PECAM1/JUP/MMP14/FGFR2/TAL1/TSPAN12/PPP1R16B/MYLK/PTK2/ESM1/NRCAM/PIK3CD/S1PR1/EGR1/JUNB/SMO/SEC24B/BMPR2/CTSH/CITED1/ADIPOR2/SCG2/GAB1/PGK1/PTPN14/RGCC/TJP1/ABL1/MMRN2/TIPARP/RASIP1/CASP8/TIE1/DAB2IP/GATA2/SASH1/AP2B1/ADAM10/ANPEP/PAXIP1/RIC8A/PDE3B/HEG1/BCAS3/FLVCR1/ITGAV/MEOX2/AGO1/ALDH1A2/SMAD1/RHOA/DDIT3/VEZF1/ISL1/FAP/ITGB8/PIK3CG/HSPG2/ANTXR1/HMOX1/ANGPTL4/NFATC4/CLDN5/DLL4/RECK/LRP5/COL4A1/EPAS1/MMP19/C5AR1"
"BP","GO:0002250","adaptive immune response",219,0.610916530354369,2.09238703645135,1e-10,4.85971223021583e-09,3.09655433547899e-09,1553,"tags=38%, list=14%, signal=33%","RFTN1/TNFAIP3/HLA-G/LY9/MCOLN2/SWAP70/SMAD7/IL4I1/NFKB2/RELB/C4B/RIPK2/TFEB/TNFSF13B/IL6R/IRF1/IL1RL1/INPP5D/C6/RIPK3/MR1/LTA/TEC/TEC/PRKCB/PTPN6/FYN/HAVCR2/ADAM17/PTPRC/JAK2/GPR183/LAMP3/SASH3/TGFB1/CD226/SYK/JAM3/WAS/BCL10/RNF19B/PTK2B/RSAD2/SUPT6H/CTSS/SAMSN1/CRACR2A/ERAP1/IL6ST/CRP/KMT5C/BATF/UNC93B1/CD84/PRKD2/ZBTB7B/EBI3/CD40/NOD2/TFE3/STAT3/HLA-DPB1/CD74/CLEC4C/TAP1/TAP2/MALT1/PIK3CD/CD247/C1QA/CTSH/LIME1/B2M/BCL6/C1R/C1QC/ICAM1/TNFRSF1B/MCOLN1/IL1R1/IRF4/HLA-DPA1/CSK"
"BP","GO:0002521","leukocyte differentiation",310,0.557109600646102,1.98300206904799,1e-10,4.85971223021583e-09,3.09655433547899e-09,1437,"tags=32%, list=13%, signal=28%","GAB2/DOCK2/MERTK/HLA-G/CSF1R/ATP7A/LY9/SMAD7/MMP9/IRF8/RELB/VAV1/CCR1/RIPK2/AXL/APP/TCF3/MAPK14/NCKAP1L/MFNG/IL6R/ADGRG3/IRF1/RUNX3/CBFB/INPP5D/JAG2/RIPK3/BCL2/SLC46A2/IKZF3/ITM2A/MR1/PTPN6/SOCS1/TLR3/ADAM17/PTPRC/HDAC9/DOCK11/ZFP36L2/GPR183/SLAMF8/SASH3/TYRO3/TGFB1/SYK/ZFP36L1/GNAS/RIPK1/ADAM8/PPARG/SPI1/PLCL2/PTK2B/RSAD2/ITGB1/ZBTB16/PIR/BATF/ZMIZ1/IKZF1/OSTM1/LYL1/NRROS/FNIP1/LFNG/ITGA4/ZBTB7B/SBNO2/RASSF2/HDAC4/GLI3/RUNX1/CCL3/TFE3/STAT3/FLT3/HDAC5/CTNNBIP1/GAS6/CD74/GPR137B/FARP2/KLF6/MMP14/MALT1/TAL1/PIK3CD/EGR1/JUNB/VCAM1/B2M/BCL6/FZD7/FCRL3/LRRC17/C1QC"
"BP","GO:0002694","regulation of leukocyte activation",292,0.556005216958901,1.9700906477767,1e-10,4.85971223021583e-09,3.09655433547899e-09,1712,"tags=33%, list=16%, signal=29%","TNFAIP3/GAB2/TNIP2/MERTK/HLA-G/SMAD7/VAV1/PAK3/AHR/RIPK2/AXL/TNFSF13B/NCKAP1L/IRF1/RUNX3/IL1RL1/CBFB/LRRK2/INPP5D/RIPK3/BCL2/SLC46A2/IKZF3/PTPN6/FYN/SOCS1/HAVCR2/PTPRC/NCK1/ZFP36L2/SYT11/GPR183/SLAMF8/SASH3/TYRO3/TGFB1/CD226/FLOT2/SYK/DOCK8/BCL10/ZFP36L1/SH3KBP1/ADAM8/STXBP1/GRN/AIF1/SUPT6H/SAMSN1/ZBTB16/IL6ST/LBP/ITGB2/KMT5C/ZMIZ1/TIRAP/LGALS9B/CD84/ZBTB7B/EBI3/CD40/GLI3/NOD2/RHBDD3/RUNX1/CCL3/CD200/PTPN11/HLA-DPB1/GAS6/CD74/GPR137B/GRAP2/MMP14/MALT1/MAP3K8/CD22/C12orf4/LRRC32/VCAM1/DPP4/BCL6/ITGAM/FCRL3/TNFRSF1B/IRF4/ABL1/HLA-DPA1/PTAFR/CSK/BPI/FGL2/GATA2/PAG1/PRKCQ/PAXIP1/PRKAR1A"
"MF","GO:0003735","structural constituent of ribosome",142,-0.762360539043521,-2.27540472686085,1e-10,4.85971223021583e-09,3.09655433547899e-09,2349,"tags=85%, list=22%, signal=67%","MRPS34/UBA52/RPL35A/RPS3/RPL29/RPL9/MRPS6/RPS5/MRPS15/MRPL41/RPL18/RPS29/RPL22/MRPS23/RPS2/RPS28/RPS21/MRPL19/MRPL12/RPL7/MRPS17/RPL3/MRPL18/RPLP0/RPL37A/RPL21/RPL34/RPL36/MRPL37/MRPL35/MRPS18C/RPS15A/RPL15/MRPL28/MRPL9/MRPS9/MRPL4/RPS25/RPS17/RPS7/RPS8/RPS23/RPL13A/RPS14/RPL24/RPL10A/RPL8/RPS12/RPL37/MRPS36/MRPL14/MRPL13/RPL18A/RPL23A/RPL31/RPS4X/RPS9/MRPS24/RPL27A/RPL13/RPS26/RPL14/RPL27/RPL19/RPL12/RPS27A/RPLP2/RPS27/MRPL16/MRPL27/RPL35/RPS16/RPL5/RPS11/MRPS31/RPL36A/RPS19/RPS10/RPS18/RPLP1/RPS24/MRPL3/RPL32/RPL23/MRPS16/RPL11/MRPL32/MRPL21/RPL26/RPL30/RPS13/MRPL51/RPL6/MRPL15/RPS3A/MRPL20/RPL28/MRPS2/MRPL46/MRPS18B/MRPL17/RPS20/RPS15/RPL10/MRPL24/MRPS18A/RPL22L1/MRPL1/MRPS22/DAP3/MRPL49/MRPL34/MRPS25/MRPL42/MRPL22/MRPL36/MRPL57/MRPS5/MRPS12/RPL7L1/MRPS7"
