"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.790188454960392,"29974"
"A2M","LOC107395751",0.00251092693746133,"2"
"A2ML1","LOC107380767",1.64974516663106,"144568"
"A2ML1","LOC107373335",0.03319109774407,"144568"
"A2ML1","LOC107373536",-0.093009093483019,"144568"
"AAAS","aaas",-0.018348667767189,"8086"
"AACS","aacs",-0.0629325017130693,"65985"
"AADAC","LOC107380045",-2.75947212468494,"13"
"AADAT","aadat",0.00866844140955421,"51166"
"AAGAB","aagab",-0.825375717287976,"79719"
"AAK1","LOC107373159",1.21346889381359,"22848"
"AAMDC","aamdc",-0.234788914353217,"28971"
"AAMP","aamp",-2.7866906280059,"14"
"AAR2","aar2",-0.0994845032993769,"25980"
"AARS2","aars2",-0.00322418816064815,"57505"
"AARSD1","aarsd1",-0.46987174391171,"80755"
"AASDH","aasdh",0.151531271179977,"132949"
"AASDHPPT","aasdhppt",-1.10131861864118,"60496"
"AASS","aass",-0.197364357232805,"10157"
"AATF","aatf",-0.187219879695938,"26574"
"AATK","LOC107378275",0.0403582941813067,"9625"
"AATK","aatk",-0.0369697054288648,"9625"
"ABAT","abat",0.00513560503866509,"18"
"ABCA1","LOC107377411",-0.00694765214590558,"19"
"ABCA1","LOC107391047",3.38439990753459,"19"
"ABCA1","LOC107381037",0.484137549247203,"19"
"ABCA3","abca3",0.158126237475007,"21"
"ABCA5","abca5",-0.0062738881535173,"23461"
"ABCB1","abcb1",-0.0019494236685416,"5243"
"ABCB10","abcb10",0.0130839135188321,"23456"
"ABCB11","LOC107380987",-0.0197734343402356,"8647"
"ABCB11","abcb11",-0.0122770196579149,"8647"
"ABCB6","abcb6",-0.355935709630127,"10058"
"ABCB7","abcb7",0.0125963015317743,"22"
"ABCB8","LOC107383862",-0.00729874976779328,"11194"
"ABCB9","abcb9",-0.118132713938472,"23457"
"ABCC1","LOC107392837",2.66627693014486,"4363"
"ABCC1","LOC107373251",0.621355222260677,"4363"
"ABCC1","LOC107391801",0.119366816997548,"4363"
"ABCC10","abcc10",0.00988703069500528,"89845"
"ABCC12","LOC107381982",3.85478500099906e-07,"94160"
"ABCC2","abcc2",-0.46987174391171,"1244"
"ABCC3","LOC107388296",1.23632085419387,"8714"
"ABCC4","abcc4",-0.0983860716042541,"10257"
"ABCC5","abcc5",-0.503642635869502,"10057"
"ABCC8","abcc8",0.721112504151926,"6833"
"ABCC9","LOC107387088",0.305840051290869,"10060"
"ABCD1","LOC107391455",0.142326399483141,"215"
"ABCD2","abcd2",0.387780822581357,"225"
"ABCD3","abcd3",-0.215988162215062,"5825"
"ABCD3","LOC107395207",-0.876656321592614,"5825"
"ABCD4","abcd4",0.316386665691722,"5826"
"ABCE1","abce1",-3.12766941366018,"6059"
"ABCF1","abcf1",-3.0667394376766,"23"
"ABCF2","abcf2",-1.20700379123838,"10061"
"ABCF3","abcf3",-0.0654470173819156,"55324"
"ABCG2","LOC107376824",-0.113877879996923,"9429"
"ABCG8","abcg8",-0.397435000304127,"64241"
"ABHD10","abhd10",-2.56357048676247,"55347"
"ABHD12","abhd12b",0.0175618827037427,"26090"
"ABHD12","LOC107376141",0.0118067348984122,"26090"
"ABHD12","LOC107375545",-0.00584556256351766,"26090"
"ABHD13","abhd13",-0.0909173844124906,"84945"
"ABHD14A","abhd14a",0.00353632573810893,"25864"
"ABHD14B","abhd14b",0.0742736901697657,"84836"
"ABHD15","LOC107380403",0.706171576370026,"116236"
"ABHD16A","abhd16a",-0.0326311329547624,"7920"
"ABHD17B","abhd17b",-0.0967528843564096,"51104"
"ABHD17C","LOC107393262",0.00292745759105228,"58489"
"ABHD17C","LOC107384127",-0.143718124676035,"58489"
"ABHD18","abhd18",-0.0868063559499759,"80167"
"ABHD2","abhd2",0.309328098570488,"11057"
"ABHD2","LOC107376844",0.27243696116419,"11057"
"ABHD3","LOC107377588",0.0258556264461525,"171586"
"ABHD4","abhd4",-1.83456857616813,"63874"
"ABHD5","abhd5",-0.0275890399892018,"51099"
"ABHD5","LOC107383196",0.78329152316734,"51099"
"ABI1","LOC107384312",0.0852975619700344,"10006"
"ABI1","abi1",0.424497831074998,"10006"
"ABI1","LOC107390296",3.22144483520047,"10006"
"ABI2","abi2",0.0702160502513459,"10152"
"ABI3BP","abi3bp",-2.57619344479557,"25890"
