"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0005743","mitochondrial inner membrane",364,-0.630035128512986,-2.0875847165946,1e-10,2.50185185185185e-08,2.1625730994152e-08,2147,"tags=47%, list=20%, signal=39%","COQ9/HCCS/PARL/MRPL9/SDHC/NDUFB5/SPG7/APOOL/TIMM23/MRPS31/SDHD/MRPL40/MRPL51/MRPL47/MRPL44/TYMS/SLC25A34/MRPL4/NDUFB8/COX5B/MRPS36/SLC25A42/ACAD11/MRPS5/MRPS23/STOML2/SURF1/MCU/TMEM70/NDUFB11/MRPL57/COX6A1/CHCHD3/TIMM9/MRPL53/NDUFV1/NDUFV3/CPT2/SLC25A20/NDUFA10/MRPS22/MRPL37/MRPL3/COX6C/MRPS2/NDUFB4/SLC25A29/MCUR1/HADHA/GCAT/SFXN1/COX7C/PTPN1/DNAJC15/PTCD3/MRPS33/PSEN2/MRPS15/SLC8B1/UQCRFS1/NDUFA4/NDUFS6/CKMT2/LYN/MRPS16/NDUFB9/MRPL13/NDUFA9/UQCRQ/MRPS24/NDUFAF1/ACAD9/SCO2/CRAT/TMEM177/SAMM50/MRPL45/MRPL12/PMPCA/SDHB/TIMM8B/BOK/SLC25A22/NDUFS8/NDUFS3/APOO/MRPL54/MTG2/MRPS34/MRPL21/MRPL1/ACADVL/TIMM22/MRPS10/SFXN2/NDUFB3/NDUFS7/ABCB8/AURKAIP1/COQ4/SPHK2/TIMM17A/LDHD/MRPS26/COX7B/MRPL14/TMEM126A/FECH/MRPS27/SLC25A3/CNP/GOT2/DNAJC19/TIMM44/COQ6/HSPA9/TIMM13/IMMT/MRPL15/CLPX/PHB/COX5A/CCDC51/UQCC1/MRPS21/GRPEL1/COX10/MRPL27/UQCRC2/HSPD1/MPC2/NDUFS1/CHDH/SLC25A28/AIFM1/SLC25A48/PRODH2/SLC25A11/UQCRC1/MRPL19/NDUFAF5/COX7A2/FPGS/HADHB/LETM1/MRPS18A/CYCS/ABCB7/OPA1/NNT/SLC25A12/SLC25A40/DAP3/TIMM10B/PHB2/FOXRED1/MRPL17/TIMM50/DNAJC11/CYC1/ETFDH/AFG3L2/MRPS18B/NDUFS2/ATAD3A/TOMM40/SHMT2/CRLS1/GATM/FDXR/NOA1"
"CC","GO:0005759","mitochondrial matrix",387,-0.67798190349082,-2.2531385657952,1e-10,2.50185185185185e-08,2.1625730994152e-08,1982,"tags=48%, list=18%, signal=41%","DLD/MRPL40/MRPL51/MRPL47/MRPL44/TYMS/GLRX2/PDHB/ACAA2/MRPL4/MDH2/NDUFB8/MRPS36/ALDH1L2/LACTB2/MRPS5/ETFA/MPG/ACOT11/MRPL57/PDSS1/DNA2/SDHAF2/MRPL53/IDH3A/AADAT/AGXT2/FOXO3/NDUFA10/MRPS22/MRPL37/PCK2/MRPL3/SUCLA2/ALDH7A1/MRPS2/PDE12/HADHA/VDAC2/HSD17B8/OAT/SUOX/MRRF/YARS2/ADHFE1/PTPN1/MCAT/DNAJC15/TRIT1/MRPS33/MRPS15/MCCC2/COASY/DIMT1/ACSS1/MRPS16/MRPL13/NDUFA9/MRPS24/NDUFAF1/PITRM1/SCO2/SOD1/AMT/EARS2/ALAS1/ACSS2/HIBCH/MRPL45/MRPL12/PMPCA/LRRC59/NDUFAF7/C1QBP/SDHAF3/ACSF2/NDUFS8/ECHS1/AK3/NDUFS3/MRPL54/MTG2/PNPT1/OXCT1/MRPS34/TRMT10C/MRPL21/SUCLG1/POLDIP2/ACADVL/ACO2/MRPS10/GSTZ1/DMGDH/NDUFS7/NFS1/AGXT/IDH3B/MRPS26/SOD2/HIBADH/MRPL14/ACADM/PTCD1/FECH/MRPS27/GOT2/DLST/DNAJC19/TIMM44/GFM1/BCKDHB/HSPA9/ACSS3/DECR1/DNAJA3/MRPL15/TBRG4/CS/FASTK/CLPX/SUPV3L1/HSD17B10/LIAS/HOGA1/DHX30/MRPS21/GRPEL1/TUFM/AASS/ETFB/NSUN3/MRPL27/HSPD1/NDUFS1/TFB2M/WARS2/GRSF1/IVD/SUCLG2/AK4/PYCR1/BTD/MRPL19/GLUD1/TFB1M/FPGS/HADHB/MTRF1L/MRPS18A/FH/BCO2/DHTKD1/GCDH/GPT2/DLAT/FASTKD5/DAP3/IDH2/ACADS/TRNT1/FAHD1/ALDH6A1/MRPL17/ETFDH/ALDH4A1/MRPS18B/DDX28/ALDH2/NDUFS2/ATAD3A/PCCA/PCCB/ACADSB/MRM1/TRUB2/MCCC1/ARG2/SHMT2/HAGH/NAGS/ABCE1/AUH/FDXR/LONP1/TSFM"
"CC","GO:0005840","ribosome",192,-0.642009741144341,-2.01618805913474,1e-10,2.50185185185185e-08,2.1625730994152e-08,2267,"tags=36%, list=21%, signal=29%","MPV17L2/MRPL35/MRPL16/RPL3/EIF2D/EEF2/MRPL38/MTERF4/RPL28/MRPL9/RPS13/MRPS31/MRPL40/MRPL51/MRPL47/MRPL44/RPS27/MRPL4/RPL5/MRPS36/DNAJC21/APEX1/MRPS5/MRPS23/APOD/MRPL57/SRP68/MRPL53/MRPS22/MRPL37/MRPL3/MRPS2/LARP4B/PTCD3/MRPS33/MRPS15/EIF2AK4/RPLP0/MRPS16/MRPL13/MRPS24/MRPL45/MRPL12/MRPL54/MTG2/PNPT1/MRPS34/MRPL21/MRPL1/MRPS10/AURKAIP1/MRPS26/MRPL14/MRPS27/MRPL15/MRPS21/NSUN3/MRPL27/EIF2A/MRPL19/MRPS18A/GCN1/DAP3/RPL7L1/HSPA14/MRPL17/MRPS18B/NUFIP1/NUFIP2"
"CC","GO:0005929","cilium",336,0.569531034245836,2.02220156088699,1e-10,2.50185185185185e-08,2.1625730994152e-08,1942,"tags=39%, list=18%, signal=33%","DNAJB13/MYOC/TMEM237/DNAL1/DZIP1/TTC30B/CFAP126/CFAP77/DYNLRB2/IFT43/TMEM80/TTC21B/TMEM216/DCTN1/TUB/ERC1/GSTM3/ATP1B3/ARL2BP/TTC26/IFT27/BBS2/USH1G/WDR19/MAP4/CEP89/PRKAR1B/DRC1/SPA17/CFAP43/TPGS1/ALMS1/CFAP221/IFT172/MLF1/CDK20/DRC7/IFT57/TTC23/GALR2/NPHP1/CEP131/IFT122/ATP8A2/TBC1D30/TMEM107/GAS8/CFAP36/APP/WDPCP/NME5/WDR35/B9D2/PACRG/RSPH3/CLUAP1/CNGB3/TCTN2/RSPH4A/CFAP99/TXNDC15/SPEF1/CDKL1/GABARAP/CETN2/INPP5E/MOK/TEKT1/ATG14/TTLL11/BBS7/PDE6D/GPR157/SHANK3/FAM149B1/KIF2A/DNAH3/ARL6/MAPK15/DLG5/BBS5/BBS9/PROM1/LCA5/CCDC88A/CROCC/RAB28/TMEM231/PCM1/ARL13B/DHRS3/MKKS/RPGR/INTU/IQCB1/RSPH9/KIAA0586/CENPF/IQCE/DDX6/CFAP65/PKD1/MAP1LC3B/BBS4/DRD2/TBC1D32/IFT140/MYRIP/IFT22/KIF3A/TRAF3IP1/CAMSAP2/VCAN/CCDC113/ODF2/PTK2/CEP164/CDKL5/GLIS2/DRC3/DNAH10/CERKL/TTC8/TMEM138/CEP170/SPTBN5/PAFAH1B1/MARK4/IFT74/ROPN1L/FAM161B/GPR161"
"BP","GO:0006364","rRNA processing",196,-0.699863323873117,-2.20590023572166,1e-10,2.50185185185185e-08,2.1625730994152e-08,2017,"tags=45%, list=19%, signal=38%","LYAR/NGDN/NAT10/PDCD11/MPHOSPH10/UTP20/RPS27/RRP12/RPL5/MAK16/NOP10/DDX52/PELP1/EIF4A3/PWP2/RIOK1/EXOSC9/NOL6/EBNA1BP2/NAF1/RRS1/EIF6/GEMIN4/PIH1D1/UTP18/DIMT1/KRI1/BOP1/WBP11/URB1/FCF1/IMP4/RRP7A/BMS1/WDR12/DDX51/DDX56/MRPL1/SHQ1/NOB1/DDX49/EXOSC6/UTP3/NPM3/RIOK2/SRFBP1/NOP2/RRP15/DDX54/NSUN3/FTSJ3/TFB2M/DDX27/WDR36/EMG1/TFB1M/UTP4/REXO4/RIOK3/EXOSC10/RPF2/NOL11/BYSL/FAM207A/RRP9/NIFK/RPL7L1/WDR3/NSUN5/WDR74/UTP15/RSL1D1/DDX18/PA2G4/WDR43/RRP1/SNU13/UTP14A/DCAF13/NOP58/DKC1/TSR1/WDR75/TBL3/FBL/NOP56/MRM1/PES1/NOC4L"
"BP","GO:0006520","cellular amino acid metabolic process",245,-0.625567933148781,-2.01039785889535,1e-10,2.50185185185185e-08,2.1625730994152e-08,1720,"tags=35%, list=16%, signal=30%","ODC1/MTHFD1/ASPA/SLC7A7/AADAT/AGXT2/PSMD4/ALDH7A1/SEPSECS/PSMD5/ALDH8A1/GCAT/PSMC6/ACY1/OAT/YARS2/UPB1/ADHFE1/GCLC/ADI1/MCCC2/DDO/MTAP/PLOD2/DPYS/GOT1/AMT/EARS2/HIBCH/FARSA/PEPD/PM20D1/PSMD7/GSTZ1/CARNMT1/MTHFR/GFPT2/MTR/AGXT/FARSB/HIBADH/GOT2/DLST/PSMD11/CLN3/ENOSF1/HSD17B10/HOGA1/BAAT/AASS/ILVBL/WARS2/IVD/MAT1A/PYCR1/PEMT/PRODH2/NIT2/CRYM/HNMT/ASNS/GLUD1/FPGS/AZIN1/PPAT/SHMT1/CBS/GCDH/GPT2/MRI1/SLC25A12/CTPS1/ALDH6A1/ALDH4A1/GNMT/DPYD/AARSD1/ACADSB/AHCY/DAO/MCCC1/ARG2/SHMT2/CTH/NAGS/AUH"
"BP","GO:0007268","chemical synaptic transmission",361,0.517194657582566,1.84254607378032,1e-10,2.50185185185185e-08,2.1625730994152e-08,2008,"tags=35%, list=19%, signal=29%","SNPH/ATXN3/SLC12A5/NPTX1/PPFIA3/FGF14/PLP1/CPLX1/KCNQ2/CPLX2/GLRB/RIMS2/SV2A/PTPRN2/NPTXR/SST/AMPH/SLC12A2/CACNA1B/SCGN/ERC1/GABRR3/STXBP1/NRXN1/CACNG5/CEP89/PRKAR1B/NSG1/APBA2/SYT4/LGI1/TPRG1L/TPGS1/LIN7B/NRG3/INS/MPP2/CTBP2/SYT11/SYNGAP1/APP/GABRB2/PDYN/SNCB/SNAP25/GRIK2/SYP/CDH2/CLSTN3/VAMP2/LRP6/GABARAP/PTPRS/PDE7B/DBN1/SYN2/SLC1A1/SHANK3/SEZ6/FYN/SLC12A6/GNAI1/APOE/CACNB1/NOVA1/RGS4/CACNB3/CRTC1/RAC3/PTPRA/ADRA1A/SYT1/PLCG1/SLC18A2/ARRB2/GABRG2/BCHE/PRKCE/NCS1/KCNK3/PRKCB/UNC119/SLC4A10/CHRNA5/BRSK1/GRIA2/STX1A/SYNGR1/RAB3A/NISCH/FAM107A/NEURL1/SIPA1L1/DRD2/IQSEC2/MAPT/EPHA4/RNF19A/CREB1/P2RX7/SLC1A3/NMU/RHOT1/TSHZ3/NFATC4/SNAP47/SNCA/GABRB3/NAPB/KIF1B/ADGRB1/SRC/BEGAIN/PAFAH1B1/PPP1R9B/OPHN1/GDNF/RNF216/USP8/GSK3A/NPTN/UNC13B/KCNC4/DGKI/CACNG4"
"BP","GO:0007409","axonogenesis",313,0.529085742986876,1.86877033101682,1e-10,2.50185185185185e-08,2.1625730994152e-08,1935,"tags=31%, list=18%, signal=26%","MAP2/RPS6KA5/PLXNA3/BOC/LAMB2/MEGF8/NPTX1/KALRN/NFASC/CTNNA2/GFRA1/BCL2/FEZ1/ANK3/STXBP1/LRP4/ISL2/SEMA7A/NRXN1/DPYSL2/HSP90AA1/GDI1/MAP2K1/SLC9A6/DOK6/LGI1/SEMA5B/KIAA0319/ULK1/CDK5R1/DSCAML1/FEZ2/ATL1/SYNGAP1/ISL1/ATP8A2/SEMA3C/NRXN3/KEL/PDLIM7/APP/TMEFF1/CDH2/PLXNC1/CHN1/PTPRS/DBN1/ROBO2/SHANK3/MAG/TWF2/FYN/CRMP1/APOE/DAB1/PTPRO/SKIL/NRCAM/GAB1/NDEL1/TIAM2/ZSWIM5/PRKCQ/PTPRA/SH3KBP1/CSF1R/SEMA4C/CXCR4/PLCG1/RAP1GAP/LRP1/PLXNB1/BRSK1/RAB3A/SIPA1L1/CRABP2/DRD2/MAPT/PLXND1/L1CAM/EPHA4/CREB1/CDH4/TTL/PTK2/CDKL5/RAB21/EPHB1/CHL1/GAB2/ADGRB1/SRC/SPTBN5/EPHA5/SPTAN1/PAFAH1B1/OPHN1/GDNF"
"BP","GO:0016054","organic acid catabolic process",205,-0.692700205060146,-2.19388336519808,1e-10,2.50185185185185e-08,2.1625730994152e-08,1873,"tags=45%, list=17%, signal=38%","AKR1D1/ACAA2/PCK1/ALDH1L2/ACAD11/DCXR/ETFA/AKT2/ACOX1/CPT1A/ASPA/AADAT/AGXT2/CPT2/PCK2/ALDH7A1/HADHA/ALDH8A1/GCAT/SLC27A4/OAT/CRYL1/ADHFE1/MCAT/AIG1/MCCC2/DDO/HAO2/GOT1/CRAT/AMT/HSD17B4/HIBCH/ABCD3/ECHS1/ECHDC2/ACADVL/GSTZ1/ABHD2/CARNMT1/ALDH3A2/PPARA/AGXT/LDHD/HIBADH/ACADM/SORD/GOT2/DLST/PON3/CEL/PHYH/BCKDHB/BDH2/DECR1/ENOSF1/HSD17B10/HOGA1/AASS/ETFB/ILVBL/IVD/MAT1A/PRODH2/CRYM/HNMT/GLUD1/HADHB/ECHDC1/PPAT/PECR/SHMT1/CBS/PEX7/GCDH/GPT2/ACADS/AKT1/ALDH6A1/ETFDH/ALDH4A1/ACACB/PCCA/PCCB/ACADSB/AHCY/DAO/MCCC1/ARG2/SHMT2/CTH/ECI2/AUH"
"BP","GO:0016072","rRNA metabolic process",202,-0.685179494576645,-2.17072563090028,1e-10,2.50185185185185e-08,2.1625730994152e-08,2017,"tags=45%, list=19%, signal=37%","LYAR/NGDN/NAT10/PDCD11/MPHOSPH10/UTP20/RPS27/RRP12/RPL5/MAK16/NOP10/DDX52/PELP1/EIF4A3/PWP2/RIOK1/EXOSC9/NOL6/EBNA1BP2/NAF1/RRS1/EIF6/GEMIN4/PIH1D1/UTP18/DIMT1/KRI1/BOP1/WBP11/URB1/FCF1/IMP4/RRP7A/BMS1/WDR12/DDX51/DDX56/MRPL1/SHQ1/NOB1/DDX49/EXOSC6/UTP3/NPM3/RIOK2/SRFBP1/NOP2/RRP15/DDX54/NSUN3/FTSJ3/TFB2M/DDX27/WDR36/EMG1/TFB1M/UTP4/REXO4/RIOK3/EXOSC10/RPF2/NOL11/BYSL/FAM207A/PELO/RRP9/NIFK/RPL7L1/WDR3/NSUN5/WDR74/UTP15/RSL1D1/DDX18/PA2G4/WDR43/RRP1/SNU13/UTP14A/DCAF13/NOP58/DKC1/TSR1/WDR75/TBL3/FBL/NOP56/MRM1/PES1/NOC4L"
