"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.500905422228686,"29974"
"A2M","LOC107395751",0.0942025827671888,"2"
"A2ML1","LOC107380767",2.73414517816569,"144568"
"A2ML1","LOC107373536",0.317053179699128,"144568"
"A2ML1","LOC107373335",0.0596950918368861,"144568"
"AAAS","aaas",-0.00189119530767786,"8086"
"AACS","aacs",0.0114480048331639,"65985"
"AADAC","LOC107380045",-1.35415008134962,"13"
"AADAT","aadat",-0.397190963324497,"51166"
"AAGAB","aagab",-0.944992527320877,"79719"
"AAK1","LOC107373159",0.943710578313557,"22848"
"AAMDC","aamdc",-0.0284470564186307,"28971"
"AAMP","aamp",-0.51796790125349,"14"
"AAR2","aar2",-0.0193973133831072,"25980"
"AARS2","aars2",-0.0360251596445062,"57505"
"AARSD1","aarsd1",-2.08667914333011,"80755"
"AASDH","aasdh",-0.0786103882611614,"132949"
"AASDHPPT","aasdhppt",-0.139553874892779,"60496"
"AASS","aass",-0.997374370556199,"10157"
"AATF","aatf",-0.595861251818657,"26574"
"AATK","LOC107378275",0.288288271984639,"9625"
"AATK","aatk",0.143975811031868,"9625"
"ABAT","abat",-0.0706995472138198,"18"
"ABCA1","LOC107377411",-0.054897553714407,"19"
"ABCA1","LOC107391047",0.481901833325752,"19"
"ABCA1","LOC107381037",-0.114562262978519,"19"
"ABCA3","abca3",0.00843148643087713,"21"
"ABCA5","abca5",-1.00273261115164,"23461"
"ABCB1","abcb1",-0.124929087175479,"5243"
"ABCB10","abcb10",-0.155969776202962,"23456"
"ABCB11","abcb11",0.027697404662084,"8647"
"ABCB11","LOC107380987",0.0134777528551483,"8647"
"ABCB6","abcb6",-1.51987545147048,"10058"
"ABCB7","abcb7",-1.325498570221,"22"
"ABCB8","LOC107383862",-0.697122989619332,"11194"
"ABCB9","abcb9",-0.81973348543385,"23457"
"ABCC1","LOC107391801",0.0195992630772753,"4363"
"ABCC1","LOC107392837",0.446921353829184,"4363"
"ABCC1","LOC107373251",-0.0947269439950042,"4363"
"ABCC10","abcc10",-0.633069756007762,"89845"
"ABCC12","LOC107381982",-0.667984487386886,"94160"
"ABCC2","abcc2",-0.280716544124217,"1244"
"ABCC3","LOC107388296",-0.000781261856767065,"8714"
"ABCC4","abcc4",-0.635927053292592,"10257"
"ABCC5","abcc5",-3.22782371364047,"10057"
"ABCC8","abcc8",2.10871534288817,"6833"
"ABCC9","LOC107387088",0.0534141313271135,"10060"
"ABCD1","LOC107391455",-0.138211259724722,"215"
"ABCD2","abcd2",0.720891611458265,"225"
"ABCD3","abcd3",-0.752790624934574,"5825"
"ABCD3","LOC107395207",-0.442495584034187,"5825"
"ABCD4","abcd4",-0.00623254890583194,"5826"
"ABCE1","abce1",-2.9629476947483,"6059"
"ABCF1","abcf1",-1.21257256699243,"23"
"ABCF2","abcf2",-1.64724745744151,"10061"
"ABCF3","abcf3",-1.17262691098944,"55324"
"ABCG2","LOC107376824",-0.00661014025168127,"9429"
"ABCG8","abcg8",-0.77794889934068,"64241"
"ABHD10","abhd10",-0.0905834228006321,"55347"
"ABHD12","LOC107376141",0.00688736815857504,"26090"
"ABHD12","abhd12b",-0.0145636818205492,"26090"
"ABHD12","LOC107375545",0.00533175214009126,"26090"
"ABHD13","abhd13",-0.0305569169274145,"84945"
"ABHD14A","abhd14a",0.504123920511378,"25864"
"ABHD14B","abhd14b",0.0558373619149834,"84836"
"ABHD15","LOC107380403",1.0701923835922,"116236"
"ABHD16A","abhd16a",-0.24880647728443,"7920"
"ABHD17B","abhd17b",-0.00197582313770345,"51104"
"ABHD17C","LOC107393262",-0.839486744995352,"58489"
"ABHD17C","LOC107384127",-0.0893125123375968,"58489"
"ABHD18","abhd18",-1.45567945749048,"80167"
"ABHD2","abhd2",-0.00967078251100524,"11057"
"ABHD2","LOC107376844",-1.325498570221,"11057"
"ABHD3","LOC107377588",-0.046872628398841,"171586"
"ABHD4","abhd4",-0.0587157896931044,"63874"
"ABHD5","abhd5",0.0257557030492924,"51099"
"ABHD5","LOC107383196",0.0485894065080721,"51099"
"ABI1","LOC107390296",0.417293224363139,"10006"
"ABI1","LOC107384312",0.0772169337651404,"10006"
"ABI1","abi1",0.0214716819179345,"10006"
"ABI2","abi2",0.104763924200724,"10152"
"ABI3BP","LOC107384590",1.84606647175962,"25890"
"ABI3BP","abi3bp",-0.402666929330276,"25890"
"ABL1","abl1",-0.094989816150702,"25"
"ABL2","abl2",0.0585211241779497,"27"
"ABLIM1","ablim1",-0.833640176857486,"3983"
"ABLIM2","ablim2",1.2793665969789,"84448"
"ABLIM3","LOC107394056",0.0947269439950042,"22885"
"ABLIM3","LOC107373670",0.167838271455279,"22885"
"ABO","LOC107385470",-1.10449138038459,"28"
"ABO","LOC107381863",-0.00296698026651931,"28"
"ABR","LOC107377344",0.101164130139859,"29"
"ABR","abr",0.00186342231667476,"29"
"ABRACL","abracl",-0.0169741766950201,"58527"
"ABT1","abt1",0.165193147913764,"29777"
"ABTB1","abtb1",8.15154392410616e-07,"80325"
"ABTB2","abtb2",-0.798071936577326,"25841"
"ABTB2","LOC107381557",-0.681936923026691,"25841"
"ACAA1","acaa1",-0.231925553576769,"30"
"ACAA2","acaa2",-0.314149687870889,"10449"
"ACACA","acaca",-0.00628574179791377,"31"
"ACACB","acacb",-1.75161953445267,"32"
"ACAD11","LOC107372609",-0.602254575978018,"84129"
"ACAD11","LOC107374620",-0.259937301756494,"84129"
"ACAD11","acad11",-0.136877054051291,"84129"
"ACAD8","acad8",-0.0316989891583599,"27034"
"ACAD9","acad9",-0.517146096853272,"28976"
"ACADL","acadl",-0.116349900116906,"33"
"ACADM","acadm",-0.759294276167844,"34"
"ACADS","LOC107383304",-0.0316989891583599,"35"
"ACADS","acads",-2.85769898508602,"35"
"ACADSB","acadsb",-2.08667914333011,"36"
"ACADVL","acadvl",-0.735650188112865,"37"
"ACADVL","LOC107393942",-0.570779777844769,"37"
"ACAP2","acap2",0.604090367548262,"23527"
"ACAP2","LOC107379876",0.0641233818463203,"23527"
"ACAP2","acap1",0.193327438407073,"23527"
"ACAP3","LOC107374920",0.701214408290217,"116983"
"ACAT1","acat1",-0.0639178410424098,"38"
"ACAT2","acat2",0.0422631497479315,"39"
"ACBD3","acbd3",-0.0532304498126551,"64746"
"ACBD4","acbd4",-0.264434885898629,"79777"
"ACBD5","LOC107384316",0.641669938400743,"91452"
"ACBD5","acbd5",-0.018997040721538,"91452"
"ACBD6","acbd6",-0.0424228230281608,"84320"
"ACBD7","LOC107374258",0.0526817246260984,"414149"
"ACCS","accs",-0.29378125919831,"84680"
"ACE","LOC107373083",0.00115158103940435,"1636"
"ACE","ace",9.04882229700421e-08,"1636"
"ACE2","ace2",-0.21005073600502,"59272"
"ACER1","acer1",0.0424228230281609,"125981"
"ACER2","acer2",0.0421038396961118,"340485"
"ACER3","acer3",-0.022555052395431,"55331"
"ACHE","LOC107395693",0.00368197185892223,"43"
"ACIN1","LOC107377177",0.0326471255226508,"22985"
"ACIN1","acin1",0.0633036639233297,"22985"
"ACKR3","ackr3",0.51796790125349,"57007"
"ACKR4","LOC107372710",0.0508776533849323,"51554"
"ACKR4","LOC107379530",-0.00100643688065204,"51554"
"ACLY","acly",-0.340338443843597,"47"
"ACLY","LOC107387857",-0.00384314165022963,"47"
"ACMSD","acmsd",-0.182684995937236,"130013"
"ACO1","aco1",-0.211818508441655,"48"
"ACO2","aco2",-1.31218462194692,"50"
"ACO2","LOC107376317",0.00333293323335695,"50"
"ACOT1","LOC107395266",-0.716715502766086,"641371"
"ACOT1","LOC107380820",-0.336681695905302,"641371"
"ACOT11","LOC107384368",-0.725085725346266,"26027"
"ACOT11","acot11",-0.0056637824665574,"26027"
"ACOT13","acot13",-0.440294366397499,"55856"
"ACOT8","acot8",-0.230515597746486,"10005"
"ACOT9","acot9",-0.0478981904767359,"23597"
"ACOX1","acox1",-0.364781202030813,"51"
"ACOX3","acox3",-0.125871682177218,"8310"
"ACP1","acp1",-0.764745892329234,"52"
"ACP2","acp2",-0.92969663095816,"53"
"ACP5","acp5",0.908351534489337,"54"
"ACP6","acp6",-0.267534663678332,"51205"
"ACP7","acp7",-0.785728857139688,"390928"
"ACSBG2","acsbg2",-0.127452844571871,"81616"
"ACSBG2","LOC107394339",-0.00142436208410909,"81616"
"ACSF2","LOC107387470",-0.585914440921468,"80221"
"ACSF3","acsf3",-0.21763238591094,"197322"
"ACSL1","acsl1",-0.267534663678332,"2180"
"ACSL3","LOC107384026",0.0674678140519488,"2181"
"ACSL4","acsl4",0.286110874537654,"2182"
"ACSL5","LOC107387641",-0.308969563963532,"51703"
