"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001816","cytokine production",456,0.486319928386336,2.03998064525038,1e-10,6.70673076923077e-09,5.14574898785425e-09,1381,"tags=30%, list=12%, signal=28%","EBI3/LAMTOR5/DDT/SAA1/TMSB4X/LYN/CYBA/FFAR2/IRF1/TLR5/TNFAIP3/ARG2/TNFRSF14/CARD9/CD84/RIPK3/HLA-A/RELB/XBP1/LGALS9B/PGLYRP2/CEBPB/HMOX1/SOCS1/CASP1/BATF/TGFB3/EREG/PRKCQ/C3/IL10/IL5RA/MEFV/MBP/S100A13/IRF8/NFKB1/PTAFR/PLA2G1B/PTGER4/GPNMB/TIRAP/TNFRSF1B/LTA/PTPN6/C5/BCL3/IL1RAP/IL1R1/ATP6AP2/PYCARD/F3/RAC1/TGFB1/HLA-G/PLCG2/BTK/TLR1/CMKLR1/SYK/F2R/PTPRC/TMEM106A/CRP/SERPINB1/HLA-DPB1/RNF128/CD40/INPP5D/TWSG1/CD226/NOD2/IGF2BP2/BPI/B2M/RASGRP1/P2RX7/F11R/RPS3/SERPINE1/RFTN1/THBS1/IL1RL1/ADAM8/SLAMF6/CCL3/AIF1/IL17RC/TSKU/CLNK/NFKB2/ARHGEF2/NCKAP1L/NRROS/SASH3/SERPINF2/TRIM21/CLU/CD200R1/LBP/FN1/LTF/PIK3CD/CD276/PNP/CMA1/ORM1/PLD4/TBK1/TLR7/NLRC3/CSF1R/LY9/TICAM1/TRAF2/CD36/HLA-DPA1/CD55/HEG1/SEMA7A/ABCD1/HSP90AB1/FADD/PIK3CG/CD74/S1PR3/MALT1/CHIA/NLRC5/IRF5/C5AR1/KLF2/RIOK3/EPX/BTN1A1/TAX1BP1/RGCC"
"BP","GO:0001817","regulation of cytokine production",423,0.497470064685951,2.05359291932483,1e-10,6.70673076923077e-09,5.14574898785425e-09,1381,"tags=30%, list=12%, signal=27%","EBI3/LAMTOR5/DDT/SAA1/TMSB4X/LYN/CYBA/FFAR2/IRF1/TLR5/TNFAIP3/ARG2/TNFRSF14/CARD9/CD84/RIPK3/HLA-A/RELB/XBP1/LGALS9B/PGLYRP2/CEBPB/HMOX1/SOCS1/CASP1/TGFB3/EREG/PRKCQ/C3/IL10/IL5RA/MEFV/MBP/IRF8/NFKB1/PTAFR/PLA2G1B/PTGER4/GPNMB/TIRAP/TNFRSF1B/LTA/PTPN6/C5/BCL3/IL1RAP/IL1R1/ATP6AP2/PYCARD/F3/RAC1/TGFB1/HLA-G/PLCG2/BTK/TLR1/CMKLR1/SYK/F2R/PTPRC/CRP/SERPINB1/HLA-DPB1/RNF128/CD40/INPP5D/TWSG1/CD226/NOD2/IGF2BP2/BPI/B2M/RASGRP1/P2RX7/F11R/RPS3/SERPINE1/THBS1/IL1RL1/ADAM8/SLAMF6/CCL3/AIF1/IL17RC/TSKU/CLNK/NFKB2/ARHGEF2/NCKAP1L/SASH3/SERPINF2/TRIM21/CLU/CD200R1/LBP/FN1/LTF/CD276/ORM1/PLD4/TBK1/TLR7/NLRC3/CSF1R/LY9/TICAM1/TRAF2/CD36/HLA-DPA1/HEG1/SEMA7A/ABCD1/HSP90AB1/FADD/CD74/S1PR3/MALT1/CHIA/NLRC5/IRF5/C5AR1/KLF2/RIOK3/EPX/BTN1A1/TAX1BP1/RGCC"
"BP","GO:0001819","positive regulation of cytokine production",266,0.522777796701461,2.04498275176066,1e-10,6.70673076923077e-09,5.14574898785425e-09,1596,"tags=35%, list=14%, signal=31%","EBI3/LAMTOR5/DDT/SAA1/CYBA/FFAR2/IRF1/TLR5/TNFRSF14/CARD9/HLA-A/XBP1/CEBPB/HMOX1/CASP1/EREG/PRKCQ/C3/IL10/MBP/IRF8/NFKB1/PTAFR/PLA2G1B/PTGER4/TIRAP/LTA/C5/BCL3/IL1RAP/IL1R1/ATP6AP2/PYCARD/F3/TGFB1/HLA-G/PLCG2/TLR1/SYK/F2R/PTPRC/HLA-DPB1/CD40/CD226/NOD2/B2M/RASGRP1/P2RX7/RPS3/SERPINE1/THBS1/IL1RL1/ADAM8/SLAMF6/CCL3/AIF1/IL17RC/CLNK/NFKB2/ARHGEF2/SASH3/SERPINF2/CLU/LBP/CD276/ORM1/TBK1/TLR7/CSF1R/LY9/TICAM1/TRAF2/CD36/HLA-DPA1/HEG1/SEMA7A/FADD/CD74/MALT1/CHIA/IRF5/C5AR1/RIOK3/EPX/RGCC/MAPK11/DDX21/ANXA1/IL12RB2/IL6ST/HSPB1/TYROBP/POLR2L/ADAM17"
"BP","GO:0002237","response to molecule of bacterial origin",194,0.615383857045027,2.33712703100579,1e-10,6.70673076923077e-09,5.14574898785425e-09,1302,"tags=34%, list=11%, signal=31%","HAMP/LYN/TNFAIP3/CARD9/TNIP2/XBP1/IFNAR1/CXCL9/TRIB1/CXCL2/SELP/CEBPB/PRDX2/CASP1/IL36G/IL10/IRF8/CSF2RB/NFKB1/ANKRD1/PTAFR/PTGES/PTGER4/PTGIR/S100A14/TIRAP/TNFRSF1B/HCK/LTA/CXCL10/PYCARD/C4B/TGFB1/PLCG2/TLR1/F2R/CXCL8/UGT1A1/AKAP12/CD40/VCAM1/NOD2/JUN/ADAMTS13/BPI/B2M/SERPINE1/CCL3/DCN/MAPKAPK3/TFPI/RHOA/NFKB2/LBP/LTF/SBNO2/TICAM1/PRKCE/CD36/RPS6KA3/CD55/THBD/MALT1/SASH1/IRF5/C5AR1"
"BP","GO:0002250","adaptive immune response",218,0.599420069696931,2.33892866546854,1e-10,6.70673076923077e-09,5.14574898785425e-09,1220,"tags=38%, list=11%, signal=35%","EBI3/LYN/IRF1/SLAMF7/ADA/TNFAIP3/ARG2/TNFRSF14/CD84/RIPK3/IL4I1/HLA-A/RELB/SAMSN1/CTSL/BATF/C7/CTSS/PRKCQ/C3/IL10/WAS/PTK2B/TNFRSF1B/LTA/PTPN6/C5/BCL3/IL1R1/PYCARD/C4B/RNF19B/TGFB1/CD48/HLA-G/PRDM1/BTK/TFE3/TEC/TEC/SYK/PTPRC/CLEC4C/C1QC/C1QA/SERPING1/CRP/CD3D/HLA-DPB1/CLEC4M/CD40/INPP5D/CD226/NOD2/MCOLN1/TNFSF13B/B2M/CTSC/RFTN1/IL1RL1/EMP2/SLAMF6/C9/FUT7/STX7/CLEC10A/CD247/UNC93B1/NFKB2/TAP2/SASH3/C4BPA/CLU/ERAP1/PIK3CD/LY9/TRAF2/PRF1/HLA-DPA1/CD55/FADD/PIK3CG/CD74/MALT1"
"BP","GO:0002253","activation of immune response",296,0.543378249385119,2.17425471185337,1e-10,6.70673076923077e-09,5.14574898785425e-09,1381,"tags=34%, list=12%, signal=30%","ARPC2/ARPC3/MFAP4/CD38/PSME1/LYN/FFAR2/ADA/COLEC10/WIPF3/VAV1/CARD9/CFB/HLA-A/RELB/ARPC1B/PSMB8/IKBKB/CPN1/C7/PRKCQ/THEMIS2/C3/PSMF1/NFKB1/ARPC5/WAS/HCK/PTPN6/C5/FCGR1A/ACTR3/PYCARD/C4B/RAC1/PSME2/ACTG1/PLCG2/PIK3CB/BTK/CMKLR1/TEC/TEC/SYK/PTPRC/CLEC4C/PSMB7/C1QC/C1QA/SERPING1/CRP/CD3D/CD22/PSMA2/HLA-DPB1/CD300A/PROS1/INPP5D/CD226/ACTR2/NOD2/CFP/PSMB6/PSMB9/GRAP2/PRKCH/RPS3/ARPC4/CBFB/RFTN1/LCP2/CFHR1/CDC42/C9/CLEC10A/PSMA6/CD247/WIPF1/NCKAP1L/C4BPA/CLU/PIK3CD/CD276/TBK1/BCL2/PRKCE/BLNK/HLA-DPA1/CD55/HSP90AB1/MALT1/VAV3/CFH/C5AR1/LIMK1/PSMB2/BTN1A1/LGALS3/LCK/RGCC"
"BP","GO:0002263","cell activation involved in immune response",489,0.546311188300998,2.29502981546835,1e-10,6.70673076923077e-09,5.14574898785425e-09,1404,"tags=33%, list=12%, signal=31%","NKX2-3/GPR84/LYN/PTX3/TMEM179B/CYBA/ADA/IFI35/CD84/GLA/FGL2/PLAU/LTA4H/RELB/XBP1/APBB1IP/RHOF/OLFM4/PGLYRP2/RAC2/GMFG/HEXB/LYZ/HMOX1/BATF/CYBB/CXCR1/CTSS/SIGLEC14/C3/GLIPR1/IL10/CD63/PGLYRP1/S100A13/NFKB1/ATP6V1D/ITGB2/PRCP/CAP1/ITGAL/PTAFR/QPCT/ARPC5/DNASE1/PTGER4/PTK2B/TNFRSF1B/SDCBP/STOM/ANXA2/LCP1/PTPN6/BCL3/GCA/ATP6AP2/PYCARD/TIMP2/TRAPPC1/DOK3/RAC1/PGAM1/TGFB1/PLCG2/BTK/CSTB/SYK/MFNG/LAMTOR3/PTPRC/CLEC4C/CST3/PSMB7/MVP/CRISPLD2/SERPINB1/EEF1A1/PSMA2/RAP1B/PLEKHO2/MMP9/CD300A/CD40/RPS6/NEU1/PADI2/CCT2/CTSD/ACTR2/DOCK2/LAMP2/DYNLT1/PKM/BPI/CFP/DERA/RAB7A/B2M/LAMTOR1/TMBIM1/FTH1/GGH/PTPRN2/CTSC/ADAM8/RHOG/CANT1/SLAMF6/CCL3/PIGR/SERPINB6/GRN/PYGL/S100P/CPNE3/RHOA/RAB44/LAMP1/ALDOA/CLNK/GPI/PLAUR/NCKAP1L/GLB1/LGALS1/ATG7/LBP/LTF/PIK3CD/RNASET2/PNP/SBNO2/ORM1/ITGAM/CTSA/LY9/TICAM1/PRKCE/ADGRG3/CD36/TMEM30A/SIGLEC5/BRI3/CD55/PSAP/CCT8/HSP90AB1/PIK3CG/CD74/APRT/NME2/MALT1/RAP2B/ADGRE5/C5AR1/DNASE1L3/AGA/DEGS1/EPX/LGALS3/CD53/CTSB/GPR183"
"BP","GO:0002274","myeloid leukocyte activation",451,0.586199861089802,2.43358906849744,1e-10,6.70673076923077e-09,5.14574898785425e-09,1376,"tags=35%, list=12%, signal=32%","GPR84/HAMP/LYN/PTX3/TMEM179B/CYBA/IFI35/CD84/TNIP2/GLA/FGL2/PLAU/LTA4H/RELB/SPI1/RHOF/OLFM4/CEBPA/RAC2/GMFG/HEXB/LYZ/HMOX1/BATF/CYBB/CXCR1/CTSS/SIGLEC14/C3/GLIPR1/IL10/CD63/PGLYRP1/S100A13/NFKB1/ATP6V1D/ITGB2/PRCP/CAP1/ITGAL/PTAFR/QPCT/ARPC5/DNASE1/TNFRSF1B/SDCBP/STOM/ANXA2/PTPN6/GCA/ATP6AP2/PYCARD/TIMP2/TRAPPC1/DOK3/RAC1/PGAM1/BTK/TLR1/CSTB/SYK/LAMTOR3/PTPRC/CLEC4C/CST3/PSMB7/MVP/CXCL8/TMEM106A/C1QA/CRISPLD2/LRRK2/SERPINB1/EEF1A1/PSMA2/RAP1B/PLEKHO2/MMP9/CD300A/NEU1/PADI2/CCT2/CTSD/CD226/ACTR2/DOCK2/LAMP2/DYNLT1/PKM/BPI/CFP/DERA/RAB7A/B2M/LAMTOR1/TMBIM1/FTH1/GGH/PTPRN2/CTSC/LCP2/THBS1/IL1RL1/ADAM8/RHOG/CANT1/CCL3/PIGR/SERPINB6/GRN/AIF1/PYGL/S100P/CPNE3/RHOA/RAB44/LAMP1/ALDOA/CLNK/GPI/PLAUR/NCKAP1L/GLB1/CLU/ATG7/LBP/LTF/PIK3CD/RNASET2/PNP/SBNO2/ORM1/ITGAM/TLR7/CTSA/TICAM1/PRKCE/ADGRG3/CD36/TMEM30A/SIGLEC5/BRI3/CD55/PSAP/CCT8/HSP90AB1/PIK3CG/CD74/APRT/NME2/RAP2B/ADGRE5/C5AR1/DNASE1L3/AGA/DEGS1/EPX/LGALS3/CD53"
"BP","GO:0002275","myeloid cell activation involved in immune response",390,0.588301786871477,2.42963615054981,1e-10,6.70673076923077e-09,5.14574898785425e-09,1376,"tags=36%, list=12%, signal=32%","GPR84/LYN/PTX3/TMEM179B/CYBA/IFI35/CD84/GLA/FGL2/PLAU/LTA4H/RHOF/OLFM4/RAC2/GMFG/HEXB/LYZ/HMOX1/CYBB/CXCR1/CTSS/SIGLEC14/C3/GLIPR1/CD63/PGLYRP1/S100A13/NFKB1/ATP6V1D/ITGB2/PRCP/CAP1/ITGAL/PTAFR/QPCT/ARPC5/DNASE1/TNFRSF1B/SDCBP/STOM/ANXA2/PTPN6/GCA/ATP6AP2/PYCARD/TIMP2/TRAPPC1/DOK3/RAC1/PGAM1/BTK/CSTB/SYK/LAMTOR3/PTPRC/CLEC4C/CST3/PSMB7/MVP/CRISPLD2/SERPINB1/EEF1A1/PSMA2/RAP1B/PLEKHO2/MMP9/CD300A/NEU1/PADI2/CCT2/CTSD/ACTR2/DOCK2/LAMP2/DYNLT1/PKM/BPI/CFP/DERA/RAB7A/B2M/LAMTOR1/TMBIM1/FTH1/GGH/PTPRN2/CTSC/ADAM8/RHOG/CANT1/CCL3/PIGR/SERPINB6/GRN/PYGL/S100P/CPNE3/RHOA/RAB44/LAMP1/ALDOA/CLNK/GPI/PLAUR/NCKAP1L/GLB1/ATG7/LBP/LTF/PIK3CD/RNASET2/PNP/SBNO2/ORM1/ITGAM/CTSA/TICAM1/PRKCE/ADGRG3/CD36/TMEM30A/SIGLEC5/BRI3/CD55/PSAP/CCT8/HSP90AB1/PIK3CG/APRT/NME2/RAP2B/ADGRE5/C5AR1/DNASE1L3/AGA/DEGS1/EPX/LGALS3/CD53"
"BP","GO:0002283","neutrophil activation involved in immune response",353,0.579418873313462,2.37798880881752,1e-10,6.70673076923077e-09,5.14574898785425e-09,1376,"tags=35%, list=12%, signal=32%","GPR84/PTX3/TMEM179B/CYBA/GLA/FGL2/PLAU/LTA4H/RHOF/OLFM4/GMFG/HEXB/LYZ/CYBB/CXCR1/CTSS/SIGLEC14/C3/GLIPR1/CD63/PGLYRP1/NFKB1/ATP6V1D/ITGB2/PRCP/CAP1/ITGAL/PTAFR/QPCT/ARPC5/DNASE1/TNFRSF1B/SDCBP/STOM/ANXA2/PTPN6/GCA/ATP6AP2/PYCARD/TIMP2/TRAPPC1/DOK3/RAC1/PGAM1/CSTB/SYK/LAMTOR3/PTPRC/CLEC4C/CST3/PSMB7/MVP/CRISPLD2/SERPINB1/EEF1A1/PSMA2/RAP1B/PLEKHO2/MMP9/CD300A/NEU1/PADI2/CCT2/CTSD/ACTR2/DOCK2/LAMP2/DYNLT1/PKM/BPI/CFP/DERA/RAB7A/B2M/LAMTOR1/TMBIM1/FTH1/GGH/PTPRN2/CTSC/ADAM8/RHOG/CANT1/PIGR/SERPINB6/GRN/PYGL/S100P/CPNE3/RHOA/RAB44/LAMP1/ALDOA/GPI/PLAUR/NCKAP1L/GLB1/ATG7/LTF/RNASET2/PNP/ORM1/ITGAM/CTSA/ADGRG3/CD36/TMEM30A/SIGLEC5/BRI3/CD55/PSAP/CCT8/HSP90AB1/APRT/NME2/RAP2B/ADGRE5/C5AR1/DNASE1L3/AGA/DEGS1/EPX/LGALS3/CD53"
