"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",0.00383442113663561,"29974"
"A2M","LOC107395751",0.00262964145804186,"2"
"A2ML1","LOC107373335",-0.16446813857982,"144568"
"A2ML1","LOC107373536",-0.024519203735537,"144568"
"A2ML1","LOC107380767",1.38600425909349,"144568"
"A3GALT2","LOC107385260",-0.401571543280116,"127550"
"AAAS","aaas",-0.106028232699653,"8086"
"AACS","aacs",-0.5082423914465,"65985"
"AADAC","LOC107380045",0.0223518180095186,"13"
"AADAT","aadat",0.0148060175946969,"51166"
"AAGAB","aagab",-0.00736143338681163,"79719"
"AAK1","LOC107373159",-0.616375644380969,"22848"
"AAMDC","aamdc",2.39329792848046,"28971"
"AAMP","aamp",-1.24766793242862,"14"
"AANAT","LOC107382246",0.0484398983133178,"15"
"AAR2","aar2",0.111513525599125,"25980"
"AARS2","aars2",0.0189929629043206,"57505"
"AARSD1","aarsd1",-0.3841086851507,"80755"
"AASDH","aasdh",-0.734495931680178,"132949"
"AASDHPPT","aasdhppt",0.27330357436601,"60496"
"AASS","aass",0.036213988372085,"10157"
"AATF","aatf",-1.12184790977435,"26574"
"AATK","LOC107378275",-3.96054161375728e-06,"9625"
"AATK","aatk",0.406025916897355,"9625"
"ABAT","abat",0.0858057458719049,"18"
"ABCA1","LOC107372735",-1.0442767777972,"19"
"ABCA1","LOC107391047",0.799943045816438,"19"
"ABCA1","LOC107381037",1.46033128681793,"19"
"ABCA1","LOC107377411",2.68478372803024,"19"
"ABCA1","LOC107392625",-1.07280358945147,"19"
"ABCA12","LOC107376062",-1.13188765878484,"26154"
"ABCA12","abca12",-3.67887606533549,"26154"
"ABCA3","abca3",0.0381057883599273,"21"
"ABCA4","LOC107383559",-0.0142556119304098,"24"
"ABCA5","abca5",-0.574674610708882,"23461"
"ABCB1","abcb1",-0.294076975094948,"5243"
"ABCB10","abcb10",-0.679982351573946,"23456"
"ABCB11","abcb11",0.0165282069117355,"8647"
"ABCB6","abcb6",-0.770299312251526,"10058"
"ABCB7","abcb7",-0.0826937309573322,"22"
"ABCB8","LOC107383862",-0.0842407488344709,"11194"
"ABCB9","abcb9",-0.0056050421305669,"23457"
"ABCC1","LOC107391801",-0.524273580587298,"4363"
"ABCC1","LOC107373251",1.09219311488973,"4363"
"ABCC1","LOC107392837",0.807496571247085,"4363"
"ABCC10","abcc10",-0.660385260347556,"89845"
"ABCC12","LOC107381982",2.31094117936372,"94160"
"ABCC2","abcc2",-0.0811645842469425,"1244"
"ABCC3","LOC107388296",1.02562319092454,"8714"
"ABCC4","abcc4",-1.89291737314128,"10257"
"ABCC5","abcc5",1.20440518355149,"10057"
"ABCC8","abcc8",-0.102468766136213,"6833"
"ABCC9","LOC107387088",0.0189929629043206,"10060"
"ABCD1","LOC107391455",0.568899218713687,"215"
"ABCD2","abcd2",0.176717252546596,"225"
"ABCD3","LOC107395207",-0.727497945467475,"5825"
"ABCD3","abcd3",-0.367202383400048,"5825"
"ABCD4","abcd4",-0.266612828256002,"5826"
"ABCE1","abce1",-0.253573348532684,"6059"
"ABCF1","abcf1",-0.410516216068413,"23"
"ABCF2","abcf2",-1.4351531770567,"10061"
"ABCF3","abcf3",-0.763028811886126,"55324"
"ABCG2","LOC107388909",-1.70661616607442,"9429"
"ABCG2","LOC107376824",0.00895674842405591,"9429"
"ABCG5","abcg5",0.296920560877153,"64240"
"ABHD10","abhd10",-0.323466209783298,"55347"
"ABHD11","abhd11",-0.0565762704915052,"83451"
"ABHD12","LOC107375545",0.39715286283117,"26090"
"ABHD12","abhd12b",-0.28011021485403,"26090"
"ABHD12","LOC107376141",0.189558824254502,"26090"
"ABHD13","abhd13",-0.00813762296067231,"84945"
