"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"MF","GO:0003735","structural constituent of ribosome",142,0.823383524870052,2.44801304299537,1e-10,4.359375e-08,4.00855263157895e-08,1531,"tags=59%, list=13%, signal=52%","RPL3/RPL29/RPS7/RPL32/RPL35A/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/MRPS11/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/MRPL37/RPSA/RPL15/RPL13A/RPL18/RPS27A/RPS5/RPS20/RPS3A/RSL24D1/RPL18A/MRPS36/RPS26/RPS27/MRPL52/RPL24/MRPS23/RPS3/RPS4X/RPL9/MRPS7/RPL28/RPL13/RPL22L1/RPL7A/MRPL32/MRPL46/RPL5/MRPS18C/MRPL36/RPL10/MRPL55/RPL12"
"CC","GO:0005840","ribosome",192,0.77206013160168,2.36904093039211,1e-10,4.359375e-08,4.00855263157895e-08,1538,"tags=48%, list=13%, signal=42%","NR0B1/RPL3/RPL29/RPS7/BTF3/RPL32/RPL35A/RPL26/RPL23/EIF3H/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/MRPS11/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/MRPL37/RPSA/RPL15/RPL13A/RPL18/RPS27A/RPS5/RPS20/RPS3A/RSL24D1/RPL18A/MRPS36/RPS26/RPS27/MRPL52/RPL24/MRPS23/RPS3/RPS4X/RPL9/MRPS7/RPL28/RPL13/RPL22L1/RPL7A/EIF2AK2/MRPL32/GADD45GIP1/MRPL46/RPL5/MRPS18C/CHCHD1/MRPS28/MRPL36/RPL10/MRPL55/RPL12/EIF2AK4"
"BP","GO:0006413","translational initiation",170,0.747830141076983,2.27936131484074,1e-10,4.359375e-08,4.00855263157895e-08,1034,"tags=44%, list=9%, signal=40%","RPL3/EIF4A1/RPL29/RPS7/RPL32/RPL35A/RPL26/RPL23/EIF3H/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/EIF3K/RPLP2/RPL39/RPS6KB2/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/RPL13A/RPL18/RPS27A/EIF3F/EIF3I/RPS5/RPS20/HSPB1/RPS3A/RPL18A/RPS26/RPS27/EIF2AK3/RPL24/EIF4EBP1/RPS3/RPS4X/RPL9"
"BP","GO:0006605","protein targeting",363,0.575078814760769,1.89012058877332,1e-10,4.359375e-08,4.00855263157895e-08,1263,"tags=28%, list=11%, signal=25%","SREBF2/RPL3/CLU/RTP2/RPL29/RPS7/RPL32/RPL35A/RTP3/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/SPCS2/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/NACA2/RPL36/RPL27A/RPS29/RPL37/TOMM40L/RPL14/RPL10A/AQP11/TSPO/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/SEC61G/BAG3/CROT/HSPA8/CHCHD4/RPL13A/RPL18/UBB/RPS27A/GSTK1/RPS5/RPS20/NCF1/RPS3A/MON1A/RPL18A/RNF31/PEX14/HACL1/RPS26/RPS27/ITGAM/ROMO1/RPL24/SSR3/NCOA4/RPS3/VPS37B/RPS4X/RPL9/SPCS3/CAT/HSPA1L/SSR1/RPL28/RPL13/ZDHHC9/STOM/RPL7A"
"BP","GO:0006612","protein targeting to membrane",169,0.746671903258616,2.26819718797176,1e-10,4.359375e-08,4.00855263157895e-08,1263,"tags=47%, list=11%, signal=43%","RPL3/RTP2/RPL29/RPS7/RPL32/RPL35A/RTP3/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/NACA2/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/AQP11/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/SEC61G/RPL13A/RPL18/RPS27A/RPS5/RPS20/NCF1/RPS3A/RPL18A/RPS26/RPS27/ITGAM/RPL24/SSR3/RPS3/VPS37B/RPS4X/RPL9/SSR1/RPL28/RPL13/ZDHHC9/STOM/RPL7A"
"BP","GO:0006613","cotranslational protein targeting to membrane",94,0.848772717309747,2.41828389647968,1e-10,4.359375e-08,4.00855263157895e-08,1199,"tags=73%, list=11%, signal=66%","RPL3/RPL29/RPS7/RPL32/RPL35A/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/RPL13A/RPL18/RPS27A/RPS5/RPS20/RPS3A/RPL18A/RPS26/RPS27/RPL24/SSR3/RPS3/RPS4X/RPL9/SSR1/RPL28/RPL13"
"BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",89,0.85471617440117,2.41851598901012,1e-10,4.359375e-08,4.00855263157895e-08,1034,"tags=74%, list=9%, signal=68%","RPL3/RPL29/RPS7/RPL32/RPL35A/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/RPL13A/RPL18/RPS27A/RPS5/RPS20/RPS3A/RPL18A/RPS26/RPS27/RPL24/SSR3/RPS3/RPS4X/RPL9"
"CC","GO:0015934","large ribosomal subunit",97,0.797167428623616,2.2801163917777,1e-10,4.359375e-08,4.00855263157895e-08,1531,"tags=48%, list=13%, signal=42%","RPL3/RPL29/RPL32/RPL35A/RPL26/RPL23/RPL35/RPL11/RPLP2/RPL39/RPL34/RPL22/RPLP1/RPL7/RPL36/RPL27A/RPL37/RPL14/RPL10A/RPL36A/RPL8/RPL37A/RPL30/RPL27/RPL6/RPL21/RPL23A/RPL31/MRPL37/RPL15/RPL13A/RPL18/RSL24D1/RPL18A/MRPL52/RPL24/RPL9/RPL28/RPL13/RPL7A/MRPL32/MRPL46/RPL5/MRPL36/RPL10/MRPL55/RPL12"
"BP","GO:0019080","viral gene expression",179,0.720065394534071,2.18128160831263,1e-10,4.359375e-08,4.00855263157895e-08,1199,"tags=42%, list=11%, signal=39%","RPL3/POLR2A/CCL3/RPL29/RPS7/RPL32/RPL35A/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/NUP37/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/RPL36A/RPL8/RPL37A/RPL30/RPL27/TRIM21/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/RPL13A/RPL18/RPS27A/EIF3F/RPS5/RPS20/RPS3A/RPL18A/RPS26/RPS27/RPL24/RPS3/RPS4X/RPL9/SPCS3/POLR2D/SNW1/REST/RPL28/RPL13"
"BP","GO:0019083","viral transcription",162,0.739937626599312,2.23829888490858,1e-10,4.359375e-08,4.00855263157895e-08,1199,"tags=46%, list=11%, signal=41%","RPL3/POLR2A/CCL3/RPL29/RPS7/RPL32/RPL35A/RPL26/RPL23/RPS21/RPL35/RPL11/RPS17/RPS14/RPS8/RPLP2/RPL39/RPS28/RPL34/RPS11/RPS23/RPS10/RPS2/RPL22/RPS15/RPS25/NUP37/RPLP1/RPS18/RPL7/RPS6/RPS19/RPS24/RPL36/RPL27A/RPS29/RPL37/RPL14/RPL10A/RPL36A/RPL8/RPL37A/RPL30/RPL27/TRIM21/RPS12/RPS16/RPL6/RPL21/RPS15A/RPL23A/UBA52/RPL31/RPS13/RPSA/RPL15/RPL13A/RPL18/RPS27A/RPS5/RPS20/RPS3A/RPL18A/RPS26/RPS27/RPL24/RPS3/RPS4X/RPL9/POLR2D/SNW1/REST/RPL28/RPL13"
