"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",0.00379508994615833,"29974"
"A2M","LOC107395751",0.0443140937635662,"2"
"A2ML1","LOC107373335",0.649792779796177,"144568"
"A2ML1","LOC107380767",-0.283845211817209,"144568"
"A2ML1","LOC107373536",-0.00186538905693486,"144568"
"A3GALT2","LOC107385260",0.624430704006857,"127550"
"AAAS","aaas",-0.0295816742316061,"8086"
"AACS","aacs",0.00130947578695233,"65985"
"AADAC","LOC107380045",0.0188545783053929,"13"
"AADAT","aadat",6.0045991492155e-05,"51166"
"AAGAB","aagab",-0.0760329676597155,"79719"
"AAK1","LOC107373159",-0.0147871264195066,"22848"
"AAMDC","aamdc",0.0658071392672322,"28971"
"AAMP","aamp",0.456041777568005,"14"
"AANAT","LOC107382246",0.0119141185655266,"15"
"AAR2","aar2",0.0603958266154386,"25980"
"AARS2","aars2",0.00672860616432919,"57505"
"AARSD1","aarsd1",-0.0467596351685406,"80755"
"AASDH","aasdh",-1.57416017198055,"132949"
"AASDHPPT","aasdhppt",0.0381303673519318,"60496"
"AASS","aass",0.0146298623026328,"10157"
"AATF","aatf",-0.0729297101268184,"26574"
"AATK","LOC107378275",0.0363699722892235,"9625"
"AATK","aatk",-0.423864820385474,"9625"
"ABAT","abat",0.275518696190268,"18"
"ABCA1","LOC107372735",-0.00603965240959516,"19"
"ABCA1","LOC107391047",0.0131096994974555,"19"
"ABCA1","LOC107392625",-0.0842605316973873,"19"
"ABCA1","LOC107377411",-0.173822676723276,"19"
"ABCA1","LOC107381037",1.40326135814422,"19"
"ABCA12","LOC107376062",-0.838403789361711,"26154"
"ABCA12","abca12",1.42740491070409,"26154"
"ABCA3","abca3",-0.402693432711937,"21"
"ABCA4","LOC107383559",0.00940846528290215,"24"
"ABCA5","abca5",-0.335228705367684,"23461"
"ABCB1","abcb1",-1.04502655945266,"5243"
"ABCB10","abcb10",-0.0481704376461266,"23456"
"ABCB11","abcb11",0.0956671658112775,"8647"
"ABCB6","abcb6",-0.885454569351332,"10058"
"ABCB7","abcb7",-0.396427252277248,"22"
"ABCB8","LOC107383862",-0.827737009628335,"11194"
"ABCB9","abcb9",-0.418662262992142,"23457"
"ABCC1","LOC107391801",-0.99282513380841,"4363"
"ABCC1","LOC107373251",0.0428258615938605,"4363"
"ABCC1","LOC107392837",0.000711286538671564,"4363"
"ABCC10","abcc10",0.00011107019575796,"89845"
"ABCC12","LOC107381982",0.314075934841954,"94160"
"ABCC2","abcc2",-1.21733561836339,"1244"
"ABCC3","LOC107388296",-0.304630390690087,"8714"
"ABCC4","abcc4",-1.02739707261545,"10257"
"ABCC5","abcc5",0.00811824764537588,"10057"
"ABCC8","abcc8",-0.13624852542561,"6833"
"ABCC9","LOC107387088",-0.617563261536009,"10060"
"ABCD1","LOC107391455",-0.403323841598378,"215"
"ABCD2","abcd2",-0.609056463021834,"225"
"ABCD3","abcd3",-0.0563058970407828,"5825"
"ABCD3","LOC107395207",0.146196552381065,"5825"
"ABCD4","abcd4",-0.13293332643003,"5826"
"ABCE1","abce1",0.00977888946926546,"6059"
"ABCF1","abcf1",-0.786083591078944,"23"
"ABCF2","abcf2",-0.00235111655705691,"10061"
"ABCF3","abcf3",-0.0429733027145693,"55324"
"ABCG2","LOC107388909",1.09274504256304,"9429"
"ABCG2","LOC107376824",-0.00212786129749325,"9429"
"ABCG5","abcg5",-0.113860995968773,"64240"
"ABHD10","abhd10",-0.0616757929328725,"55347"
"ABHD11","abhd11",0.00534665235507105,"83451"
"ABHD12","LOC107376141",0.375032152372459,"26090"
"ABHD12","LOC107375545",-0.293858885492094,"26090"
"ABHD12","abhd12b",-7.5999237212605e-06,"26090"
"ABHD13","abhd13",-0.187708914436296,"84945"
"ABHD14A","abhd14a",-0.000382092885534801,"25864"
"ABHD14B","abhd14b",0.242087726345203,"84836"
"ABHD15","LOC107380403",0.606521126412689,"116236"
"ABHD16A","abhd16a",-0.435071106066185,"7920"
"ABHD17B","abhd17b",0.0949423722856092,"51104"
"ABHD17C","LOC107393262",-0.0535639336418136,"58489"
"ABHD17C","LOC107384127",-0.322099359760949,"58489"
"ABHD18","abhd18",-0.00368480292474141,"80167"
"ABHD2","LOC107376844",-0.00354048536689054,"11057"
"ABHD2","abhd2",-1.24615330280318,"11057"
"ABHD3","LOC107377588",-0.382274374956833,"171586"
"ABHD3","abhd3",-0.636582434966029,"171586"
"ABHD4","abhd4",-0.418015116916547,"63874"
"ABHD5","abhd5",0.382274374956832,"51099"
"ABHD5","LOC107383196",8.35848080213734e-05,"51099"
"ABHD8","LOC107396936",0.13624852542561,"79575"
"ABI1","LOC107390296",0.0449180203329265,"10006"
"ABI1","LOC107384312",0.333567712692264,"10006"
"ABI1","abi1",0.143038788485007,"10006"
"ABI1","LOC107389593",-0.11796655386757,"10006"
"ABI2","abi2",-0.167836462246496,"10152"
"ABI2","LOC107388106",-0.0990959213093017,"10152"
"ABI3BP","LOC107384590",0.244762669263993,"25890"
"ABL1","abl1",-0.311959796303144,"25"
"ABL2","abl2",0.00751266263339406,"27"
"ABLIM1","LOC107388069",0.0115460831416449,"3983"
"ABLIM1","ablim1",0.403323841598378,"3983"
"ABLIM2","ablim2",0.109320066715214,"84448"
"ABLIM3","LOC107386751",0.260298663521952,"22885"
"ABLIM3","LOC107373670",0.0185836132794868,"22885"
"ABLIM3","LOC107394056",0.00647783812877533,"22885"
"ABO","LOC107385470",0.0611252082702518,"28"
"ABO","LOC107381863",0.666812482833925,"28"
"ABR","abr",0.000439563443716066,"29"
"ABR","LOC107377344",0.302558174892871,"29"
"ABRACL","abracl",-0.127040283512821,"58527"
"ABT1","abt1",0.00305976636000317,"29777"
"ABTB1","abtb1",-0.000757885167815311,"80325"
"ABTB2","abtb2",0.0435661338589006,"25841"
"ABTB2","LOC107381557",0.0161629081297935,"25841"
"ACAA1","acaa1",-0.00603965240959516,"30"
"ACAA2","acaa2",0.00628100103627337,"10449"
"ACACA","acaca",-0.165756512307491,"31"
"ACACB","acacb",0.0589532136411877,"32"
"ACAD11","acad11",-0.0673507399907449,"84129"
"ACAD11","LOC107372609",-0.00708854639473195,"84129"
"ACAD11","LOC107374620",0.00372136976920998,"84129"
"ACAD8","acad8",-0.0607598425407669,"27034"
"ACAD9","acad9",-0.00953104934114272,"28976"
"ACADL","acadl",-0.325347840158496,"33"
"ACADM","acadm",0.0134061455237303,"34"
"ACADS","LOC107383304",0.104128043699904,"35"
"ACADS","acads",-0.0772969584843814,"35"
"ACADSB","acadsb",-0.130260081581147,"36"
"ACADVL","acadvl",-0.543246567966484,"37"
"ACADVL","LOC107393942",-0.0102212216646385,"37"
"ACAP2","acap2",-0.00398282186541468,"23527"
"ACAP2","acap1",0.00405929186374298,"23527"
"ACAP2","LOC107379876",-0.546369937231355,"23527"
"ACAP3","LOC107376598",0.0689166073183306,"116983"
"ACAP3","LOC107385549",-0.223911769796087,"116983"
"ACAP3","LOC107374920",0.000135916807753881,"116983"
"ACAT1","acat1",-1.13806908203813,"38"
"ACAT2","acat2",-0.485582803036314,"39"
"ACBD3","acbd3",-1.32208732295581,"64746"
"ACBD4","acbd4",0.247006960985198,"79777"
"ACBD5","LOC107384316",-0.353303427349684,"91452"
"ACBD5","acbd5",-0.0163293900195796,"91452"
"ACBD6","acbd6",-0.055440011883117,"84320"
"ACBD7","LOC107374258",0.861140172401279,"414149"
"ACCS","accs",0.0520582680238897,"84680"
"ACE","LOC107373083",0.0909008497898428,"1636"
"ACE","LOC107373324",0.376833660160086,"1636"
"ACE","LOC107374589",0.186960409466357,"1636"
"ACE","ace",-0.0577084936196273,"1636"
"ACE","LOC107374473",0.402693432711937,"1636"
"ACE2","ace2",-0.0779338489519287,"59272"
"ACER1","acer1",-0.0299370772134583,"125981"
"ACER2","acer2",1.87036834848074,"340485"
"ACER3","acer3",0.69995469893512,"55331"
"ACHE","ache",-0.00255624038642419,"43"
"ACHE","LOC107395693",-0.00305976636000315,"43"
"ACIN1","acin1",-0.492085593581329,"22985"
"ACIN1","LOC107377177",0.000995792969747454,"22985"
"ACKR3","ackr3",0.266411032467468,"57007"
"ACKR4","LOC107379530",0.147152650463716,"51554"
"ACKR4","LOC107383620",0.0133316804598,"51554"
"ACKR4","LOC107372710",0.353878891197521,"51554"
