"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0005743","mitochondrial inner membrane",363,-0.654207507012296,-2.19757708473893,1e-10,1.12683333333333e-07,9.69298245614035e-08,2050,"tags=49%, list=19%, signal=41%","HSPA9/NDUFAF4/SDHB/MRPS7/TIMM17A/MRPL22/DNAJC30/MRPL52/PTCD3/TMEM177/IMMP2L/SLC25A33/SLC25A11/UQCC2/MTCH1/MRPS33/APOO/NDUFS8/SFXN2/MRPL21/TIMM21/TIMM44/AIFM1/TIMM8A/NDUFAF5/FECH/MICU1/NOA1/MRPL54/CLU/NDUFS7/FDXR/MCUR1/NDUFA5/MRPL9/CHCHD6/TIMM50/SAMM50/DNAJC11/SFXN4/TIMM8B/MRPS34/TRAP1/NDUFV2/MRPL44/MCU/MRPS10/CHDH/ADCK1/PISD/MRPL3/PLA2G4A/SLC25A20/NDUFB9/HADHA/MPV17/SLC25A21/COX18/MRPS30/MRPL35/COX15/GCAT/AURKAIP1/MPC1/COX8A/COQ9/LYN/UQCRHL/COX10/UQCRC2/MRPL46/NDUFA6/COA3/NDUFS4/COX5A/NDUFB7/NDUFB8/PARL/MRPS25/ACAD9/MRPL55/CCDC51/MRPL48/CPT2/MRPL19/COX6B1/NDUFS1/LETM2/SLC25A37/MRPL10/TMEM65/UQCRC1/MRPL14/ENDOG/ATAD3A/MRPL1/MRPS14/UQCRFS1/MRPS15/AFG3L2/IMMP1L/MRPS6/MRPS18C/LDHD/CHCHD3/CKMT2/MRPL38/THEM4/AGK/ACAD11/TYMS/MRPL16/MRPL37/NNT/SDHAF4/ABCB10/MRPS21/MRPL2/SLC25A1/PMPCA/MRPL42/NDUFS2/NDUFAF6/FOXRED1/OPA1/MRPS2/MTG2/HSPD1/NDUFA9/SFXN1/MRPL47/MRPS31/SDHA/MRPL20/COQ6/PPOX/MRPS16/MRPL43/MRPL32/COX7A2/COQ2/MRPS23/OMA1/NDUFA10/MRPL12/MRPL18/SDHC/PHB/NDUFAF3/HADHB/NDUFB11/MRPS24/CYC1/MPV17L2/NDUFV3/MRPL4/NDUFA8/NDUFV1/SLC25A43/ABCB8/MRPL57/MRS2/FASTKD2/NDUFS3/TMEM70/MRPL51/MRPL11/MRPS9/NDUFAB1/SPG7/IMMT/MTG1/MRPL28/MTX2/GATM/MRPL13/GOT2"
"CC","GO:0005759","mitochondrial matrix",387,-0.643948182134044,-2.17814242475472,1e-10,1.12683333333333e-07,9.69298245614035e-08,1794,"tags=43%, list=17%, signal=37%","NDUFS8/SUPV3L1/MRPL21/TIMM44/ABCE1/NFS1/ELAC2/FECH/NUDT2/PYROXD2/ECI1/PCCB/ALDH2/PRDX3/MRPL54/PNPT1/AUH/DECR1/PTCD1/LRPPRC/NDUFS7/FDXR/MTRF1L/PDHA1/MRPL9/DBT/ALDH7A1/PYCR1/MRPS34/METTL15/TRAP1/MRPL44/MRPS10/PCK2/ALDH1L2/GLRX2/MRPL3/GFM1/ACAA2/HADHA/MRPS30/IDH3B/LARS2/MRPL35/SUCLG2/PDHB/NUDT9/LACTB2/MRPL46/SDHAF3/YARS2/PITRM1/DDX28/ACP6/ACAD8/NDUFB8/MALSU1/CDK1/DGUOK/MRPL55/ETFA/MRPL48/GFM2/FARS2/TBRG4/MRPL19/HADH/NDUFS1/SSBP1/MRPL10/MRPL14/ATAD3A/DLAT/GLRX5/MRPS14/DLST/EARS2/CS/MRPS15/DARS2/MRPS6/MRPS18C/MRPL38/GLS/THEM4/DLD/MCCC2/OGDH/TYMS/MRPL16/PCCA/MRPL37/SDHAF4/TRUB2/BCKDHB/ECHS1/TRIT1/HSD17B10/GLUD1/PIN4/MRPS21/ACSS2/MRPL2/FDX1/ME3/IDH3G/PMPCA/MRPL42/NDUFS2/MCCC1/NT5M/SUCLA2/TXN2/CLPP/MRPS2/MTG2/HSPD1/LYRM7/NDUFA9/MRPL47/MRPS31/ACSS3/FASTK/VDAC2/MRPL20/MRPS16/MRPL43/MRPL32/HIBADH/GADD45GIP1/FH/NDUFA10/MRPL12/MRPL18/RARS2/HADHB/MRPS24/ACAT1/TUFM/GSR/MPV17L2/LONP1/MRPL4/REXO2/MRPL57/FASTKD2/PDK3/NDUFS3/MDH2/MRPL51/AGXT2/MRPL11/MRPS9/TSFM/NDUFAB1/MTG1/ETNPPL/IARS2/MRPL28/NUDT1/MRPL13/NAGS/GOT2/MECR/ALAS1"
"CC","GO:0019866","organelle inner membrane",405,-0.630083749805633,-2.13330075559791,1e-10,1.12683333333333e-07,9.69298245614035e-08,2050,"tags=47%, list=19%, signal=39%","HSPA9/NDUFAF4/SDHB/MRPS7/TIMM17A/GHRHR/MRPL22/DNAJC30/MRPL52/PTCD3/TMEM177/IMMP2L/CBX3/SLC25A33/SLC25A11/UQCC2/MTCH1/MRPS33/APOO/NDUFS8/SFXN2/MRPL21/TIMM21/TIMM44/AIFM1/TIMM8A/NDUFAF5/FECH/MICU1/MFSD10/NOA1/MRPL54/LRPPRC/CLU/NDUFS7/FDXR/MCUR1/NDUFA5/MRPL9/CHCHD6/TIMM50/SAMM50/DNAJC11/SFXN4/LBR/TIMM8B/MRPS34/TRAP1/NDUFV2/MRPL44/MCU/MRPS10/CHDH/ADCK1/PISD/MRPL3/EMD/PLA2G4A/SLC25A20/NDUFB9/HADHA/MPV17/SLC25A21/COX18/MRPS30/MRPL35/COX15/GCAT/AURKAIP1/MPC1/COX8A/COQ9/LYN/UQCRHL/TOR1AIP1/COX10/UQCRC2/MRPL46/NDUFA6/COA3/NDUFS4/COX5A/NDUFB7/NDUFB8/PARL/MRPS25/ACAD9/MRPL55/CCDC51/MRPL48/ZMPSTE24/CPT2/MRPL19/COX6B1/NDUFS1/LETM2/SLC25A37/MRPL10/TMEM65/UQCRC1/MRPL14/ENDOG/ATAD3A/MRPL1/MRPS14/UQCRFS1/MRPS15/AFG3L2/IMMP1L/MRPS6/MRPS18C/LDHD/CHCHD3/CKMT2/MRPL38/THEM4/AGK/ACAD11/TYMS/MRPL16/MRPL37/NNT/SDHAF4/ABCB10/MRPS21/MRPL2/SLC25A1/PMPCA/MRPL42/NDUFS2/NDUFAF6/FOXRED1/NEMP1/OPA1/MRPS2/MTG2/HSPD1/NDUFA9/SFXN1/MRPL47/MRPS31/SDHA/MRPL20/COQ6/PPOX/MRPS16/MRPL43/MRPL32/LMNB2/COX7A2/TM7SF2/NUTF2/COQ2/MRPS23/OMA1/NDUFA10/MRPL12/MRPL18/SDHC/PHB/NDUFAF3/HADHB/NDUFB11/MRPS24/CYC1/MPV17L2/NDUFV3/MRPL4/NDUFA8/NDUFV1/SLC25A43/ABCB8/MRPL57/MRS2/FASTKD2/NDUFS3/TMEM70/MRPL51/MRPL11/MRPS9/NDUFAB1/SPG7/IMMT/MTG1/MRPL28/MTX2/GATM/MRPL13/GOT2"
"BP","GO:0032543","mitochondrial translation",123,-0.755184022235143,-2.2534938503411,1e-10,1.12683333333333e-07,9.69298245614035e-08,1539,"tags=54%, list=14%, signal=47%","LRPPRC/MTIF3/MTRF1L/MRPL9/MRPS34/MRPL44/MRPS10/MRPL3/GFM1/MRPS30/LARS2/MRPL35/AURKAIP1/MTIF2/MRPL46/COA3/YARS2/MALSU1/MRPS25/MRPL55/MRPL48/GFM2/MRPL19/MRPL10/MRPL14/MRPL1/MRPS14/EARS2/MRPS15/DARS2/MRPS6/MRPS18C/MRPL38/MRPL16/MRPL37/TRUB2/MRPS21/MRPL2/MRPL42/MRPS2/MTG2/MRPL47/MRPS31/MRPL20/MRPS16/MRPL43/MRPL32/MRPS23/GADD45GIP1/MRPL12/MRPL18/MTRF1/RARS2/MRPS24/TUFM/MPV17L2/MRPL4/MRPL57/FASTKD2/MRPL51/MRPL11/MRPS9/TSFM/MTG1/IARS2/MRPL28/MRPL13"
"CC","GO:0098798","mitochondrial protein-containing complex",198,-0.71392375759717,-2.27327949235795,1e-10,1.12683333333333e-07,9.69298245614035e-08,1524,"tags=64%, list=14%, signal=56%","TOMM40/MRPS12/NDUFA12/MRPL17/TIMM23/DAP3/NDUFA11/MTX3/NDUFB6/NDUFA3/MRPS35/MRPS5/MRPL41/HSPA9/SDHB/MRPS7/TIMM17A/MRPL22/MRPL52/IMMP2L/MRPS33/APOO/NDUFS8/SUPV3L1/MRPL21/TIMM21/MICU1/MRPL54/PNPT1/NDUFS7/PDHA1/NDUFA5/MRPL9/DBT/CHCHD6/TIMM50/SAMM50/DNAJC11/TIMM8B/MRPS34/TOMM22/NDUFV2/MRPL44/MCU/MRPS10/MRPL3/NDUFB9/HADHA/MRPS30/MRPL35/SUCLG2/PDHB/UQCRHL/UQCRC2/MRPL46/NDUFA6/NDUFS4/COX5A/NDUFB7/NDUFB8/MALSU1/MRPL55/MRPL48/MRPL19/NDUFS1/MRPL10/TOMM7/UQCRC1/MRPL14/DLAT/MRPS14/UQCRFS1/MRPS15/AFG3L2/IMMP1L/MRPS6/MRPS18C/CHCHD3/MRPL38/AGK/MCCC2/MRPL16/MRPL37/SDHAF4/BCKDHB/HSD17B10/MRPS21/MRPL2/MRPL42/NDUFS2/MCCC1/FOXRED1/MRPS2/NDUFA9/MRPL47/MRPS31/SDHA/MRPL20/MRPS16/MRPL43/MRPL32/NDUFA10/MRPL12/MRPL18/SDHC/PHB/NDUFB11/MRPS24/CYC1/MPV17L2/NDUFV3/MRPL4/NDUFA8/NDUFV1/MRPL57/NDUFS3/MRPL51/MRPL11/MRPS9/NDUFAB1/SPG7/IMMT/MRPL28/MFN1/MTX2/MRPL13"
"BP","GO:0140053","mitochondrial gene expression",150,-0.742221255944639,-2.29365613160785,1e-10,1.12683333333333e-07,9.69298245614035e-08,2297,"tags=65%, list=22%, signal=51%","MRPS12/METTL4/MRPL17/DAP3/TRMT10A/C1QBP/MRPS35/MRPS5/MRPL41/WARS2/TRMT5/MRPS7/MRPL22/MRPL52/PTCD3/TRMT61B/SLC25A33/UQCC2/MRPS33/SUPV3L1/MRPL21/ELAC2/NOA1/MRPL54/PNPT1/LRPPRC/MTIF3/MTRF1L/MRPL9/MRPS34/MRPL44/MRPS10/MRPL3/GFM1/MRPS30/LARS2/MRPL35/AURKAIP1/MTIF2/MRPL46/COA3/YARS2/MALSU1/MRPS25/MRPL55/MRPL48/GFM2/TBRG4/MRPL19/MTO1/MRPL10/MRPL14/MRPL1/MRPS14/EARS2/MRPS15/DARS2/MRPS6/MRPS18C/MRPL38/MRPL16/MRPL37/TRUB2/TRIT1/HSD17B10/MRPS21/MRPL2/MRPL42/MRPS2/MTG2/MRPL47/MRPS31/MRPL20/MRPS16/MRPL43/MRPL32/MRPS23/GADD45GIP1/MRPL12/MRPL18/MTRF1/RARS2/MRPS24/TUFM/PPARGC1B/MPV17L2/MRPL4/MRPL57/FASTKD2/MRPL51/MRPL11/MRPS9/TSFM/MTG1/IARS2/MRPL28/MRPL13"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",380,-0.536773885898602,-1.81036110480385,3.82996146927672e-10,3.69919564196856e-07,3.18203565680509e-07,2078,"tags=37%, list=19%, signal=31%","NIFK/RUVBL2/EXOSC4/ZNF622/MRPS7/RPP38/GTF2H5/NHP2/NUDT16/MRPL22/TRMT61B/EIF6/SNU13/SNRPC/RPF2/NOL6/EXOSC6/RIOK2/XPO1/NOM1/SMN1/DHX9/METTL16/PRMT5/NOL10/ABCE1/FBL/SRSF6/HEATR1/DDX39B/RRP1/EIF3A/NUDT21/NOP16/GEMIN2/HSP90AA1/NLE1/PWP2/REXO4/EIF2A/NIP7/NAT10/NOP9/WDR77/EIF4H/NOC2L/ZCCHC4/DHX29/METTL15/UTP18/FTSJ3/LAS1L/SRSF1/TRMT112/WDR12/NOP58/SNRPD1/NPM1/TSR1/EIF3J/URB2/EBNA1BP2/KRI1/NOL11/MPHOSPH10/NOP10/RRS1/EIF2S2/SNRPF/UTP20/RPS27/DDX52/HELQ/SNRPD2/SBDS/RPF1/DDX28/MALSU1/RRP9/EXOSC8/RPL7L1/PRPF31/MRPL10/LYAR/BMS1/NOL9/MRPL1/NOC4L/WDR55/NPM3/EIF4A3/ERI1/PELP1/PTGES3/SF3A2/DENR/PA2G4/BYSL/CRNKL1/ATR/EIF2D/RUVBL1/XRCC5/DDX51/DDX49/MAK16/WDR74/WDR46/PIN4/TEX10/RBMX/RRP36/SUV39H1/PUF60/MRPS2/MTG2/MTERF3/STRAP/MRPL20/PRPF19/SF3A3/PAK1IP1/HEATR3/FAM207A/UTP3/SRSF9/MPV17L2/PWP1/EIF5/PRPF8/FASTKD2/SNRNP200/NCBP1/EXOSC9/EXOSC2/DDX20/TARBP2/DDX47/SART1"
"BP","GO:0070125","mitochondrial translational elongation",83,-0.75889563560196,-2.17037504923847,4.47961905052953e-10,3.78583805007877e-07,3.25656516502311e-07,1404,"tags=57%, list=13%, signal=50%","MRPS34/MRPL44/MRPS10/MRPL3/GFM1/MRPS30/MRPL35/AURKAIP1/MRPL46/MRPS25/MRPL55/MRPL48/MRPL19/MRPL10/MRPL14/MRPL1/MRPS14/MRPS15/MRPS6/MRPS18C/MRPL38/MRPL16/MRPL37/MRPS21/MRPL2/MRPL42/MRPS2/MRPL47/MRPS31/MRPL20/MRPS16/MRPL43/MRPL32/MRPS23/GADD45GIP1/MRPL12/MRPL18/MRPS24/TUFM/MRPL4/MRPL57/MRPL51/MRPL11/MRPS9/TSFM/MRPL28/MRPL13"
"BP","GO:0070126","mitochondrial translational termination",84,-0.751797856416894,-2.16131817293674,5.8321760752185e-10,4.38126027161692e-07,3.76874535854763e-07,1511,"tags=57%, list=14%, signal=49%","MTRF1L/MRPL9/MRPS34/MRPL44/MRPS10/MRPL3/MRPS30/MRPL35/AURKAIP1/MRPL46/MRPS25/MRPL55/MRPL48/GFM2/MRPL19/MRPL10/MRPL14/MRPL1/MRPS14/MRPS15/MRPS6/MRPS18C/MRPL38/MRPL16/MRPL37/MRPS21/MRPL2/MRPL42/MRPS2/MRPL47/MRPS31/MRPL20/MRPS16/MRPL43/MRPL32/MRPS23/GADD45GIP1/MRPL12/MRPL18/MTRF1/MRPS24/MRPL4/MRPL57/MRPL51/MRPL11/MRPS9/MRPL28/MRPL13"
"CC","GO:0000313","organellar ribosome",79,-0.764828118941107,-2.15495026213931,8.34221933156486e-10,5.12743135461e-07,4.4105992159709e-07,1404,"tags=56%, list=13%, signal=49%","MRPS34/MRPL44/MRPS10/MRPL3/MRPS30/MRPL35/MRPL46/MALSU1/MRPL55/MRPL48/MRPL19/MRPL10/MRPL14/MRPS14/MRPS15/MRPS6/MRPS18C/MRPL38/MRPL16/MRPL37/MRPS21/MRPL2/MRPL42/MRPS2/MTG2/MRPL47/MRPS31/MRPL20/MRPS16/MRPL43/MRPL32/MRPL12/MRPL18/MRPS24/MPV17L2/MRPL4/MRPL57/MRPL51/MRPL11/MRPS9/NDUFAB1/MTG1/MRPL28/MRPL13"
