"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.00447536125513398,"29974"
"A2M","LOC107395751",-0.0873129852022383,"2"
"A2ML1","LOC107380767",0.0883318115265322,"144568"
"A2ML1","LOC107373335",-0.101704633003551,"144568"
"AAAS","aaas",-0.00292745759105228,"8086"
"AACS","aacs",-0.734108533750424,"65985"
"AADAC","LOC107380045",-0.103955977735979,"13"
"AADAT","aadat",0.0260992328455558,"51166"
"AAGAB","aagab",-0.145118677406254,"79719"
"AAK1","LOC107373159",0.0426078962475571,"22848"
"AAMDC","aamdc",0.199956423908076,"28971"
"AAMP","aamp",-0.188051691104605,"14"
"AAR2","aar2",-0.0212599432544129,"25980"
"AARS2","aars2",-0.00244480830566028,"57505"
"AARSD1","aarsd1",-0.113877879996923,"80755"
"AASDH","aasdh",-0.0369697054288648,"132949"
"AASDHPPT","aasdhppt",-0.000671484991672296,"60496"
"AASS","aass",-0.0258556264461525,"10157"
"AATF","aatf",-0.0223600497680725,"26574"
"AATK","LOC107378275",2.8840981411926,"9625"
"ABAT","abat",0.223381756836317,"18"
"ABCA1","LOC107391047",0.203447722210144,"19"
"ABCA1","LOC107381037",-0.186390514886418,"19"
"ABCA1","LOC107377411",0.0101699979549928,"19"
"ABCA12","LOC107376062",-0.20169702808577,"26154"
"ABCA3","abca3",0.125022806989888,"21"
"ABCA4","LOC107383559",-0.292159354006259,"24"
"ABCA5","abca5",-0.011498940697524,"23461"
"ABCB1","abcb1",1.05135572993501,"5243"
"ABCB10","abcb10",-0.634931500358893,"23456"
"ABCB11","abcb11",-0.368971327945956,"8647"
"ABCB6","abcb6",-0.181465458826404,"10058"
"ABCB7","abcb7",-0.139569303410788,"22"
"ABCB8","LOC107383862",-1.2561887609628,"11194"
"ABCB9","abcb9",0.000246138343581847,"23457"
"ABCC1","LOC107373251",-0.175033850605786,"4363"
"ABCC1","LOC107391801",-0.0265904585729765,"4363"
"ABCC10","abcc10",-0.0337567158551794,"89845"
"ABCC12","LOC107381982",0.004475361255134,"94160"
