"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",112,0.758177552004124,2.1158031825497,2.00722643475539e-10,6.9181524213812e-07,6.59184530766283e-07,1547,"tags=63%, list=14%, signal=55%","HELZ2/RPS2/RPL3/RPL8/RPL4/RPL29/RPS4X/RPS6/RPL7/RPS7/RPSA/RPL7A/RPL18/EIF3E/RPL18A/RPL13A/RPL21/RPL23/UPF3B/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/RPS5/RPS8/RPL26/RPL10A/RPL37A/PNRC2/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/RPL35A/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/RPS18/RPL36/RPS23/UPF1/RPL24/RPS16/RPL5/RPS20/UBA52/RPLP2/PPP2CA/RPS9/SMG6/RPL6/RPS15A/RPL34/RPS3A/PABPC1/NBAS"
"BP","GO:0030198","extracellular matrix organization",247,-0.617684762322833,-1.92158865709299,3.06973188347043e-10,6.9181524213812e-07,6.59184530766283e-07,1139,"tags=28%, list=11%, signal=26%","COL15A1/FOXF1/LOXL4/DDR2/LAMC1/GFOD2/RECK/COL23A1/ADAM8/THBS1/RGCC/COL6A1/LAMB1/MMP14/HSPG2/SOX9/RAMP2/LRP1/PXDN/ADAMTS9/ITGB3/PDGFB/JAM2/COL12A1/MFAP4/AEBP1/VWA1/JAM3/COL6A2/TIE1/COL17A1/QSOX1/ADAMTS15/HTRA1/FN1/BMP1/COL9A1/MMP2/BCL3/PECAM1/KDR/PDGFA/COL5A1/LOXL3/COL18A1/NOTCH1/ADAMTS8/POSTN/RUNX1/SPARC/COL16A1/ADAMTSL5/NID1/IHH/FBN2/SERPINH1/COL4A6/FBLN5/ADAMTS1/MIA/LUM/PRSS1/CTRB2/CTRB1/COL2A1/MFAP2/ELN/VIT/COL1A2/COL1A1"
"BP","GO:0043062","extracellular structure organization",247,-0.617684762322833,-1.92158865709299,3.06973188347043e-10,6.9181524213812e-07,6.59184530766283e-07,1139,"tags=28%, list=11%, signal=26%","COL15A1/FOXF1/LOXL4/DDR2/LAMC1/GFOD2/RECK/COL23A1/ADAM8/THBS1/RGCC/COL6A1/LAMB1/MMP14/HSPG2/SOX9/RAMP2/LRP1/PXDN/ADAMTS9/ITGB3/PDGFB/JAM2/COL12A1/MFAP4/AEBP1/VWA1/JAM3/COL6A2/TIE1/COL17A1/QSOX1/ADAMTS15/HTRA1/FN1/BMP1/COL9A1/MMP2/BCL3/PECAM1/KDR/PDGFA/COL5A1/LOXL3/COL18A1/NOTCH1/ADAMTS8/POSTN/RUNX1/SPARC/COL16A1/ADAMTSL5/NID1/IHH/FBN2/SERPINH1/COL4A6/FBLN5/ADAMTS1/MIA/LUM/PRSS1/CTRB2/CTRB1/COL2A1/MFAP2/ELN/VIT/COL1A2/COL1A1"
"BP","GO:0045229","external encapsulating structure organization",248,-0.617386544297796,-1.92438946769394,4.8244792962075e-10,8.15457613041472e-07,7.76995086652365e-07,1139,"tags=28%, list=11%, signal=26%","COL15A1/FOXF1/LOXL4/DDR2/LAMC1/GFOD2/RECK/COL23A1/ADAM8/THBS1/RGCC/COL6A1/LAMB1/MMP14/HSPG2/SOX9/RAMP2/LRP1/PXDN/ADAMTS9/ITGB3/PDGFB/JAM2/COL12A1/MFAP4/AEBP1/VWA1/JAM3/COL6A2/TIE1/COL17A1/QSOX1/ADAMTS15/HTRA1/FN1/BMP1/COL9A1/MMP2/BCL3/PECAM1/KDR/PDGFA/COL5A1/LOXL3/COL18A1/NOTCH1/ADAMTS8/POSTN/RUNX1/SPARC/COL16A1/ADAMTSL5/NID1/IHH/FBN2/SERPINH1/COL4A6/FBLN5/ADAMTS1/MIA/LUM/PRSS1/CTRB2/CTRB1/COL2A1/MFAP2/ELN/VIT/COL1A2/COL1A1"
"BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",89,0.77851581217265,2.10972510983212,6.07662641393814e-09,8.21681423692715e-06,7.82925340069503e-06,1549,"tags=72%, list=15%, signal=62%","RPS2/RPL3/RPL8/RPL4/RPL29/RPS4X/RPS6/RPL7/RPS7/RPSA/RPL7A/RPL18/RPL18A/RPL13A/RPL21/RPL23/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/SSR3/RPS5/RPS8/RPL26/RPL10A/RPL37A/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/RPL35A/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/RPS18/RPL36/RPS23/RPL24/RPS16/RPL5/RPS20/UBA52/RPLP2/RPS9/RPL6/RPS15A/RPL34/RPS3A/SRPRA"
"BP","GO:0006413","translational initiation",167,0.676496095888804,1.98121474201003,1.00670162893677e-08,1.13438495220692e-05,1.08087964370054e-05,1535,"tags=50%, list=14%, signal=43%","GLE1/RPS2/EIF3F/RPL3/RPL8/EIF3H/EIF1B/RPL4/EIF3G/IMPACT/RPL29/RPS4X/RPS6/RPL7/EIF4E3/RPS7/RPSA/RPL7A/RPL18/EIF3E/RPL18A/RPL13A/EIF3I/RPL21/RPL23/EIF4A1/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/RPS5/RPS8/RPL26/EIF3M/RPL10A/RPL37A/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/EIF3K/RPL35A/EIF3L/ATF4/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/EIF2S3/RPS18/EIF2S1/RPL36/RPS23/RPL24/EIF2AK3/EIF3B/RPS16/RPL5/EIF2AK1/RPS20/UBA52/RPLP2/RPS9/RPL6/HSPB1/RPS15A/RPL34/RPS3A/PABPC1"
"BP","GO:0006613","cotranslational protein targeting to membrane",94,0.758621600076973,2.07434015328723,1.39256634379941e-08,1.34502015006112e-05,1.28157985324096e-05,1549,"tags=68%, list=15%, signal=59%","RPS2/RPL3/RPL8/RPL4/RPL29/RPS4X/RPS6/RPL7/RPS7/RPSA/RPL7A/RPL18/RPL18A/RPL13A/RPL21/RPL23/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/SSR3/RPS5/RPS8/RPL26/RPL10A/RPL37A/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/RPL35A/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/RPS18/RPL36/RPS23/RPL24/RPS16/RPL5/RPS20/UBA52/RPLP2/RPS9/RPL6/RPS15A/RPL34/RPS3A/SRPRA"
"BP","GO:0072599","establishment of protein localization to endoplasmic reticulum",106,0.72999077448636,2.02151023381262,3.35054108870545e-08,2.83162603759219e-05,2.69806729774702e-05,1549,"tags=65%, list=15%, signal=56%","RPS2/RPL3/RPL8/RPL4/RPL29/RPS4X/RPS6/RPL7/SPCS3/RPS7/RPSA/RYR2/RPL7A/RPL18/RPL18A/RPL13A/RPL21/RPL23/MAN1A1/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/SSR3/RPS5/CHMP4B/RPS8/RPL26/RPL10A/RPL37A/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/RPL35A/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/RPS18/RPL36/RPS23/RPL24/RPS16/RPL5/HERPUD1/RPS20/UBA52/RPLP2/RPS9/RPL6/RPS15A/RPL34/RPS3A/SRPRA"
"BP","GO:0045047","protein targeting to ER",102,0.73424781232802,2.02197727495663,3.82597527345692e-08,2.87415764709358e-05,2.73859282731653e-05,1549,"tags=67%, list=15%, signal=58%","RPS2/RPL3/RPL8/RPL4/RPL29/RPS4X/RPS6/RPL7/SPCS3/RPS7/RPSA/RPL7A/RPL18/RPL18A/RPL13A/RPL21/RPL23/MAN1A1/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/SSR3/RPS5/CHMP4B/RPS8/RPL26/RPL10A/RPL37A/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/RPL35A/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/RPS18/RPL36/RPS23/RPL24/RPS16/RPL5/HERPUD1/RPS20/UBA52/RPLP2/RPS9/RPL6/RPS15A/RPL34/RPS3A/SRPRA"
"CC","GO:0022626","cytosolic ribosome",89,0.755948452314352,2.04856909345938,7.73560020361652e-08,5.23003929766513e-05,4.98335507854033e-05,1524,"tags=72%, list=14%, signal=62%","RPS2/RPL3/RPL8/RPL4/RPL29/RPS4X/RPS6/RPL7/RPS7/RPSA/RPL7A/RPL18/RPL18A/RSL24D1/RPL13A/RPL21/RPL23/RPS17/RPS13/RPL23A/RPL27A/RPL15/RPL9/RPS5/RPS8/RPL26/RPL10A/RPL37A/RPS25/RPL19/RPS28/RPS15/RPL27/RPL12/RPS12/RPL35A/RPL32/RPS27A/RPL22/RPS19/RPL10/RPL37/RPL28/RPS3/RPL13/RPL31/RPL30/RPL39/RPS24/RPS18/RPL36/RPS23/FXR2/RPL24/RPS16/RPL5/RPS20/UBA52/RPLP2/RPS9/RPL6/RPS15A/RPL34/RPS3A"
