"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",0.34315812960698,"29974"
"A2M","LOC107395751",-0.0363838586923276,"2"
"A2ML1","LOC107373335",-0.00564787210310353,"144568"
"A2ML1","LOC107380767",0.00515359491288179,"144568"
"AAAS","aaas",-0.00970960310964198,"8086"
"AACS","aacs",0.286657043608576,"65985"
"AADAC","LOC107380045",-1.2106892464913,"13"
"AADAT","aadat",-0.698237765762287,"51166"
"AAGAB","aagab",-0.0704631305119773,"79719"
"AAK1","LOC107373159",-0.0869544823415703,"22848"
"AAMDC","aamdc",0.369717864567496,"28971"
"AAMP","aamp",0.00021894003446472,"14"
"AAR2","aar2",-0.00395528684563694,"25980"
"AARS2","aars2",0.0567116261568784,"57505"
"AARSD1","aarsd1",-0.031450377434778,"80755"
"AASDH","aasdh",-0.00135641512279165,"132949"
"AASDHPPT","aasdhppt",0.633610306972773,"60496"
"AASS","aass",-0.12364500958892,"10157"
"AATF","aatf",-0.348360661051028,"26574"
"AATK","LOC107378275",1.34093633273535,"9625"
"ABAT","abat",-0.00182488549466044,"18"
"ABCA1","LOC107377411",0.00993927627367451,"19"
"ABCA1","LOC107391047",-0.0857038699066074,"19"
"ABCA1","LOC107381037",-0.0920718788215896,"19"
"ABCA12","LOC107376062",-1.22377118653165,"26154"
"ABCA3","abca3",0.0253266443294799,"21"
"ABCA4","LOC107383559",0.0211923203116127,"24"
"ABCA5","abca5",-0.0796205751336482,"23461"
"ABCB1","abcb1",1.27178904712463,"5243"
"ABCB10","abcb10",-0.22812456983846,"23456"
"ABCB11","abcb11",-2.01525487317243,"8647"
"ABCB6","abcb6",-1.69215410030965,"10058"
"ABCB7","abcb7",-0.169693248980151,"22"
"ABCB8","LOC107383862",-0.109039695527135,"11194"
"ABCB9","abcb9",-0.0257240153272273,"23457"
"ABCC1","LOC107373251",-0.2090858019715,"4363"
"ABCC1","LOC107391801",0.0191162870054043,"4363"
"ABCC10","abcc10",-0.0570331587438253,"89845"
"ABCC12","LOC107381982",-0.0772655006633982,"94160"
"ABCC2","abcc2",-0.2090858019715,"1244"
"ABCC3","LOC107388296",-0.257535313904513,"8714"
"ABCC4","abcc4",0.66286809198838,"10257"
"ABCC5","abcc5",-1.09057509220268,"10057"
"ABCC8","abcc8",0.180204724222616,"6833"
"ABCD1","LOC107391455",1.2003028532495,"215"
"ABCD2","abcd2",-0.155909911635516,"225"
"ABCD3","LOC107395207",-0.10101700247374,"5825"
"ABCD3","abcd3",-0.194641629041167,"5825"
"ABCD4","abcd4",-0.0723135212807265,"5826"
"ABCE1","abce1",-0.116952035622748,"6059"
"ABCF1","abcf1",-0.0144581056348624,"23"
"ABCF2","abcf2",-0.104273155401348,"10061"
"ABCF3","abcf3",0.00903859245266664,"55324"
"ABCG2","LOC107376824",0.204680188543816,"9429"
"ABCG2","LOC107388909",-0.00431126151311153,"9429"
"ABCG4","LOC107373509",0.442411039354423,"64137"
"ABCG5","abcg5",-0.201777734572043,"64240"
"ABCG8","abcg8",-0.154694608086475,"64241"
"ABHD10","abhd10",-0.0942589694783702,"55347"
"ABHD12","abhd12b",-0.218085949294661,"26090"
"ABHD12","LOC107376141",-0.00643619596374145,"26090"
"ABHD12","LOC107375545",0.228124569838461,"26090"
"ABHD13","abhd13",-0.37190233067852,"84945"
"ABHD14A","abhd14a",0.00431126151311153,"25864"
"ABHD14B","abhd14b",-1.17973935575608,"84836"
"ABHD15","LOC107380403",-0.146360317987157,"116236"
"ABHD16A","abhd16a",-0.148710860561909,"7920"
"ABHD17B","abhd17b",0.00316824115652639,"51104"
"ABHD17C","LOC107393262",-0.139454109829468,"58489"
"ABHD17C","LOC107384127",0.105688852905102,"58489"
"ABHD18","abhd18",0.00590435431157862,"80167"
"ABHD2","abhd2",-0.184935337361238,"11057"
"ABHD2","LOC107376844",-0.145776489716695,"11057"
"ABHD3","LOC107377588",-0.11949792975266,"171586"
"ABHD4","abhd4",0.43802398790109,"63874"
"ABHD5","LOC107383196",-0.00808216935659272,"51099"
"ABHD5","abhd5",-0.107116752431804,"51099"
"ABI1","abi1",-0.00177925877117838,"10006"
"ABI1","LOC107390296",-0.009595895732469,"10006"
"ABI1","LOC107384312",0.0633567883971819,"10006"
"ABI2","abi2",-0.395385028491721,"10152"
"ABI2","LOC107388106",0.0808147740738838,"10152"
"ABI3BP","LOC107384590",0.132763057750837,"25890"
"ABL1","abl1",-0.175554709816825,"25"
"ABL2","abl2",0.0982781185607267,"27"
"ABLIM1","ablim1",-1.2908587589447,"3983"
"ABLIM3","LOC107386751",0.667838636774935,"22885"
"ABO","LOC107381863",0.411603400206648,"28"
"ABO","LOC107385470",-0.570484024590172,"28"
"ABR","abr",0.020138770362123,"29"
"ABR","LOC107377344",0.00102706519828787,"29"
"ABRACL","abracl",-1.59887374754397,"58527"
"ABT1","abt1",0.0366295538082354,"29777"
"ABTB1","abtb1",-0.00191797922758163,"80325"
"ABTB2","abtb2",0.0715697790301106,"25841"
"ACAA1","acaa1",0.0307803311194271,"30"
"ACAA2","acaa2",-0.0697313193470379,"10449"
"ACACA","acaca",-0.26267333582722,"31"
"ACACB","acacb",-0.2884906895966,"32"
"ACAD11","LOC107372609",-0.724337289247691,"84129"
"ACAD11","acad11",-0.260953021273293,"84129"
"ACAD11","LOC107374620",-0.308230443288801,"84129"
"ACAD8","acad8",0.000162193992189771,"27034"
"ACAD9","acad9",-0.0344537987818572,"28976"
"ACADL","acadl",-0.00767614891345401,"33"
"ACADM","acadm",0.00298611874590144,"34"
"ACADS","LOC107383304",0.0444692481480492,"35"
"ACADS","acads",-0.361069118694019,"35"
"ACADSB","acadsb",-0.155301482629768,"36"
"ACADVL","acadvl",-0.0239643475372681,"37"
"ACADVL","LOC107393942",-0.0134772745883959,"37"
"ACAP2","LOC107379876",0.132763057750837,"23527"
"ACAP2","acap1",0.0554366400633971,"23527"
"ACAP2","acap2",1.33248477191434,"23527"
"ACAP3","LOC107374920",-0.281203802358275,"116983"
"ACAP3","LOC107376598",0.00156027365103978,"116983"
"ACAT1","acat1",-4.08353001069532e-06,"38"
"ACAT2","acat2",-8.36163278421549e-05,"39"
"ACBD3","acbd3",0.213554209554083,"64746"
"ACBD4","acbd4",-0.068281919972045,"79777"
"ACBD5","acbd5",-0.0136149907096753,"91452"
"ACBD6","acbd6",0.240899679668599,"84320"
"ACBD7","LOC107374258",-0.016538981252628,"414149"
"ACCS","accs",2.29515802788814e-06,"84680"
"ACE","ace",0.00026721390135276,"1636"
"ACE","LOC107373324",0.445431709274791,"1636"
"ACE","LOC107374473",0.303449251467827,"1636"
"ACE","LOC107373083",1.1344765361567,"1636"
"ACE2","ace2",0.0215504660223315,"59272"
"ACER2","acer2",0.068281919972045,"340485"
"ACER3","acer3",-0.86181963905299,"55331"
"ACHE","LOC107395693",-0.135525092350067,"43"
"ACHE","ache",-0.0551206705487873,"43"
"ACIN1","LOC107377177",0.428282630524684,"22985"
"ACIN1","acin1",0.223453746786233,"22985"
"ACKR3","ackr3",-0.464337525346182,"57007"
"ACKR4","LOC107379530",0.402279897132554,"51554"
"ACKR4","LOC107372710",1.16956141254823,"51554"
"ACLY","LOC107387857",0.0606442094099269,"47"
"ACLY","acly",0.105215600697868,"47"
"ACMSD","acmsd",-0.681226859089338,"130013"
"ACO1","aco1",-0.00531559859267207,"48"
"ACO2","aco2",-0.045865892403377,"50"
"ACO2","LOC107376317",0.0328162975034422,"50"
"ACOT1","LOC107380820",0.128957798390255,"641371"
"ACOT1","LOC107395266",0.120011342734724,"641371"
"ACOT11","LOC107384368",0.100098721552491,"26027"
"ACOT11","acot11",-0.385198183737554,"26027"
"ACOT13","acot13",0.152883288573171,"55856"
"ACOT8","acot8",-0.271390377699923,"10005"
"ACOT9","acot9",-0.0204864850857208,"23597"
"ACOX1","acox1",-0.00231508618043984,"51"
"ACOX3","acox3",-0.0882165361130026,"8310"
"ACP1","acp1",-0.0951429269487948,"52"
"ACP2","acp2",-0.0916383537848011,"53"
"ACP5","acp5",0.000661701170327717,"54"
"ACP6","acp6",-0.0417539912270634,"51205"
"ACP7","acp7",0.31015729110284,"390928"
"ACSBG2","LOC107394339",-0.00071682242092828,"81616"
"ACSBG2","acsbg2",-0.0804154684044179,"81616"
"ACSF2","LOC107393615",-0.0563912098081057,"80221"
"ACSF2","LOC107387470",0.0189488697118264,"80221"
"ACSF3","acsf3",-0.000608865012277341,"197322"
"ACSL1","acsl1",-0.00032042345003655,"2180"
