"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",134,-0.74223698749807,-2.07248479665172,1e-10,3.71055555555556e-08,3.18245614035088e-08,1601,"tags=47%, list=15%, signal=40%","CHMP1A/PSMG2/SEH1L/CENPF/DLGAP5/NCAPH/CDC16/SMC5/BUB1B/PLK1/CHMP7/KATNB1/GEN1/CCNB1/KIF22/EML4/REC8/KIF4A/BUB3/UBE2C/DSN1/ATM/MAD1L1/NCAPH2/NUMA1/MAD2L1/DSCC1/CDCA8/NDC80/CDT1/XRCC3/TACC3/MIS12/SLF1/TRIP13/RAD21/KIF2C/TTK/ESPL1/NCAPD3/SPAG5/SPDL1/NUSAP1/AURKB/SMC2/PRC1/NCAPD2/CHMP2B/RB1/KIF23/CDC6/CENPK/NCAPG/RACGAP1/KNTC1/NUF2/MAD2L1BP/NCAPG2/INCENP/ZW10/KNSTRN/TUBG1/SMC4"
"CC","GO:0000228","nuclear chromosome",175,-0.689841781747267,-1.98558072038302,1e-10,3.71055555555556e-08,3.18245614035088e-08,1463,"tags=46%, list=14%, signal=41%","POLD2/TOPBP1/RPA2/KIFAP3/SMC3/HMGA2/POLD3/MLH3/BUB1B/PLK1/BRD8/ETAA1/SFR1/CCNB1/SWI5/MCM10/SLX1B/SMARCAL1/MLH1/POLA1/REC8/PRIM2/BRCA1/MORF4L1/ACTR8/PCNA/RPA1/SYCP3/RAD9A/GINS1/BLM/DSN1/RAD1/ORC3/TERF2IP/TIPIN/PRPF19/BRCA2/ORC1/TEX11/GINS3/ORC4/TIMELESS/LRWD1/NDC80/PMF1/ORC2/MIS12/RAD21/POLE/TONSL/RAD51/MCM5/FIGNL1/POLA2/MCM2/SYN1/POLD1/BIRC5/MCM7/POLE2/CHEK1/WDHD1/SMC2/GINS4/RAD50/MCM4/PRIM1/TOP2A/CENPT/NCAPD2/ORC5/MCM3/SUV39H1/CENPK/MCM6/MMS22L/NUF2/INCENP/TUBG1/HEY2"
"BP","GO:0000280","nuclear division",300,-0.676194996009261,-2.04101540146978,1e-10,3.71055555555556e-08,3.18245614035088e-08,1358,"tags=35%, list=13%, signal=32%","MLH3/CDC16/SMC5/RHOA/BUB1B/PLK1/CHMP7/TPX2/VRK1/SPICE1/KATNB1/CAV2/GEN1/CCNB1/NDE1/KIF22/MLH1/EML4/MSH3/REC8/CCNB2/CDK1/PSMC3IP/KIF4A/BUB3/SYCP3/UBE2C/PPP1R9B/DSN1/PDXP/RAD54L/TDRKH/CHEK2/MKI67/ATM/RAD1/MAD1L1/NCAPH2/KIF20B/NUMA1/MYBL2/BRCA2/CCNE2/TEX11/MAD2L1/SLC2A8/RMI1/DSCC1/MISP/CDCA8/PKMYT1/NDC80/CDT1/XRCC3/CCDC61/TACC3/MIS12/SLF1/TRIP13/RAD21/FANCA/KIF2C/TTK/RAD51/ESPL1/NCAPD3/SPAG5/SPDL1/RAD54B/FIGNL1/NUSAP1/BRIP1/CCNE1/FANCD2/KIF11/AURKB/CHEK1/SMC2/RAD50/PRC1/TOP2A/NCAPD2/CHMP2B/RB1/KIF23/CDC6/EME1/CENPK/NCAPG/RACGAP1/RAD51AP1/MTBP/KNTC1/RAD51D/MND1/NUF2/SMPD3/ANLN/MAD2L1BP/NCAPG2/INCENP/ZW10/KNSTRN/TUBG1/WEE2/SMC4"
"CC","GO:0000775","chromosome, centromeric region",158,-0.707316156373612,-2.01655694256837,1e-10,3.71055555555556e-08,3.18245614035088e-08,1346,"tags=44%, list=13%, signal=39%","CENPO/SEH1L/UHRF2/CENPF/SMC3/SMC5/RCC2/BUB1B/PLK1/CENPL/CFDP1/CCNB1/PPP2R5C/NDE1/KIF22/SKA2/CENPW/REC8/BUB3/CENPU/SYCP3/DNMT3A/DSN1/MAD1L1/SPC25/MAD2L1/DCTN4/PSEN2/DSCC1/MIS18A/CDCA8/CBX5/CENPQ/LRWD1/NDC80/PMF1/CDT1/ORC2/MIS12/UVRAG/RAD21/KIF2C/TTK/SPC24/NCAPD3/SPAG5/SPDL1/CBX1/BIRC5/CENPI/ZWILCH/AURKB/CENPH/TOP2A/CENPT/NCAPD2/HELLS/CENPN/SUV39H1/ERCC6L/CENPK/NCAPG/MTBP/KNTC1/ESCO2/NUF2/INCENP/ZW10/KNSTRN/SMC4"
"CC","GO:0000793","condensed chromosome",155,-0.70361061978111,-1.99898468806706,1e-10,3.71055555555556e-08,3.18245614035088e-08,1601,"tags=45%, list=15%, signal=39%","CHMP1A/NUP85/CENPO/SEH1L/CENPF/TOPBP1/KIFAP3/SMC3/MLH3/SMC5/BUB1B/PLK1/CFDP1/CCNB1/NDE1/SKA2/MLH1/CENPW/REC8/BRCA1/BUB3/CENPU/SYCP3/RAD9A/BLM/DSN1/MKI67/RAD1/MAD1L1/NCAPH2/BRCA2/SPC25/TEX11/MAD2L1/LRWD1/NDC80/PMF1/CDT1/ORC2/MIS12/RAD21/KIF2C/RAD51/SPC24/NCAPD3/SPAG5/SPDL1/SYN1/BIRC5/ZWILCH/FANCD2/AURKB/CHEK1/SMC2/CENPH/RAD50/TOP2A/CENPT/NCAPD2/CENPN/SUV39H1/ERCC6L/CENPK/NCAPG/KNTC1/NUF2/INCENP/ZW10/KNSTRN/TUBG1"
"BP","GO:0000819","sister chromatid segregation",156,-0.738138149808771,-2.09832617572191,1e-10,3.71055555555556e-08,3.18245614035088e-08,1564,"tags=45%, list=15%, signal=39%","CHMP1A/PSMG2/SEH1L/CENPF/DLGAP5/NCAPH/SMC3/CDC16/SMC5/BUB1B/RMI2/PLK1/CHMP7/KATNB1/MCMBP/GEN1/CCNB1/KIF22/EML4/REC8/FEN1/KIF4A/BUB3/UBE2C/DSN1/ATM/MAD1L1/NCAPH2/NUMA1/MAD2L1/DSCC1/CDCA8/NDC80/CDT1/XRCC3/TACC3/MIS12/SLF1/TRIP13/RAD21/KIF2C/TTK/ESPL1/NCAPD3/SPAG5/SPDL1/DDX11/NUSAP1/AURKB/SMC2/PRC1/TOP2A/NCAPD2/CHMP2B/RB1/KIF23/CDC6/CENPK/NCAPG/RACGAP1/KNTC1/ESCO2/NUF2/MAD2L1BP/NCAPG2/INCENP/ZW10/KNSTRN/TUBG1/SMC4"
"BP","GO:0006260","DNA replication",223,-0.701331879145648,-2.06156928476525,1e-10,3.71055555555556e-08,3.18245614035088e-08,1495,"tags=49%, list=14%, signal=43%","TERF2/ING4/POLD2/TOPBP1/RPA2/WRN/DBF4/SMC3/POLD3/RMI2/ETAA1/ATRIP/RFC3/E2F8/MCMBP/POLG/GEN1/NT5M/ATR/MCM10/SMARCAL1/MSH3/POLA1/FEN1/CDK1/CDC7/PRIM2/BRCA1/PCNA/RPA1/RAD9A/GINS1/RAD17/BLM/RFWD3/CHEK2/TICRR/ATM/RAD1/ORC3/TIPIN/EGFR/SSRP1/BRCA2/TBRG1/CCNE2/ORC1/RRM2/RMI1/RFC5/DSCC1/GINS3/ORC4/E2F7/CHTF18/TIMELESS/LRWD1/POLQ/CDT1/ORC2/KIN/RBBP8/ATAD5/WRNIP1/GMNN/BARD1/CCNA2/POLE/TONSL/RAD51/MCM5/NASP/CHAF1A/TERF1/POLA2/MCM2/RFC4/CDK2/DDX11/POLD1/MCM7/BRIP1/EXO1/SUPT16H/CCNE1/CDC45/POLE2/CHEK1/WDHD1/RFC1/LIG1/GINS4/RAD50/MCM4/PRIM1/MGME1/TRAIP/ORC5/CHAF1B/MCM3/CDC6/HMGA1/EME1/DONSON/MCM6/RRM1/MCM9/MMS22L/ESCO2/DNA2"
"BP","GO:0006261","DNA-dependent DNA replication",134,-0.758283243947618,-2.11728938480214,1e-10,3.71055555555556e-08,3.18245614035088e-08,1495,"tags=58%, list=14%, signal=51%","TERF2/POLD2/TOPBP1/RPA2/WRN/DBF4/POLD3/ETAA1/RFC3/E2F8/MCMBP/POLG/GEN1/ATR/MCM10/SMARCAL1/MSH3/POLA1/FEN1/CDC7/PRIM2/PCNA/RPA1/GINS1/BLM/RFWD3/CHEK2/TICRR/ORC3/TIPIN/BRCA2/CCNE2/ORC1/RFC5/DSCC1/GINS3/ORC4/E2F7/CHTF18/TIMELESS/LRWD1/POLQ/CDT1/ORC2/WRNIP1/GMNN/POLE/TONSL/RAD51/MCM5/TERF1/POLA2/MCM2/RFC4/DDX11/POLD1/MCM7/CCNE1/CDC45/POLE2/WDHD1/RFC1/LIG1/GINS4/MCM4/PRIM1/MGME1/TRAIP/ORC5/MCM3/CDC6/HMGA1/EME1/DONSON/MCM6/MCM9/MMS22L/DNA2"
"BP","GO:0006281","DNA repair",442,-0.60319545093641,-1.86669495977339,1e-10,3.71055555555556e-08,3.18245614035088e-08,1643,"tags=34%, list=16%, signal=30%","SLF2/GTF2H4/NUCKS1/EYA2/RNF168/ASF1A/OGG1/GTF2H2/MUS81/GPS1/TERF2/POLD2/TOPBP1/RPA2/WRN/SMC3/HMGA2/UBE2T/POLD3/FANCL/MLH3/UNG/SMC5/WDR48/RMI2/ETAA1/CDKN2D/SFR1/ATRIP/RFC3/FANCE/PMS1/NABP1/POLG/GEN1/SWI5/ATR/ATXN3/SLX1B/KIF22/SMARCAL1/MLH1/DCLRE1A/MSH3/POLA1/NTHL1/REC8/FEN1/COPS4/CDK1/CDC7/BRCA1/MORF4L1/ACTR8/PCNA/RPA1/AP5Z1/CUL4A/KDM2A/RAD9A/CHD1L/RAD52/RAD17/BLM/RAD54L/RFWD3/CHEK2/TICRR/ATM/RAD1/TERF2IP/EGFR/PRPF19/SSRP1/BRCA2/RMI1/RFC5/FAAP100/TDG/TDP1/DCLRE1B/TIMELESS/POLQ/XRCC3/KIN/RBBP8/UVRAG/SLF1/XRCC2/TRIP13/WRNIP1/RAD21/FANCA/BARD1/POLE/TONSL/RAD51/MCM5/XRCC5/CHAF1A/UHRF1/RAD54B/FIGNL1/MCM2/PARP1/RFC4/CDK2/MSH6/FANCB/DDX11/ANKLE1/POLD1/MUTYH/MCM7/SPRTN/BRIP1/EXO1/SUPT16H/FANCD2/CDC45/POLE2/CHEK1/WDHD1/RFC1/LIG1/GINS4/RAD50/MCM4/MGME1/TRAIP/CHAF1B/MCM3/DEK/EME1/STUB1/RAD51AP1/XRCC6/MSH2/RAD51D/MCM6/NEIL3/MCM9/MMS22L/ESCO2/MEN1/FGF10/PMS2/DNA2/PARP3/FANCI"
"BP","GO:0007059","chromosome segregation",249,-0.704148274774057,-2.10394225467715,1e-10,3.71055555555556e-08,3.18245614035088e-08,1564,"tags=40%, list=15%, signal=35%","PSMG2/SEH1L/MUS81/CENPF/DLGAP5/NCAPH/ECT2/SMC3/MLH3/CDC16/SMC5/RCC2/BUB1B/RMI2/PLK1/CHMP7/SPICE1/KATNB1/MCMBP/GEN1/CCNB1/NDE1/KIF22/SKA2/MLH1/EML4/CENPW/ARL8B/REC8/FEN1/BRCA1/KIF4A/BUB3/UBE2C/DSN1/MKI67/ATM/MAD1L1/NCAPH2/NUMA1/FAM83D/GEM/CCNE2/SPC25/TEX11/MAD2L1/RMI1/DSCC1/MIS18A/CDCA8/CENPQ/NDC80/PMF1/CDT1/XRCC3/TACC3/MIS12/CDCA2/UVRAG/SLF1/TRIP13/RAD21/KIF2C/TTK/ESPL1/NCAPD3/SPAG5/SPDL1/DDX11/NUSAP1/BIRC5/BRIP1/CCNE1/FANCD2/AURKB/SMC2/CENPH/PRC1/TOP2A/CENPT/NCAPD2/CENPN/CHMP2B/RB1/KIF23/CDC6/EME1/CENPK/NCAPG/RACGAP1/KNTC1/ESCO2/NUF2/MAD2L1BP/NCAPG2/INCENP/ZW10/KNSTRN/TUBG1/SMC4"
