"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",0.537168934702556,"144568"
"AAAS","aaas",-0.166637631643853,"8086"
"AACS","aacs",-2.89034086398006,"65985"
"AADAT","aadat",0.205703894216993,"51166"
"AAGAB","aagab",0.0017483663585619,"79719"
"AAK1","LOC107373159",-0.0020057009268748,"22848"
"AAMDC","aamdc",0.347622766495041,"28971"
"AAMP","aamp",0.0318233951215256,"14"
"AANAT","LOC107382246",-0.463258739692756,"15"
"AAR2","aar2",-0.00139707705312222,"25980"
"AARS2","aars2",0.0144925773803947,"57505"
"AARSD1","aarsd1",-0.104402657987808,"80755"
"AASDH","aasdh",-0.350484039989223,"132949"
"AASDHPPT","aasdhppt",-0.000200234195460875,"60496"
"AASS","aass",-0.00297261728285023,"10157"
"AATF","aatf",-4.01065354612877e-05,"26574"
"ABAT","abat",1.31545052985322,"18"
"ABCA1","LOC107372735",0.929557172766532,"19"
"ABCA1","LOC107391047",-0.835959539122439,"19"
"ABCA1","LOC107381037",0.752356248048639,"19"
"ABCA12","LOC107376062",-1.14863972756591,"26154"
"ABCA12","abca12",0.195903678053041,"26154"
"ABCA3","abca3",-0.523655036542272,"21"
"ABCA4","LOC107383559",0.0154924635042584,"24"
"ABCA5","abca5",-0.253897092608987,"23461"
"ABCB10","abcb10",-0.201745431954888,"23456"
"ABCB11","abcb11",0.0508082428246311,"8647"
"ABCB6","abcb6",-0.375477115880407,"10058"
"ABCB7","abcb7",-0.0133423844007275,"22"
"ABCB8","LOC107383862",-0.0668693749682012,"11194"
"ABCB9","abcb9",-0.0038556598022323,"23457"
"ABCC1","LOC107373251",0.0932818784796661,"4363"
"ABCC1","LOC107391801",-0.00139707705312222,"4363"
"ABCC10","abcc10",-0.00541511538885926,"89845"
"ABCC2","abcc2",-0.780331948913636,"1244"
"ABCC3","LOC107388296",0,"8714"
"ABCC4","abcc4",-0.00103906758881294,"10257"
"ABCC5","abcc5",-0.144313549676164,"10057"
"ABCC8","abcc8",1.28057434441949,"6833"
"ABCC9","LOC107387088",0.101233727420453,"10060"
"ABCD1","LOC107391455",0.00957621894545931,"215"
"ABCD2","abcd2",-0.347622766495041,"225"
"ABCD3","LOC107395207",0.00767286095971406,"5825"
"ABCD3","abcd3",-0.0241077331159128,"5825"
"ABCD4","abcd4",0.00837731457419711,"5826"
"ABCE1","abce1",-0.0117170412097438,"6059"
"ABCF1","abcf1",-0.04338994449443,"23"
"ABCF2","abcf2",-0.0133423844007275,"10061"
"ABCF3","abcf3",-0.0146895270465725,"55324"
"ABCG1","LOC107395544",0.000144238938552086,"9619"
"ABCG1","LOC107394113",-0.0092681333202615,"9619"
"ABCG2","LOC107376824",0.0124247429527466,"9429"
"ABHD10","abhd10",-0.00444513754728538,"55347"
"ABHD12","LOC107375545",-0.752356248048639,"26090"
"ABHD12","LOC107376141",0.0271000894900756,"26090"
"ABHD12","abhd12b",0.0791218686860266,"26090"
"ABHD13","abhd13",0.0938789972235518,"84945"
"ABHD14A","abhd14a",0.0775198933099359,"25864"
"ABHD14B","abhd14b",0.0285283283071088,"84836"
"ABHD15","LOC107380403",-0.240371554348988,"116236"
"ABHD16A","abhd16a",0.0127873757981699,"7920"
"ABHD17B","abhd17b",-0.117019294705887,"51104"
"ABHD17C","LOC107384127",-0.252750679353959,"58489"
