"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",134,-0.79639826689712,-2.23507633062049,1e-10,2.30310344827586e-08,2.03702359346642e-08,944,"tags=43%, list=9%, signal=40%","CDT1/KATNB1/NUP62/CENPE/RAD21/CDC20/SLF1/XRCC3/CENPF/RB1/KIFC1/SPDL1/PRC1/DSCC1/TTK/DSN1/NCAPG/NSL1/ANAPC11/KIF4A/CDC6/NCAPH2/NUMA1/GEN1/CCNB1/UBE2C/TRIP13/PLK1/ATM/BUB3/NUSAP1/TACC3/CDCA8/MIS12/NCAPD3/KIF2C/SPAG5/KNTC1/CENPK/KNSTRN/BUB1B/NCAPH/DLGAP5/NDC80/NCAPD2/SLF2/SMC2/KIF23/ESPL1/RACGAP1/PTTG1/NUF2/MAD2L1BP/NCAPG2/AURKB/MAD2L1/INCENP/SMC4"
"BP","GO:0000082","G1/S transition of mitotic cell cycle",199,-0.677901157993505,-1.97857681630285,1e-10,2.30310344827586e-08,2.03702359346642e-08,1014,"tags=32%, list=10%, signal=29%","E2F3/CDT1/KLF11/ORC2/RBL1/CDC7/APEX1/ADAM17/HINFP/CCNE1/AKT1/ORC4/POLE3/ORC1/NPAT/RPA1/RB1/CDK2/GTSE1/UBE2E2/AURKA/ORC5/MTBP/ORC3/CDC6/RRM2/FGF10/MCM10/CCNB1/NASP/ATM/MCM2/MCM5/WEE1/E2F7/MCM4/MCM6/IQGAP3/POLA2/TFDP1/MCM3/MCM7/CDK1/PRIM1/PRIM2/POLA1/EZH2/E2F1/SKP2/TERT/RFWD3/CCNE2/CDKN2D/PIDD1/POLE2/POLE/RPA3/CDC45/TYMS/RPA2/PCNA/CDC25A/GMNN"
"CC","GO:0000228","nuclear chromosome",175,-0.771555512423068,-2.21885243395716,1e-10,2.30310344827586e-08,2.03702359346642e-08,774,"tags=35%, list=7%, signal=33%","ORC4/SFR1/POLE3/MORF4L1/ORC1/MLH1/RAD9A/RPA1/LRWD1/DSN1/ORC5/ORC3/POLD3/MCM10/CCNB1/BRCA1/TERF2IP/PLK1/TIMELESS/POLD1/MCM2/HEY2/POLD2/MCM5/MIS12/GINS3/MCM4/MCM6/MMS22L/GINS2/PMF1/TONSL/POLA2/GINS1/MCM3/MCM7/TIPIN/WDHD1/CENPK/TOP2A/BUB1B/BLM/NDC80/PRIM1/NCAPD2/RAD51/SMC2/PRIM2/POLA1/CENPT/CHEK1/POLE2/NUF2/GINS4/POLE/SUV39H1/RPA3/RPA2/PCNA/BIRC5/INCENP"
"BP","GO:0000280","nuclear division",300,-0.715355000952785,-2.16233348828411,1e-10,2.30310344827586e-08,2.03702359346642e-08,992,"tags=32%, list=9%, signal=30%","CDT1/TDRKH/PPP1R9B/KATNB1/NUP62/CENPE/CDK13/RAD21/CCNE1/CDC20/SLF1/MZT1/PPP2CA/XRCC3/CENPF/MLH1/KIF20B/CCNB2/RB1/MUS81/KIFC1/PDXP/SPDL1/PRC1/DSCC1/TTK/VRK1/RMI1/WEE2/DSN1/MYBL2/AURKA/EME1/NCAPG/SPICE1/NSL1/MTBP/ANAPC11/KIF4A/CDC6/NCAPH2/FANCA/BRIP1/NUMA1/GEN1/RAD54B/CCNB1/RAD54L/UBE2C/TRIP13/PLK1/ATM/BUB3/PKMYT1/NUSAP1/TACC3/MKI67/FANCD2/CDCA8/MIS12/NCAPD3/KIF2C/SPAG5/KNTC1/TPX2/CENPK/TOP2A/KNSTRN/BUB1B/NCAPH/CDK1/DLGAP5/PSMC3IP/NDC80/AAAS/NCAPD2/SLF2/RAD51AP1/RAD51/SMC2/KIF11/KIF23/ESPL1/RACGAP1/PTTG1/CCNE2/CHEK1/NUF2/MND1/MAD2L1BP/NCAPG2/AURKB/ANLN/MAD2L1/INCENP/SMC4"
"CC","GO:0000775","chromosome, centromeric region",158,-0.762112934699706,-2.16808230392615,1e-10,2.30310344827586e-08,2.03702359346642e-08,1060,"tags=40%, list=10%, signal=36%","UHRF2/BAZ1B/CDT1/ORC2/CBX3/RCC2/CENPE/RAD21/ZNF330/DNMT3A/PPP2CA/CENPF/OIP5/CENPP/LRWD1/SPDL1/DSCC1/TTK/DSN1/NCAPG/NSL1/MTBP/CBX1/MIS18A/CCNB1/ERCC6L/CENPI/PLK1/BUB3/CBX5/CDCA8/MIS12/NCAPD3/ZWILCH/HELLS/KIF2C/SPAG5/KNTC1/PMF1/CENPQ/SPC25/CENPK/TOP2A/KNSTRN/BUB1B/NDC80/NCAPD2/CENPW/CENPN/CENPT/NUF2/CENPH/CENPU/SUV39H1/CENPL/AURKB/ESCO2/NUP37/SPC24/BIRC5/MAD2L1/INCENP/SMC4"
"CC","GO:0000793","condensed chromosome",155,-0.723890153223511,-2.05576299908313,1e-10,2.30310344827586e-08,2.03702359346642e-08,1049,"tags=36%, list=10%, signal=33%","LIG4/BAZ1B/CDT1/ORC2/HUS1/CBX3/CENPE/RAD21/CENPF/MLH1/RAD9A/RIF1/LRWD1/SPDL1/DSN1/NCAPG/NSL1/NCAPH2/CCNB1/ERCC6L/BRCA1/PLK1/BUB3/MKI67/FANCD2/MIS12/NCAPD3/ZWILCH/KIF2C/SPAG5/KNTC1/PMF1/SPC25/CENPK/TOP2A/KNSTRN/BUB1B/BLM/NDC80/NCAPD2/CENPW/CENPN/RAD51/SMC2/CENPT/CHEK1/NUF2/CENPH/CENPU/SUV39H1/AURKB/NUP37/SPC24/BIRC5/MAD2L1/INCENP"
"BP","GO:0000819","sister chromatid segregation",156,-0.792990940689005,-2.24933678842945,1e-10,2.30310344827586e-08,2.03702359346642e-08,1006,"tags=41%, list=10%, signal=38%","MCMBP/CDT1/KATNB1/NUP62/CENPE/RAD21/CDC20/SLF1/FEN1/XRCC3/CENPF/RB1/KIFC1/SPDL1/PRC1/DSCC1/TTK/DSN1/NCAPG/NSL1/ANAPC11/KIF4A/CDC6/NCAPH2/NUMA1/GEN1/CCNB1/UBE2C/TRIP13/PLK1/ATM/BUB3/DDX11/NUSAP1/TACC3/CDCA8/MIS12/NCAPD3/KIF2C/SPAG5/KNTC1/CENPK/TOP2A/KNSTRN/BUB1B/NCAPH/DLGAP5/NDC80/NCAPD2/SLF2/SMC2/KIF23/ESPL1/RACGAP1/PTTG1/NUF2/MAD2L1BP/NCAPG2/AURKB/ESCO2/RMI2/MAD2L1/INCENP/SMC4"
"CC","GO:0005819","spindle",296,-0.64948412223784,-1.95706096203684,1e-10,2.30310344827586e-08,2.03702359346642e-08,949,"tags=27%, list=9%, signal=25%","CBX3/KATNB1/RCC2/CDC7/NUP62/CENPE/TUBGCP3/RAD21/TUBGCP2/CDC20/AKT1/MZT1/PPP2CA/TERF1/CENPF/KIF20B/PTP4A1/EVI5/RB1/NSUN2/KIFC1/RIF1/KAT2A/HAUS6/PLK4/SPDL1/PRC1/TTK/VRK1/AURKA/NEDD1/SPICE1/UNC119/HAUS3/KIF4A/CDC6/CBX1/ECT2/HAUS7/NUMA1/CCNB1/SHCBP1/PLK1/ATM/DDX11/HAUS8/CIAO1/NUSAP1/TACC3/CDCA8/CEP44/TUBGCP6/HAUS4/KIF2C/SPAG5/KNTC1/FAM83D/TPX2/KNSTRN/HAUS5/RASSF10/BUB1B/CDK1/DLGAP5/AAAS/KIF20A/KIF11/KIF23/ESPL1/RACGAP1/KIF15/CKAP2/MAD2L1BP/AURKB/BIRC5/HAUS1/MAD2L1/INCENP/CKAP2L"
"BP","GO:0006260","DNA replication",223,-0.755287545128855,-2.22823281302433,1e-10,2.30310344827586e-08,2.03702359346642e-08,1067,"tags=46%, list=10%, signal=42%","ETAA1/LIG4/TICRR/MCMBP/CDT1/POLQ/ORC2/HUS1/CDC7/ALYREF/CCNE1/ORC4/ATRIP/PPP2CA/FEN1/POLE3/TERF1/ATR/ORC1/ATAD5/RAD9A/RPA1/CDK2/RPAIN/LRWD1/RNASEH2A/DSCC1/RMI1/WRN/ORC5/EME1/TOP3A/MCM9/CHTF18/ORC3/BARD1/CDC6/EXO1/RRM2/POLD3/MCM10/BRIP1/GEN1/NASP/BRCA1/ATM/TIMELESS/POLD1/HMGA1/RBBP8/MCM2/DDX11/LIG1/POLD2/CCNA2/MCM5/DONSON/ING4/E2F7/GINS3/MCM4/MCM6/MMS22L/RECQL/CDK9/GINS2/RFC1/TONSL/POLA2/RFC5/GINS1/RECQL4/MCM3/MCM7/TIPIN/WDHD1/CLSPN/RFC4/CDK1/BLM/PRIM1/RAD51/PRIM2/POLA1/RRM1/RFWD3/CCNE2/CHEK1/POLE2/GINS4/CHAF1B/POLE/RPA3/CDC45/RFC3/CHAF1A/ESCO2/RPA2/PCNA/TRAIP/RMI2/GMNN"
"BP","GO:0006261","DNA-dependent DNA replication",134,-0.804043703919612,-2.25653310173175,1e-10,2.30310344827586e-08,2.03702359346642e-08,1067,"tags=55%, list=10%, signal=50%","ETAA1/TICRR/MCMBP/CDT1/POLQ/ORC2/CDC7/ALYREF/CCNE1/ORC4/FEN1/POLE3/TERF1/ATR/ORC1/RPA1/RPAIN/LRWD1/DSCC1/WRN/ORC5/EME1/MCM9/CHTF18/ORC3/CDC6/POLD3/MCM10/GEN1/TIMELESS/POLD1/HMGA1/MCM2/DDX11/LIG1/POLD2/MCM5/DONSON/E2F7/GINS3/MCM4/MCM6/MMS22L/RECQL/CDK9/GINS2/RFC1/TONSL/POLA2/RFC5/GINS1/RECQL4/MCM3/MCM7/TIPIN/WDHD1/RFC4/BLM/PRIM1/RAD51/PRIM2/POLA1/RFWD3/CCNE2/POLE2/GINS4/POLE/RPA3/CDC45/RFC3/RPA2/PCNA/TRAIP/GMNN"
