"human","ncbi","mlog10QvalxFC","ENTREZID"
"A2ML1","LOC107380767",0.415138420504231,"144568"
"AAAS","aaas",-2.56410712173518,"8086"
"AACS","aacs",-0.12681537116279,"65985"
"AADAT","aadat",-0.000688975517789418,"51166"
"AAGAB","aagab",0.000358655327644376,"79719"
"AAK1","LOC107373159",-0.0332793055253288,"22848"
"AAMDC","aamdc",0.0148905428562343,"28971"
"AAMP","aamp",-0.0136149907096753,"14"
"AANAT","LOC107382246",-0.64649481106849,"15"
"AAR2","aar2",-0.140590100279783,"25980"
"AARS2","aars2",-0.000745243163947008,"57505"
"AARSD1","aarsd1",-0.0637010293760627,"80755"
"AASDH","aasdh",-0.219610696550396,"132949"
"AASDHPPT","aasdhppt",0.00808216935659272,"60496"
"AASS","aass",0.0019654488896966,"10157"
"AATF","aatf",-0.0261250292290498,"26574"
"ABAT","abat",1.65498960217789,"18"
"ABCA1","LOC107372735",0.0903455289772113,"19"
"ABCA1","LOC107381037",0.303449251467827,"19"
"ABCA1","LOC107391047",-2.53503583804966,"19"
"ABCA12","LOC107376062",-1.58295399276363,"26154"
"ABCA12","abca12",0.666178768590273,"26154"
"ABCA3","abca3",-0.722575303816815,"21"
"ABCA4","LOC107383559",1.14941106407153,"24"
"ABCA5","abca5",-0.51477173747792,"23461"
"ABCB10","abcb10",0.0108882961813073,"23456"
"ABCB11","abcb11",-0.100557195369022,"8647"
"ABCB6","abcb6",-0.322883835643383,"10058"
"ABCB7","abcb7",-0.000895999517521177,"22"
"ABCB8","LOC107383862",-0.597607567606082,"11194"
"ABCB9","abcb9",-0.00269541263259306,"23457"
"ABCC1","LOC107391801",-0.00423873244170007,"4363"
"ABCC1","LOC107373251",-0.06900425418631,"4363"
"ABCC10","abcc10",-0.0836447969082804,"89845"
"ABCC2","abcc2",-2.40781341797869,"1244"
"ABCC3","LOC107388296",0.0013174441440154,"8714"
"ABCC4","abcc4",-0.175554709816825,"10257"
"ABCC5","abcc5",-0.0220942552536768,"10057"
"ABCC8","abcc8",0.644873892665872,"6833"
"ABCC9","LOC107387088",0.00849987834130783,"10060"
"ABCD1","LOC107391455",0.345232646718223,"215"
"ABCD2","abcd2",-0.16713004623753,"225"
