"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001816","cytokine production",466,0.483004949243482,1.73342599355074,1e-10,5.80666666666667e-08,4.77017543859649e-08,1402,"tags=27%, list=12%, signal=25%","BPI/TNFAIP3/BCL3/CARD9/TMEM106A/CD274/IL17F/CXCL6/LRP1/CSF1R/PLA2G1B/NOD1/SYK/RIPK3/LBP/FRMD8/TGFB1/PLCB1/NCKAP1L/LAG3/BCL10/HOMER3/RIPK2/MERTK/IKBKE/CRP/IRF5/FFAR2/RNF26/SAA1/TICAM1/IL1R2/IRF8/PTPN6/IFIH1/C3/IL1B/VTCN1/APPL1/BATF/FLT4/STAT1/IL10/RFTN1/PDE4B/MALT1/TMSB4X/CLU/SFTPD/ZC3H12A/PTAFR/SERPINB1/EBI3/PTPRC/MCOLN2/TRAF6/MAP2K5/NFKB1/NFATC4/ADRA2A/STAT3/PELI1/CD200/DENND1B/PIK3CG/TLR5/IL5RA/PGLYRP2/APPL2/CMKLR1/MYD88/LTA/DHX58/CASP1/RELB/LACC1/PYCARD/SASH3/GLMN/TNFRSF1B/HLA-DPA1/RAC1/EPHA2/HLA-DPB1/TRIM21/SERPINF2/HIF1A/CD84/TLR1/IRF1/REL/MAPK11/MEFV/RIPK1/SETD2/ANXA1/RSAD2/TRIM25/ATP6AP2/SEMA7A/TBK1/RASGRP1/FLOT1/ADAM17/AXL/F2R/HYAL2/TRAF3/TRIM16/SOCS1/DDIT3/TNF/JAK2/IL1R1/CYBA/INPP5D/ZP3/TLR9/ARG2/IL12B/CD2/LTF/CHIA/CD200R1/ISL1/PCSK5/ARHGEF2"
"BP","GO:0002253","activation of immune response",303,0.545450506961005,1.90602976379995,1e-10,5.80666666666667e-08,4.77017543859649e-08,1309,"tags=30%, list=12%, signal=27%","CARD9/SYK/CFH/C4B/NCKAP1L/THEMIS2/BCL10/WIPF1/PROS1/RIPK2/CRP/IKBKG/ABI1/FFAR2/HCK/C6/C7/TEC/TEC/PTPN6/LIMK1/C3/ARPC1B/IL1B/VTCN1/APPL1/MFAP4/DGKZ/CLEC4C/PAG1/WASF2/FCGR1A/RFTN1/PDE4B/MALT1/GRB2/CLU/ZC3H12A/PTPRC/TRAF6/PLEKHA1/GRAP2/NFKB1/PRKCD/LCP2/CYFIP1/PAK2/CFB/RC3H2/DENND1B/CBFB/C1QC/APPL2/CMKLR1/WAS/RBCK1/WNK1/RNF31/CFHR1/COLEC10/RELB/CFP/GPS2/PYCARD/C1QA/HLA-DPA1/RAC1/HLA-DPB1/RAPGEF1/VAV1/BAG6/ACTR2/ARPC4/PRKCH/ACTR3/ARPC2/ELF1/TBK1/PSME1/C1R/PRKACB/ARPC3/INPP5D/LCK/PIK3CB/LGALS3/CD209/HEXIM1/PSMA5/PSMB7"
"CC","GO:0005759","mitochondrial matrix",392,-0.563413166287149,-1.84338173052806,1e-10,5.80666666666667e-08,4.77017543859649e-08,3348,"tags=45%, list=29%, signal=33%","DECR1/MRPS15/MRPS31/NDUFAF7/GFM1/BCL2L1/MRPL28/HIBADH/MRPL17/HIBCH/POLDIP2/DNA2/MRPL16/DNAJA3/MRPL48/FASTK/ACSS2/MRPL40/TFB1M/FASTKD2/THEM4/SUOX/ARL2BP/SDHAF4/ISCU/DHTKD1/FOXO3/NDUFA9/PDSS2/C1QBP/MRPS6/ACO2/SOD2/PDHA1/GLS/ISCA1/MRPL3/PRDX3/TSFM/MRPL34/MRPL54/MRPL32/MRPS10/AUH/SCO2/SIRT3/SARDH/MRPS35/TRNT1/NUDT13/IBA57/MRPS17/SSBP1/MRPL35/IDH3B/MRPL51/CBR4/PDK2/GLUD1/MRPL24/MRPL39/PUS1/PDP1/PITRM1/MTHFD2/TRMT10C/ALDH7A1/PYCR1/MRPL15/TRMT5/DLST/MDH2/PCCB/METTL17/SLC25A5/MRPL49/MRPL9/MALSU1/PARK7/UQCC2/GPX1/MTERF4/BCO2/MRPS22/MRM1/ABCE1/MIPEP/ALDH2/NUBPL/MRPS16/IVD/DIMT1/ALDH6A1/LYRM7/SUPV3L1/LONP1/BCKDHB/MRPL18/HSPD1/PDK3/GRPEL1/LIAS/METTL15/ALAS2/ATAD3A/BTD/NDUFS7/CHCHD1/MRPS26/TRUB2/PPTC7/NUDT2/OXCT1/NT5M/SDHAF2/ALDH1L2/MPG/DGUOK/PRIMPOL/MRPS28/ACADS/NARS2/MRPL44/ACADM/MRPS7/VDAC2/ACAT1/DHX30/ETFA/HSPA9/ISCA2/IDH2/FPGS/MPV17L2/FH/MRPS18B/ACP6/SOD1/CYP27A1/ETHE1/HYKK/TFB2M/GLRX5/GCSH/FECH/ECHS1/MRPL21/DDX28/ACADL/GSTZ1/ALDH4A1/NFS1/OAT/ACAD8/SIRT4/AGXT2/MRPS5/GCDH/HOGA1/SHMT2/HAGH/POLG2/GPT2/PYROXD2/FAHD1/ACSS3/OTC/AK4/ERAL1/DMGDH/AGXT/PCK2/HMGCL/AK3/GLDC/ACSF2/TMLHE/AMT"
"BP","GO:0006520","cellular amino acid metabolic process",257,-0.608490152859844,-1.94094187328283,1e-10,5.80666666666667e-08,4.77017543859649e-08,1305,"tags=30%, list=11%, signal=27%","PLOD3/OAZ1/ASNSD1/NARS2/DPEP1/CSAD/GCLC/ACAT1/MTR/ARG1/SEPHS2/FPGS/GPT/MSRA/AZIN1/ILVBL/GOT1/HNF4A/DHFR/ATCAY/HYKK/PCBD1/BPHL/GCSH/IYD/SDSL/PM20D1/EEF1E1/ASPG/ASPA/HAAO/GSTZ1/ALDH4A1/DDAH1/OAT/DPYS/ACAD8/SIRT4/FTCD/AGXT2/ASRGL1/GCDH/HOGA1/SHMT2/MAT1A/DDAH2/GPT2/FAH/TYR/SLC7A7/AHCY/NQO1/QDPR/UPB1/AMDHD1/OTC/SLC16A2/ACY1/HNMT/CBS/BAAT/UROC1/AGXT/HAL/HMGCL/CTH/GLDC/ALDH8A1/ACMSD/DAO/BHMT/ASS1/DPYD/NAALAD2/INS/AMT"
"BP","GO:0006954","inflammatory response",433,0.522530624007859,1.86035600493416,1e-10,5.80666666666667e-08,4.77017543859649e-08,1880,"tags=38%, list=17%, signal=33%","TNFAIP3/IL17F/TNIP2/CXCL9/CXCL6/CSF1R/NOD1/LYZ/SYK/C4B/LBP/CTSC/TGFB1/THEMIS2/HYAL1/PTGIR/VCAM1/NFKBIA/RIPK2/CRP/IKBKG/TNFAIP8L2/IRF5/FFAR2/HCK/SAA1/TICAM1/IL1R2/NDST1/PRKD1/AP3B1/CCL25/PARP4/TNIP1/LY75/CXCR3/C3/IL1B/APPL1/ASH1L/ITGB2/IL10/CXCL10/TMSB4X/ZC3H12A/PTAFR/PTPRC/ECM1/LRRK2/NFKB1/NFATC4/SCG2/PRKCD/CYP26B1/STAT3/HAMP/CCL20/TGM2/CD200/PIK3CG/TLR5/IL5RA/PGLYRP2/APPL2/CMKLR1/MYD88/GRN/USP18/PIK3AP1/SLAMF8/LTA/PXK/DAGLA/APOL3/CASP1/RELB/LACC1/GPS2/PYCARD/TNFRSF1B/RAC1/TNFRSF1A/EPHA2/SERPINF2/HIF1A/TLR1/REL/UFL1/DAGLB/LDLR/MAPK7/MEFV/STK39/PDE2A/MFHAS1/RIPK1/ANXA1/IL10RB/PTGIS/SEMA7A/TBK1/CCL3L3/CCR1/AXL/F2R/TYRO3/HYAL2/LTB4R/TNF/JAK2/IL1R1/CYBA/METRNL/ZP3/TLR9/IL36G/CXCL5/LOXL3/ANO6/IL12B/FUT7/SBNO2/CHIA/CD200R1/ISL1/SOCS3/PRCP/HMOX1/IL1RL1/CYBB/ITGAL/TNFAIP6/CSF1/GPR4/CAMK1D/ABCC1/MMP9/NLRX1/CHID1/PTGER4/PSTPIP1/TPST1/XCR1/ZYX/PTX3/GPER1/BTK/DNASE1L3/PRKCQ/LXN/SPATA2/TOLLIP/SYT11/TIRAP/SELP/LPL/BDKRB2/CCR6/HAVCR2/ADGRE5/CYSLTR1/ACVR1/LIPA"
"BP","GO:0016054","organic acid catabolic process",209,-0.691664532623117,-2.16496506196442,1e-10,5.80666666666667e-08,4.77017543859649e-08,1399,"tags=40%, list=12%, signal=36%","ALDH1L2/ECH1/ACADS/DCXR/SLC25A17/GNPDA1/MFSD2A/CSAD/HAO2/ACADM/AKT1/ACAT1/SLC27A2/BDH2/ETFA/ARG1/GPT/ILVBL/ECHDC2/GOT1/DECR2/HYKK/PECR/PCBD1/EHHADH/GCSH/SCP2/LDHD/ECHS1/SDSL/NPL/ACADL/ASPA/ALDH1L1/ACAA1/HAAO/GSTZ1/ALDH4A1/ABCD3/DDAH1/OAT/ACAD8/FTCD/AGXT2/AKR1D1/ASRGL1/HSD17B4/GCDH/HOGA1/SHMT2/PPARA/MAT1A/DDAH2/GPT2/ACAD11/FAH/ACOX1/AHCY/QDPR/AMDHD1/OTC/LONP2/HNMT/CBS/NUDT7/PHYH/HAO1/AKT2/FAAH/PCK1/UROC1/SORD/AGXT/PCK2/HAL/HMGCL/ACOX3/CTH/GLDC/ALDH8A1/ACMSD/DAO/CRYL1/AMT"
"BP","GO:0019221","cytokine-mediated signaling pathway",471,0.547482843653823,1.96756255137305,1e-10,5.80666666666667e-08,4.77017543859649e-08,1309,"tags=29%, list=12%, signal=27%","TNFAIP3/LEPR/IL17F/TNIP2/CXCL9/CXCL6/CSF1R/NOD1/SYK/LBP/TGFB1/EDARADD/PLCB1/CD27/MAP3K14/TNFSF13B/VCAM1/NFKBIA/RIPK2/IKBKE/SP100/IKBKG/SPI1/IRF5/HCK/SAA1/CDIP1/IFNAR1/IL1R2/NR1H2/IRF8/TEC/TEC/CCL25/PTPN6/JUNB/MST1R/CXCR3/PTK2B/MYC/IL1B/APPL1/BATF/ITGB2/STAT1/CSF3R/IL10/LCP1/FCGR1A/CXCL10/CAMK2G/TMSB4X/GRB2/PTAFR/PARP14/EBI3/PTPRC/ECM1/TRAF6/SLIT3/NFKB1/PRKCD/STAT3/PAK2/CCL20/PELI1/CBFB/IL5RA/APPL2/SH2B3/TXLNA/CMKLR1/MYD88/USP18/RBCK1/LTA/TRIM8/WNK1/RNF31/CASP1/IL9R/IRAK4/GPS2/PYCARD/TNFRSF1B/HLA-DPA1/TNFRSF1A/IL2RG/ACKR4/HLA-DPB1/TRIM21/RAPGEF1/HIF1A/VAV1/IRF1/FAS/LIFR/PTPRN/STK39/MCL1/TNFSF12/PLP2/RIPK1/TRIM62/MSN/JAK1/STAT4/ANXA1/RSAD2/ADAR/TRIM25/IL10RB/SAMHD1/ELF1/TBK1/PSME1/CCL3L3/CCR1/ADAM17/AXL/STX4/IFI27/BAG4/TRAF3/SOCS1/TNF/IL21R/JAK2/IL1R1/INPP5D/KRT18/IL36G/CXCL5/PIK3CB/TRIM68/PSMA5/IL12B/TYK2/PSMB7"
"BP","GO:0031347","regulation of defense response",412,0.506922229714845,1.78987341282571,1e-10,5.80666666666667e-08,4.77017543859649e-08,1590,"tags=29%, list=14%, signal=26%","TNFAIP3/CARD9/CXCL6/NOD1/TSPAN6/SYK/LBP/CTSC/LAG3/LRSAM1/BCL10/NFKBIA/RIPK2/IKBKE/IKBKG/TNFAIP8L2/FFAR2/HCK/RNF26/SAA1/NR1H2/PTPN6/TNIP1/C3/IL1B/APPL1/CLEC4C/ASH1L/STAT1/IL10/MALT1/TMSB4X/ZC3H12A/PARP14/PTPRC/LRRK2/TRAF6/NFKB1/PRKCD/PAK2/HAMP/TGM2/CD200/PIK3CG/PGLYRP2/APPL2/MYD88/GRN/USP18/PIK3AP1/SLAMF8/LTA/DAGLA/DHX58/CASP1/RELB/LACC1/GPS2/PYCARD/TNFRSF1B/TNFRSF1A/TRIM21/VAV1/IRF1/UFL1/DAGLB/LDLR/MAPK7/MEFV/STK39/PDE2A/LAMP1/MFHAS1/RIPK1/JAK1/ANXA1/ADAR/SAMHD1/PTGIS/SEMA7A/TBK1/PSME1/PRKACB/RASGRP1/TYRO3/HYAL2/TRAF3/SOCS1/TNF/JAK2/IL1R1/CYBA/DTX3L/METRNL/ZP3/TLR9/CD209/ARG2/HEXIM1/PSMA5/IL12B/PSMB7/FUT7/SBNO2/CD200R1/ERAP1/ISL1/SOCS3/IL1RL1/YTHDF2/TNFAIP6/SLC15A4/GPR4/ABCC1/MMP9/PLCG2/NLRX1/PTGER4"
"BP","GO:0044282","small molecule catabolic process",333,-0.643061812155488,-2.07966998861587,1e-10,5.80666666666667e-08,4.77017543859649e-08,1461,"tags=35%, list=13%, signal=31%","XYLB/OXCT1/NT5M/ALDH1L2/ECH1/GLYCTK/ACADS/ENTPD4/DCXR/SLC25A17/GNPDA1/MFSD2A/CSAD/HAO2/ACADM/AKT1/ACAT1/SLC27A2/BDH2/ETFA/CYP46A1/ARG1/ADAL/GPT/ENO3/ILVBL/ECHDC2/GOT1/CYP27A1/DECR2/HYKK/PECR/PCBD1/EHHADH/GCSH/SCP2/LDHD/ECHS1/SDSL/NPL/DERA/ACADL/ASPA/ALDH1L1/ACAA1/HAAO/GSTZ1/PKLR/ALDH4A1/ABCD3/DDAH1/PNP/OAT/DPYS/ACAD8/FTCD/AGXT2/AKR1D1/GAPDH/BPNT1/ASRGL1/HSD17B4/TKFC/GCDH/CYP1A1/HOGA1/SHMT2/GK/HAGH/PPARA/MAT1A/DDAH2/GK5/KHK/GPT2/ACAD11/FAH/HSD17B6/XDH/ACOX1/AHCY/QDPR/UPB1/AMDHD1/OTC/LONP2/ALDOB/HNMT/CBS/NUDT7/PHYH/HAO1/SULT1C4/AKT2/FAAH/PCK1/UROC1/SORD/AGXT/PCK2/HAL/HMGCL/ACOX3/CTH/GLDC/CDA/ALDH8A1/ACMSD/CYP7A1/DAO/DPYD/CRYL1/UPP2/MIOX/AMT"
"BP","GO:0045087","innate immune response",486,0.557131728538095,2.00369340994315,1e-10,5.80666666666667e-08,4.77017543859649e-08,1314,"tags=30%, list=12%, signal=28%","BPI/TNFAIP3/CARD9/TMEM106A/IL17F/ARID5A/CSF1R/PLA2G1B/NOD1/SYK/CFH/C4B/SRPK2/LBP/CITED1/LAG3/BCL10/SERINC5/UNC93B1/VCAM1/RIPK2/IKBKE/SPON2/SP100/CRP/IKBKG/TNFAIP8L2/IRF5/FFAR2/HCK/SAA1/TICAM1/C6/IFNAR1/NR1H2/PRKD1/IRF8/C7/CCL25/PTPN6/IFIH1/MST1R/SMPD1/PTK2B/C3/APPL1/MFAP4/KYNU/STXBP4/CLEC4C/STAT1/FCGR1A/GCH1/CAMK2G/ZC3HAV1/MALT1/CLU/PGLYRP1/SFTPD/PTAFR/PARP14/CLEC4M/MCOLN2/TRAF6/NFKB1/PRKCD/COLEC12/PAK2/CFB/CCL20/DAPK1/PIK3CG/TRIM59/TLR5/PGLYRP2/C1QC/APPL2/MYD88/WAS/GRN/USP18/SLAMF8/TRIM8/DHX58/COLEC10/STYK1/CASP1/RELB/IRAK4/LACC1/CFP/PYCARD/C1QA/HLA-DPA1/NCF1/HLA-DPB1/TRIM21/CD84/VAV1/TLR1/IRF1/RNF19B/MRC1/ACTR2/REL/MEFV/LAMP1/MFHAS1/TRIM62/SETD2/JAK1/MPEG1/ACTR3/ANXA1/RSAD2/ADAR/TRIM25/SAMHD1/MARCO/TBK1/PSME1/C1R/CCL3L3/PRKACB/RASGRP1/AXL/STX4/TYRO3/IFI27/TRAF3/SOCS1/JAK2/CYBA/DTX3L/LCK/TLR9/IL36G/LGALS3/TRIM68/CD209/ARG2/HEXIM1/PSMA5/IL12B/TYK2/PSMB7/CAPZA2"
