"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.981186917349297,"29974"
"A2ML1","LOC107373335",-0.038465260728667,"144568"
"A2ML1","LOC107380767",0.879158441537729,"144568"
"A3GALT2","LOC107372345",-1.28441090979279,"127550"
"AAAS","aaas",0.105665111336202,"8086"
"AACS","aacs",-0.769635995579555,"65985"
"AADAT","aadat",0.404434250118408,"51166"
"AAGAB","aagab",-0.26292690278737,"79719"
"AAK1","LOC107373159",0.648727740235629,"22848"
"AAMDC","aamdc",-0.386415334778663,"28971"
"AAMP","aamp",-0.765124849627592,"14"
"AANAT","LOC107376253",-2.10975408226825,"15"
"AAR2","aar2",-0.0147854285338013,"25980"
"AARS2","aars2",0.37427828706992,"57505"
"AARSD1","aarsd1",0.17903560525978,"80755"
"AASDH","aasdh",-0.227141604530485,"132949"
"AASDHPPT","aasdhppt",-0.0914330853192588,"60496"
"AASS","aass",0.0144356785185572,"10157"
"AATF","aatf",-0.0387960078754637,"26574"
"AATK","aatk",-0.142326399483141,"9625"
"ABAT","abat",-0.0580838322393264,"18"
"ABCA1","LOC107381037",1.09832779335339,"19"
"ABCA1","LOC107372735",0.0843009093450872,"19"
"ABCA1","LOC107391047",0.196505340888157,"19"
"ABCA1","LOC107392625",-0.125022806989888,"19"
"ABCA1","LOC107377411",0.000126805370779762,"19"
"ABCA12","LOC107376062",-0.0134148108784512,"26154"
"ABCA3","abca3",0.00161656760754724,"21"
"ABCA4","LOC107383559",-0.0162322873480447,"24"
"ABCA5","abca5",-0.000246138343581853,"23461"
"ABCB1","abcb1",-0.119366816997548,"5243"
"ABCB10","abcb10",-0.368971327945956,"23456"
"ABCB6","abcb6",-1.36667214334697,"10058"
"ABCB7","abcb7",-0.20169702808577,"22"
"ABCB8","LOC107383862",-0.246583519001535,"11194"
"ABCB9","abcb9",-0.126945740538823,"23457"
"ABCC1","LOC107373251",1.43976291478943,"4363"
"ABCC1","LOC107392837",-0.729756948551164,"4363"
"ABCC1","LOC107391801",0.574620915214309,"4363"
"ABCC10","abcc10",-0.0214773957924516,"89845"
"ABCC12","LOC107381982",-0.301231754907736,"94160"
"ABCC2","abcc2",-1.28988713795482,"1244"
"ABCC3","LOC107388296",2.03258307818613,"8714"
"ABCC4","abcc4",-0.407258282573484,"10257"
"ABCC5","abcc5",0.20169702808577,"10057"
"ABCC8","abcc8",0.0169847251027314,"6833"
"ABCC9","LOC107387088",-0.282179853491313,"10060"
"ABCD1","LOC107391455",0.0483802363593275,"215"
"ABCD2","abcd2",0.314021540763987,"225"
"ABCD3","abcd3",-1.03416199774426,"5825"
"ABCD3","LOC107395207",-1.12243889237363,"5825"
"ABCD4","abcd4",-0.148658891264407,"5826"
"ABCE1","abce1",-0.382339256836299,"6059"
"ABCF1","abcf1",-0.0823295833818457,"23"
"ABCF2","abcf2",-0.430358090947125,"10061"
"ABCF3","abcf3",-0.00475228775233271,"55324"
"ABCG2","LOC107376824",-0.0442598362608686,"9429"
"ABHD10","abhd10",-0.11998696014652,"55347"
"ABHD11","abhd11",-0.17903560525978,"83451"
"ABHD12","abhd12b",0.769635995579555,"26090"
"ABHD12","LOC107376141",3.85478500099906e-07,"26090"
"ABHD12","LOC107375545",-0.0394164949636012,"26090"
"ABHD13","abhd13",-0.00271493162061848,"84945"
"ABHD14A","abhd14a",0.00183481773017282,"25864"
"ABHD14B","abhd14b",-1.90013439399521,"84836"
"ABHD15","LOC107380403",-0.316386665691722,"116236"
"ABHD16A","abhd16a",-0.145118677406254,"7920"
"ABHD17B","abhd17b",0.206092761435538,"51104"
"ABHD17C","LOC107393262",-0.295539094993447,"58489"
"ABHD17C","LOC107384127",0.19056184901383,"58489"
"ABHD18","abhd18",-0.00866844140955425,"80167"
"ABHD2","abhd2",1.54366922613953,"11057"
"ABHD2","LOC107376844",-0.0309849280897113,"11057"
"ABHD3","LOC107377588",-0.00206770757652514,"171586"
"ABHD4","abhd4",3.14478480680236e-05,"63874"
"ABHD5","abhd5",0.508606612498105,"51099"
"ABHD5","LOC107383196",0.14652808987332,"51099"
"ABHD6","abhd6",-1.08939454664067,"57406"
"ABHD8","LOC107396936",0.0326311329547624,"79575"
"ABI1","LOC107390296",0.652710332528731,"10006"
"ABI1","LOC107384312",0.0391055154930704,"10006"
"ABI1","abi1",6.13866757825097,"10006"
"ABI1","LOC107389593",0.172661408821858,"10006"
"ABI2","abi2",-0.0223600497680725,"10152"
"ABI2","LOC107388106",0.0413134471196674,"10152"
"ABI3BP","LOC107384590",-0.03319109774407,"25890"
"ABL1","abl1",0.122488232280598,"25"
"ABL2","abl2",0.38505324863237,"27"
"ABLIM1","ablim1",-2.62085478846507,"3983"
"ABLIM2","ablim2",-0.553134750278685,"84448"
"ABLIM3","LOC107394056",0.0799063525579246,"22885"
"ABLIM3","LOC107373670",0.00465897701098354,"22885"
"ABO","LOC107381863",-0.964912891886966,"28"
"ABR","abr",1.84380940116036,"29"
"ABR","LOC107377344",1.09832779335339,"29"
"ABRACL","abracl",0.27243696116419,"58527"
"ABT1","abt1",-0.0549827599419411,"29777"
"ABTB1","abtb1",0.167980360323472,"80325"
"ABTB2","abtb2",-0.0459497714550106,"25841"
"ACAA1","acaa1",-1.05135572993501,"30"
"ACAA2","acaa2",0.119366816997548,"10449"
"ACACA","acaca",-0.794812211174313,"31"
"ACACB","acacb",0.00790519985897106,"32"
"ACAD11","acad11",-1.11637144267016,"84129"
"ACAD11","LOC107372609",-1.37383782245582,"84129"
"ACAD11","LOC107374620",-2.00744020815335,"84129"
"ACAD8","acad8",-1.15007370574929,"27034"
"ACAD9","acad9",-0.029651351693017,"28976"
"ACADL","acadl",-1.03416199774426,"33"
"ACADM","acadm",-0.685234423442273,"34"
"ACADS","LOC107383304",-0.876656321592614,"35"
"ACADS","acads",-0.367652910651973,"35"
"ACADSB","acadsb",-0.00237962733020872,"36"
"ACADVL","LOC107393942",-0.0828196761024574,"37"
"ACADVL","acadvl",-0.000332383783290915,"37"
"ACAN","LOC107382072",0.0108970104127259,"176"
"ACAP2","acap1",0.492196869669656,"23527"
"ACAP2","acap2",0.899376332980458,"23527"
"ACAP2","LOC107379876",0.0014128133549953,"23527"
"ACAP3","LOC107385549",0.477759151328826,"116983"
"ACAP3","LOC107376598",0.000811768587594909,"116983"
"ACAP3","LOC107374920",-0.042607896247557,"116983"
"ACAT1","acat1",-0.706171576370026,"38"
"ACAT2","acat2",0.00879944809690532,"39"
"ACBD3","acbd3",0.0263441759578257,"64746"
"ACBD4","acbd4",-0.0323532633431412,"79777"
"ACBD5","acbd5",-0.607996026660658,"91452"
"ACBD5","LOC107384316",-0.0765894581610272,"91452"
"ACBD6","acbd6",-0.000141412168434994,"84320"
"ACBD7","LOC107374258",-0.0177567263482008,"414149"
"ACCS","accs",0.20169702808577,"84680"
"ACE","LOC107374473",-0.240371554348988,"1636"
"ACE","ace",-2.25553937789591,"1636"
"ACE","LOC107373083",0.281085695103514,"1636"
"ACE2","ace2",-0.103390202418296,"59272"
"ACER2","acer2",-0.306999693727105,"340485"
"ACER3","acer3",-0.102264533694664,"55331"
"ACHE","LOC107395693",1.70511710713992,"43"
"ACHE","ache",-0.0237228623577462,"43"
"ACIN1","acin1",-0.000965909669602588,"22985"
"ACIN1","LOC107377177",-0.167208410819159,"22985"
"ACKR3","ackr3",-1.06877737988954,"57007"
"ACKR4","LOC107372710",-9.75317787623548e-05,"51554"
"ACKR4","LOC107383620",2.41645675181312,"51554"
"ACKR4","LOC107379530",0.142326399483141,"51554"
"ACLY","LOC107387857",-1.20378183410229,"47"
"ACLY","acly",-0.0439264207544295,"47"
"ACMSD","acmsd",-2.56357048676247,"130013"
"ACO1","aco1",-0.44225171474521,"48"
"ACO2","LOC107376317",0.00300020391775858,"50"
"ACO2","aco2",-0.358516534061441,"50"
"ACOT1","LOC107380820",-4.15366984267654,"641371"
"ACOT1","LOC107395266",-0.404434250118408,"641371"
"ACOT11","LOC107384368",0.010749358516498,"26027"
"ACOT11","acot11",0.0206152484711146,"26027"
"ACOT13","acot13",0.000926067582741024,"55856"
"ACOT8","acot8",-0.17109163071557,"10005"
"ACOT9","acot9",0.122488232280598,"23597"
"ACOX1","acox1",-1.67085326002753,"51"
"ACOX3","acox3",-2.24442577970218,"8310"
"ACP1","acp1",-0.0100279569974767,"52"
"ACP2","acp2",0.0234924704262773,"53"
"ACP5","acp5",-0.367652910651973,"54"
"ACP6","acp6",-0.839783699145878,"51205"
"ACP7","acp7",0.00394839006980204,"390928"
"ACSBG2","LOC107394339",-1.90013439399521,"81616"
"ACSBG2","acsbg2",0.567391881401234,"81616"
"ACSF2","LOC107387470",-3.03673721009397,"80221"
"ACSF3","acsf3",0.0516173326333765,"197322"
"ACSL1","acsl1",-1.523958672966,"2180"
"ACSL3","LOC107384026",0.0924818686578956,"2181"
"ACSL4","acsl4",0.0122770196579149,"2182"
"ACSL5","LOC107387641",-1.98753051832575,"51703"
"ACSL6","LOC107393756",0.572807334632869,"23305"
